Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
163.745 ,69.499 ,72.385 ,590.649 ,50.074635815687834,73.73817969241492,18.975313328402827,921,879,6.195998E-3 ,1.616327E-3 ,47.530,22,48.452,1.784,110.522E-6 ,0.834,0.943,2.502,12.934,1.177 ,5.361,7.607,12.918,16.083,0.832433,0.246686,8.704 ,11.770979166666667
160.203 ,61.525 ,75.769 ,595.575 ,56.39923800784307,76.92396169263979,33.81921756442257,837,815,6.315759E-3 ,1.679356E-3 ,26.501,19,23.543,2.358,148.909E-6 ,1.226,1.456,3.678,12.615,1.261 ,5.192,7.965,15.051,15.575,0.813867,0.292637,8.449 ,7.690979166666667
157.818 ,29.592 ,100.250 ,278.602 ,56.620665429517956,73.97983549934091,36.58350892477151,381,370,6.319323E-3 ,1.073030E-3 ,18.862,9,23.514,2.401,151.737E-6 ,1.197,1.336,3.591,15.645,1.494 ,6.186,10.657,20.494,18.559,0.820884,0.270135,8.046 ,3.370979166666667
150.453 ,35.877 ,74.956 ,573.312 ,54.22370745734455,73.91020015078365,30.537956908358993,2389,2311,6.680357E-3 ,1.022015E-3 ,24.712,60,30.242,2.213,147.854E-6 ,1.129,1.282,3.386,12.456,1.217 ,5.390,7.780,13.252,16.169,0.824584,0.272861,8.745 ,22.618979166666666
153.271 ,62.781 ,78.063 ,529.075 ,46.25012244682346,70.12545209118797,33.79413128211196,173,162,6.503321E-3 ,1.504269E-3 ,53.548,7,30.709,3.050,198.360E-6 ,1.490,1.560,4.471,12.665,1.304 ,7.012,8.550,12.802,21.036,0.770101,0.378200,6.782 ,3.1309791666666666
142.247 ,12.081 ,76.679 ,166.421 ,52.14092512723147,72.28666947586464,34.386926503365174,509,492,7.053774E-3 ,0.764920E-3 ,35.914,16,40.145,2.216,156.284E-6 ,1.094,1.277,3.281,13.446,1.310 ,5.990,9.005,14.060,17.971,0.805494,0.299124,7.800 ,6.106979166666667
210.897 ,153.461 ,75.081 ,584.192 ,53.47002116603834,71.80395572026585,32.678626720590486,279,257,5.067730E-3 ,3.255302E-3 ,45.963,6,38.657,3.560,180.433E-6 ,1.704,2.185,5.113,15.610,1.391 ,6.420,9.120,12.648,19.261,0.769080,0.359824,6.245 ,3.2509791666666668
339.088 ,218.795 ,73.284 ,599.253 ,50.055704110632846,71.15991532530052,32.21912952002529,721,648,3.186076E-3 ,3.333822E-3 ,60.240,26,67.763,4.672,148.853E-6 ,2.190,2.346,6.571,21.803,1.828 ,9.441,13.229,18.677,28.322,0.699911,0.487859,4.188 ,8.386979166666666
389.605 ,173.541 ,76.795 ,615.803 ,47.1756098875919,66.08011793343297,-2.931889162250348,189,166,2.792564E-3 ,2.164977E-3 ,63.303,7,48.024,5.394,150.642E-6 ,2.810,2.964,8.429,20.681,1.957 ,10.326,9.918,--undefined--,30.977,0.661146,0.557884,3.152 ,2.2189791666666667
234.892 ,185.595 ,74.980 ,599.424 ,54.28809542691063,73.72169645398225,39.40376675239446,434,389,4.682732E-3 ,3.885443E-3 ,37.203,17,46.992,4.702,220.190E-6 ,2.360,2.585,7.081,17.124,1.536 ,6.782,10.270,16.478,20.347,0.759979,0.381310,6.576 ,3.826979166666667
