Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
114.725 ,31.012 ,75.915 ,292.903 ,44.96627222216742,63.567455351875985,19.89816652243871,307,291,8.727614E-3 ,1.886624E-3 ,33.038,15,39.684,2.521,219.983E-6 ,1.197,1.464,3.592,19.907,1.611 ,9.814,12.681,22.874,29.441,0.796226,0.302860,7.035 ,4.540861678004535
124.533 ,45.154 ,79.900 ,339.856 ,40.53442508854654,68.36073009687289,4.436651744403228,409,387,8.061724E-3 ,2.207911E-3 ,49.519,18,53.368,2.142,172.689E-6 ,1.015,1.180,3.046,15.283,1.410 ,6.681,9.673,16.115,20.044,0.795196,0.300664,6.957 ,7.30984126984127
117.575 ,45.505 ,75.656 ,594.878 ,40.78038232214787,62.85056287751538,12.716921367519365,936,885,8.582580E-3 ,1.974134E-3 ,41.054,43,41.830,2.680,230.015E-6 ,1.300,1.562,3.901,17.757,1.545 ,7.767,12.491,21.724,23.301,0.770476,0.353281,6.254 ,15.407800453514739
115.323 ,25.979 ,81.359 ,281.339 ,43.936884264185196,63.4229843429587,15.929345778697277,354,338,8.627608E-3 ,1.778705E-3 ,32.554,15,41.420,2.447,211.077E-6 ,1.119,1.532,3.358,19.338,1.561 ,9.788,12.553,18.575,29.365,0.765504,0.363713,5.951 ,5.167800453514739
133.154 ,95.626 ,72.835 ,598.240 ,40.69423234158174,62.93643569954359,10.695890979312841,739,694,7.711812E-3 ,3.338618E-3 ,40.399,35,49.390,3.192,246.197E-6 ,1.577,1.866,4.731,17.747,1.556 ,8.050,13.060,22.301,24.149,0.759592,0.378490,6.046 ,11.071473922902495
129.620 ,75.024 ,75.350 ,592.407 ,39.51241786406641,66.25609675689806,1.2139711734521197,1370,1285,7.836600E-3 ,2.891148E-3 ,46.751,61,50.575,2.655,208.047E-6 ,1.345,1.516,4.035,17.707,1.518 ,8.736,11.369,18.647,26.207,0.773316,0.347985,6.381 ,22.042902494331067
132.894 ,72.358 ,75.751 ,591.642 ,37.202789564210526,61.597200911655385,-6.049735395387557,1029,969,7.628099E-3 ,2.645763E-3 ,45.770,42,37.135,3.149,240.210E-6 ,1.617,1.855,4.851,17.386,1.574 ,7.804,10.295,18.409,23.413,0.753110,0.394736,5.891 ,15.878004535147392
124.046 ,28.075 ,81.071 ,263.919 ,42.00882776289449,63.91383978958609,11.38330544189066,1027,973,8.080041E-3 ,1.585844E-3 ,38.777,49,48.036,2.754,222.552E-6 ,1.423,1.540,4.268,17.162,1.480 ,8.208,11.846,17.699,24.623,0.777508,0.338223,6.471 ,15.407800453514739
122.614 ,72.776 ,74.760 ,604.797 ,39.4784800288759,64.4748228431171,7.3877611604870195,2966,2793,8.287079E-3 ,2.825377E-3 ,43.010,141,49.161,2.345,194.347E-6 ,1.124,1.330,3.373,17.398,1.492 ,7.854,11.339,17.587,23.561,0.776264,0.340802,6.427 ,47.74739229024944
119.369 ,55.860 ,73.550 ,546.203 ,38.64344860690295,64.68024131868629,6.940726667659262,773,729,8.429633E-3 ,2.525022E-3 ,52.416,37,58.502,2.482,209.256E-6 ,1.248,1.460,3.744,18.148,1.533 ,8.653,12.233,19.855,25.958,0.744105,0.398532,5.392 ,15.14657596371882
110.033 ,27.065 ,76.527 ,338.214 ,41.073327556930536,66.02023363069499,12.488719883532722,670,635,9.055805E-3 ,1.775661E-3 ,39.642,34,44.048,1.831,165.768E-6 ,0.866,1.076,2.599,15.131,1.455 ,6.695,9.087,15.980,20.086,0.787616,0.310720,6.666 ,10.653514739229024
120.345 ,67.695 ,75.239 ,598.457 ,36.92038570894253,66.24647312723968,-1.8719763381055678,1520,1418,8.420530E-3 ,2.705325E-3 ,52.610,84,53.245,2.376,200.065E-6 ,1.162,1.387,3.485,18.459,1.565 ,8.848,12.955,25.028,26.544,0.755500,0.376738,5.673 ,29.722902494331066
125.111 ,57.245 ,75.482 ,594.059 ,38.049707065969706,61.288519445192534,5.935742125776478,1832,1727,8.065128E-3 ,2.338275E-3 ,43.509,84,51.963,2.616,211.017E-6 ,1.311,1.537,3.934,17.411,1.508 ,8.420,11.131,16.301,25.259,0.755677,0.379215,5.728 ,29.618412698412698
124.869 ,48.406 ,73.340 ,562.323 ,37.59083552239632,63.04431626514849,6.874361220131421,1745,1651,8.061905E-3 ,2.120107E-3 ,47.967,83,54.994,2.335,188.266E-6 ,1.180,1.364,3.540,16.852,1.493 ,7.514,11.180,16.549,22.543,0.780034,0.334862,6.465 ,30.03637188208617
120.790 ,55.337 ,77.215 ,571.409 ,37.39015505204596,61.532770050271466,3.987621951291387,1230,1157,8.342978E-3 ,2.291494E-3 ,44.998,62,41.642,2.558,213.441E-6 ,1.281,1.549,3.842,17.691,1.547 ,8.424,11.491,18.024,25.271,0.740019,0.412600,5.388 ,20.52780045351474
109.409 ,19.339 ,79.758 ,205.673 ,40.34858392851056,56.29805515718157,0.44031138483690885,425,407,9.156312E-3 ,1.469224E-3 ,35.780,17,40.981,1.600,146.494E-6 ,0.775,0.908,2.325,15.777,1.452 ,6.873,9.936,12.964,20.618,0.750208,0.384548,5.415 ,6.5784126984126985
122.596 ,47.866 ,74.582 ,587.206 ,37.27159268201198,61.8507938183472,9.443020670315807,2205,2073,8.205182E-3 ,2.143882E-3 ,43.866,110,51.450,2.381,195.331E-6 ,1.193,1.405,3.578,17.607,1.521 ,8.601,12.425,19.866,25.803,0.753420,0.381795,5.655 ,35.73106575963719
129.841 ,14.872 ,97.116 ,161.890 ,37.7034882341593,57.65403833664378,10.85591468550298,701,667,7.704009E-3 ,0.903444E-3 ,44.691,29,46.282,1.901,146.475E-6 ,0.957,1.064,2.870,17.224,1.492 ,8.290,11.162,16.740,24.871,0.779560,0.338597,6.449 ,10.86249433106576
130.615 ,44.364 ,92.339 ,500.828 ,40.55213452044259,59.032347483546594,5.703700897860253,1035,981,7.697307E-3 ,1.794770E-3 ,40.844,44,43.471,2.172,167.213E-6 ,1.074,1.274,3.222,17.353,1.529 ,8.236,11.135,17.315,24.708,0.741968,0.406312,5.356 ,14.728616780045352
133.331 ,29.020 ,91.467 ,295.219 ,36.46869930084938,57.82383599327655,9.076634750920832,867,828,7.529211E-3 ,1.393793E-3 ,50.788,37,55.361,2.170,163.354E-6 ,1.074,1.266,3.221,16.431,1.500 ,7.708,11.172,16.617,23.124,0.734972,0.410095,5.084 ,14.624126984126985
134.663 ,50.274 ,79.993 ,567.443 ,37.018350984021374,57.723802097705686,12.354066804830769,809,773,7.493219E-3 ,1.750148E-3 ,44.658,28,50.380,2.446,183.268E-6 ,1.235,1.389,3.704,17.951,1.598 ,8.492,11.364,15.775,25.477,0.741125,0.410046,5.412 ,12.0118820861678
124.006 ,15.253 ,93.714 ,176.232 ,39.013492623549375,56.10933381659208,10.85729817006958,672,637,8.064676E-3 ,1.009679E-3 ,41.499,34,48.191,2.653,213.958E-6 ,1.470,1.593,4.410,16.689,1.466 ,7.929,10.330,16.197,23.788,0.718269,0.445243,4.652 ,10.44453514739229
124.665 ,21.680 ,92.450 ,252.499 ,34.288935760540404,56.292831637425124,3.1022116914608815,335,320,7.998518E-3 ,1.319245E-3 ,50.177,11,49.323,2.009,160.667E-6 ,1.019,1.181,3.056,16.784,1.395 ,8.239,11.121,15.209,24.716,0.754470,0.390102,5.669 ,5.690249433106576
