Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
142.355 ,106.470 ,95.919 ,608.179 ,41.40406283608655,63.28246409150174,17.441651363015534,205,188,7.132888E-3 ,3.208990E-3 ,68.260,12,71.964,2.519,179.650E-6 ,1.394,1.513,4.183,15.473,1.334 ,7.032,9.716,15.607,21.095,0.725337,0.434963,4.845 ,5.266979166666666
171.558 ,27.536 ,100.564 ,249.506 ,62.023975361189855,78.51624951616117,35.863461771932464,512,500,5.837221E-3 ,1.014693E-3 ,20.984,7,19.200,2.367,138.162E-6 ,1.146,1.409,3.438,12.902,1.244 ,5.343,7.878,12.816,16.028,0.822610,0.289268,9.063 ,3.898979166666667
158.224 ,16.342 ,77.320 ,320.216 ,60.97404355237409,77.56755327002342,32.12935571365692,1315,1291,6.322906E-3 ,0.680495E-3 ,20.372,21,18.442,1.826,115.479E-6 ,0.894,1.049,2.681,11.727,1.145 ,4.816,7.082,11.797,14.447,0.877389,0.174372,11.191 ,10.786979166666667
164.507 ,32.671 ,100.942 ,578.753 ,57.18968451763763,76.89940674640295,23.464482114730206,1218,1189,6.084013E-3 ,0.942112E-3 ,32.345,24,21.348,2.168,131.928E-6 ,1.109,1.289,3.326,14.029,1.290 ,5.851,8.913,15.113,17.554,0.829842,0.260501,9.015 ,11.506979166666667
169.318 ,28.348 ,132.479 ,286.995 ,63.13562986362835,81.02790505731986,36.455735949188586,847,829,5.907623E-3 ,0.920330E-3 ,22.036,16,24.728,2.111,124.684E-6 ,1.041,1.167,3.123,12.927,1.154 ,5.516,7.885,14.571,16.549,0.856642,0.208883,9.705 ,6.610979166666667
170.816 ,23.449 ,114.311 ,300.733 ,63.92544127734598,79.20008067098523,30.840300959176915,1893,1853,5.860383E-3 ,0.764760E-3 ,21.933,29,24.286,1.747,102.386E-6 ,0.819,0.974,2.457,12.109,1.201 ,4.976,7.500,12.691,14.928,0.861422,0.202702,10.334 ,14.626979166666667
173.150 ,42.578 ,93.162 ,528.524 ,60.22455417510837,81.05369610677567,31.311413971073428,791,772,5.812580E-3 ,1.022426E-3 ,24.121,15,26.072,2.222,129.136E-6 ,1.062,1.275,3.187,13.436,1.272 ,4.845,8.220,16.893,14.535,0.847529,0.230366,10.019 ,6.298979166666666
161.403 ,22.451 ,111.206 ,234.784 ,59.477687502307056,75.47936169284573,35.034654982860815,800,780,6.205382E-3 ,0.882660E-3 ,29.806,19,34.997,1.828,113.420E-6 ,0.804,1.005,2.413,13.211,1.201 ,5.777,8.363,13.256,17.332,0.855005,0.205951,9.863 ,7.786979166666667
162.953 ,39.119 ,106.945 ,535.652 ,58.493430719062715,78.77803827605032,28.68428590977444,1241,1211,6.147324E-3 ,1.004161E-3 ,32.428,22,26.222,1.855,114.008E-6 ,0.904,1.042,2.711,11.157,1.098 ,4.684,7.082,12.367,14.051,0.869932,0.186421,10.757 ,11.818979166666667
228.388 ,185.072 ,101.821 ,540.368 ,52.214520826679404,71.8529671599052,24.250421661887227,118,102,4.613309E-3 ,3.380927E-3 ,69.849,5,36.661,4.576,211.099E-6 ,2.144,2.830,6.432,18.988,1.646 ,8.319,11.772,28.209,24.956,0.726409,0.442408,4.971 ,2.0269791666666666
187.636 ,23.453 ,121.891 ,241.496 ,62.36038738878203,80.02694463449673,38.13778306768179,417,414,5.329457E-3 ,0.688972E-3 ,32.653,2,11.202,1.606,85.609E-6 ,0.807,0.951,2.420,10.720,1.078 ,4.650,6.961,11.117,13.950,0.902073,0.135427,12.459 ,3.4669791666666665
159.566 ,20.306 ,107.160 ,515.874 ,62.365156222296626,81.73892835758798,30.25521880269768,1942,1904,6.274600E-3 ,0.689988E-3 ,25.608,36,26.477,1.856,116.485E-6 ,0.893,1.069,2.680,11.182,1.130 ,4.433,7.161,11.945,13.298,0.859853,0.203903,10.349 ,16.906979166666666
151.197 ,18.683 ,103.896 ,206.626 ,57.701170056296796,76.23275787434547,28.560158101861326,440,431,6.610651E-3 ,0.873439E-3 ,39.004,8,15.725,1.948,128.747E-6 ,0.851,0.950,2.554,12.030,1.176 ,4.883,7.881,12.905,14.649,0.865930,0.189511,10.166 ,4.858979166666667
198.943 ,108.277 ,150.904 ,563.479 ,54.26970459903606,78.28274471064461,28.389554238926742,72,69,5.100702E-3 ,1.767507E-3 ,51.163,1,6.061,2.838,144.733E-6 ,1.509,1.907,4.528,12.493,1.116 ,5.089,5.886,9.404,15.267,0.830693,0.248741,9.456 ,0.8989791666666667
212.722 ,81.204 ,108.553 ,594.407 ,48.44080330809774,81.60170464559596,29.15565249463114,334,325,4.662840E-3 ,1.307358E-3 ,63.808,6,62.607,2.133,99.450E-6 ,0.932,1.231,2.795,16.789,1.400 ,7.330,10.794,18.077,21.990,0.830147,0.246312,8.389 ,4.810979166666667
171.914 ,34.911 ,83.389 ,570.824 ,65.84504910713582,81.09335796419779,41.83970100512959,2059,1997,5.835228E-3 ,0.859449E-3 ,24.303,51,27.319,1.848,107.833E-6 ,0.878,1.007,2.634,12.678,1.227 ,5.355,7.816,13.381,16.064,0.844364,0.229314,9.330 ,16.906979166666666
197.313 ,37.947 ,132.883 ,499.949 ,67.25588686378856,83.95936892536005,31.859458750252298,1994,1938,5.074320E-3 ,0.856107E-3 ,27.086,44,26.012,2.013,102.136E-6 ,0.948,1.107,2.845,12.491,1.218 ,5.165,7.978,13.724,15.496,0.844613,0.231858,9.453 ,14.650979166666668
195.549 ,41.453 ,121.746 ,519.550 ,62.15359381883213,80.95443281414799,33.677801657213806,471,458,5.139066E-3 ,0.808133E-3 ,40.359,9,14.781,2.023,103.974E-6 ,0.993,1.211,2.979,12.775,1.262 ,5.380,7.446,14.876,16.141,0.836135,0.240508,9.228 ,4.4989791666666665
217.610 ,7.277 ,205.348 ,234.477 ,58.03606810312474,63.54409503033296,45.84368740589008,92,90,4.589869E-3 ,0.165715E-3 ,20.000,1,9.601,1.051,48.225E-6 ,0.482,0.511,1.445,8.703,0.856 ,3.878,4.051,6.248,11.634,0.911482,0.121688,13.010 ,0.5869791666666667
263.524 ,8.356 ,240.942 ,272.368 ,59.91839809198901,68.81431400660144,39.778096110579746,60,59,3.812396E-3 ,0.158606E-3 ,11.538,0,0,1.215,46.330E-6 ,0.605,0.599,1.815,6.415,0.701 ,1.863,2.535,5.554,5.590,0.944850,0.066890,15.299 ,0.2989791666666667
