Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
157.812 ,126.096 ,95.095 ,553.607 ,44.898665969971766,66.36056125864356,-4.3500477449434785,164,154,6.532542E-3 ,3.520276E-3 ,44.589,8,50.540,3.609,235.728E-6 ,1.974,2.178,5.922,18.366,1.680 ,8.287,12.055,19.060,24.861,0.771866,0.354816,6.497 ,2.346575963718821
122.643 ,65.456 ,75.829 ,481.627 ,51.172147844324606,78.19406516890436,7.985539209788595,461,430,8.309902E-3 ,2.530394E-3 ,35.474,19,34.026,2.720,225.997E-6 ,1.384,1.800,4.152,21.481,1.719 ,10.621,14.797,23.957,31.864,0.760302,0.372210,5.730 ,6.5784126984126985
187.696 ,140.797 ,86.371 ,592.341 ,54.248278741935074,72.45625056511126,13.070866974023245,522,482,5.480647E-3 ,3.447013E-3 ,28.825,21,33.665,4.056,222.302E-6 ,2.291,2.754,6.873,19.266,1.630 ,7.820,10.456,11.509,23.460,0.723531,0.437559,4.797 ,4.540861678004535
154.761 ,140.453 ,75.893 ,588.614 ,51.81223375244687,66.98913849255005,-5.989926536567678,342,317,6.572994E-3 ,4.381639E-3 ,27.920,12,29.815,3.720,244.511E-6 ,1.870,2.179,5.610,19.263,1.608 ,8.746,11.531,12.102,26.238,0.702935,0.481130,4.272 ,3.5482086167800455
162.143 ,138.832 ,73.716 ,613.159 ,50.20596581222372,73.40839263625017,10.91057031293084,1842,1696,6.376486E-3 ,4.236320E-3 ,38.301,88,49.580,3.495,222.876E-6 ,1.914,2.293,5.742,20.201,1.686 ,8.669,12.784,21.714,26.007,0.718885,0.440266,4.559 ,22.513106575963718
180.685 ,128.479 ,75.416 ,497.501 ,45.13686386076525,63.2397273032663,20.92347485512449,172,158,5.590475E-3 ,3.508634E-3 ,41.270,12,55.567,4.238,236.913E-6 ,2.204,2.567,6.612,21.500,1.676 ,9.463,12.271,7.497,28.390,0.679208,0.513597,3.522 ,2.5555555555555554
154.540 ,128.988 ,75.256 ,600.007 ,50.39475205673392,72.62128410001084,5.705412888237415,801,729,6.602355E-3 ,4.132546E-3 ,43.957,44,52.922,3.666,242.066E-6 ,1.944,2.410,5.832,19.471,1.692 ,8.889,11.632,20.219,26.668,0.681244,0.519116,3.617 ,12.116371882086169
249.674 ,197.302 ,75.777 ,597.409 ,50.29621400540195,66.1941106737926,-1.5293842136963163,532,489,4.106964E-3 ,3.615855E-3 ,33.563,22,47.909,4.662,191.450E-6 ,2.407,2.619,7.222,21.228,1.790 ,11.170,14.251,20.646,33.510,0.664517,0.566270,3.326 ,4.3841269841269845
189.813 ,161.802 ,72.097 ,555.833 ,45.74175181884283,61.91720474643395,7.888130651382776,135,121,5.368409E-3 ,4.064206E-3 ,42.857,5,46.924,4.518,242.531E-6 ,2.682,3.258,8.046,22.246,1.868 ,11.246,17.492,--undefined--,33.739,0.694060,0.490179,3.897 ,1.7196371882086168
181.321 ,118.176 ,75.853 ,564.689 ,48.92864782672709,74.28943710826056,12.6561399523257,842,783,5.616883E-3 ,2.821135E-3 ,47.363,39,54.670,3.513,197.309E-6 ,1.808,2.177,5.423,19.761,1.674 ,9.607,13.739,18.460,28.822,0.729218,0.433109,5.054 ,10.653514739229024
