Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
125.584 ,77.212 ,74.450 ,598.031 ,65.24786978440643,80.0720937840718,7.2177872980022695,463,435,7.961215E-3 ,3.296351E-3 ,30.068,24,39.229,2.571,204.705E-6 ,1.333,1.646,3.998,17.291,1.526 ,8.647,12.555,18.926,25.940,0.725274,0.446549,4.889 ,5.951473922902494
130.150 ,49.728 ,76.089 ,483.171 ,65.36375178545099,80.9607385659215,19.86644241982333,1473,1408,7.721988E-3 ,2.075498E-3 ,30.320,57,36.372,2.535,195.772E-6 ,1.168,1.353,3.503,16.784,1.458 ,8.283,11.315,15.389,24.849,0.775180,0.338573,6.152 ,18.176780045351475
134.621 ,39.444 ,102.123 ,425.009 ,64.37256668880435,79.83126967882001,35.184407068550875,345,330,7.462282E-3 ,1.496246E-3 ,33.864,12,37.920,2.801,208.990E-6 ,1.394,1.631,4.182,18.297,1.562 ,8.896,12.790,18.064,26.687,0.747981,0.394636,5.518 ,4.436371882086168
132.349 ,55.396 ,80.119 ,554.774 ,64.37473160674263,81.29533746221433,14.027790144956898,1149,1087,7.654061E-3 ,1.937946E-3 ,35.554,52,42.005,2.375,181.787E-6 ,1.116,1.309,3.348,16.209,1.419 ,7.775,10.840,15.001,23.325,0.778591,0.335747,6.339 ,15.198820861678005
135.871 ,22.462 ,84.075 ,222.657 ,65.67181581654421,78.07582588395512,13.2165032385175,412,389,7.342563E-3 ,1.244282E-3 ,28.947,18,33.717,2.464,180.901E-6 ,1.125,1.379,3.374,17.296,1.515 ,8.213,12.102,14.286,24.640,0.746935,0.396860,5.502 ,4.593106575963719
152.651 ,50.720 ,81.556 ,501.746 ,64.55884906835556,78.90382125889599,33.026368292901005,947,915,6.569562E-3 ,1.569694E-3 ,27.350,29,31.676,2.399,157.590E-6 ,1.207,1.392,3.621,16.144,1.404 ,7.854,10.579,14.875,23.563,0.771387,0.344001,6.019 ,9.504126984126984
150.230 ,85.281 ,87.004 ,588.584 ,65.40626305488941,77.26371451498663,34.286081264235946,345,329,6.677494E-3 ,2.502811E-3 ,29.700,9,35.737,2.493,166.481E-6 ,1.153,1.222,3.459,16.786,1.433 ,7.959,11.064,15.373,23.877,0.760225,0.374572,5.932 ,3.704943310657596
142.574 ,31.198 ,76.638 ,270.398 ,63.01210183310879,79.15978364714707,24.839613518644445,454,441,7.074753E-3 ,1.297913E-3 ,35.273,9,32.087,2.625,185.712E-6 ,1.235,1.331,3.706,16.839,1.490 ,8.416,10.741,12.845,25.247,0.772833,0.352179,6.372 ,5.533514739229025
133.586 ,9.907 ,108.620 ,146.029 ,41.02202035519444,75.89936140717414,-3.5719932068823197,34,33,7.616909E-3 ,0.691564E-3 ,62.162,0,0,3.453,263.003E-6 ,1.836,2.635,5.508,21.301,1.719 ,10.754,22.219,20.146,32.262,0.703135,0.473568,4.008 ,0.7792290249433107
167.388 ,78.362 ,77.985 ,476.365 ,58.89675346720099,84.26666828707639,7.613785415722692,799,757,6.050598E-3 ,1.961414E-3 ,46.238,25,49.372,2.541,153.725E-6 ,1.219,1.417,3.657,17.293,1.515 ,8.028,11.726,16.668,24.084,0.781981,0.329555,6.734 ,10.131065759637188
175.616 ,125.422 ,75.655 ,597.245 ,63.83860282161725,83.6581836185134,5.433606628343082,470,440,5.818307E-3 ,3.224890E-3 ,26.131,13,22.410,4.324,251.611E-6 ,2.239,2.384,6.716,20.856,1.714 ,10.289,14.866,18.977,30.867,0.731239,0.423607,4.940 ,4.018412698412698
150.115 ,89.928 ,89.092 ,582.957 ,59.733154282394366,83.60955569220819,18.00094101938601,1096,1026,6.783776E-3 ,2.752716E-3 ,36.428,45,39.684,2.818,191.141E-6 ,1.435,1.652,4.304,19.234,1.587 ,9.083,13.097,17.648,27.249,0.745084,0.401058,5.380 ,12.743310657596371
145.683 ,87.488 ,92.207 ,494.966 ,55.92928427816318,80.5124919975504,6.128224624615424,277,257,7.002225E-3 ,2.785353E-3 ,39.779,10,21.221,2.844,199.109E-6 ,1.576,1.752,4.728,18.249,1.526 ,8.952,14.435,25.165,26.857,0.724395,0.434267,4.701 ,3.6526984126984128
191.705 ,96.985 ,76.055 ,570.361 ,43.39084892418357,79.52609974945388,0.5513549364249918,266,252,5.111521E-3 ,2.737815E-3 ,72.466,12,72.862,3.537,180.803E-6 ,1.800,1.976,5.401,16.375,1.381 ,6.950,10.246,12.998,20.850,0.734077,0.418709,5.070 ,5.951473922902494
178.441 ,105.263 ,101.036 ,507.538 ,66.09476007444222,81.3886409069191,11.704721790972595,307,294,5.797670E-3 ,2.403788E-3 ,25.794,5,20.137,2.847,165.085E-6 ,1.423,1.684,4.270,18.239,1.620 ,9.070,11.917,17.675,27.211,0.799368,0.293150,7.274 ,2.5555555555555554
133.945 ,43.572 ,76.403 ,420.667 ,66.00011577203821,82.73381951535816,7.830435480602991,532,502,7.483876E-3 ,1.948523E-3 ,33.287,25,40.889,2.876,215.206E-6 ,1.322,1.659,3.966,14.224,1.319 ,6.740,9.143,12.854,20.221,0.785151,0.327243,7.063 ,7.153106575963719
131.503 ,23.066 ,76.698 ,284.447 ,67.6982391651932,80.59413006469501,18.658021678841404,595,567,7.613711E-3 ,1.197782E-3 ,32.510,25,41.568,2.329,177.314E-6 ,0.948,1.220,2.843,15.013,1.350 ,6.836,9.392,12.792,20.509,0.780948,0.321578,6.235 ,7.727800453514739
156.133 ,81.949 ,87.794 ,538.743 ,68.7276433614227,81.18134171454153,38.58793583364706,480,456,6.495503E-3 ,2.110421E-3 ,25.169,16,30.476,2.682,174.200E-6 ,1.259,1.426,3.777,16.028,1.383 ,7.811,11.101,16.668,23.434,0.782055,0.326554,6.335 ,4.488616780045351
133.912 ,71.386 ,87.816 ,503.849 ,66.4920948626874,80.0071712926534,36.90531207902556,651,611,7.662535E-3 ,2.587003E-3 ,32.117,28,38.885,2.906,222.685E-6 ,1.289,1.528,3.867,17.359,1.479 ,9.071,12.200,15.335,27.214,0.762536,0.369862,5.934 ,8.250249433106577
118.437 ,12.296 ,92.638 ,146.927 ,67.37937470160003,80.05318449827683,7.287054135696527,405,388,8.445552E-3 ,0.894875E-3 ,32.973,16,35.399,2.139,180.684E-6 ,0.934,1.148,2.802,17.170,1.547 ,7.628,10.607,15.295,22.884,0.794378,0.304912,6.710 ,5.585759637188208
142.745 ,60.490 ,74.834 ,571.197 ,65.90473522430881,81.40648331717185,34.83087653830813,943,899,7.083560E-3 ,1.957280E-3 ,42.251,38,48.908,2.345,166.114E-6 ,1.066,1.278,3.199,16.226,1.434 ,8.153,10.251,13.414,24.459,0.758411,0.366994,5.714 ,13.004535147392291
147.620 ,48.688 ,95.072 ,566.183 ,66.74879209618481,79.38001193969538,10.55444991779259,623,592,6.920140E-3 ,1.257637E-3 ,30.815,20,30.708,2.464,170.536E-6 ,1.244,1.401,3.733,16.418,1.466 ,8.480,10.905,15.353,25.441,0.761534,0.369408,5.793 ,6.787392290249433
152.878 ,92.083 ,67.111 ,589.893 ,65.38644869961806,84.02990826576023,4.756356115827705,2786,2635,6.629020E-3 ,2.723676E-3 ,40.797,121,49.238,2.585,171.364E-6 ,1.303,1.589,3.908,16.529,1.472 ,8.136,10.571,15.638,24.407,0.757184,0.369425,5.609 ,35.678820861678005
136.663 ,72.472 ,75.161 ,548.614 ,65.75989589561719,85.93678981488114,9.73483132981159,1377,1308,7.383136E-3 ,2.790386E-3 ,37.929,57,40.703,2.714,200.404E-6 ,1.314,1.525,3.941,15.173,1.397 ,7.554,9.680,13.002,22.662,0.779870,0.332539,6.409 ,18.385759637188208
