Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
154.117 ,99.460 ,97.149 ,447.887 ,55.80909842689873,71.45073668161979,-12.230660825802426,205,190,6.644237E-3 ,3.124981E-3 ,24.615,10,24.208,2.956,196.434E-6 ,1.674,1.769,5.021,17.777,1.585 ,8.841,16.663,32.424,26.524,0.728864,0.431014,4.822 ,1.9808616780045352
131.885 ,88.586 ,78.327 ,554.610 ,56.80158045272418,75.92258295470775,13.78521754218065,680,639,7.774058E-3 ,3.012620E-3 ,29.075,24,36.394,3.231,251.210E-6 ,1.781,2.052,5.344,17.532,1.567 ,8.611,11.209,15.986,25.832,0.722525,0.446164,4.746 ,8.250249433106577
171.054 ,149.223 ,77.680 ,599.442 ,53.168577198201355,71.60766639949449,0.1346408650677836,599,552,6.040298E-3 ,3.885875E-3 ,36.782,30,44.002,3.061,184.881E-6 ,1.561,1.760,4.684,20.941,1.682 ,10.945,14.595,21.412,32.835,0.723107,0.433711,4.700 ,6.996371882086168
165.257 ,82.709 ,83.813 ,598.125 ,51.294649651197176,73.35038952945956,4.87017954420264,1045,998,6.103362E-3 ,2.348706E-3 ,40.317,33,46.996,2.815,171.801E-6 ,1.483,1.682,4.448,17.693,1.576 ,8.400,13.407,21.632,25.201,0.766360,0.363905,6.163 ,12.0118820861678
158.027 ,54.297 ,81.940 ,587.062 ,59.491111739791094,75.84289315447772,-2.592683621527096,1604,1562,6.389572E-3 ,1.306118E-3 ,21.984,28,25.240,2.740,175.082E-6 ,1.451,1.623,4.354,17.014,1.473 ,8.174,11.558,16.915,24.523,0.783418,0.336552,6.685 ,14.049433106575965
158.541 ,46.390 ,71.068 ,539.567 ,61.734323052125994,78.34477531657059,-3.1932266285711455,2364,2306,6.329282E-3 ,1.322882E-3 ,17.822,37,19.990,2.543,160.927E-6 ,1.277,1.517,3.832,16.955,1.495 ,8.395,11.503,16.727,25.185,0.807437,0.285363,7.399 ,19.221678004535146
147.748 ,47.968 ,75.599 ,553.735 ,61.81556402910306,80.32041203910472,16.17383183040642,2126,2051,6.819853E-3 ,1.552409E-3 ,21.228,53,25.098,2.673,182.262E-6 ,1.370,1.615,4.110,16.936,1.485 ,8.340,11.841,16.803,25.021,0.794001,0.316555,7.031 ,19.587392290249433
156.915 ,61.134 ,74.906 ,556.057 ,57.46545263526115,78.5078193015458,7.2527367291516605,1506,1436,6.373765E-3 ,1.859646E-3 ,32.143,56,42.247,3.086,196.679E-6 ,1.606,1.713,4.817,17.623,1.490 ,8.233,11.982,18.333,24.700,0.767945,0.367819,6.395 ,16.55718820861678
161.755 ,71.774 ,76.198 ,576.914 ,66.69576442908084,82.5996678127236,11.772386842046199,923,882,6.309858E-3 ,1.821874E-3 ,17.639,21,20.682,2.988,188.522E-6 ,1.554,1.875,4.662,17.921,1.500 ,8.861,12.626,16.873,26.584,0.767921,0.361267,6.365 ,7.571065759637189
149.564 ,58.633 ,73.003 ,550.589 ,63.9208854504047,77.52668268626168,24.058374997188345,1225,1184,6.737846E-3 ,1.680154E-3 ,20.314,31,24.887,2.390,161.048E-6 ,1.225,1.439,3.676,16.296,1.429 ,7.390,11.037,17.425,22.170,0.805312,0.292354,7.558 ,10.86249433106576
