Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
119.731 ,70.558 ,83.522 ,465.549 ,41.84970156586118,58.860795810654366,6.092279122892801,278,259,8.494767E-3 ,2.860093E-3 ,43.413,15,49.143,2.435,206.860E-6 ,0.867,1.123,2.600,16.337,1.432 ,7.046,9.348,14.024,21.139,0.745393,0.396043,5.431 ,4.666979166666667
94.162 ,8.432 ,75.638 ,113.321 ,33.37347648514041,54.69017777257989,5.147143588555609,181,172,10.642308E-3 ,0.991629E-3 ,52.558,8,50.545,2.038,216.906E-6 ,0.860,0.929,2.581,15.853,1.428 ,6.998,8.487,12.336,20.993,0.785277,0.329304,6.598 ,4.330979166666666
144.102 ,29.279 ,77.407 ,239.918 ,37.24048128272988,54.02687651020959,6.738265643273925,728,705,6.924431E-3 ,1.478289E-3 ,39.036,22,43.359,2.170,150.226E-6 ,0.868,1.000,2.604,13.109,1.187 ,5.888,8.156,11.384,17.665,0.831392,0.247579,8.304 ,8.746979166666666
103.284 ,66.180 ,78.063 ,499.946 ,40.15955771618911,55.84518401568705,8.99782301660088,291,274,9.947567E-3 ,2.872125E-3 ,35.477,10,42.066,2.060,204.952E-6 ,0.980,1.213,2.940,16.762,1.429 ,7.566,9.254,11.490,22.699,0.762228,0.377568,6.185 ,4.858979166666667
131.157 ,54.452 ,76.264 ,537.306 ,37.01626145793052,55.905088397195,5.079442056479357,491,467,7.635592E-3 ,2.326179E-3 ,41.973,20,44.936,2.380,181.734E-6 ,1.070,1.216,3.209,16.735,1.436 ,7.950,10.413,14.223,23.851,0.761957,0.381847,6.122 ,6.826979166666667
128.479 ,28.652 ,90.261 ,595.530 ,36.850729816536045,52.734329346974924,4.365996620984871,2437,2360,7.802666E-3 ,1.152817E-3 ,31.400,67,31.256,2.031,158.499E-6 ,0.906,1.121,2.718,13.478,1.199 ,6.054,8.627,12.691,18.161,0.827455,0.251442,8.278 ,29.170979166666665
152.473 ,128.847 ,84.428 ,487.509 ,38.209187082157726,56.58066563500742,8.301820764237624,84,74,6.840362E-3 ,4.157430E-3 ,58.427,7,37.638,3.317,226.929E-6 ,1.495,1.466,4.484,19.375,1.942 ,8.065,7.197,4.852,24.194,0.685514,0.504696,3.847 ,1.8109791666666666
161.782 ,103.602 ,86.917 ,590.539 ,37.49979682146371,54.10353875257403,14.874013641064149,328,310,6.357997E-3 ,2.473334E-3 ,36.592,13,43.257,3.461,220.064E-6 ,1.489,1.711,4.466,14.901,1.262 ,7.131,10.203,17.207,21.392,0.785671,0.317084,6.512 ,3.6109791666666666
128.891 ,20.765 ,79.905 ,209.633 ,42.56205598946234,56.86185769536156,20.5420895669576,742,717,7.764800E-3 ,1.161614E-3 ,15.282,21,23.489,1.925,149.440E-6 ,0.854,1.075,2.561,16.852,1.447 ,7.624,10.807,13.778,22.872,0.815609,0.270606,7.800 ,7.4989791666666665
129.943 ,65.161 ,77.073 ,588.894 ,42.46083106332718,57.41606061045537,15.942026384314369,593,572,7.746158E-3 ,2.037732E-3 ,20.168,16,24.345,2.255,174.713E-6 ,1.056,1.230,3.167,15.110,1.351 ,7.167,9.804,14.898,21.501,0.808840,0.282666,7.495 ,5.986979166666667
129.924 ,35.272 ,101.993 ,346.596 ,38.657251700760504,52.12641941476853,20.446686764294107,179,171,7.767847E-3 ,1.442877E-3 ,24.312,7,36.570,2.941,228.471E-6 ,1.296,1.591,3.888,18.265,1.596 ,9.232,10.604,11.159,27.697,0.799129,0.301017,7.148 ,2.2189791666666667
132.041 ,56.398 ,77.031 ,581.564 ,38.9305306071247,53.081294528022426,13.222984621893106,1013,969,7.678994E-3 ,1.723525E-3 ,30.051,32,32.172,2.544,195.354E-6 ,1.118,1.257,3.355,15.162,1.369 ,6.837,9.988,13.452,20.511,0.796495,0.304255,7.017 ,11.818979166666667
123.066 ,6.812 ,101.827 ,150.723 ,40.11964864134777,50.00238534296686,14.328384264028804,183,176,8.151174E-3 ,0.498946E-3 ,15.730,6,13.969,2.094,170.687E-6 ,1.099,1.376,3.297,15.031,1.399 ,6.522,10.229,18.492,19.566,0.820492,0.262397,8.264 ,1.8109791666666666
138.385 ,71.461 ,75.042 ,594.372 ,37.896607063187645,51.15316568988875,9.589783242746924,595,566,7.314722E-3 ,2.181353E-3 ,28.657,20,36.879,2.398,175.437E-6 ,1.150,1.271,3.449,15.149,1.310 ,7.150,8.938,12.240,21.451,0.801559,0.297903,7.410 ,6.730979166666667
134.373 ,43.811 ,83.715 ,456.673 ,35.74890075575283,57.062377820819236,10.502081685242025,439,417,7.496843E-3 ,1.397896E-3 ,42.857,18,45.272,2.085,156.294E-6 ,0.939,1.101,2.818,15.643,1.362 ,6.631,9.088,13.329,19.892,0.814986,0.267732,7.677 ,6.058979166666667
129.547 ,34.994 ,85.379 ,412.413 ,38.61803418779767,48.87600025662617,17.357113771533363,291,280,7.798372E-3 ,1.267394E-3 ,21.173,7,27.151,2.172,169.389E-6 ,0.900,1.071,2.701,12.579,1.173 ,5.362,7.804,11.761,16.087,0.816480,0.268570,7.777 ,3.1069791666666666
133.497 ,16.447 ,78.353 ,230.234 ,41.749817114583294,47.751485332124844,22.53758823672852,191,186,7.459328E-3 ,0.770218E-3 ,7.595,3,9.717,1.767,131.804E-6 ,0.839,1.144,2.516,10.925,1.048 ,4.940,6.751,10.273,14.820,0.857937,0.193124,9.520 ,1.6189791666666666
155.401 ,94.306 ,109.378 ,594.255 ,37.961110783065756,55.16078733953716,13.194014135251035,331,320,6.564301E-3 ,2.209642E-3 ,26.452,5,28.352,1.787,117.323E-6 ,0.862,1.146,2.586,14.386,1.242 ,6.947,9.106,11.797,20.840,0.847981,0.206459,8.738 ,3.1309791666666666
133.597 ,52.623 ,108.500 ,568.759 ,36.90692684908945,47.08445691771387,14.493314966837756,483,469,7.476369E-3 ,1.664014E-3 ,15.743,12,14.352,2.223,166.214E-6 ,1.099,1.219,3.297,14.437,1.327 ,6.313,9.405,13.807,18.939,0.822610,0.267452,8.159 ,4.546979166666667
131.795 ,44.211 ,88.409 ,552.504 ,36.607722670159895,53.24351066268184,8.986776100965281,834,806,7.578231E-3 ,1.401869E-3 ,28.665,25,31.889,1.993,151.006E-6 ,0.908,1.042,2.723,13.158,1.198 ,5.739,8.225,12.681,17.216,0.845777,0.216641,9.022 ,9.178979166666666
132.913 ,40.134 ,89.620 ,454.719 ,35.28191056191416,54.85957592025551,11.589275352483376,601,580,7.564686E-3 ,1.360484E-3 ,33.095,18,31.693,1.927,145.779E-6 ,0.910,0.978,2.729,12.434,1.080 ,5.429,7.368,10.714,16.287,0.846213,0.210422,8.841 ,7.018979166666667
126.452 ,8.150 ,99.594 ,170.489 ,36.410866990490646,46.63802812307627,11.296625127058796,335,328,7.918289E-3 ,0.527840E-3 ,16.618,6,23.353,1.868,147.908E-6 ,0.883,1.058,2.649,11.778,1.090 ,5.466,6.962,8.976,16.399,0.851811,0.212011,9.961 ,3.4669791666666665
132.740 ,45.727 ,81.470 ,528.789 ,34.345902257617226,48.61497587304429,10.946589331597128,720,685,7.614175E-3 ,1.638313E-3 ,23.368,25,30.576,2.547,193.955E-6 ,1.279,1.511,3.837,15.634,1.371 ,7.130,11.061,16.113,21.389,0.791132,0.318603,7.007 ,7.690979166666667
144.369 ,53.822 ,78.564 ,393.511 ,31.418345048059418,46.44945321467135,6.671849874267311,1030,982,7.081520E-3 ,1.747989E-3 ,33.218,30,38.730,2.903,205.568E-6 ,1.417,1.633,4.251,14.015,1.248 ,6.522,9.628,14.956,19.565,0.791754,0.324728,7.165 ,11.626979166666667
131.555 ,20.280 ,103.982 ,203.562 ,31.314361630824465,45.48572136070784,8.628514507703136,628,605,7.607567E-3 ,1.136853E-3 ,33.506,21,36.468,2.452,186.542E-6 ,1.131,1.238,3.394,14.027,1.271 ,6.280,9.920,13.800,18.840,0.804742,0.293879,7.452 ,7.738979166666667
145.809 ,58.786 ,108.614 ,580.835 ,35.19020272666397,50.883715299768056,13.984902138427099,437,423,6.950062E-3 ,1.517069E-3 ,21.951,10,21.132,2.216,154.042E-6 ,1.002,1.175,3.007,15.330,1.382 ,6.468,8.991,13.335,19.403,0.802721,0.308751,7.418 ,4.138979166666667
134.371 ,44.711 ,86.795 ,511.646 ,31.80723065571643,46.43278462387403,-3.5889897584364916,853,812,7.505168E-3 ,1.474241E-3 ,31.800,30,35.965,2.402,180.308E-6 ,1.128,1.275,3.385,14.096,1.244 ,6.521,9.470,11.681,19.563,0.805802,0.287623,7.706 ,10.258979166666666
