Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
118.972 ,94.782 ,78.701 ,590.529 ,63.011140240637054,72.94466474095627,25.157919797296362,114,106,8.775682E-3 ,3.106491E-3 ,19.672,2,4.515,1.793,157.365E-6 ,0.727,0.815,2.181,15.131,1.371 ,6.017,8.994,14.710,18.052,0.908370,0.119126,12.649 ,1.2589791666666668
120.860 ,58.120 ,72.671 ,473.393 ,50.08322656176404,73.72436969683932,15.217186021349276,117,110,8.234269E-3 ,2.326788E-3 ,48.020,5,52.590,2.274,187.212E-6 ,0.884,0.733,2.652,11.647,1.131 ,4.629,5.928,9.123,13.886,0.891230,0.152756,11.991 ,2.0509791666666666
99.077 ,17.764 ,77.446 ,192.303 ,58.11565662970486,77.73118962483863,7.992914897057606,274,263,10.133338E-3 ,1.427265E-3 ,35.080,10,27.488,2.199,222.815E-6 ,0.911,1.036,2.734,10.811,1.011 ,4.492,6.040,9.582,13.476,0.886916,0.152119,11.587 ,4.4269791666666665
137.011 ,73.940 ,76.967 ,607.139 ,58.516349317507576,80.98499723932153,17.068144431650417,3631,3467,7.448181E-3 ,2.234787E-3 ,28.898,111,33.692,2.310,172.035E-6 ,1.067,1.292,3.200,13.227,1.212 ,5.617,8.342,13.655,16.852,0.834097,0.244209,8.799 ,39.41897916666667
137.985 ,91.524 ,93.016 ,596.955 ,51.98912431239978,79.21956922351588,-4.126201021013733,528,505,7.366023E-3 ,2.715900E-3 ,47.268,19,31.441,2.592,190.897E-6 ,1.163,1.577,3.488,13.494,1.199 ,6.212,8.154,10.948,18.637,0.822100,0.257253,8.560 ,7.906979166666667
121.832 ,6.544 ,109.566 ,136.414 ,34.425166206696005,77.37299869366355,20.727041410317707,21,19,8.312759E-3 ,0.801848E-3 ,84.348,1,4.139,3.800,315.875E-6 ,0.966,0.626,2.898,13.314,1.192 ,6.057,8.059,24.939,18.170,0.716234,0.445867,4.375 ,1.1869791666666667
142.604 ,19.389 ,118.639 ,179.109 ,72.32281048395251,81.15896026399514,55.15983204952165,47,45,7.051956E-3 ,0.931197E-3 ,7.895,0,0,3.398,239.660E-6 ,1.894,1.792,5.681,17.256,1.596 ,7.227,11.260,20.254,21.680,0.804190,0.265349,6.663 ,0.4189791666666667
141.314 ,67.938 ,83.578 ,565.987 ,57.19968855168215,80.54610731691412,25.326086600240174,543,520,7.178795E-3 ,2.203729E-3 ,38.976,14,21.759,2.926,210.053E-6 ,1.383,1.675,4.148,14.233,1.303 ,6.690,9.129,13.634,20.071,0.812363,0.290870,8.012 ,7.066979166666667
115.437 ,14.610 ,92.708 ,140.163 ,66.99451822938086,83.04903651440495,32.20550523515367,53,50,8.575169E-3 ,1.198686E-3 ,30.000,2,35.325,2.847,244.173E-6 ,0.809,0.997,2.428,15.692,1.295 ,5.695,7.739,13.356,17.084,0.874670,0.162220,9.862 ,0.7309791666666666
126.161 ,27.882 ,79.832 ,167.659 ,40.13790889478582,71.3814436676641,12.11329326564724,161,152,7.945230E-3 ,1.879282E-3 ,66.988,8,68.853,2.754,218.788E-6 ,1.260,1.603,3.780,12.668,1.178 ,4.110,6.674,3.941,12.331,0.771498,0.351923,6.364 ,4.186979166666666
161.145 ,4.958 ,152.350 ,168.186 ,47.85812838221068,65.18592258979632,26.328564282770902,25,24,6.211464E-3 ,0.245785E-3 ,45.161,0,0,1.688,104.846E-6 ,0.697,0.922,2.090,11.247,1.039 ,4.105,7.260,--undefined--,12.314,0.827058,0.234455,7.782 ,0.34697916666666667
130.363 ,34.674 ,78.370 ,592.317 ,56.05011016792559,80.74871649388024,6.170618448412279,672,645,7.737440E-3 ,1.194798E-3 ,41.349,24,39.992,1.884,145.765E-6 ,0.842,1.052,2.527,11.451,1.052 ,4.273,7.010,11.901,12.819,0.829430,0.257790,8.883 ,9.226979166666666
171.803 ,153.257 ,84.016 ,586.747 ,63.55367839537569,79.79534156401952,25.90630760415692,68,63,6.342062E-3 ,3.495187E-3 ,30.645,2,7.302,4.834,306.589E-6 ,2.092,2.606,6.275,26.869,1.978 ,15.457,18.379,--undefined--,46.371,0.653931,0.594228,3.299 ,0.6589791666666667
120.361 ,8.174 ,111.099 ,152.928 ,43.01499493401959,76.61969266509594,27.77661044212596,33,32,8.453257E-3 ,0.749198E-3 ,83.684,0,0,5.876,496.714E-6 ,3.603,4.240,10.808,17.975,1.934 ,6.100,11.576,13.078,18.300,0.673745,0.620547,3.802 ,1.9309791666666667
