Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
203.449 ,153.414 ,124.224 ,550.366 ,49.16662979031553,68.75712754903985,-1.9030104214423953,121,114,4.971450E-3 ,2.945939E-3 ,35.849,1,24.975,2.486,123.571E-6 ,1.287,1.012,3.861,15.209,1.416 ,7.513,10.317,14.966,22.539,0.763744,0.377789,6.285 ,1.0926984126984127
160.862 ,79.824 ,90.147 ,561.524 ,55.63940622123566,70.2120753704895,19.217378951875776,676,647,6.326379E-3 ,2.192293E-3 ,14.821,18,20.484,2.858,180.831E-6 ,1.534,1.778,4.603,19.118,1.601 ,8.711,12.335,15.241,26.133,0.762266,0.365074,5.930 ,5.638004535147393
137.717 ,54.332 ,76.975 ,474.820 ,51.32650507469158,71.62348306244229,13.26690635045524,265,252,7.359839E-3 ,2.046850E-3 ,32.424,11,19.659,2.560,188.420E-6 ,1.550,1.828,4.651,17.875,1.610 ,8.415,11.032,27.484,25.246,0.742491,0.405897,5.217 ,3.3392290249433105
147.355 ,93.407 ,75.015 ,582.792 ,53.0502401382653,79.74760876181281,10.706961581181071,1633,1551,6.908033E-3 ,2.623395E-3 ,36.124,56,39.407,1.900,131.274E-6 ,1.006,1.154,3.019,17.186,1.536 ,7.945,11.232,15.363,23.836,0.776325,0.332957,6.373 ,19.744126984126986
159.989 ,94.595 ,69.078 ,583.640 ,54.74141072324662,75.74077553347253,28.013826439287275,564,533,6.354611E-3 ,2.524742E-3 ,26.239,17,24.162,2.685,170.650E-6 ,1.449,1.472,4.348,17.975,1.600 ,8.225,12.099,18.949,24.675,0.768388,0.349152,5.904 ,5.4812698412698415
143.026 ,78.476 ,76.354 ,573.653 ,54.72756966154961,76.29538357312936,6.001645627833431,803,754,7.035261E-3 ,2.539224E-3 ,32.438,38,40.689,3.468,243.978E-6 ,2.006,2.168,6.019,19.105,1.645 ,8.681,11.747,13.573,26.042,0.727018,0.428705,4.779 ,9.71310657596372
133.324 ,52.421 ,70.655 ,533.775 ,53.046686912915234,75.96233070651701,12.392155157095264,1209,1140,7.570094E-3 ,1.882240E-3 ,36.981,52,40.055,2.231,168.925E-6 ,1.225,1.340,3.675,17.499,1.544 ,7.747,10.527,16.622,23.240,0.747210,0.391028,5.307 ,16.661678004535148
154.455 ,90.837 ,71.823 ,555.909 ,52.38775776689184,73.70447478193674,11.669667034141778,1111,1049,6.483871E-3 ,2.618805E-3 ,33.787,48,39.173,2.981,193.296E-6 ,1.624,1.923,4.873,19.140,1.650 ,9.041,11.947,21.335,27.123,0.715627,0.460362,4.569 ,13.265759637188209
142.711 ,67.631 ,78.273 ,564.405 ,50.353206587525385,71.89872185355375,2.473263585746929,1484,1407,7.074049E-3 ,2.140398E-3 ,33.460,60,37.109,2.684,189.863E-6 ,1.482,1.636,4.446,18.586,1.603 ,8.781,12.140,19.106,26.342,0.729753,0.424665,4.839 ,18.385759637188208
160.384 ,67.149 ,78.624 ,479.208 ,52.952747614637104,66.79444670136193,2.4897333285440744,466,445,6.207939E-3 ,1.978241E-3 ,24.828,15,25.977,2.306,143.135E-6 ,1.223,1.374,3.668,18.329,1.612 ,8.859,11.992,18.646,26.578,0.740446,0.409547,5.257 ,4.3841269841269845
