Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
233.829 ,54.403 ,97.221 ,406.149 ,44.87071000374282,67.32730474900315,19.651845094641097,239,230,4.267337E-3 ,0.793296E-3 ,46.117,3,11.591,2.037,86.942E-6 ,0.858,0.984,2.573,15.896,1.583 ,6.168,10.181,22.916,18.505,0.827227,0.268883,8.586 ,2.0989791666666666
206.331 ,36.698 ,140.476 ,344.186 ,50.989735018273585,68.45951914412682,20.587764502855713,926,910,4.870479E-3 ,0.856020E-3 ,24.086,10,14.072,2.457,119.674E-6 ,1.304,1.499,3.912,15.723,1.457 ,6.211,10.806,21.976,18.634,0.835218,0.242945,8.687 ,6.058979166666667
207.297 ,38.725 ,85.809 ,323.493 ,49.95338695498602,68.50270760875071,19.826745858825085,1293,1269,4.835477E-3 ,0.914966E-3 ,29.162,18,24.992,2.069,100.066E-6 ,1.036,1.237,3.109,15.342,1.408 ,6.319,10.213,17.923,18.956,0.838468,0.231557,8.502 ,9.226979166666666
202.553 ,39.532 ,72.823 ,535.717 ,49.01773979829282,66.98878334152874,18.969533570606444,1181,1155,4.944625E-3 ,0.931523E-3 ,29.863,19,23.602,1.978,97.805E-6 ,0.990,1.154,2.970,15.221,1.435 ,6.015,9.307,18.494,18.044,0.832777,0.245885,8.414 ,8.770979166666667
205.803 ,36.368 ,148.921 ,331.642 ,47.643812636121304,67.50104131600554,20.013737345456306,526,512,4.878882E-3 ,0.808336E-3 ,32.258,8,20.512,1.966,95.910E-6 ,1.036,1.105,3.108,13.757,1.282 ,5.692,9.247,19.405,17.077,0.840681,0.235274,8.707 ,4.066979166666667
207.815 ,56.410 ,90.065 ,576.382 ,48.027683047590145,65.61606932633124,20.056493660687305,828,809,4.814521E-3 ,1.068834E-3 ,27.787,10,14.817,1.968,94.762E-6 ,1.021,1.237,3.062,14.879,1.383 ,5.616,9.019,16.905,16.849,0.840523,0.227955,8.755 ,5.866979166666667
195.359 ,36.837 ,79.152 ,322.817 ,48.36398501627285,65.34392839150752,15.867286313202628,1372,1345,5.130780E-3 ,1.010812E-3 ,26.640,18,29.054,2.146,110.116E-6 ,1.107,1.298,3.321,14.720,1.339 ,6.068,9.584,14.875,18.203,0.837707,0.243456,8.757 ,9.946979166666667
203.569 ,40.272 ,146.937 ,519.478 ,47.62948148025353,66.52931898149957,18.862999135287243,1807,1765,4.933108E-3 ,0.871543E-3 ,26.125,30,21.361,2.279,112.406E-6 ,1.185,1.432,3.554,15.764,1.471 ,6.441,10.776,20.127,19.324,0.825431,0.252282,8.127 ,12.706979166666667
207.632 ,39.939 ,72.851 ,396.732 ,47.92460846286145,64.71882953450626,17.179076795067697,1133,1106,4.824066E-3 ,0.963454E-3 ,26.835,18,22.197,2.460,118.672E-6 ,1.215,1.382,3.644,13.936,1.352 ,5.903,9.136,17.392,17.709,0.820756,0.274320,8.050 ,7.930979166666667
205.564 ,65.875 ,85.011 ,580.199 ,44.67184793782383,64.05683414316947,17.749745035018137,1182,1144,4.888591E-3 ,1.237859E-3 ,31.906,25,31.361,2.397,117.175E-6 ,1.183,1.270,3.549,15.217,1.378 ,6.102,10.103,17.811,18.307,0.804716,0.289079,7.320 ,9.370979166666666
