Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
148.732 ,104.580 ,96.695 ,553.954 ,42.77578274343185,62.7420259038394,21.536261804657613,375,362,6.744360E-3 ,2.973780E-3 ,35.577,10,18.068,2.506,169.041E-6 ,1.450,1.697,4.350,16.647,1.565 ,7.969,10.789,17.791,23.908,0.799462,0.297401,7.194 ,4.191541950113379
136.876 ,98.978 ,75.428 ,592.897 ,39.2624625499776,62.47378121418586,21.310009643051053,883,836,7.442372E-3 ,3.011467E-3 ,43.937,35,42.357,2.475,184.227E-6 ,1.296,1.589,3.889,17.613,1.575 ,7.821,12.287,23.712,23.463,0.782085,0.329934,6.524 ,12.733582766439909
150.595 ,117.671 ,79.297 ,598.789 ,37.73263095245839,63.42396819563585,21.65789659688716,840,791,6.847889E-3 ,3.186550E-3 ,46.935,32,53.470,2.551,174.683E-6 ,1.320,1.441,3.961,16.095,1.473 ,6.910,9.823,20.236,20.731,0.798170,0.295473,7.012 ,11.949909297052153
134.477 ,92.694 ,78.165 ,598.139 ,38.496692646849496,61.77185796494996,20.810048474053705,753,721,7.500656E-3 ,2.758507E-3 ,33.333,25,41.162,2.474,185.532E-6 ,1.216,1.351,3.649,18.175,1.591 ,8.053,11.073,21.361,24.158,0.795293,0.304316,6.898 ,9.33766439909297
120.229 ,60.689 ,82.716 ,591.709 ,36.758504534208534,61.42776091979985,19.98582896558929,290,277,8.371651E-3 ,2.280754E-3 ,48.431,11,25.697,2.948,246.797E-6 ,1.616,1.807,4.847,20.650,1.671 ,9.271,12.888,30.836,27.812,0.755722,0.385315,5.800 ,5.131950113378685
128.727 ,63.868 ,87.441 ,535.710 ,37.05477373850524,61.62090797043146,19.82485561764694,282,269,7.805329E-3 ,2.267805E-3 ,47.204,8,30.380,2.527,197.247E-6 ,1.333,1.703,3.999,17.892,1.565 ,7.829,13.047,20.865,23.488,0.796871,0.292308,6.855 ,4.50501133786848
191.408 ,162.513 ,77.884 ,590.757 ,36.33137920149161,60.838043441784144,19.42287534192835,1422,1348,5.328063E-3 ,3.484160E-3 ,44.297,48,43.213,3.194,170.183E-6 ,1.558,1.768,4.675,18.389,1.605 ,8.959,11.490,19.147,26.878,0.783895,0.324445,6.512 ,15.110725623582766
174.338 ,139.668 ,90.011 ,635.407 ,37.1149510617728,60.392104548797604,19.63645538562622,809,771,5.854933E-3 ,3.247368E-3 ,46.490,29,48.793,2.936,171.880E-6 ,1.547,1.784,4.642,17.289,1.575 ,7.668,11.261,17.751,23.003,0.797026,0.304622,7.243 ,9.860113378684808
158.141 ,115.564 ,75.301 ,624.318 ,33.90904720612072,59.79689974094014,18.190974681028862,1611,1526,6.419816E-3 ,3.056828E-3 ,49.890,56,48.301,2.694,172.946E-6 ,1.397,1.621,4.192,18.650,1.570 ,8.747,12.291,21.218,26.241,0.795215,0.304781,7.046 ,22.869092970521542
147.845 ,104.049 ,76.542 ,633.481 ,36.3346140746006,60.79446155953029,17.94383921379329,1326,1265,6.864522E-3 ,2.819099E-3 ,43.844,47,50.957,1.959,134.502E-6 ,1.006,1.249,3.018,15.931,1.442 ,6.696,10.073,17.745,20.088,0.815438,0.263861,7.671 ,17.984195011337867
