Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
179.930 ,66.878 ,91.836 ,574.082 ,36.89257159315193,68.93985625700445,14.935481442123226,1539,1480,5.598392E-3 ,1.878256E-3 ,60.723,50,63.811,1.776,99.453E-6 ,0.754,0.832,2.263,11.939,1.075 ,5.023,6.845,9.918,15.070,0.834082,0.241747,8.616 ,23.53097916666667
150.134 ,57.934 ,79.853 ,535.489 ,43.451756594531865,64.37428595414394,17.45263805611524,623,603,6.727963E-3 ,1.744942E-3 ,44.790,15,49.296,1.634,109.947E-6 ,0.654,0.765,1.963,12.046,1.193 ,5.340,7.912,13.519,16.019,0.817132,0.264023,7.769 ,8.386979166666666
139.049 ,58.829 ,102.362 ,594.512 ,43.375547851230614,70.20773355287177,16.487335607603647,832,798,7.227466E-3 ,1.864279E-3 ,53.558,29,53.540,1.747,126.300E-6 ,0.765,0.865,2.295,13.776,1.195 ,5.958,8.745,14.948,17.874,0.815575,0.270307,7.966 ,13.666979166666666
155.361 ,127.719 ,99.508 ,585.577 ,47.36956879435546,66.2660305322933,28.64768209262831,392,369,6.552035E-3 ,3.244824E-3 ,37.234,16,45.970,1.689,110.661E-6 ,0.724,0.927,2.172,15.077,1.380 ,7.215,10.636,14.503,21.645,0.767787,0.356150,6.186 ,4.738979166666667
147.450 ,94.262 ,104.284 ,567.570 ,53.42902985722015,67.97166768650906,28.696311739007623,477,457,6.873426E-3 ,2.512808E-3 ,26.899,15,32.964,1.590,109.269E-6 ,0.702,0.854,2.106,14.420,1.262 ,6.992,8.465,10.571,20.975,0.780152,0.330415,6.538 ,4.906979166666667
151.552 ,105.389 ,96.202 ,580.513 ,37.39219363732902,64.34310278091566,13.223380863457333,205,190,6.641456E-3 ,2.721143E-3 ,62.863,10,34.206,1.382,91.789E-6 ,0.649,0.729,1.947,14.127,1.308 ,6.695,8.889,10.139,20.084,0.776974,0.332934,6.401 ,4.858979166666667
154.713 ,88.873 ,82.423 ,589.905 ,47.38545194966364,68.87458391598847,17.219594082484274,1775,1696,6.548402E-3 ,2.292259E-3 ,41.898,56,49.549,1.902,124.554E-6 ,0.864,0.941,2.593,13.946,1.271 ,5.819,8.415,14.006,17.458,0.799272,0.300517,7.273 ,22.378979166666667
171.866 ,113.094 ,69.096 ,634.087 ,46.43281307559527,70.56607133296554,18.940647654494487,1006,949,5.955637E-3 ,2.738115E-3 ,47.695,32,53.403,2.286,136.136E-6 ,1.088,1.253,3.263,15.606,1.317 ,6.746,8.593,14.083,20.237,0.785515,0.325449,6.832 ,12.610979166666667
135.912 ,81.762 ,94.997 ,604.221 ,46.737455106693346,66.86826693534934,23.57569508079369,227,216,7.561611E-3 ,2.225084E-3 ,47.041,7,34.101,2.490,188.277E-6 ,1.373,1.576,4.120,16.126,1.346 ,7.479,9.433,13.994,22.438,0.778906,0.354009,6.639 ,3.4189791666666665
152.496 ,80.474 ,97.111 ,597.347 ,47.69635947639408,72.70550893381784,14.620112106921004,679,642,6.599660E-3 ,2.170469E-3 ,52.103,30,54.725,1.613,106.447E-6 ,0.661,0.741,1.984,15.002,1.284 ,6.974,9.803,13.391,20.923,0.787707,0.328063,7.019 ,10.498979166666667
123.171 ,11.756 ,76.297 ,151.086 ,45.89952762128359,62.74533278844214,19.341919044000463,208,198,8.073426E-3 ,0.710906E-3 ,35.593,8,43.383,1.472,118.831E-6 ,0.548,0.595,1.645,12.674,1.139 ,6.226,8.608,13.500,18.679,0.800128,0.288260,6.855 ,2.9869791666666665
151.519 ,107.871 ,75.890 ,592.535 ,43.4447709478134,72.30493637356699,19.402523631970162,416,389,6.739538E-3 ,2.931895E-3 ,58.847,15,61.111,1.975,133.088E-6 ,0.781,0.868,2.342,16.412,1.414 ,7.564,10.273,15.264,22.693,0.769211,0.348522,6.199 ,7.4989791666666665
155.825 ,92.892 ,77.005 ,595.990 ,45.378559363205994,68.24596506045285,16.241252583978895,1029,976,6.588198E-3 ,2.285137E-3 ,44.511,38,45.347,1.972,129.913E-6 ,0.899,1.016,2.696,13.855,1.268 ,5.838,7.969,13.069,17.513,0.806978,0.293718,7.674 ,13.330979166666667
134.202 ,35.708 ,78.281 ,479.475 ,43.53866055017751,67.57209670190835,14.474532730036401,1078,1015,7.474686E-3 ,1.379608E-3 ,51.756,54,53.633,1.636,122.275E-6 ,0.631,0.645,1.893,13.928,1.176 ,6.300,8.973,13.616,18.901,0.782426,0.331052,6.534 ,18.250979166666667
173.463 ,118.497 ,101.494 ,601.929 ,46.16466197191402,65.56601489317728,18.027490323539347,667,631,5.988340E-3 ,2.549260E-3 ,33.591,19,27.596,2.705,162.001E-6 ,1.231,1.456,3.694,15.646,1.379 ,7.300,11.322,17.620,21.899,0.775265,0.343266,6.420 ,6.4909791666666665
141.799 ,80.009 ,85.937 ,558.419 ,38.37937214123441,64.05176313802623,-6.928996645836941,542,513,7.124268E-3 ,2.446435E-3 ,56.317,20,28.643,2.466,175.682E-6 ,1.085,1.263,3.255,14.583,1.324 ,6.328,8.929,16.277,18.984,0.749019,0.405439,5.667 ,9.370979166666666
232.157 ,139.079 ,78.507 ,570.539 ,49.15378120153577,64.48856426507167,22.87215308058726,477,457,4.401334E-3 ,2.281770E-3 ,34.807,10,42.295,2.774,122.094E-6 ,1.229,1.431,3.688,16.623,1.474 ,7.551,11.808,17.646,22.653,0.773307,0.361168,6.795 ,3.6589791666666667
