Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
140.988 ,28.108 ,106.669 ,197.207 ,41.62628232985602,67.64046602353642,17.352676341234094,48,45,7.063350E-3 ,1.396426E-3 ,63.736,2,53.794,1.537,108.595E-6 ,0.486,0.713,1.457,14.068,1.368 ,4.386,4.917,10.275,13.159,0.820414,0.247248,7.464 ,0.9469791666666667
119.817 ,48.145 ,73.703 ,489.632 ,45.57799115307836,68.71031310334861,13.596101270368639,684,644,8.374363E-3 ,2.334483E-3 ,52.053,36,52.297,2.658,222.596E-6 ,1.022,1.291,3.065,12.968,1.146 ,5.496,8.223,15.013,16.488,0.784193,0.331405,6.912 ,12.946979166666667
115.683 ,58.773 ,76.488 ,461.416 ,50.31540704332995,70.7153919038299,23.948119329081095,337,308,8.936554E-3 ,2.277327E-3 ,43.594,20,49.149,2.593,231.687E-6 ,1.086,1.204,3.257,13.150,1.227 ,5.431,7.970,13.282,16.293,0.802178,0.293958,7.667 ,5.650979166666667
111.207 ,24.795 ,86.401 ,192.865 ,51.28087787975138,68.76742492524387,27.08141456509925,85,76,9.091402E-3 ,1.847654E-3 ,33.858,4,39.535,3.423,311.239E-6 ,1.079,1.398,3.236,14.369,1.268 ,6.324,9.317,11.806,18.971,0.734339,0.422218,5.175 ,1.3069791666666666
109.730 ,32.591 ,79.609 ,312.979 ,48.8927740404684,68.15575996771199,25.325025243969343,483,453,9.147029E-3 ,2.004585E-3 ,45.244,25,51.170,2.774,253.772E-6 ,1.157,1.445,3.472,13.509,1.208 ,6.278,8.381,13.636,18.835,0.793646,0.311202,7.193 ,8.650979166666668
115.342 ,53.175 ,76.136 ,378.451 ,46.92894911346105,65.23890198736902,23.234536745597552,525,492,8.914889E-3 ,2.526362E-3 ,46.341,22,37.780,2.745,244.735E-6 ,1.140,1.493,3.421,12.234,1.101 ,5.404,7.817,13.782,16.213,0.808138,0.298348,7.908 ,9.058979166666667
178.276 ,137.893 ,79.858 ,596.061 ,44.21608658099836,70.12900861062172,23.356696140263598,159,146,5.898812E-3 ,2.847351E-3 ,52.466,2,18.041,2.528,149.122E-6 ,1.164,1.340,3.491,13.991,1.291 ,5.524,8.792,16.918,16.573,0.835350,0.245483,8.893 ,2.2669791666666668
129.060 ,23.207 ,104.802 ,172.874 ,49.60595454738243,66.91995783762951,24.607554660615712,54,50,7.744144E-3 ,1.356357E-3 ,45.570,3,41.296,1.634,126.508E-6 ,0.577,0.761,1.732,14.571,1.495 ,5.931,7.826,16.838,17.792,0.827277,0.242689,7.768 ,0.8269791666666667
128.268 ,97.927 ,75.200 ,564.954 ,46.74586361222579,65.37693767125586,20.248269581388193,470,445,7.997379E-3 ,3.549090E-3 ,44.005,19,39.124,2.997,239.645E-6 ,1.294,1.549,3.881,15.112,1.362 ,6.108,8.536,16.981,18.325,0.773598,0.350834,6.658 ,7.378979166666666
112.052 ,35.858 ,77.167 ,315.365 ,44.88696056621522,66.0350297936032,20.825633245850135,266,251,9.033851E-3 ,2.252179E-3 ,52.336,12,36.085,3.013,272.229E-6 ,1.298,1.565,3.895,12.997,1.133 ,5.562,8.317,13.740,16.686,0.793548,0.314455,7.050 ,5.386979166666666
115.855 ,23.309 ,79.810 ,208.212 ,50.813394864956194,66.17896411556067,23.104510886380325,272,260,8.646817E-3 ,1.656504E-3 ,26.000,10,31.140,2.148,185.747E-6 ,0.870,1.149,2.609,12.711,1.152 ,5.426,7.578,13.273,16.279,0.839069,0.250682,9.146 ,3.5389791666666666
91.267 ,8.298 ,76.271 ,102.115 ,40.52043032061864,62.27387220211243,21.226034456934322,88,84,10.908726E-3 ,1.027722E-3 ,54.622,2,7.558,1.482,161.689E-6 ,0.647,0.879,1.940,11.849,1.083 ,4.746,7.544,8.239,14.237,0.836260,0.258410,9.600 ,2.4109791666666665
147.300 ,61.698 ,84.180 ,344.994 ,41.289247549977176,62.15453499067931,20.318685318186766,169,158,7.030831E-3 ,2.224393E-3 ,53.103,6,22.590,2.811,197.638E-6 ,1.306,1.823,3.917,13.320,1.263 ,6.757,8.926,10.989,20.272,0.818123,0.274638,8.173 ,2.9389791666666665
141.974 ,32.729 ,95.033 ,201.007 ,48.669228368746474,65.59609451199461,30.659046623496078,124,117,7.012495E-3 ,1.643446E-3 ,33.582,6,36.219,3.900,273.462E-6 ,1.914,2.107,5.742,12.392,1.120 ,5.840,8.773,14.369,17.520,0.747997,0.433652,6.153 ,1.3789791666666666
