Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
195.670 ,68.508 ,84.757 ,585.355 ,42.6723846624922,69.11363053379743,15.327276507642111,268,259,5.176685E-3 ,1.367113E-3 ,47.445,7,32.281,1.612,83.466E-6 ,0.607,0.674,1.820,13.759,1.148 ,6.017,9.034,15.918,18.050,0.850916,0.208608,9.666 ,2.7709791666666668
204.643 ,85.150 ,151.546 ,517.523 ,50.20826129012199,66.8199746071603,21.424820453931144,254,240,5.017825E-3 ,1.414031E-3 ,28.866,8,29.314,2.165,108.658E-6 ,0.918,1.011,2.754,16.583,1.520 ,6.793,11.192,16.321,20.378,0.782271,0.315461,6.381 ,1.9789791666666667
191.936 ,29.026 ,148.156 ,252.010 ,44.15622378376909,68.89939954470199,15.629597697233951,311,303,5.211433E-3 ,0.794239E-3 ,45.806,7,42.911,1.346,70.169E-6 ,0.662,0.734,1.985,12.240,1.106 ,4.916,6.910,11.493,14.747,0.891556,0.139711,10.994 ,3.1309791666666666
210.135 ,56.009 ,144.456 ,422.657 ,41.92967342966069,73.04472285712937,15.29510218787486,168,163,4.757796E-3 ,1.060190E-3 ,58.794,4,12.671,1.300,61.866E-6 ,0.525,0.609,1.575,11.704,1.166 ,4.429,7.187,11.161,13.286,0.902456,0.123870,11.225 ,2.0269791666666666
180.876 ,42.527 ,146.901 ,357.939 ,44.553276241675746,67.71078138386137,17.185958379583614,222,215,5.554344E-3 ,1.002899E-3 ,42.601,6,40.874,1.586,88.088E-6 ,0.731,0.757,2.194,13.924,1.227 ,6.211,9.194,13.212,18.634,0.838528,0.229814,8.550 ,2.2669791666666668
185.523 ,54.369 ,83.370 ,548.491 ,45.99313478454036,71.64908111246712,15.183127260030496,573,547,5.414616E-3 ,1.163591E-3 ,45.485,23,49.179,1.583,85.722E-6 ,0.738,0.755,2.214,12.996,1.201 ,5.441,8.043,11.213,16.324,0.852605,0.207219,9.262 ,6.010979166666667
214.769 ,54.804 ,155.026 ,462.658 ,52.85306767754901,69.18714821804676,20.429047158449464,467,455,4.685839E-3 ,1.022672E-3 ,18.248,8,18.556,1.297,60.788E-6 ,0.571,0.665,1.712,11.222,1.098 ,4.257,5.905,10.796,12.770,0.908731,0.118923,12.108 ,2.7709791666666668
184.013 ,81.003 ,76.804 ,471.701 ,45.66356908250443,70.24243367295055,15.298602104051602,181,170,5.740142E-3 ,1.702522E-3 ,49.065,5,42.467,1.524,87.480E-6 ,0.644,0.648,1.931,13.284,1.166 ,5.707,7.763,12.598,17.120,0.846438,0.216776,9.268 ,2.1709791666666667
151.561 ,85.395 ,95.694 ,567.854 ,40.72471844951941,66.15626193501987,15.279428023188009,438,421,6.696888E-3 ,2.336241E-3 ,51.574,13,55.639,2.228,149.231E-6 ,0.912,0.981,2.735,15.465,1.334 ,8.136,10.567,14.856,24.407,0.743300,0.399746,5.288 ,6.706979166666667
120.320 ,53.164 ,87.347 ,425.673 ,45.486061496366574,63.866799118676944,1.377313681388341,381,369,8.365864E-3 ,2.132818E-3 ,35.135,9,27.490,1.828,152.934E-6 ,0.792,0.863,2.377,14.658,1.261 ,6.527,9.046,13.558,19.581,0.794484,0.305605,6.673 ,5.218979166666666
115.130 ,56.846 ,90.195 ,462.077 ,46.95852389369535,65.33318251004447,18.934818968091772,235,224,8.823077E-3 ,2.245645E-3 ,39.730,8,42.382,1.583,139.661E-6 ,0.717,0.806,2.150,16.153,1.461 ,8.214,9.540,11.282,24.642,0.766339,0.355019,5.926 ,3.7309791666666667
125.110 ,89.634 ,90.825 ,587.517 ,50.22565662035167,64.56669999241267,26.77595209649929,438,410,8.123474E-3 ,2.999771E-3 ,23.875,20,31.283,2.135,173.456E-6 ,0.893,1.101,2.679,16.005,1.464 ,7.602,10.046,15.443,22.806,0.760101,0.381129,5.948 ,5.146979166666667
168.974 ,102.138 ,75.748 ,557.344 ,30.365566660254398,75.58347102438174,18.595746799647127,107,98,5.984471E-3 ,3.032884E-3 ,83.814,6,85.550,2.505,149.898E-6 ,1.014,0.864,3.042,15.649,1.324 ,7.923,10.256,21.089,23.770,0.805494,0.290934,7.731 ,4.546979166666667
199.362 ,68.896 ,77.721 ,514.452 ,48.375635978407374,75.38884577888028,17.77180597784985,2537,2450,5.026098E-3 ,1.694702E-3 ,47.495,67,51.383,2.002,100.603E-6 ,1.013,1.174,3.039,14.873,1.302 ,6.826,9.105,14.759,20.477,0.802394,0.305420,7.635 ,25.786979166666665
199.353 ,51.219 ,74.464 ,633.891 ,55.7092771324438,73.81673914852671,17.23072742320867,1263,1232,5.048564E-3 ,1.054290E-3 ,23.077,22,22.197,2.101,106.049E-6 ,1.047,1.143,3.140,12.473,1.196 ,5.540,7.468,11.929,16.621,0.831762,0.261147,8.976 ,8.746979166666666
250.060 ,44.177 ,198.790 ,592.423 ,58.394684283651294,71.84274370103941,13.800353769915969,800,779,4.030104E-3 ,0.522695E-3 ,20.588,12,16.242,1.821,73.384E-6 ,0.893,1.049,2.679,14.397,1.357 ,6.561,9.204,14.719,19.684,0.862357,0.194555,9.735 ,4.4509791666666665
134.528 ,3.429 ,122.371 ,142.950 ,32.0588310250245,67.0602483559122,18.69514592138211,46,43,7.430272E-3 ,0.210976E-3 ,72.848,2,9.704,1.157,85.983E-6 ,0.393,0.499,1.179,13.394,1.297 ,4.353,6.210,19.484,13.058,0.778042,0.327138,6.447 ,1.5469791666666666
