Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
105.838 ,17.115 ,73.917 ,194.486 ,45.44727658874503,71.14023587514134,1.8019487789478221,786,718,9.451645E-3 ,1.462120E-3 ,55.150,65,56.138,2.752,260.062E-6 ,1.204,1.267,3.613,13.228,1.204 ,5.047,7.075,11.207,15.140,0.780666,0.336185,6.690 ,17.026979166666667
131.592 ,95.293 ,74.176 ,511.685 ,51.155626354878976,71.75292667130678,17.45061138933995,248,224,7.841272E-3 ,3.682041E-3 ,51.702,19,61.011,3.778,296.256E-6 ,1.665,1.668,4.995,16.918,1.454 ,7.443,9.894,9.622,22.330,0.725365,0.451454,4.939 ,4.738979166666667
130.677 ,21.868 ,76.180 ,188.900 ,45.097522295773885,73.1422481831039,4.686584467661586,584,554,7.635251E-3 ,1.324730E-3 ,48.906,27,51.972,2.156,164.614E-6 ,0.917,1.084,2.752,12.458,1.133 ,5.363,8.228,15.613,16.090,0.824469,0.250411,8.050 ,9.178979166666666
142.082 ,62.604 ,99.442 ,588.283 ,43.93176576281186,68.77996237221546,16.363297584869233,454,429,7.133814E-3 ,1.677793E-3 ,48.017,20,48.091,2.094,149.398E-6 ,0.920,1.172,2.761,13.671,1.112 ,5.275,8.045,12.516,15.825,0.829104,0.253618,8.660 ,7.090979166666667
159.152 ,108.106 ,106.041 ,589.436 ,49.15787867702746,67.32284722059896,21.8924342582278,503,475,6.441544E-3 ,2.546502E-3 ,28.337,19,31.771,2.896,186.556E-6 ,1.324,1.615,3.971,13.217,1.257 ,5.615,8.967,14.528,16.845,0.810810,0.281062,7.891 ,4.906979166666667
169.822 ,108.515 ,108.315 ,516.112 ,41.78632777137198,64.66143751476628,16.115321376412297,110,102,5.959696E-3 ,2.763639E-3 ,53.012,6,60.730,5.175,308.386E-6 ,2.452,3.190,7.355,17.922,1.595 ,7.964,11.446,63.642,23.893,0.721163,0.437858,4.577 ,1.6909791666666667
148.166 ,94.908 ,82.580 ,585.216 ,42.07812879609164,68.37505413280203,15.622209284109097,478,441,6.898588E-3 ,2.507578E-3 ,45.989,24,55.098,2.605,179.703E-6 ,1.085,1.128,3.256,12.988,1.243 ,5.463,8.011,17.116,16.389,0.821897,0.258878,8.240 ,7.018979166666667
168.389 ,89.210 ,112.519 ,567.430 ,45.05223959961916,62.95418826281073,-3.127444197370127,105,98,5.984918E-3 ,2.144022E-3 ,40.000,4,28.904,3.208,191.992E-6 ,1.472,1.828,4.417,13.760,1.319 ,6.416,10.398,27.850,19.249,0.754772,0.384758,5.751 ,1.1869791666666667
146.298 ,85.803 ,95.913 ,584.525 ,45.30417986648989,72.31345470660008,17.933662729327445,230,217,6.935716E-3 ,2.297467E-3 ,47.041,9,52.043,2.158,149.703E-6 ,0.890,1.125,2.671,12.673,1.267 ,5.020,7.623,9.394,15.061,0.829350,0.227712,7.849 ,3.4189791666666665
140.984 ,79.760 ,77.082 ,580.235 ,47.272860521753,71.18482914193449,12.895099214396922,2836,2691,7.188993E-3 ,2.329846E-3 ,41.058,111,47.561,2.124,152.665E-6 ,0.916,1.084,2.748,12.616,1.150 ,5.241,7.829,14.440,15.724,0.829513,0.254519,8.579 ,37.666979166666664
