Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
101.984 ,6.687 ,81.861 ,115.243 ,34.63665749780654,64.21636332633383,18.1704323828055,85,80,9.814606E-3 ,0.704187E-3 ,70.807,4,66.898,1.685,165.328E-6 ,0.775,0.839,2.324,10.727,1.001 ,5.093,6.858,6.754,15.278,0.855737,0.197650,9.315 ,3.2509791666666668
105.116 ,5.786 ,95.273 ,119.437 ,29.198780301896324,52.837335410614244,15.686590420005597,39,38,9.535517E-3 ,0.508946E-3 ,80.563,0,0,2.057,196.160E-6 ,1.012,1.096,3.037,14.249,1.424 ,7.386,9.189,11.558,22.157,0.804856,0.289146,7.058 ,3.5869791666666666
134.035 ,96.068 ,79.433 ,584.660 ,35.49408317918741,64.09784022125096,14.17932181997261,243,230,7.451821E-3 ,2.972986E-3 ,70.262,11,62.852,2.101,156.585E-6 ,0.986,1.182,2.958,16.830,1.611 ,7.202,9.938,20.359,21.607,0.782454,0.329534,6.586 ,6.898979166666667
118.532 ,14.705 ,93.876 ,208.809 ,47.682886496148264,68.88744838444977,23.103036970305205,285,273,8.451552E-3 ,0.974453E-3 ,43.326,11,39.819,1.649,139.406E-6 ,0.791,0.971,2.374,14.475,1.371 ,6.570,8.539,16.102,19.711,0.827341,0.259343,8.251 ,4.306979166666666
120.155 ,75.662 ,85.345 ,588.666 ,38.747977305118845,58.18762068140068,20.85169528293953,231,218,8.450921E-3 ,2.902305E-3 ,50.673,9,41.294,2.646,223.629E-6 ,1.341,1.260,4.024,18.035,1.487 ,8.066,11.329,18.517,24.198,0.778102,0.324051,6.313 ,4.4989791666666665
137.951 ,95.385 ,86.377 ,567.221 ,36.14050774866057,62.31409988122568,17.95437536976652,434,401,7.312844E-3 ,3.131570E-3 ,61.390,17,49.341,3.274,239.446E-6 ,1.618,1.869,4.853,16.369,1.495 ,7.375,10.357,12.828,22.124,0.805170,0.287893,7.831 ,8.818979166666667
130.230 ,83.919 ,82.985 ,593.075 ,35.45730665555099,61.82515842649337,14.486869244097655,92,87,7.566454E-3 ,2.879848E-3 ,65.471,4,65.027,2.320,175.556E-6 ,0.797,0.928,2.391,19.952,1.766 ,9.366,10.846,11.046,28.097,0.680069,0.531965,3.633 ,2.2669791666666668
167.145 ,15.946 ,131.535 ,201.057 ,38.47773508580216,57.5664346044106,15.589712119171313,121,119,5.997462E-3 ,0.635029E-3 ,40.984,1,37.047,2.936,176.096E-6 ,1.581,1.618,4.742,17.269,1.615 ,8.497,11.274,18.372,25.492,0.793927,0.306710,7.307 ,1.2589791666666668
200.142 ,76.404 ,135.285 ,537.295 ,48.9027336612795,65.34706035126449,28.810940025993762,263,253,5.131068E-3 ,1.294543E-3 ,19.429,4,22.827,2.503,128.426E-6 ,1.395,1.592,4.185,13.941,1.317 ,5.797,8.553,13.186,17.391,0.837747,0.239037,8.765 ,1.7869791666666666
159.281 ,17.121 ,110.305 ,210.758 ,42.739380816295196,64.08891293031235,23.87387098296134,926,903,6.287817E-3 ,0.702566E-3 ,44.362,19,44.557,2.479,155.864E-6 ,1.292,1.329,3.876,12.096,1.116 ,5.590,7.868,13.000,16.769,0.880581,0.167169,10.839 ,10.858979166666666
162.898 ,17.354 ,121.298 ,199.532 ,45.0294410382509,59.255518910977436,25.378247875774427,434,424,6.148350E-3 ,0.689502E-3 ,31.281,7,34.586,2.837,174.420E-6 ,1.567,1.634,4.701,13.270,1.277 ,5.987,8.283,14.076,17.961,0.850334,0.218843,9.211 ,4.090979166666667
162.660 ,16.882 ,98.288 ,228.008 ,44.98776339918135,60.99465679190253,27.010437383489645,614,597,6.143210E-3 ,0.620887E-3 ,31.570,14,36.088,2.740,168.336E-6 ,1.448,1.496,4.343,13.390,1.192 ,6.514,9.241,13.638,19.542,0.844440,0.218255,8.890 ,5.890979166666667
165.551 ,19.298 ,90.632 ,213.575 ,39.42869091148156,59.943263408619025,23.6398377944033,332,321,6.040868E-3 ,0.786774E-3 ,50.237,10,39.217,2.791,168.577E-6 ,1.359,1.368,4.077,13.103,1.204 ,6.078,8.947,12.909,18.235,0.830026,0.246255,8.455 ,4.258979166666666
155.770 ,12.917 ,127.964 ,199.392 ,41.812420686479555,59.61869421712238,20.55910221712306,790,770,6.425947E-3 ,0.566477E-3 ,41.563,19,42.965,2.599,166.999E-6 ,1.352,1.494,4.055,13.264,1.213 ,5.822,7.953,13.957,17.467,0.860191,0.193770,9.470 ,8.866979166666667
