Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
139.659 ,18.647 ,107.043 ,170.995 ,46.85496816327608,73.47883215414609,5.759604072858799,204,197,7.140411E-3 ,0.960257E-3 ,39.483,6,42.888,2.438,174.052E-6 ,1.046,1.162,3.139,13.402,1.328 ,4.459,7.021,14.655,13.378,0.815305,0.276159,7.986 ,2.7469791666666667
142.701 ,30.568 ,102.652 ,221.693 ,54.20341521189107,71.7933572339793,30.405894387905114,338,329,7.029806E-3 ,1.456877E-3 ,30.321,8,30.547,2.048,143.995E-6 ,0.950,1.107,2.851,10.729,0.970 ,4.396,6.907,11.278,13.187,0.848043,0.238424,10.202 ,3.4669791666666665
139.302 ,74.436 ,93.212 ,464.964 ,50.55325043017373,69.138133882897,22.22975544929042,424,406,7.304525E-3 ,2.399527E-3 ,32.869,13,25.950,2.549,186.217E-6 ,1.249,1.569,3.747,13.072,1.229 ,6.406,8.539,10.637,19.218,0.811994,0.281592,7.988 ,5.050979166666667
122.097 ,36.573 ,90.810 ,383.768 ,47.44574368297275,70.5897872244893,17.78390128104105,1069,1025,8.248047E-3 ,1.591097E-3 ,41.802,35,46.279,1.867,154.005E-6 ,0.826,0.988,2.479,12.387,1.153 ,5.257,8.334,13.534,15.771,0.831941,0.254744,8.864 ,16.018979166666668
128.648 ,52.873 ,102.271 ,312.089 ,44.169239358535116,65.52739825874822,22.759991439888832,93,88,7.739274E-3 ,2.293536E-3 ,50.993,3,12.363,3.842,297.306E-6 ,2.129,2.646,6.388,14.893,1.260 ,6.517,8.605,10.753,19.551,0.768089,0.381464,6.820 ,1.5469791666666666
123.709 ,13.478 ,100.509 ,180.611 ,51.02291418555957,70.3856169170444,20.8560658600732,810,787,8.103795E-3 ,0.881329E-3 ,28.703,21,28.549,2.301,186.473E-6 ,1.120,1.301,3.361,12.981,1.284 ,5.637,8.544,13.962,16.912,0.822332,0.273436,8.620 ,9.826979166666666
127.183 ,70.403 ,87.249 ,590.688 ,45.46692628643787,70.62136902971714,-0.9396396340596698,807,766,8.077174E-3 ,2.276938E-3 ,47.276,29,48.091,2.356,190.282E-6 ,1.104,1.339,3.313,14.143,1.360 ,6.253,8.777,15.544,18.759,0.808758,0.295241,7.936 ,13.066979166666666
133.236 ,34.583 ,108.367 ,325.384 ,58.10971777149628,75.7217379164292,32.469021102567844,253,243,7.539830E-3 ,1.476713E-3 ,26.642,7,31.308,2.003,151.034E-6 ,0.891,1.070,2.674,13.338,1.185 ,6.170,8.795,12.587,18.510,0.826395,0.248333,8.330 ,2.7709791666666668
115.367 ,41.964 ,76.906 ,552.554 ,54.72127396837585,70.30583092668667,23.40575042939326,610,587,8.710301E-3 ,1.613303E-3 ,23.329,20,25.587,2.787,242.750E-6 ,1.422,1.746,4.267,13.470,1.319 ,6.085,9.187,13.166,18.256,0.797653,0.305127,7.355 ,7.066979166666667
103.752 ,5.758 ,72.762 ,121.726 ,49.194855258455576,67.6112199501217,26.40608658855744,126,119,9.612451E-3 ,0.721442E-3 ,37.864,5,22.693,2.737,263.074E-6 ,1.406,1.475,4.219,14.708,1.184 ,7.063,9.655,15.575,21.189,0.749985,0.413905,5.715 ,2.0989791666666666
110.945 ,35.985 ,93.093 ,595.303 ,50.86791256714601,71.75404730817463,20.080814988354113,652,620,8.992821E-3 ,1.662883E-3 ,39.208,29,43.573,2.291,206.025E-6 ,1.096,1.198,3.288,13.182,1.221 ,6.504,7.956,11.359,19.512,0.790161,0.321251,6.971 ,10.138979166666667
121.717 ,29.250 ,92.942 ,325.058 ,58.24303056082411,74.21029519359104,26.67350126349341,437,425,8.212500E-3 ,1.577191E-3 ,24.704,11,28.570,2.773,227.707E-6 ,1.403,1.808,4.208,13.904,1.241 ,6.180,9.133,13.735,18.540,0.780009,0.339908,6.574 ,5.098979166666667
104.518 ,6.039 ,94.864 ,132.348 ,54.0163729943361,69.28421374377727,29.275491858389742,261,251,9.579301E-3 ,0.536459E-3 ,27.638,9,30.553,1.936,185.496E-6 ,0.862,1.001,2.587,13.752,1.287 ,6.312,9.527,14.136,18.936,0.811635,0.271113,7.556 ,4.018979166666667
138.571 ,51.578 ,102.373 ,513.424 ,59.12197816127792,76.85933027286953,27.407012587890218,391,376,7.257948E-3 ,1.814028E-3 ,29.268,12,26.024,2.207,160.214E-6 ,1.046,1.144,3.138,14.768,1.316 ,7.062,9.821,16.671,21.187,0.817224,0.283495,8.185 ,4.138979166666667
117.149 ,30.694 ,92.089 ,565.005 ,54.743493900662585,71.46868797674354,27.157275575473847,682,651,8.538153E-3 ,1.353210E-3 ,26.674,25,33.969,2.252,192.321E-6 ,1.023,1.243,3.070,13.993,1.257 ,6.079,8.811,16.023,18.236,0.805447,0.307454,8.088 ,8.698979166666666
104.690 ,7.779 ,75.773 ,133.471 ,49.64473447511834,70.14070210866394,19.620076722201734,503,484,9.563196E-3 ,0.749192E-3 ,34.562,18,22.765,2.310,220.929E-6 ,1.177,1.319,3.531,13.200,1.254 ,5.878,8.540,14.704,17.633,0.815292,0.277975,8.062 ,7.906979166666667
118.381 ,29.675 ,89.646 ,594.114 ,59.29383721055168,77.73356235921314,27.91626863720054,1174,1125,8.493887E-3 ,1.377898E-3 ,23.343,41,24.805,2.193,186.246E-6 ,0.986,1.027,2.958,13.341,1.206 ,5.896,8.772,15.884,17.687,0.813002,0.289506,8.040 ,13.618979166666668
135.014 ,21.757 ,99.541 ,247.516 ,58.67916805618662,74.83806658618397,29.39936347305961,251,236,7.375151E-3 ,1.159509E-3 ,25.180,12,27.015,2.584,190.553E-6 ,1.194,1.430,3.583,17.941,1.489 ,7.808,11.909,19.205,23.425,0.777421,0.345332,6.492 ,2.818979166666667
150.791 ,77.110 ,85.520 ,585.806 ,59.14125351438949,75.69027429941933,29.560750384641764,360,337,6.780590E-3 ,1.828343E-3 ,32.153,15,27.352,2.488,168.699E-6 ,1.213,1.252,3.639,11.329,1.129 ,4.374,6.468,11.611,13.122,0.826737,0.284148,9.709 ,3.7069791666666667
125.286 ,19.864 ,75.696 ,196.328 ,55.42706517148647,73.38841134929794,30.59347208515672,405,393,7.983361E-3 ,1.160758E-3 ,26.652,9,19.721,2.465,196.782E-6 ,1.200,1.448,3.599,12.937,1.145 ,5.444,7.897,14.424,16.333,0.832606,0.253735,8.777 ,4.570979166666667
