Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
226.409 ,160.178 ,77.455 ,572.461 ,56.96484340823485,68.16498226169833,26.30402455629469,234,219,4.581590E-3 ,2.912661E-3 ,24.675,3,13.769,3.746,171.616E-6 ,2.083,2.819,6.250,17.710,1.588 ,8.969,12.203,16.177,26.906,0.729201,0.423343,4.863 ,1.579297052154195
180.652 ,127.729 ,84.263 ,575.640 ,56.80215668530042,69.78054887667922,23.721618355460485,1824,1732,5.682794E-3 ,2.934809E-3 ,28.834,49,33.413,2.967,168.628E-6 ,1.530,1.762,4.591,17.444,1.491 ,8.093,11.268,17.307,24.278,0.766401,0.365183,6.114 ,16.338480725623583
176.544 ,127.157 ,75.410 ,564.084 ,58.16627387511413,67.7101068839433,28.379859919743517,1284,1215,5.852127E-3 ,2.995529E-3 ,19.387,27,25.968,3.002,175.700E-6 ,1.612,1.892,4.835,17.063,1.496 ,8.553,12.167,16.960,25.658,0.765254,0.373090,6.122 ,10.147460317460318
153.565 ,100.294 ,77.649 ,542.750 ,57.83524355339416,68.66894362554909,27.374906940499464,1703,1629,6.577675E-3 ,2.818465E-3 ,25.889,49,35.092,2.848,187.336E-6 ,1.484,1.775,4.453,17.791,1.533 ,8.916,12.497,17.509,26.747,0.763871,0.367482,5.972 ,16.913174603174603
168.880 ,122.281 ,92.231 ,552.417 ,59.05651174043686,67.50125848668975,32.57051168899592,760,729,6.016170E-3 ,3.179038E-3 ,13.696,18,24.753,3.464,208.409E-6 ,1.849,2.298,5.546,17.919,1.568 ,8.706,11.568,16.608,26.117,0.765362,0.365262,6.093 ,6.098480725623583
219.278 ,166.674 ,92.653 ,547.365 ,56.53889890351147,65.65566986552955,34.51266920646175,478,433,4.771285E-3 ,3.479642E-3 ,30.622,21,33.337,4.018,191.709E-6 ,2.175,2.478,6.525,18.029,1.515 ,8.389,10.882,15.900,25.166,0.701475,0.491299,4.326 ,4.21766439909297
151.537 ,101.660 ,73.986 ,506.359 ,52.78314758364102,66.21298394919245,1.43009770609389,806,766,6.738555E-3 ,3.110406E-3 ,32.321,22,24.144,2.844,191.676E-6 ,1.492,1.751,4.475,16.405,1.453 ,7.866,10.179,15.493,23.597,0.786456,0.332160,6.879 ,9.259297052154196
--undefined-- ,--undefined-- ,--undefined-- ,--undefined-- ,44.58479962266577,61.67980608936926,31.400948994026685,1,0,--undefined-- ,--undefined-- ,100.000,0,0,--undefined--,--undefined-- ,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,0.456031746031746
170.955 ,58.341 ,75.748 ,463.936 ,60.82707923081458,70.52347664318933,36.59982695110182,546,523,5.927412E-3 ,1.568083E-3 ,22.718,15,31.498,2.535,150.235E-6 ,1.317,1.607,3.950,16.780,1.457 ,7.782,10.893,15.321,23.346,0.768221,0.365645,6.413 ,5.184195011337868
158.328 ,88.081 ,84.926 ,559.606 ,60.69384671972997,69.41582212833298,34.33957191456459,251,235,6.432688E-3 ,2.478900E-3 ,32.831,13,31.340,3.538,227.619E-6 ,1.946,2.231,5.839,20.377,1.729 ,9.560,14.414,26.604,28.679,0.689626,0.505359,3.829 ,3.35562358276644
162.638 ,58.201 ,100.583 ,443.192 ,55.016057605278505,69.35540226415624,24.844145756934587,819,788,6.185411E-3 ,1.750678E-3 ,37.949,21,48.446,2.320,143.485E-6 ,1.225,1.348,3.675,18.805,1.678 ,8.986,11.491,17.286,26.959,0.760690,0.372132,5.966 ,9.781746031746032
174.146 ,69.395 ,87.348 ,459.289 ,58.01472820265913,69.24500376139193,31.945109814271078,714,684,5.814946E-3 ,1.813678E-3 ,24.535,17,28.593,3.002,174.537E-6 ,1.567,1.768,4.701,17.912,1.525 ,8.071,11.979,20.095,24.212,0.726789,0.458615,5.115 ,5.941746031746032
172.498 ,76.670 ,73.176 ,556.102 ,54.6313095540072,68.43785041281956,-1.2108718044477782,1048,1000,5.854422E-3 ,2.034881E-3 ,36.643,33,45.166,3.086,180.660E-6 ,1.610,1.812,4.829,18.703,1.672 ,8.625,11.388,15.868,25.875,0.723117,0.448402,4.856 ,11.113990929705215
