Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
287.857 ,65.635 ,202.229 ,523.975 ,51.94604744629601,65.39413316862317,19.291409547491632,292,282,3.486371E-3 ,0.753150E-3 ,32.911,6,33.080,2.554,89.027E-6 ,1.171,1.174,3.512,9.221,0.891 ,3.569,4.575,7.134,10.706,0.898233,0.147651,12.322 ,1.6189791666666666
164.109 ,115.158 ,78.151 ,562.167 ,36.32063250877673,59.27536574852863,24.822356275844015,50,43,5.799039E-3 ,2.946096E-3 ,65.455,4,66.922,4.225,244.982E-6 ,1.693,1.626,5.079,14.999,1.479 ,8.234,13.789,28.027,24.701,0.715401,0.452157,4.645 ,1.1389791666666667
141.293 ,30.891 ,101.291 ,593.430 ,48.196736389093985,71.44774430717149,21.041334774774505,1135,1083,7.086294E-3 ,1.184266E-3 ,35.977,43,43.704,2.317,164.223E-6 ,0.960,1.242,2.881,12.487,1.250 ,5.104,7.932,14.290,15.311,0.812346,0.283611,7.904 ,13.906979166666666
134.100 ,9.769 ,116.257 ,154.783 ,54.89818622685737,65.84446378948651,40.183000293301845,98,94,7.498340E-3 ,0.657558E-3 ,12.766,2,19.931,2.831,212.256E-6 ,0.985,1.543,2.955,12.684,1.294 ,5.113,7.845,7.903,15.339,0.802029,0.300973,7.402 ,0.9709791666666666
135.783 ,10.484 ,77.037 ,157.143 ,42.926721874765995,65.4484295893393,19.548001653911328,203,196,7.432277E-3 ,0.838210E-3 ,42.804,6,43.914,2.172,161.432E-6 ,0.996,1.293,2.989,11.719,1.229 ,4.480,6.379,14.659,13.439,0.840171,0.231664,9.340 ,2.7469791666666667
137.791 ,42.435 ,79.728 ,593.613 ,46.79105909284575,68.94868187301995,20.00794943803506,864,831,7.296957E-3 ,1.352846E-3 ,35.529,28,43.139,2.241,163.558E-6 ,0.876,1.213,2.627,12.895,1.230 ,5.258,7.952,13.555,15.773,0.835861,0.238960,8.652 ,10.810979166666666
135.400 ,18.931 ,94.292 ,227.204 ,45.83760399399416,69.92982692314754,18.319276605260015,1430,1371,7.407367E-3 ,1.014428E-3 ,39.572,52,39.847,2.597,192.370E-6 ,1.105,1.437,3.315,12.669,1.197 ,4.968,7.799,13.736,14.905,0.826074,0.261934,8.575 ,18.730979166666668
133.773 ,16.145 ,77.765 ,193.946 ,43.39845133328857,69.10459464418946,18.87573438446186,864,831,7.478119E-3 ,0.887271E-3 ,44.800,30,40.678,2.419,180.901E-6 ,1.000,1.336,2.999,12.073,1.138 ,4.669,7.477,14.747,14.007,0.826762,0.260104,8.265 ,12.538979166666667
140.427 ,15.298 ,110.537 ,178.604 ,48.017635355719506,67.26927620987829,18.944384397661473,236,225,7.146576E-3 ,0.783368E-3 ,30.000,7,32.947,2.274,162.535E-6 ,0.914,1.238,2.742,12.030,1.183 ,4.304,6.621,13.461,12.911,0.835050,0.257873,9.079 ,2.5309791666666666
130.313 ,13.232 ,97.887 ,163.188 ,45.539759390224376,66.67056429098734,17.843562071064994,533,512,7.693675E-3 ,0.803987E-3 ,32.588,16,29.168,2.098,161.406E-6 ,0.819,1.138,2.458,12.598,1.149 ,4.735,7.608,14.950,14.206,0.834675,0.249328,8.839 ,6.298979166666666
