Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
144.442 ,51.934 ,75.851 ,509.184 ,52.59664493233358,63.473732079059495,24.214263875367678,706,677,6.976883E-3 ,1.565078E-3 ,25.876,18,27.606,3.293,229.773E-6 ,1.802,2.083,5.406,17.864,1.572 ,9.128,11.329,17.879,27.383,0.731327,0.423894,4.994 ,7.4509791666666665
125.720 ,31.098 ,77.821 ,465.502 ,53.477662520248224,66.77472335836653,27.989378474542775,1211,1176,7.997717E-3 ,1.275649E-3 ,21.977,30,25.710,2.552,204.120E-6 ,1.319,1.503,3.956,16.354,1.461 ,7.876,10.781,16.917,23.629,0.794486,0.299028,6.751 ,13.186979166666667
106.166 ,31.615 ,76.183 ,368.671 ,50.90870053202715,61.64709869140712,8.11843076969912,265,252,9.436131E-3 ,1.880882E-3 ,23.669,11,25.740,3.444,324.972E-6 ,1.646,1.868,4.939,18.423,1.621 ,8.852,14.379,23.215,26.557,0.738803,0.421821,5.222 ,3.4189791666666665
120.666 ,23.904 ,76.432 ,223.959 ,37.75571572290312,65.65531808091663,20.256704550643864,133,122,8.375305E-3 ,1.373275E-3 ,73.190,9,77.828,2.579,215.969E-6 ,1.209,1.333,3.628,14.158,1.336 ,7.963,9.296,10.025,23.890,0.795216,0.312882,7.434 ,5.146979166666667
136.323 ,26.390 ,76.752 ,283.702 ,49.30026237598813,63.756864414485676,26.861102004926124,173,166,7.391915E-3 ,1.323853E-3 ,37.864,3,36.847,2.904,214.654E-6 ,1.339,1.318,4.016,13.195,1.196 ,6.613,8.184,9.922,19.840,0.807908,0.299789,7.695 ,2.0989791666666666
121.198 ,30.056 ,71.370 ,456.956 ,54.31285953112559,63.386204854190176,26.776143510577928,1276,1221,8.291250E-3 ,1.538456E-3 ,22.300,46,28.850,3.384,280.581E-6 ,1.637,1.889,4.912,13.797,1.247 ,6.644,8.625,13.044,19.933,0.803960,0.295824,7.420 ,14.386979166666666
115.224 ,30.225 ,72.905 ,566.176 ,54.835341392966924,64.37510374925529,25.984405393480394,1006,959,8.720109E-3 ,1.313378E-3 ,19.965,38,23.382,3.208,279.750E-6 ,1.565,1.694,4.694,14.661,1.320 ,7.161,9.995,14.588,21.482,0.801909,0.295927,7.286 ,11.458979166666667
114.120 ,9.520 ,91.025 ,143.280 ,55.49408157906338,63.516292018843785,28.41758195448048,666,650,8.771775E-3 ,0.750978E-3 ,14.206,14,17.137,2.479,217.485E-6 ,1.242,1.476,3.725,14.570,1.308 ,7.052,9.485,14.062,21.155,0.826703,0.254600,8.279 ,7.210979166666666
104.246 ,6.332 ,79.726 ,121.346 ,51.06792477163993,62.01232301771384,28.554634503854004,281,270,9.619349E-3 ,0.669614E-3 ,30.383,10,36.377,2.744,263.977E-6 ,1.460,1.469,4.380,14.157,1.266 ,6.570,9.348,15.394,19.710,0.810133,0.287843,7.627 ,4.210979166666666
112.907 ,12.378 ,77.417 ,161.361 ,52.37131653162096,61.15383540051432,26.78239941353037,961,923,8.879354E-3 ,1.016495E-3 ,21.435,34,28.833,2.913,258.687E-6 ,1.384,1.668,4.153,14.432,1.330 ,6.995,10.266,17.401,20.985,0.807784,0.284771,7.448 ,11.746979166666666
105.646 ,16.254 ,76.779 ,245.001 ,51.80889017228998,60.353876720848014,-3.105791125346661,431,405,9.497829E-3 ,1.134275E-3 ,25.585,23,33.352,3.076,292.169E-6 ,1.442,1.330,4.325,14.647,1.254 ,7.214,9.719,11.724,21.642,0.788550,0.328683,6.861 ,6.010979166666667
125.045 ,38.792 ,80.124 ,581.551 ,55.030086411390954,67.945294573395,28.729196467532468,1204,1167,8.018956E-3 ,1.583889E-3 ,25.385,29,21.485,2.202,176.597E-6 ,1.101,1.305,3.302,15.237,1.400 ,7.060,9.987,15.833,21.181,0.796174,0.299362,6.925 ,13.666979166666666
127.937 ,24.403 ,95.439 ,217.104 ,59.01715224799595,65.71926877667099,39.989852058845926,503,486,7.876485E-3 ,1.351433E-3 ,14.316,12,16.737,2.530,199.246E-6 ,1.254,1.519,3.763,12.255,1.162 ,5.823,8.069,11.709,17.469,0.849115,0.225503,9.536 ,4.786979166666667
112.912 ,16.412 ,78.040 ,164.766 ,54.90288776233832,64.92558799138989,26.720465535803427,429,415,8.853703E-3 ,1.227033E-3 ,25.760,13,26.336,2.452,217.057E-6 ,1.180,1.284,3.539,11.576,1.076 ,5.448,7.587,10.751,16.343,0.828671,0.258597,8.389 ,5.626979166666667
107.318 ,17.367 ,75.593 ,213.630 ,56.6791916456078,64.62262670427101,30.133772342475687,491,475,9.358584E-3 ,1.351568E-3 ,16.364,11,9.719,3.204,299.832E-6 ,1.580,2.010,4.741,13.740,1.216 ,6.199,8.992,14.576,18.598,0.817967,0.271930,7.977 ,5.530979166666667
120.695 ,30.246 ,90.062 ,447.914 ,55.65628362561523,65.03453650361963,26.225036257908542,350,340,8.372178E-3 ,1.242506E-3 ,19.619,8,9.874,2.553,213.742E-6 ,1.335,1.565,4.004,12.779,1.269 ,6.240,8.969,11.930,18.721,0.840196,0.234339,9.029 ,3.7069791666666667
