Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
113.157 ,48.505 ,76.527 ,566.485 ,34.89454051447466,58.357569021935056,8.612793796277568,1418,1334,8.898272E-3 ,2.221915E-3 ,47.170,77,50.538,2.424,215.676E-6 ,0.949,0.974,2.848,11.799,1.067 ,4.746,6.060,10.177,14.239,0.846546,0.219519,9.415 ,24.418979166666666
142.531 ,77.532 ,108.133 ,564.717 ,32.87453707131349,55.773715445547765,9.442173585153089,408,391,7.009968E-3 ,2.297739E-3 ,45.455,12,40.914,1.733,121.482E-6 ,0.808,0.979,2.425,14.491,1.273 ,6.919,9.315,13.567,20.756,0.818899,0.263283,7.820 ,5.866979166666667
134.947 ,25.838 ,106.626 ,420.853 ,33.52235591654303,58.344275921602666,8.103934892764773,1129,1090,7.443353E-3 ,1.054354E-3 ,45.761,32,50.207,1.784,132.794E-6 ,0.798,0.876,2.394,12.480,1.171 ,5.527,8.116,14.075,16.582,0.831361,0.243634,8.347 ,16.666979166666668
141.709 ,53.831 ,113.631 ,498.691 ,35.06817417901839,63.33003880307159,9.713378964864951,475,448,7.060574E-3 ,1.659941E-3 ,54.156,26,58.152,1.369,96.667E-6 ,0.565,0.624,1.695,16.038,1.262 ,6.395,8.378,11.762,19.186,0.836026,0.229358,8.394 ,7.978979166666667
128.532 ,14.217 ,82.246 ,148.664 ,25.893876169846774,58.99100146757828,8.747612727267084,152,146,7.808343E-3 ,0.943473E-3 ,78.114,5,29.736,1.415,110.460E-6 ,0.461,0.657,1.383,14.320,1.326 ,6.928,9.399,13.505,20.785,0.798063,0.316119,7.074 ,5.650979166666667
250.424 ,71.808 ,118.761 ,555.159 ,27.802584352728317,60.17481398968107,5.608387620088892,518,504,3.984087E-3 ,1.228220E-3 ,67.629,12,43.508,1.205,48.023E-6 ,0.518,0.579,1.553,9.750,0.895 ,3.095,4.404,7.654,9.284,0.913030,0.114018,12.746 ,6.610979166666667
203.353 ,151.845 ,114.035 ,599.602 ,35.529349975146864,61.64624283052986,4.852688855354873,544,524,4.963167E-3 ,2.766194E-3 ,54.834,13,38.644,2.018,100.180E-6 ,0.902,1.070,2.707,15.237,1.411 ,6.753,10.783,17.126,20.258,0.808036,0.276512,7.360 ,6.658979166666667
140.224 ,58.029 ,109.964 ,535.003 ,39.002419474194916,63.8946865011179,10.933113081314115,640,611,7.172113E-3 ,1.724226E-3 ,46.328,22,51.706,1.661,119.117E-6 ,0.718,0.840,2.154,15.011,1.309 ,6.592,9.027,13.223,19.777,0.785914,0.322596,6.587 ,9.298979166666667
137.160 ,38.951 ,75.499 ,581.940 ,35.2408452682682,60.736740085346824,5.485992671486311,2607,2501,7.326497E-3 ,1.298621E-3 ,47.267,93,51.560,1.628,119.274E-6 ,0.723,0.827,2.169,14.533,1.276 ,6.622,8.514,12.332,19.867,0.803685,0.293904,7.365 ,38.098979166666666
148.322 ,80.254 ,116.791 ,552.808 ,46.62033271314383,64.21735018998818,21.979989690051873,341,331,6.800753E-3 ,2.023330E-3 ,21.523,9,24.670,1.472,100.140E-6 ,0.740,0.934,2.221,15.666,1.360 ,7.777,11.248,17.114,23.330,0.807966,0.274022,7.189 ,3.0589791666666666
