Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
136.109 ,24.094 ,94.021 ,189.674 ,49.891772281845576,73.87985325978802,25.62320024419521,200,190,7.374566E-3 ,1.356835E-3 ,60.804,9,28.572,1.975,145.617E-6 ,0.979,1.118,2.937,15.173,1.444 ,7.192,10.731,12.956,21.576,0.749147,0.376706,5.354 ,4.018979166666667
136.432 ,24.830 ,101.751 ,215.267 ,61.20374902279163,74.06095293360997,36.71885467718796,245,231,7.336510E-3 ,1.260104E-3 ,38.558,13,41.622,2.097,153.854E-6 ,0.954,1.048,2.863,13.657,1.224 ,6.898,8.508,10.041,20.693,0.748958,0.386122,5.363 ,3.2269791666666667
150.755 ,25.466 ,99.835 ,188.475 ,42.60117752179217,72.60365195862774,11.098488764111881,175,165,6.635717E-3 ,1.236166E-3 ,74.223,9,21.911,1.553,103.039E-6 ,0.531,0.609,1.593,12.748,1.140 ,6.469,7.801,9.526,19.407,0.754965,0.368200,5.470 ,5.5069791666666665
141.532 ,56.982 ,103.270 ,584.024 ,51.71254108263464,73.63022271842486,20.67731818932801,653,617,7.149286E-3 ,1.583565E-3 ,53.517,30,45.406,1.960,140.151E-6 ,0.786,0.924,2.359,13.162,1.179 ,5.945,8.118,11.497,17.834,0.776754,0.345101,6.439 ,11.266979166666667
132.757 ,63.422 ,94.139 ,597.754 ,46.65049045806114,70.7350932521597,10.51807744564835,491,463,7.677031E-3 ,1.878348E-3 ,59.597,23,41.940,2.233,171.444E-6 ,1.046,1.118,3.139,15.558,1.348 ,7.206,9.644,12.847,21.619,0.749106,0.383214,5.419 ,10.450979166666666
141.362 ,52.485 ,93.310 ,582.886 ,49.35553397393326,72.67755274574613,10.458306168563752,1013,964,7.154582E-3 ,1.577284E-3 ,52.736,42,48.453,2.091,149.626E-6 ,0.797,0.881,2.391,13.776,1.208 ,6.521,8.087,13.289,19.563,0.779398,0.338060,6.467 ,17.218979166666667
138.224 ,53.129 ,75.701 ,577.309 ,46.52806325423194,69.4810818724356,8.460631479105023,752,710,7.305601E-3 ,1.672186E-3 ,60.370,36,47.909,2.567,187.569E-6 ,1.152,1.295,3.456,12.877,1.135 ,6.121,7.997,10.660,18.362,0.752892,0.403093,5.820 ,15.178979166666666
147.596 ,42.894 ,85.923 ,574.097 ,46.48863196128276,70.96943824644698,17.82753010182301,792,752,6.791045E-3 ,1.486481E-3 ,59.895,37,50.256,2.450,166.413E-6 ,1.043,1.195,3.130,14.961,1.312 ,6.738,8.968,12.139,20.214,0.746407,0.411894,5.667 ,15.346979166666667
148.730 ,82.117 ,76.055 ,584.723 ,46.3526390781963,69.95203755568346,15.457104706311547,507,479,6.831404E-3 ,2.155742E-3 ,56.208,21,44.163,2.350,160.536E-6 ,1.140,1.256,3.419,13.748,1.199 ,6.079,7.846,10.969,18.236,0.774061,0.347050,6.382 ,8.890979166666666
156.673 ,70.466 ,68.006 ,610.086 ,45.07119507698259,70.73240566791183,7.016416132369737,1164,1095,6.459550E-3 ,1.877154E-3 ,59.153,49,57.389,2.229,143.975E-6 ,1.037,1.193,3.110,13.662,1.222 ,6.415,8.622,12.330,19.244,0.768394,0.360420,6.219 ,20.578979166666667
146.161 ,66.373 ,89.591 ,585.104 ,50.85931296486692,68.77523751150416,17.92331480793885,1173,1117,6.903616E-3 ,1.845454E-3 ,50.087,46,54.002,2.363,163.106E-6 ,1.084,1.159,3.253,13.521,1.197 ,6.361,8.616,11.514,19.083,0.759960,0.379179,6.063 ,17.266979166666665
155.696 ,81.655 ,75.148 ,592.169 ,43.74010529733144,69.73376080957648,7.594530999391489,1742,1648,6.542121E-3 ,2.040268E-3 ,55.240,63,40.560,2.205,144.227E-6 ,1.066,1.198,3.197,13.368,1.220 ,6.300,8.555,12.011,18.899,0.773523,0.354313,6.582 ,27.898979166666667
148.008 ,54.260 ,84.675 ,588.973 ,45.56808192614566,70.55285466011503,7.591798706303572,1059,1005,6.813578E-3 ,1.589784E-3 ,56.595,50,46.539,2.082,141.871E-6 ,0.934,1.042,2.803,14.127,1.284 ,6.426,8.644,12.691,19.277,0.748181,0.406257,5.614 ,18.538979166666667
143.978 ,64.469 ,85.414 ,596.210 ,46.144873790991305,68.76712207761966,7.456728553870091,1357,1291,6.977118E-3 ,1.926769E-3 ,55.931,56,52.318,1.992,138.988E-6 ,0.822,0.964,2.466,14.066,1.271 ,6.676,8.967,11.521,20.027,0.753090,0.390959,5.827 ,23.386979166666666
157.487 ,84.433 ,90.700 ,591.126 ,41.22417038120763,65.37680675890189,7.839346870161313,577,535,6.488976E-3 ,2.136709E-3 ,66.403,34,71.751,2.662,172.762E-6 ,1.234,1.392,3.702,14.698,1.290 ,6.930,8.919,12.066,20.790,0.728334,0.441446,5.106 ,12.658979166666667
158.137 ,71.284 ,74.839 ,605.663 ,41.48523921970805,67.17826037542223,8.183526324838553,1382,1287,6.410820E-3 ,1.886106E-3 ,67.786,70,61.974,2.510,160.918E-6 ,1.169,1.275,3.508,14.187,1.294 ,6.654,9.108,12.243,19.963,0.742178,0.417058,5.543 ,32.50697916666667
142.479 ,57.398 ,77.441 ,604.803 ,40.271510623048144,65.66565123498626,7.755620961217086,842,792,7.058535E-3 ,1.847054E-3 ,64.924,42,50.419,2.488,175.613E-6 ,1.040,1.294,3.120,14.252,1.268 ,6.458,9.185,15.085,19.374,0.747632,0.398011,5.501 ,19.738979166666667
160.783 ,71.729 ,82.086 ,589.616 ,44.35597553066242,66.64221457824534,11.790134147093866,914,864,6.319456E-3 ,1.803225E-3 ,59.326,38,55.647,2.352,148.652E-6 ,1.051,1.301,3.152,13.233,1.186 ,6.042,8.243,11.259,18.125,0.782719,0.338507,6.975 ,16.066979166666666
149.655 ,59.823 ,68.730 ,568.105 ,42.51028383427784,64.02093217866218,14.053210636631704,638,604,6.736089E-3 ,1.635556E-3 ,55.598,26,46.013,2.493,167.920E-6 ,1.225,1.525,3.676,13.071,1.174 ,6.309,8.476,11.093,18.927,0.768759,0.367593,6.372 ,10.570979166666667
139.321 ,36.309 ,85.072 ,535.704 ,41.309987035086124,64.65379836133833,7.195115886039329,689,646,7.191792E-3 ,1.479899E-3 ,61.270,39,47.761,2.165,155.713E-6 ,0.927,1.067,2.782,14.675,1.315 ,6.715,9.066,13.307,20.146,0.754790,0.378702,5.702 ,14.050979166666666
146.293 ,63.303 ,82.501 ,596.341 ,39.270441769650866,65.05329871122369,15.165213257765837,459,426,6.929626E-3 ,1.879377E-3 ,69.676,26,49.183,2.854,197.774E-6 ,1.198,1.463,3.594,14.580,1.307 ,7.226,8.983,12.619,21.679,0.724243,0.464727,5.143 ,11.770979166666667
161.318 ,94.653 ,78.481 ,601.725 ,45.85645813019908,64.69003969890606,14.810018804942315,844,791,6.310837E-3 ,2.419595E-3 ,52.782,36,48.481,2.289,144.435E-6 ,0.986,1.074,2.957,14.213,1.248 ,6.986,9.240,12.043,20.958,0.756847,0.370802,5.758 ,12.250979166666667
138.613 ,18.868 ,96.420 ,199.767 ,38.87375097627952,62.453102900976035,6.400217742723397,468,445,7.236948E-3 ,1.009845E-3 ,59.553,19,36.424,2.751,199.082E-6 ,1.315,1.462,3.944,14.105,1.261 ,6.412,8.846,11.751,19.236,0.720882,0.461084,4.984 ,8.986979166666666
161.164 ,99.556 ,90.858 ,597.706 ,43.3660190956718,63.26733147958211,10.924872989041825,735,691,6.357062E-3 ,2.466332E-3 ,55.649,26,58.150,2.556,162.513E-6 ,1.183,1.335,3.549,14.306,1.296 ,6.529,7.872,11.408,19.586,0.735551,0.437283,5.417 ,11.890979166666666
169.654 ,102.291 ,79.066 ,594.994 ,36.14617486622136,62.70259143774542,5.654597744613499,815,771,6.050966E-3 ,2.279111E-3 ,68.094,33,44.301,2.302,139.291E-6 ,1.026,1.188,3.079,13.331,1.244 ,6.022,8.219,11.798,18.066,0.771886,0.361781,6.615 ,16.618979166666666
140.101 ,53.564 ,87.115 ,561.690 ,36.73348759339326,63.09455012612878,4.864493237088641,1135,1068,7.242247E-3 ,1.734039E-3 ,63.466,61,68.855,2.297,166.332E-6 ,1.032,1.129,3.095,13.993,1.241 ,6.980,9.250,12.454,20.941,0.749189,0.389496,5.516 ,25.138979166666665
144.366 ,49.648 ,76.881 ,596.352 ,38.103010998317025,63.350553507133284,11.224449984433582,1485,1406,6.987382E-3 ,1.578794E-3 ,62.520,68,55.362,2.317,161.889E-6 ,1.067,1.170,3.201,13.260,1.196 ,6.084,8.194,10.571,18.251,0.762548,0.372389,6.078 ,30.586979166666666
145.555 ,65.304 ,79.546 ,579.659 ,38.52691665170126,63.885588862602035,6.434934371441186,1415,1332,6.983417E-3 ,1.869243E-3 ,58.403,64,53.843,2.250,157.097E-6 ,1.027,1.160,3.082,13.806,1.251 ,6.232,8.623,13.165,18.695,0.778236,0.339756,6.548 ,26.338979166666668
157.275 ,114.385 ,89.898 ,579.216 ,30.887158660329135,58.63323083935952,-9.113754865470995,324,294,6.576368E-3 ,2.805573E-3 ,69.533,15,49.180,2.775,182.526E-6 ,1.263,1.338,3.789,14.386,1.241 ,7.011,9.942,14.249,21.034,0.747905,0.401295,5.584 ,8.170979166666667
167.712 ,111.408 ,126.312 ,529.075 ,40.59175911686938,70.44839239310858,23.491578702349884,43,38,5.911035E-3 ,2.509364E-3 ,82.014,2,16.367,2.230,131.830E-6 ,0.946,1.409,2.839,14.839,1.324 ,8.012,7.498,--undefined--,24.037,0.678752,0.537466,3.630 ,1.4269791666666667
124.536 ,17.235 ,84.094 ,168.325 ,46.65777152222432,72.46394539171973,21.40310720348848,153,145,7.985739E-3 ,1.131871E-3 ,60.350,6,21.153,2.099,167.647E-6 ,0.911,0.959,2.733,12.163,1.045 ,6.270,8.037,11.859,18.810,0.756368,0.375018,5.651 ,3.4669791666666665
139.098 ,76.428 ,87.005 ,583.797 ,49.69570035572018,71.12613313283524,20.828399924999257,401,376,7.203455E-3 ,2.316422E-3 ,54.521,22,37.969,2.757,198.598E-6 ,0.964,1.106,2.891,12.832,1.138 ,5.881,8.098,11.097,17.644,0.742177,0.403952,5.272 ,7.330979166666666
138.985 ,80.953 ,85.561 ,594.849 ,49.55185943511556,73.1088718709871,19.579799768326627,554,526,7.329878E-3 ,2.254810E-3 ,49.944,18,38.638,2.361,173.080E-6 ,1.044,1.240,3.132,13.177,1.177 ,6.064,8.644,15.196,18.192,0.783607,0.324431,6.668 ,8.986979166666666
129.877 ,51.859 ,93.411 ,526.912 ,48.466325266103986,67.98970053938112,21.144224539469583,396,379,7.786098E-3 ,1.786111E-3 ,52.882,15,23.508,2.636,205.270E-6 ,1.147,1.407,3.441,14.372,1.267 ,6.383,9.437,13.885,19.149,0.780699,0.337864,6.465 ,6.970979166666667
123.375 ,36.923 ,90.337 ,598.927 ,47.96084618976848,70.98870331223858,13.184539699367669,510,484,8.163120E-3 ,1.410374E-3 ,49.153,21,31.946,2.693,219.831E-6 ,1.326,1.521,3.977,11.102,1.069 ,5.095,6.900,10.600,15.286,0.743625,0.426455,5.668 ,8.290979166666666
147.082 ,95.102 ,91.334 ,586.979 ,44.909276776209786,71.45087429064765,8.2392182322415,369,346,6.969407E-3 ,2.537780E-3 ,54.746,16,25.443,2.993,208.571E-6 ,1.384,1.702,4.151,13.888,1.268 ,6.366,8.625,14.876,19.097,0.772898,0.359285,6.411 ,5.938979166666667
133.367 ,60.888 ,89.833 ,543.633 ,42.063984819654394,68.81741110237303,7.53351079770543,402,379,7.562897E-3 ,2.048353E-3 ,58.435,19,33.893,2.227,168.456E-6 ,0.896,1.101,2.687,13.644,1.227 ,6.609,8.984,11.986,19.827,0.776634,0.342714,6.560 ,8.218979166666667
128.743 ,41.717 ,75.030 ,534.396 ,44.61633852033457,68.14420965105109,6.113678720399144,508,483,7.756584E-3 ,1.724007E-3 ,55.391,22,40.195,2.623,203.428E-6 ,1.138,1.375,3.414,12.162,1.128 ,6.031,8.283,13.721,18.093,0.773233,0.356025,6.482 ,9.490979166666667
