Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
126.226 ,89.338 ,80.493 ,573.385 ,44.11810080869564,77.52806712173745,4.78110232157387,362,343,8.023919E-3 ,2.932989E-3 ,52.236,14,55.053,2.460,197.392E-6 ,1.099,1.385,3.296,14.159,1.287 ,6.465,8.598,10.328,19.394,0.798152,0.307321,7.417 ,6.298979166666666
133.843 ,57.059 ,74.167 ,467.112 ,58.29447106267116,75.81119768905225,38.46704154097571,754,720,7.516788E-3 ,2.338862E-3 ,25.656,23,33.265,2.271,170.725E-6 ,1.110,1.197,3.330,14.972,1.373 ,6.739,9.006,11.942,20.216,0.787795,0.318539,6.806 ,8.410979166666667
140.253 ,9.254 ,116.520 ,157.515 ,53.02896573916879,77.0075335622114,23.08879087505514,150,144,7.127752E-3 ,0.499408E-3 ,50.442,3,16.648,1.450,103.372E-6 ,0.554,0.585,1.662,10.572,1.070 ,3.346,5.429,12.497,10.039,0.809505,0.296281,7.623 ,2.290979166666667
129.798 ,74.653 ,80.790 ,587.338 ,55.73503700124712,75.72106714318122,22.936196186590244,718,682,7.755372E-3 ,2.435011E-3 ,40.701,30,39.180,2.459,190.731E-6 ,1.187,1.217,3.561,12.657,1.170 ,5.411,7.657,10.827,16.232,0.805631,0.297616,7.764 ,10.306979166666666
122.661 ,37.832 ,92.877 ,499.580 ,57.00537255802077,76.19524957207804,19.24802144950916,604,585,8.189428E-3 ,1.558088E-3 ,36.885,17,38.786,1.523,124.704E-6 ,0.696,0.807,2.088,10.920,1.020 ,4.715,7.067,11.208,14.144,0.846305,0.218386,9.191 ,8.578979166666667
144.218 ,107.409 ,90.501 ,585.784 ,70.66114264510979,82.09219146929061,36.17130033841837,495,484,7.031847E-3 ,3.041079E-3 ,5.805,6,8.476,2.305,162.100E-6 ,1.009,1.323,3.027,12.891,1.224 ,5.344,8.203,11.226,16.032,0.830248,0.253340,9.015 ,3.826979166666667
104.118 ,70.793 ,75.971 ,597.429 ,62.85780625433439,77.49177138540594,24.935328594446485,471,454,9.685366E-3 ,3.091607E-3 ,21.010,14,16.743,2.184,211.531E-6 ,1.050,1.177,3.150,10.529,0.950 ,4.673,6.281,8.265,14.020,0.843809,0.241467,10.154 ,6.178979166666666
139.067 ,132.583 ,81.466 ,591.692 ,63.46948001131949,77.88409978388337,19.064219026750433,700,676,7.257510E-3 ,4.269690E-3 ,20.000,14,23.809,2.244,162.863E-6 ,1.068,1.297,3.204,12.788,1.206 ,4.970,7.234,13.114,14.910,0.844645,0.226579,9.771 ,6.586979166666667
101.140 ,73.695 ,72.984 ,595.604 ,60.17490916676262,76.74960150937389,22.78074200985887,1186,1123,10.034430E-3 ,3.540848E-3 ,27.423,51,32.088,2.489,249.784E-6 ,1.122,1.432,3.366,11.513,1.075 ,4.646,6.551,10.230,13.939,0.814499,0.283833,8.297 ,17.578979166666667
129.965 ,106.018 ,76.037 ,596.063 ,60.45192726558885,76.47869854882894,23.860830956426867,298,283,7.933352E-3 ,3.661226E-3 ,29.143,8,13.572,2.094,166.117E-6 ,0.887,1.284,2.660,12.302,1.163 ,5.064,6.710,8.891,15.192,0.824821,0.264424,8.570 ,3.5389791666666666
102.413 ,40.906 ,77.038 ,592.258 ,61.5271740866488,78.62595971571989,22.405037109527743,660,630,9.827129E-3 ,2.087327E-3 ,25.769,25,33.677,2.296,225.586E-6 ,0.980,1.235,2.939,11.396,1.113 ,4.322,6.609,11.826,12.967,0.820741,0.273042,8.586 ,9.466979166666667
107.163 ,54.110 ,73.336 ,571.660 ,59.295184036788335,77.58636260633972,20.735320692776263,700,657,9.432250E-3 ,2.497100E-3 ,31.574,33,35.383,2.499,235.724E-6 ,1.092,1.253,3.277,11.943,1.128 ,4.827,6.918,11.061,14.481,0.816836,0.284656,8.368 ,10.450979166666666
109.044 ,89.180 ,75.680 ,594.333 ,55.460320109897275,75.40910064193378,-2.937239018668802,1379,1293,9.351153E-3 ,3.995568E-3 ,30.622,58,28.855,2.532,236.766E-6 ,1.208,1.483,3.624,14.195,1.271 ,6.587,9.277,15.163,19.761,0.793055,0.316521,7.289 ,19.330979166666665
89.313 ,3.109 ,79.914 ,94.475 ,27.883730543078755,72.09218851210419,6.143952726900366,18,15,11.220471E-3 ,0.434012E-3 ,93.855,2,4.015,2.504,280.906E-6 ,1.151,0.707,3.453,10.418,1.025 ,5.064,13.000,--undefined--,15.191,0.722937,0.461207,4.862 ,3.6109791666666666
143.094 ,44.685 ,110.541 ,531.868 ,73.37237919941383,83.81705553448676,33.88916597212445,426,416,7.073464E-3 ,1.237568E-3 ,10.787,7,12.093,1.556,110.087E-6 ,0.715,0.893,2.144,10.726,1.122 ,4.472,6.558,9.598,13.416,0.827641,0.265255,8.921 ,3.4669791666666665
114.164 ,25.628 ,84.863 ,237.134 ,58.59262199368334,77.48139876992532,26.91575572962911,287,279,8.771714E-3 ,1.536642E-3 ,43.777,7,42.589,2.214,194.177E-6 ,1.082,1.345,3.247,10.832,1.093 ,4.068,6.183,13.433,12.205,0.822628,0.279265,9.239 ,4.690979166666667
