Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
560.933 ,7.833 ,552.546 ,570.672 ,45.42954080940283,76.6305656800429,29.588940891270283,32,31,1.851912E-3 ,0.371518E-3 ,89.552,0,0,5.316,98.446E-6 ,3.475,4.146,10.425,18.798,1.414 ,9.703,24.183,--undefined--,29.110,0.555408,0.813572,0.974 ,0.7069791666666667
132.305 ,27.702 ,93.419 ,266.887 ,61.687470841029096,82.98872630495127,23.843660958129654,454,436,7.554969E-3 ,1.512228E-3 ,34.843,17,28.629,1.980,149.605E-6 ,0.820,1.116,2.461,13.257,1.328 ,5.263,7.697,13.568,15.788,0.769443,0.361785,6.322 ,5.770979166666667
196.145 ,127.505 ,96.550 ,557.889 ,58.0719594459971,85.24383958500616,23.92725395334573,276,266,5.163839E-3 ,2.586336E-3 ,46.441,8,44.963,2.450,126.523E-6 ,1.146,1.318,3.437,12.851,1.375 ,6.041,9.504,12.335,18.123,0.770745,0.347239,6.229 ,2.9869791666666665
153.323 ,76.796 ,94.229 ,595.321 ,60.83789854216916,76.70861629431054,26.949278659429943,365,351,6.555067E-3 ,2.102721E-3 ,34.491,12,33.645,2.214,145.154E-6 ,0.854,0.935,2.561,11.658,1.075 ,5.326,7.573,10.895,15.978,0.842898,0.229273,9.176 ,4.066979166666667
150.593 ,85.668 ,106.218 ,581.739 ,62.99786536543585,76.02160502802641,34.2963302925094,257,244,6.766175E-3 ,2.150501E-3 ,31.724,7,39.818,2.053,138.929E-6 ,0.715,0.974,2.145,11.402,1.134 ,5.584,7.442,11.961,16.753,0.833167,0.248998,8.966 ,2.9389791666666665
153.055 ,97.290 ,79.233 ,600.479 ,62.38859473150382,76.28835922103485,26.10002997076108,1341,1294,6.601253E-3 ,2.477931E-3 ,27.504,31,30.921,2.088,137.817E-6 ,0.930,1.086,2.790,11.492,1.067 ,5.414,7.358,11.307,16.242,0.854132,0.211307,9.715 ,12.610979166666667
129.245 ,52.473 ,91.791 ,576.363 ,61.15289463074855,75.35850557478015,23.83183406033843,500,487,7.827751E-3 ,1.801627E-3 ,26.715,8,20.695,1.632,127.756E-6 ,0.630,0.817,1.890,11.508,1.111 ,5.275,6.510,9.821,15.825,0.860381,0.209129,10.152 ,5.578979166666667
140.487 ,82.875 ,85.197 ,597.120 ,61.789284522653375,75.57819050345765,24.648786296429975,911,871,7.259907E-3 ,2.490784E-3 ,26.981,23,30.452,1.983,143.933E-6 ,0.845,1.017,2.536,12.195,1.171 ,5.667,7.196,11.133,17.001,0.838203,0.242138,9.190 ,9.370979166666666
146.361 ,52.142 ,85.324 ,481.264 ,56.455070397849425,73.2196129914726,23.781742313652078,336,323,6.844511E-3 ,1.994773E-3 ,41.920,10,31.607,2.627,179.824E-6 ,0.958,1.218,2.874,12.944,1.211 ,5.896,7.715,12.658,17.687,0.771807,0.365548,6.874 ,4.306979166666666
170.661 ,101.064 ,98.683 ,583.128 ,57.557871420454354,73.52968600191166,20.12271777154818,555,535,5.965127E-3 ,2.261993E-3 ,36.252,12,38.289,1.973,117.704E-6 ,0.787,0.908,2.360,11.818,1.150 ,5.357,7.370,11.318,16.072,0.851123,0.208043,9.179 ,5.746979166666667
146.396 ,72.303 ,78.703 ,595.798 ,58.57623587957183,74.22376280072217,22.579654137051,1978,1913,6.876851E-3 ,2.027803E-3 ,32.762,53,38.244,2.021,139.005E-6 ,0.855,1.047,2.565,12.179,1.138 ,5.438,7.559,11.345,16.315,0.834925,0.246017,8.956 ,21.610979166666667
120.827 ,22.049 ,85.969 ,246.143 ,57.837166783716924,73.11513018588252,22.177519270274594,211,206,8.255270E-3 ,1.383347E-3 ,29.134,4,29.744,1.523,125.761E-6 ,0.639,0.789,1.916,10.861,1.002 ,4.626,6.768,10.734,13.879,0.850046,0.221489,9.399 ,2.5789791666666666
156.433 ,104.310 ,97.021 ,595.246 ,57.499379774497946,72.71888725052085,22.61418916445404,670,645,6.489364E-3 ,2.458032E-3 ,33.719,15,31.701,1.794,116.434E-6 ,0.699,0.877,2.098,11.224,1.136 ,4.775,5.946,10.606,14.324,0.872229,0.175327,10.714 ,6.946979166666667
