Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
142.453 ,100.095 ,75.608 ,576.355 ,49.484956345220766,74.04037427790617,11.531529287505588,229,216,6.948547E-3 ,2.992284E-3 ,32.734,9,38.430,2.736,190.108E-6 ,1.399,1.688,4.198,17.099,1.464 ,7.015,12.047,11.037,21.044,0.774683,0.339006,6.270 ,2.8167800453514737
186.017 ,109.924 ,85.075 ,560.041 ,47.33246339930122,65.79620585473396,5.733713487155292,558,534,5.429436E-3 ,2.606481E-3 ,23.908,10,23.836,4.794,260.272E-6 ,2.808,3.279,8.424,19.562,1.701 ,8.732,11.382,14.998,26.195,0.733637,0.427442,5.174 ,4.3841269841269845
193.559 ,102.873 ,87.662 ,395.822 ,47.81414172956373,62.27618806921751,2.4192799844231363,65,61,5.225099E-3 ,2.544957E-3 ,24.074,2,14.171,3.135,163.804E-6 ,1.491,1.445,4.474,13.706,1.249 ,6.514,7.623,5.467,19.543,0.813971,0.270481,7.806 ,0.5702494331065759
166.938 ,95.654 ,79.794 ,590.439 ,48.992268768188396,71.80835753550286,10.48203989408429,392,375,6.143038E-3 ,2.634420E-3 ,27.348,8,25.210,3.318,203.844E-6 ,1.828,2.245,5.485,16.067,1.474 ,7.683,10.044,11.625,23.048,0.786026,0.326325,6.892 ,3.6526984126984128
153.538 ,108.326 ,73.855 ,585.545 ,51.286625340030376,71.47034260574993,-1.3737487515320848,863,818,6.691223E-3 ,3.138291E-3 ,14.939,23,23.499,3.357,224.613E-6 ,1.845,2.304,5.535,20.713,1.729 ,9.652,14.115,23.012,28.955,0.721982,0.449984,4.785 ,7.466575963718821
149.397 ,104.369 ,75.300 ,597.648 ,49.03701021885079,75.40158911417917,13.683934719602277,811,757,6.806265E-3 ,3.140737E-3 ,36.519,39,33.336,3.143,213.942E-6 ,1.730,2.050,5.189,18.121,1.546 ,8.425,10.537,11.968,25.275,0.752219,0.375583,5.476 ,9.974331065759637
202.934 ,147.057 ,75.426 ,592.562 ,48.392140271215254,68.29456736854094,19.544521834445302,691,652,4.955776E-3 ,3.157451E-3 ,24.096,18,25.601,3.062,151.767E-6 ,1.609,1.896,4.826,19.122,1.756 ,8.648,12.227,19.289,25.943,0.729680,0.428127,4.938 ,5.011065759637188
192.494 ,154.522 ,76.639 ,578.742 ,49.89391143119209,63.4325547290084,20.618545202881972,395,366,5.457646E-3 ,3.249946E-3 ,16.452,12,29.650,2.824,154.112E-6 ,1.483,1.520,4.448,20.076,1.675 ,10.319,15.824,29.756,30.958,0.749082,0.391162,5.693 ,3.130249433106576
184.024 ,137.152 ,99.377 ,562.750 ,49.19002093682973,64.6296888029955,5.637305691798722,250,232,5.588722E-3 ,3.014793E-3 ,17.935,5,18.301,4.083,228.166E-6 ,2.294,3.083,6.881,20.865,1.830 ,10.231,12.456,36.089,30.692,0.666525,0.581003,3.429 ,1.876371882086168
183.770 ,137.241 ,70.821 ,563.430 ,47.220400706965506,68.24140922153754,6.263216678697349,604,570,5.566709E-3 ,3.387843E-3 ,29.772,18,38.832,3.402,189.384E-6 ,1.951,2.352,5.854,19.726,1.692 ,9.367,10.730,14.754,28.101,0.723918,0.444671,4.823 ,5.7424943310657595
