Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
190.204 ,145.894 ,74.079 ,584.049 ,57.18661065572302,80.49017453405327,17.698815872719777,615,565,5.556508E-3 ,4.198901E-3 ,38.978,21,28.522,4.153,230.786E-6 ,2.046,2.341,6.138,18.077,1.620 ,8.185,12.921,18.485,24.556,0.744439,0.414965,5.968 ,6.298979166666666
125.830 ,103.842 ,74.288 ,589.115 ,56.982878780016016,85.26148229274654,25.759243381505765,631,586,8.157550E-3 ,3.674603E-3 ,41.053,32,46.469,2.023,165.003E-6 ,0.858,1.057,2.575,13.575,1.263 ,5.267,8.071,15.777,15.801,0.776037,0.335532,6.225 ,9.538979166666667
153.595 ,156.227 ,74.051 ,603.601 ,55.90858696467185,82.34479798185669,26.673752538325424,1123,1039,6.802663E-3 ,4.987849E-3 ,42.587,48,49.126,2.973,202.248E-6 ,1.418,1.798,4.255,17.335,1.576 ,7.168,11.165,23.818,21.505,0.716400,0.463627,4.714 ,14.338979166666666
250.307 ,199.136 ,73.629 ,603.311 ,58.08435604217344,79.38388024255345,30.756183562669413,1307,1205,4.277982E-3 ,4.252306E-3 ,38.946,38,46.869,4.042,172.926E-6 ,2.070,2.513,6.210,18.000,1.661 ,8.155,13.083,29.100,24.466,0.702575,0.481650,4.310 ,10.666979166666666
115.408 ,94.525 ,74.304 ,586.133 ,62.88942516574003,82.49416957070977,32.119194139888634,459,433,8.861403E-3 ,3.974364E-3 ,28.239,20,33.952,2.688,238.176E-6 ,1.281,1.529,3.843,15.000,1.327 ,5.583,8.970,17.545,16.750,0.735689,0.433669,5.265 ,6.058979166666667
291.257 ,204.747 ,73.588 ,595.154 ,54.98248613677627,78.31383380063929,29.88114784962682,589,547,3.565228E-3 ,3.558565E-3 ,46.567,20,54.511,5.008,178.559E-6 ,2.496,3.006,7.487,21.793,1.823 ,8.334,11.310,38.081,25.003,0.651232,0.586931,2.917 ,4.690979166666667
151.082 ,146.573 ,73.518 ,597.417 ,54.58228388386063,77.82070100824055,24.967431386297847,429,396,6.984955E-3 ,5.006436E-3 ,41.522,17,37.863,2.540,177.449E-6 ,1.173,1.611,3.520,17.803,1.567 ,6.818,9.234,10.391,20.453,0.715909,0.449345,4.448 ,5.818979166666667
237.684 ,217.582 ,73.908 ,596.558 ,63.66955240712906,81.41931686702735,35.59682822935211,434,401,4.539028E-3 ,4.551311E-3 ,29.143,15,27.828,3.570,162.021E-6 ,1.747,1.904,5.241,18.387,1.506 ,9.373,13.556,33.118,28.120,0.711508,0.473789,4.663 ,3.5389791666666666
249.921 ,192.095 ,74.427 ,598.569 ,52.527528499637526,77.33919700403108,23.28917887183387,1295,1206,4.203618E-3 ,4.010692E-3 ,43.394,40,50.661,4.226,177.638E-6 ,2.184,2.710,6.552,21.816,1.831 ,9.809,14.872,19.415,29.428,0.704204,0.482393,4.376 ,10.930979166666667
164.216 ,145.178 ,74.782 ,588.394 ,56.5878107371865,80.5117001646927,27.71306565883426,716,667,6.423044E-3 ,4.223184E-3 ,44.363,31,52.268,2.944,189.110E-6 ,1.389,1.767,4.166,16.952,1.552 ,7.709,11.056,15.626,23.128,0.724343,0.439697,4.840 ,9.610979166666667
130.578 ,121.935 ,74.035 ,591.847 ,51.9199079628052,76.41683399138617,22.233493536410336,419,380,8.086642E-3 ,4.659654E-3 ,44.842,23,47.959,3.019,244.120E-6 ,1.447,1.971,4.341,13.832,1.382 ,5.446,8.923,21.799,16.339,0.751104,0.402309,5.971 ,7.018979166666667
158.022 ,143.636 ,73.475 ,584.813 ,54.64410776066182,78.8712682149845,13.547597642773797,927,873,6.686122E-3 ,4.603372E-3 ,39.803,30,44.782,3.532,236.160E-6 ,1.750,2.270,5.251,17.178,1.558 ,8.173,12.055,19.619,24.518,0.735555,0.415395,5.145 ,11.218979166666667
155.011 ,156.271 ,73.896 ,599.075 ,53.69921045864221,76.56496011120277,22.741410603177208,734,674,6.860577E-3 ,5.045528E-3 ,37.989,38,45.454,2.907,199.412E-6 ,1.381,1.643,4.143,17.706,1.497 ,8.211,11.323,23.334,24.633,0.703267,0.496311,4.353 ,8.986979166666666
217.218 ,193.695 ,74.922 ,597.867 ,54.0213506437533,69.94851876866848,27.017621818370934,712,655,4.833115E-3 ,4.591448E-3 ,29.682,26,39.955,4.121,199.183E-6 ,2.192,2.420,6.576,21.442,1.773 ,10.111,14.602,33.464,30.334,0.696888,0.487053,4.035 ,5.698979166666667
271.163 ,228.804 ,75.110 ,599.842 ,37.64632255657743,72.27162410485572,-4.10824920634925,196,179,3.852468E-3 ,4.259774E-3 ,73.569,6,23.707,3.398,130.924E-6 ,1.561,2.069,4.682,23.931,2.118 ,8.776,31.007,--undefined--,26.329,0.651869,0.598575,3.037 ,3.7069791666666667
244.937 ,137.320 ,75.593 ,395.618 ,48.09022657860498,69.722311632174,28.276931747359114,55,51,4.214995E-3 ,3.387521E-3 ,41.304,2,30.358,5.115,215.578E-6 ,2.596,2.851,7.787,29.222,1.789 ,17.318,42.521,--undefined--,51.953,0.690447,0.557133,4.550 ,0.4909791666666667
284.231 ,40.620 ,228.154 ,403.329 ,64.61884600561719,85.42698519253513,44.69717384911096,126,122,3.521731E-3 ,0.639942E-3 ,50.000,2,24.338,1.977,69.614E-6 ,0.890,1.059,2.670,8.854,0.962 ,3.009,3.857,7.482,9.028,0.877877,0.176465,10.664 ,1.0189791666666668
184.029 ,88.346 ,88.118 ,470.791 ,66.91583800665607,84.47423489497038,38.47004597283552,407,388,5.488385E-3 ,2.236462E-3 ,39.024,15,46.585,2.454,134.705E-6 ,1.222,1.287,3.666,13.267,1.222 ,5.644,7.336,12.011,16.933,0.798138,0.308756,7.168 ,4.138979166666667
126.508 ,101.583 ,78.614 ,542.405 ,61.89958633322505,81.51926270069754,33.67336756520845,294,277,8.122949E-3 ,3.725470E-3 ,35.980,11,38.426,2.692,218.630E-6 ,1.310,1.599,3.931,16.559,1.442 ,6.702,8.499,15.631,20.105,0.721700,0.444306,4.687 ,4.066979166666667
--undefined-- ,--undefined-- ,--undefined-- ,--undefined-- ,45.18900461619238,68.54625027592863,34.671111127053955,1,0,--undefined-- ,--undefined-- ,97.895,0,0,--undefined--,--undefined-- ,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,1.9309791666666667
