Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
128.654 ,10.696 ,93.621 ,149.304 ,57.278473175115565,67.6145842698592,26.17774175260407,95,93,7.809996E-3 ,0.693799E-3 ,21.359,1,16.374,1.800,140.614E-6 ,0.909,1.073,2.727,13.856,1.085 ,6.978,9.258,13.622,20.934,0.775988,0.338220,6.588 ,1.0669791666666666
131.681 ,8.792 ,113.355 ,150.097 ,51.52004427896435,68.06916857858293,20.04598836354988,121,120,7.595893E-3 ,0.502452E-3 ,30.597,0,0,0.960,72.885E-6 ,0.412,0.555,1.237,9.944,1.002 ,4.819,5.836,8.550,14.458,0.852017,0.212612,9.814 ,1.3789791666666666
155.786 ,81.893 ,106.653 ,419.706 ,50.537474778221025,66.30292443355857,19.88276403515418,133,129,6.477902E-3 ,2.415462E-3 ,24.576,2,23.444,1.697,109.901E-6 ,0.872,0.964,2.615,10.785,1.152 ,4.832,6.654,10.915,14.495,0.821307,0.260758,8.146 ,1.2109791666666667
169.064 ,98.275 ,83.720 ,587.471 ,53.131311836964365,69.26881457604729,22.33116466665703,643,621,6.018149E-3 ,2.310111E-3 ,23.978,15,28.776,2.200,132.425E-6 ,0.973,1.167,2.918,13.040,1.252 ,5.964,7.706,12.712,17.892,0.780617,0.332510,6.579 ,5.4109791666666665
211.992 ,124.759 ,97.328 ,496.207 ,46.13234654366173,66.82095531740939,23.997028845675537,118,114,4.685730E-3 ,2.224177E-3 ,52.239,2,28.606,2.727,127.791E-6 ,1.395,1.711,4.184,12.111,1.078 ,5.626,6.576,9.232,16.879,0.765854,0.361218,5.958 ,1.3789791666666666
167.641 ,103.856 ,111.476 ,597.743 ,51.876890687035804,70.49833055957404,22.410433009496906,294,280,6.170930E-3 ,2.391839E-3 ,39.577,10,30.906,2.366,146.008E-6 ,1.258,1.355,3.773,11.112,1.083 ,5.324,7.006,10.028,15.973,0.793277,0.316753,7.603 ,3.346979166666667
151.604 ,67.470 ,78.434 ,529.775 ,52.219239589048414,70.47088166805759,20.22942819477938,720,679,6.703973E-3 ,2.011187E-3 ,39.549,30,44.385,2.290,153.515E-6 ,1.034,1.222,3.103,11.822,1.124 ,5.324,7.464,10.022,15.973,0.767608,0.369954,6.656 ,8.458979166666667
182.103 ,116.321 ,102.470 ,599.003 ,51.91898657564693,69.48599139033965,21.777074903604014,829,793,5.628161E-3 ,2.532146E-3 ,28.670,20,33.324,2.577,145.020E-6 ,1.260,1.464,3.779,13.860,1.279 ,6.140,9.310,14.814,18.420,0.758373,0.377854,5.901 ,7.258979166666666
198.163 ,133.675 ,101.238 ,589.433 ,48.68722769595214,68.3724591306924,20.612171550806924,280,268,5.178138E-3 ,2.754434E-3 ,43.816,8,39.684,2.489,128.859E-6 ,1.282,1.429,3.846,16.026,1.430 ,6.964,10.001,16.010,20.892,0.743452,0.409770,5.377 ,2.866979166666667
169.552 ,103.153 ,81.075 ,592.924 ,52.406946554808606,69.74261205529818,21.27169159597623,210,194,6.002975E-3 ,2.429649E-3 ,36.449,9,37.873,3.349,201.014E-6 ,1.741,1.994,5.224,15.578,1.507 ,5.934,9.003,19.429,17.801,0.707849,0.468439,4.425 ,2.1709791666666667
167.364 ,51.051 ,127.048 ,551.875 ,45.45003662092739,59.49882459205911,27.36937524318607,210,200,6.083401E-3 ,1.162187E-3 ,34.951,5,14.866,3.097,188.399E-6 ,1.431,1.846,4.294,14.640,1.408 ,6.042,10.116,15.251,18.125,0.768136,0.360589,6.454 ,2.0989791666666666
143.809 ,63.615 ,97.433 ,563.797 ,43.290610401464285,57.7386538604291,24.994276897686547,389,368,7.010295E-3 ,2.093618E-3 ,35.983,17,44.612,2.586,181.316E-6 ,1.188,1.451,3.565,15.524,1.383 ,6.738,8.958,12.926,20.214,0.766486,0.354979,5.986 ,4.810979166666667
119.339 ,21.016 ,103.310 ,234.637 ,38.939610460982024,57.54446940616913,23.306944468728176,125,116,8.407980E-3 ,1.124952E-3 ,55.725,8,61.277,1.664,139.891E-6 ,0.652,0.700,1.956,12.226,1.146 ,5.384,7.537,11.021,16.152,0.811292,0.267847,7.407 ,2.6509791666666667
134.707 ,56.934 ,86.251 ,566.089 ,43.02753694804673,59.44158708494926,23.39067248773459,1098,1043,7.472213E-3 ,2.043564E-3 ,30.468,47,39.137,2.806,209.704E-6 ,1.254,1.485,3.761,14.618,1.395 ,6.265,9.280,15.332,18.795,0.789912,0.315481,6.796 ,13.066979166666666
143.522 ,64.235 ,80.390 ,570.381 ,43.63356395170288,60.13924555707882,22.142598999159052,781,744,6.970045E-3 ,2.156155E-3 ,27.628,31,35.262,2.710,188.918E-6 ,1.276,1.484,3.827,15.385,1.463 ,6.709,10.240,14.683,20.126,0.786681,0.325022,6.705 ,8.218979166666667
133.829 ,53.740 ,91.422 ,592.575 ,46.50985331494668,59.05975917605582,24.573009622837976,542,522,7.469857E-3 ,1.918887E-3 ,19.857,16,28.676,2.336,174.507E-6 ,0.979,1.232,2.938,14.538,1.323 ,6.031,8.942,14.795,18.094,0.785070,0.326368,6.580 ,5.626979166666667
129.329 ,43.806 ,86.806 ,290.819 ,38.92169837478434,52.811200183415,-5.895048008090525,64,61,7.822984E-3 ,2.001132E-3 ,28.049,2,24.808,2.986,233.628E-6 ,1.143,1.237,3.429,15.399,1.295 ,7.742,9.707,16.060,23.226,0.735944,0.432923,5.319 ,0.8509791666666666
