Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
178.159 ,21.401 ,152.718 ,206.160 ,32.80044106620406,62.78995956697109,11.227792970119449,54,52,5.597777E-3 ,0.676751E-3 ,65.306,1,8.574,1.757,98.361E-6 ,0.932,1.168,2.795,15.148,1.445 ,6.306,8.989,28.454,18.919,0.794206,0.357385,6.820 ,1.0189791666666668
157.858 ,75.728 ,93.171 ,599.814 ,43.34260011035619,63.02213336487839,20.494584474026027,705,663,6.358774E-3 ,2.008502E-3 ,42.560,36,46.239,2.458,156.316E-6 ,1.210,1.327,3.630,16.983,1.474 ,7.566,10.801,16.112,22.699,0.768248,0.363359,6.238 ,9.178979166666666
148.479 ,75.824 ,89.352 ,579.966 ,44.023661425502475,64.18152045707187,19.537327497522504,917,869,6.822768E-3 ,2.172783E-3 ,42.558,38,45.996,2.173,148.230E-6 ,0.972,1.166,2.915,16.226,1.419 ,7.277,10.654,17.971,21.832,0.781930,0.324622,6.378 ,12.466979166666667
144.776 ,67.482 ,75.380 ,595.566 ,43.82297100821366,63.8968886615092,19.20866767840883,1326,1252,6.977401E-3 ,2.009256E-3 ,40.636,62,48.891,2.403,167.650E-6 ,1.107,1.375,3.321,17.116,1.518 ,7.507,12.020,21.852,22.521,0.770008,0.353674,6.071 ,17.650979166666666
138.261 ,39.004 ,89.169 ,543.573 ,44.7893770775782,64.73639077091289,22.039072952635035,659,624,7.227989E-3 ,1.450060E-3 ,41.542,31,50.360,2.424,175.208E-6 ,1.155,1.185,3.466,16.483,1.469 ,7.698,11.726,15.206,23.093,0.776046,0.337849,6.299 ,9.370979166666666
130.730 ,38.923 ,98.240 ,460.216 ,40.840562561327914,62.54038447503086,17.2515079650473,769,724,7.705174E-3 ,1.555999E-3 ,47.833,40,39.758,2.732,210.512E-6 ,1.374,1.557,4.121,17.193,1.534 ,8.118,11.153,20.167,24.354,0.755416,0.387534,5.669 ,13.186979166666667
152.970 ,53.525 ,89.582 ,523.712 ,42.61958501339461,63.37670123525147,16.03322523063607,796,749,6.579102E-3 ,1.668954E-3 ,41.476,37,41.735,3.119,205.217E-6 ,1.647,1.802,4.941,16.095,1.490 ,7.712,12.166,18.883,23.137,0.757260,0.387091,5.804 ,10.066979166666666
166.244 ,91.719 ,100.792 ,597.778 ,41.94747481881584,63.69550722120594,20.218308215598082,361,344,6.037566E-3 ,2.291993E-3 ,36.317,14,40.830,3.302,199.362E-6 ,1.669,1.713,5.006,16.353,1.507 ,7.511,11.011,12.886,22.534,0.744153,0.413110,5.473 ,3.9469791666666665
143.909 ,72.517 ,88.444 ,529.573 ,39.62647141328323,61.38515663834285,14.445446069988373,773,727,6.997000E-3 ,2.365375E-3 ,42.844,38,41.691,3.069,214.747E-6 ,1.574,1.900,4.723,17.272,1.531 ,7.823,11.400,20.200,23.469,0.746386,0.392726,5.408 ,11.146979166666666
157.739 ,71.927 ,91.714 ,565.625 ,41.59248391177385,59.21554442560346,18.971576735534622,432,408,6.369620E-3 ,1.979210E-3 ,48.837,18,43.778,2.474,157.616E-6 ,1.264,1.354,3.793,17.737,1.502 ,8.686,11.368,14.898,26.057,0.759440,0.367315,5.786 ,6.058979166666667
