Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
102.772 ,28.483 ,78.758 ,426.100 ,45.30800379310753,65.6661188300332,-28.716159002936436,787,750,9.802534E-3 ,1.500808E-3 ,33.389,28,36.512,2.210,216.608E-6 ,1.034,1.212,3.102,16.136,1.414 ,6.642,10.237,19.483,19.926,0.793487,0.304649,6.778 ,12.0118820861678
108.088 ,41.247 ,77.501 ,566.794 ,43.60863085053255,66.72672588649198,8.468009744677405,312,297,9.259398E-3 ,1.966215E-3 ,43.414,13,43.042,1.782,164.968E-6 ,0.836,1.017,2.508,15.532,1.354 ,7.169,9.899,12.183,21.506,0.779474,0.338875,6.644 ,5.429024943310657
110.436 ,46.268 ,75.418 ,515.699 ,46.85729056103142,65.19486868303501,-5.570840886960243,435,408,9.122239E-3 ,2.053446E-3 ,35.457,25,45.830,2.216,202.138E-6 ,0.986,1.212,2.958,15.219,1.318 ,6.503,7.726,12.308,19.510,0.785494,0.324320,6.878 ,7.257596371882086
109.855 ,23.922 ,78.541 ,458.339 ,46.462699080724626,72.90697219600497,-3.303320547929446,793,747,9.112179E-3 ,1.268022E-3 ,45.600,44,49.198,1.607,146.438E-6 ,0.699,0.812,2.096,15.461,1.292 ,6.675,9.537,12.502,20.026,0.807168,0.283112,7.327 ,13.788208616780045
110.434 ,48.089 ,80.537 ,509.459 ,44.58523186483451,65.04397369483142,6.966505750772775,720,688,9.178351E-3 ,1.907660E-3 ,35.064,27,40.372,2.022,185.625E-6 ,0.952,1.163,2.855,17.001,1.471 ,7.286,9.693,15.151,21.857,0.766063,0.353282,5.966 ,11.01922902494331
131.289 ,32.690 ,101.040 ,292.713 ,48.1320271247329,61.72035731022756,10.444049316828822,261,253,7.662043E-3 ,1.469049E-3 ,19.066,6,20.622,3.032,232.277E-6 ,1.504,1.715,4.513,16.026,1.347 ,7.294,10.200,14.447,21.881,0.801007,0.298616,7.417 ,2.607800453514739
125.252 ,67.468 ,95.993 ,552.245 ,38.30683052636021,65.76723765587835,-12.999469175693816,249,237,8.093279E-3 ,2.154488E-3 ,49.057,8,48.122,1.969,159.384E-6 ,0.947,1.087,2.841,17.248,1.539 ,6.394,9.419,20.820,19.181,0.814303,0.265013,7.468 ,4.279637188208617
114.169 ,14.265 ,76.222 ,143.414 ,43.23645160230594,61.612914795524205,6.143046547478621,286,274,8.781947E-3 ,1.181884E-3 ,34.419,11,26.741,2.665,234.061E-6 ,1.308,1.460,3.923,15.118,1.362 ,7.501,9.029,11.700,22.502,0.786319,0.325701,6.648 ,4.3318820861678
116.633 ,54.194 ,85.476 ,562.273 ,39.764992639454576,63.53439045729935,6.377436573502288,402,385,8.740189E-3 ,1.853435E-3 ,41.925,12,45.581,2.707,236.582E-6 ,1.285,1.500,3.855,15.945,1.339 ,6.754,8.798,13.289,20.261,0.802036,0.300604,7.837 ,6.473922902494331
111.272 ,12.839 ,90.082 ,148.358 ,41.542210516062475,63.50778409796849,-1.8265310569050233,219,210,9.019064E-3 ,1.046360E-3 ,36.705,8,40.098,2.881,259.823E-6 ,1.567,1.843,4.701,15.601,1.426 ,6.851,9.864,17.685,20.554,0.768043,0.356205,6.083 ,3.4959637188208617
110.553 ,12.425 ,88.911 ,151.414 ,38.97557488339043,61.80810679951121,1.3888180468381162,220,209,9.073171E-3 ,0.989634E-3 ,45.431,9,42.492,2.236,202.917E-6 ,0.984,1.206,2.952,16.550,1.436 ,7.195,10.770,14.428,21.584,0.787724,0.321219,6.747 ,3.8616780045351473
104.153 ,9.443 ,84.508 ,135.403 ,45.41529307490123,71.84975949240476,-1.5320195910220533,377,358,9.614764E-3 ,0.891810E-3 ,45.821,18,37.699,2.196,211.153E-6 ,0.910,1.105,2.729,14.791,1.234 ,6.226,9.501,16.413,18.677,0.813205,0.271769,7.667 ,6.73514739229025
113.589 ,28.640 ,85.507 ,301.207 ,50.1142078609371,64.53205108526687,13.192286078095673,335,311,8.868748E-3 ,1.526759E-3 ,29.876,19,35.706,2.418,214.460E-6 ,1.001,1.141,3.004,17.212,1.488 ,7.775,9.740,11.665,23.325,0.795397,0.303105,7.003 ,4.854331065759637
115.039 ,74.726 ,79.167 ,562.099 ,32.88231212002245,65.99903319999969,2.1868231341015014,462,424,8.999169E-3 ,2.817513E-3 ,64.841,28,58.809,1.925,173.251E-6 ,0.766,1.016,2.297,17.682,1.552 ,7.584,11.540,15.491,22.753,0.782071,0.320143,6.348 ,12.638820861678004
148.251 ,80.120 ,80.522 ,549.066 ,57.096386557317494,70.15892208646157,0.4103783781651523,125,111,7.254422E-3 ,1.836488E-3 ,25.352,5,34.273,3.376,244.929E-6 ,1.266,1.264,3.797,15.713,1.432 ,6.656,9.084,12.535,19.969,0.794929,0.310348,7.226 ,1.4584126984126984
125.729 ,58.790 ,89.454 ,433.458 ,47.10889788097674,66.30396620951407,10.881663452958108,406,382,8.043861E-3 ,2.366017E-3 ,39.968,17,35.841,2.443,196.515E-6 ,1.139,1.266,3.417,17.510,1.572 ,7.617,11.301,22.967,22.850,0.766715,0.353993,5.885 ,6.212698412698413
106.952 ,28.405 ,80.828 ,345.688 ,51.84860803498996,66.56643886368337,-1.0557644477336645,264,251,9.360588E-3 ,1.593943E-3 ,30.239,12,32.092,2.197,205.651E-6 ,0.901,1.107,2.702,17.623,1.445 ,7.877,12.104,18.461,23.631,0.777553,0.328233,6.154 ,3.809433106575964
112.384 ,23.889 ,85.747 ,446.549 ,47.59352518465745,67.97402571088892,-1.0690341345758096,1007,961,8.913212E-3 ,1.354009E-3 ,38.050,43,41.911,2.001,178.387E-6 ,0.835,1.009,2.505,16.419,1.428 ,7.225,11.060,17.861,21.676,0.791917,0.306923,6.696 ,15.72126984126984
109.528 ,17.612 ,89.851 ,255.818 ,48.24796109769781,67.17152023091788,-3.7364113165307677,382,364,9.172588E-3 ,1.126466E-3 ,37.891,16,31.516,1.921,176.180E-6 ,0.915,1.085,2.745,14.460,1.288 ,6.626,10.133,16.726,19.879,0.780801,0.332434,6.453 ,6.108208616780045
105.955 ,12.195 ,84.391 ,134.452 ,46.2339344279526,66.03707641529269,6.750705184406356,328,308,9.447812E-3 ,1.114537E-3 ,41.723,19,40.389,2.775,262.156E-6 ,1.348,1.506,4.043,17.734,1.566 ,7.954,11.483,16.517,23.861,0.732906,0.416786,5.078 ,5.951473922902494
116.531 ,39.552 ,83.363 ,526.331 ,46.58118277942542,67.97041196274049,11.832900887948828,487,462,8.582126E-3 ,1.731744E-3 ,39.566,24,37.119,2.159,185.270E-6 ,1.022,1.150,3.065,16.320,1.420 ,6.912,10.071,14.559,20.736,0.787766,0.312400,6.683 ,7.4143310657596375
114.172 ,44.909 ,79.800 ,538.673 ,49.18504420368343,64.4827820215597,9.767096612086405,943,901,8.861372E-3 ,1.823585E-3 ,29.286,34,35.101,2.231,197.659E-6 ,1.100,1.311,3.300,15.860,1.383 ,7.671,10.603,14.459,23.013,0.788994,0.322336,6.686 ,12.638820861678004
114.093 ,30.963 ,79.554 ,449.861 ,46.282533974973546,64.92466210759,2.2225223940493404,572,540,8.809118E-3 ,1.455641E-3 ,40.830,28,40.976,2.416,212.843E-6 ,1.157,1.385,3.470,16.684,1.441 ,7.891,10.709,14.875,23.672,0.751319,0.386486,5.601 ,9.190657596371882
114.909 ,23.499 ,79.590 ,272.413 ,45.98323315359083,75.26158565715772,4.918979484701921,541,511,8.704909E-3 ,1.543174E-3 ,49.341,29,48.891,2.175,189.346E-6 ,0.897,1.109,2.690,15.049,1.301 ,6.949,9.904,15.999,20.847,0.799382,0.293873,7.079 ,10.653514739229024
116.449 ,34.514 ,78.167 ,410.704 ,53.10929476103452,69.89845517052419,-7.940012616256833,670,635,8.681405E-3 ,1.581908E-3 ,24.703,28,31.368,2.136,185.425E-6 ,0.980,1.110,2.940,14.632,1.300 ,6.457,8.661,13.875,19.370,0.809828,0.286923,7.838 ,8.45922902494331
114.902 ,53.577 ,78.365 ,614.098 ,50.71469084631741,70.97483349326987,-4.40026750557164,672,641,8.755508E-3 ,2.121042E-3 ,33.652,25,33.764,2.096,183.526E-6 ,0.926,1.088,2.778,15.004,1.365 ,6.194,8.980,15.042,18.582,0.807791,0.283622,7.457 ,9.451882086167801
122.091 ,65.232 ,79.792 ,597.832 ,48.62517234475557,69.27576147570748,2.914444209247532,999,941,8.242067E-3 ,2.263718E-3 ,43.964,49,36.692,2.367,195.105E-6 ,1.044,1.320,3.133,15.334,1.359 ,6.704,10.012,15.329,20.111,0.776524,0.344496,6.409 ,15.773514739229025
464.116 ,144.374 ,132.518 ,596.414 ,24.98166318782955,66.33128483625572,2.307684260396967,202,195,2.230889E-3 ,1.154946E-3 ,86.047,2,3.272,7.268,162.152E-6 ,4.203,5.345,12.608,22.331,1.790 ,11.169,16.409,11.903,33.507,0.644889,0.586844,2.766 ,4.3318820861678
101.426 ,13.097 ,80.550 ,137.432 ,49.303478915283264,70.03652468162124,-0.5216808477722373,363,345,9.865141E-3 ,1.223603E-3 ,35.511,17,30.046,1.861,183.554E-6 ,0.857,1.035,2.572,12.711,1.167 ,5.802,8.084,11.472,17.406,0.800687,0.290743,7.159 ,6.003718820861678
114.287 ,71.370 ,81.422 ,583.507 ,53.62937765406914,67.5887882047306,14.49355641930509,349,330,8.923014E-3 ,2.671053E-3 ,25.843,11,29.774,1.829,163.174E-6 ,0.818,0.937,2.455,15.005,1.315 ,6.905,9.306,12.942,20.715,0.776036,0.337024,6.386 ,4.488616780045351
121.559 ,69.111 ,87.033 ,563.160 ,48.45773614528294,66.985119457227,5.755602275100751,450,422,8.354526E-3 ,2.490878E-3 ,40.593,21,43.435,2.119,177.040E-6 ,0.944,1.031,2.833,14.704,1.315 ,6.626,9.260,12.698,19.879,0.790539,0.315211,6.831 ,6.787392290249433
114.651 ,73.196 ,77.460 ,601.834 ,50.691482098559305,69.14140347007076,11.238872250624201,738,698,8.817204E-3 ,2.774887E-3 ,37.281,32,43.196,1.950,171.949E-6 ,0.754,0.864,2.261,14.812,1.302 ,6.902,9.448,14.073,20.705,0.798703,0.297347,7.125 ,11.43718820861678
114.394 ,73.772 ,79.262 ,489.306 ,43.038394031559875,68.33263449340674,0.5725895012902229,273,252,8.894481E-3 ,3.118329E-3 ,52.120,18,38.870,2.567,228.350E-6 ,1.116,1.241,3.349,17.682,1.599 ,7.839,12.392,20.024,23.518,0.739700,0.400109,5.180 ,5.690249433106576
165.704 ,116.397 ,96.515 ,592.599 ,53.70998560638411,72.30895356865476,3.124281013017568,228,211,6.206817E-3 ,2.880936E-3 ,32.035,8,29.511,3.400,211.021E-6 ,1.582,2.128,4.746,21.091,1.744 ,10.698,14.134,16.979,32.094,0.737629,0.400288,5.052 ,2.346575963718821
124.877 ,34.503 ,91.140 ,475.538 ,52.032775360668694,70.19439237597845,13.771891270427183,860,830,8.089329E-3 ,1.378356E-3 ,30.402,27,34.799,2.220,179.590E-6 ,1.018,1.173,3.054,14.599,1.311 ,6.668,9.121,12.227,20.003,0.805249,0.292380,7.433 ,10.496780045351475
123.091 ,40.254 ,77.271 ,411.877 ,42.34019848499029,64.50367726901587,5.0725044963513,275,259,8.136389E-3 ,1.896447E-3 ,48.963,14,35.923,2.741,223.030E-6 ,1.261,1.355,3.784,14.103,1.273 ,5.893,8.763,17.422,17.678,0.795559,0.307172,7.065 ,4.854331065759637
140.026 ,72.181 ,91.239 ,592.830 ,48.984755919398935,68.98792669625992,-2.704361167568561,514,479,7.299542E-3 ,2.143513E-3 ,40.816,23,44.304,3.403,248.386E-6 ,1.791,1.943,5.374,16.500,1.444 ,7.738,10.069,13.913,23.213,0.735281,0.424714,5.154 ,6.891882086167801
146.164 ,97.651 ,90.373 ,597.033 ,47.40442315917966,67.28294231669545,9.885056759055848,619,574,7.091423E-3 ,2.527597E-3 ,40.819,26,42.133,2.730,193.566E-6 ,1.322,1.517,3.965,15.740,1.451 ,7.017,9.784,13.102,21.051,0.760460,0.375339,6.042 ,8.093514739229025
126.417 ,39.241 ,90.572 ,463.375 ,47.75251262391063,66.51405514631399,3.5026832996095063,428,409,7.975893E-3 ,1.614665E-3 ,40.777,18,39.230,2.217,176.799E-6 ,1.151,1.385,3.454,14.051,1.305 ,6.560,9.497,15.011,19.679,0.786477,0.329090,6.736 ,6.212698412698413
145.644 ,110.282 ,89.968 ,595.086 ,44.33303511162859,62.15865023101598,15.000773015826665,185,169,7.158887E-3 ,2.843168E-3 ,46.269,9,45.224,2.548,182.439E-6 ,1.084,1.196,3.251,13.382,1.272 ,5.852,8.228,14.593,17.557,0.789200,0.327375,7.470 ,2.7122902494331065
123.470 ,10.931 ,98.353 ,142.756 ,44.689368517967104,66.08790327971634,7.325776285334191,123,118,8.139432E-3 ,0.777661E-3 ,44.444,4,16.174,3.215,261.670E-6 ,1.794,1.712,5.381,17.124,1.669 ,8.509,10.344,13.235,25.526,0.720982,0.443964,4.636 ,1.9286167800453515
123.159 ,19.832 ,87.826 ,200.420 ,44.824097646238236,66.00802997951507,2.670973162840333,183,174,8.103385E-3 ,1.143898E-3 ,50.606,8,31.771,2.170,175.832E-6 ,1.141,1.183,3.424,14.473,1.299 ,6.315,10.322,15.013,18.945,0.741618,0.399905,5.171 ,3.3392290249433105
124.834 ,38.198 ,88.830 ,558.128 ,47.599310080891556,66.0244130085504,13.967719568589601,738,705,8.033650E-3 ,1.511932E-3 ,40.165,32,40.963,2.727,219.081E-6 ,1.326,1.546,3.977,14.946,1.317 ,6.639,9.387,14.101,19.918,0.764476,0.362526,6.041 ,10.966984126984126
135.810 ,75.397 ,92.145 ,592.476 ,42.44779640967794,65.97713148607636,1.064146867964665,729,685,7.425641E-3 ,2.414908E-3 ,51.200,32,53.879,2.529,187.765E-6 ,1.161,1.373,3.484,15.452,1.392 ,7.505,10.736,13.590,22.516,0.760336,0.363373,5.758 ,12.534331065759638
117.668 ,13.257 ,91.837 ,148.593 ,54.82323862418874,69.62489873760711,5.506759541454422,130,126,8.482707E-3 ,1.027145E-3 ,25.316,3,22.328,1.915,162.426E-6 ,0.906,0.901,2.718,11.018,1.002 ,4.928,6.938,10.742,14.784,0.831206,0.253139,8.432 ,1.6151473922902495
131.556 ,92.334 ,82.904 ,532.381 ,46.316610784291456,65.62345266819688,11.437890949397321,396,368,7.714592E-3 ,3.298129E-3 ,41.980,21,37.421,2.452,189.153E-6 ,1.105,1.191,3.315,18.624,1.608 ,8.344,12.393,19.495,25.032,0.755177,0.376021,5.586 ,5.899229024943311
129.109 ,99.303 ,77.148 ,588.783 ,47.47874234148622,65.69176097694682,-7.5375853134954784,673,623,7.941055E-3 ,3.510510E-3 ,42.843,41,48.172,2.447,194.354E-6 ,1.104,1.241,3.312,16.089,1.425 ,7.231,10.162,15.968,21.692,0.760615,0.366505,5.981 ,10.026575963718821
108.122 ,45.229 ,75.340 ,489.045 ,39.97920086900714,70.40436075487553,9.79410415411735,363,335,9.243170E-3 ,2.525748E-3 ,60.502,24,63.847,2.181,201.637E-6 ,0.945,1.038,2.836,17.059,1.461 ,7.605,10.539,13.189,22.816,0.761504,0.354668,5.709 ,9.608616780045352
132.478 ,56.474 ,92.552 ,526.201 ,38.16558159843043,71.63091356961155,2.5793463916373858,202,194,7.605598E-3 ,2.025813E-3 ,59.653,7,60.210,2.204,167.621E-6 ,1.020,1.106,3.059,14.230,1.181 ,6.823,8.422,11.529,20.469,0.806786,0.291814,7.530 ,4.070657596371882
122.151 ,62.493 ,83.954 ,470.353 ,43.71709806560377,67.03356971205083,13.290108070960258,795,739,8.270922E-3 ,2.423074E-3 ,45.181,46,51.999,2.122,175.510E-6 ,1.001,1.158,3.004,15.898,1.425 ,6.735,10.090,15.898,20.205,0.771544,0.346547,6.169 ,13.318004535147391
118.621 ,56.968 ,80.452 ,552.472 ,43.96453943688077,65.93618231945413,-3.6736459960178736,568,535,8.513163E-3 ,2.244163E-3 ,41.229,28,45.328,1.969,167.663E-6 ,0.903,1.103,2.709,16.776,1.486 ,7.455,10.981,17.415,22.366,0.760716,0.372312,6.026 ,8.981678004535148
129.993 ,82.784 ,93.550 ,486.817 ,37.041474292823914,63.067996705624694,7.720473045374092,228,214,7.781125E-3 ,2.976795E-3 ,53.960,10,55.852,2.176,169.309E-6 ,1.060,1.202,3.180,17.115,1.507 ,7.924,11.010,18.299,23.771,0.727469,0.423177,4.724 ,4.070657596371882
169.022 ,138.687 ,88.251 ,553.787 ,47.509208536938026,67.76586774999699,20.15046545936619,325,300,6.035322E-3 ,3.445779E-3 ,45.411,17,50.140,2.661,160.605E-6 ,1.365,1.712,4.096,19.566,1.601 ,9.742,14.121,18.200,29.225,0.724677,0.440371,4.923 ,4.175147392290249
109.956 ,12.191 ,82.252 ,143.854 ,37.162368681884914,66.32639324932003,-1.0367516456575774,243,229,9.093233E-3 ,0.978147E-3 ,61.189,13,33.191,1.296,117.862E-6 ,0.529,0.736,1.586,14.972,1.324 ,6.344,9.124,15.355,19.033,0.779870,0.318101,6.112 ,6.421678004535147
133.310 ,83.908 ,87.361 ,524.684 ,46.892403434587095,69.07617073632497,0.9777090176689579,306,283,7.512359E-3 ,3.004315E-3 ,51.376,18,47.869,2.044,153.525E-6 ,0.837,0.963,2.510,15.277,1.323 ,6.562,10.117,16.974,19.685,0.751412,0.378136,5.407 ,5.4812698412698415
125.894 ,85.768 ,81.375 ,575.325 ,46.0483899032859,67.37467301315732,1.7704284610338559,446,410,8.035224E-3 ,3.040894E-3 ,48.662,31,55.755,2.574,206.807E-6 ,1.154,1.383,3.463,15.783,1.441 ,7.665,11.009,15.491,22.994,0.749347,0.383325,5.393 ,7.88453514739229
110.896 ,30.503 ,84.412 ,448.878 ,50.131922434281655,66.36485183614579,9.772539268403248,578,555,9.067936E-3 ,1.499443E-3 ,33.413,22,38.501,1.945,176.381E-6 ,0.934,1.151,2.801,15.198,1.427 ,6.523,9.576,15.406,19.569,0.758851,0.370001,5.861 ,8.354739229024943
126.220 ,76.839 ,87.784 ,579.217 ,43.47527111579628,69.3110656257367,14.660257149765204,446,415,8.100011E-3 ,2.698790E-3 ,51.533,22,54.898,1.774,143.725E-6 ,0.720,0.912,2.159,17.266,1.475 ,7.698,10.007,17.002,23.094,0.767206,0.353314,5.963 ,8.511473922902494
116.104 ,52.792 ,86.819 ,492.791 ,47.98297656508661,67.70891429413919,13.726086326753975,459,426,8.659973E-3 ,2.156072E-3 ,48.575,30,52.283,1.921,166.389E-6 ,0.824,1.038,2.471,15.907,1.420 ,7.237,9.873,14.701,21.711,0.743616,0.401857,5.305 ,8.45922902494331
112.257 ,16.378 ,84.011 ,160.420 ,52.85566034852405,67.12647051776099,7.071540833684104,120,111,8.916778E-3 ,1.195926E-3 ,40.212,7,36.589,1.964,175.090E-6 ,0.801,0.763,2.404,16.529,1.425 ,7.425,11.918,16.542,22.274,0.721958,0.434431,4.648 ,1.9286167800453515
105.959 ,44.427 ,87.244 ,465.479 ,38.98616942733357,65.08124299765383,-2.368123217924856,173,162,9.503446E-3 ,2.045460E-3 ,61.845,10,44.986,1.573,149.534E-6 ,0.778,0.878,2.333,15.754,1.359 ,8.234,10.501,15.697,24.702,0.734129,0.399963,4.894 ,4.802086167800454
133.081 ,39.395 ,85.179 ,414.581 ,54.55213357927574,73.15577983625585,13.85877856979645,480,457,7.590042E-3 ,1.508660E-3 ,38.835,18,41.444,2.743,208.205E-6 ,1.251,1.494,3.754,15.530,1.378 ,7.051,10.302,15.505,21.153,0.784969,0.335262,6.649 ,6.212698412698413
119.831 ,14.073 ,93.858 ,185.753 ,49.02539057150716,70.74926261408098,17.056875082870217,440,419,8.383079E-3 ,0.914381E-3 ,47.230,20,41.498,2.701,226.446E-6 ,1.271,1.408,3.812,14.025,1.338 ,5.957,8.180,13.058,17.872,0.805375,0.292960,7.531 ,7.257596371882086
118.010 ,41.686 ,77.493 ,573.979 ,53.1097477131634,70.88674666654452,20.30023419811771,502,473,8.560180E-3 ,1.553631E-3 ,36.288,27,37.520,2.593,221.969E-6 ,1.137,1.305,3.412,13.306,1.200 ,5.446,8.106,12.139,16.337,0.807806,0.282606,7.487 ,7.257596371882086
128.356 ,40.533 ,78.988 ,446.024 ,52.64880193269828,70.3404256648009,-5.542515708779362,312,293,7.797591E-3 ,1.609436E-3 ,39.091,17,44.201,2.611,203.593E-6 ,1.256,1.474,3.768,14.413,1.263 ,7.142,9.930,15.392,21.426,0.784913,0.318336,6.474 ,4.436371882086168
117.744 ,8.520 ,89.109 ,139.666 ,51.864761689818565,70.3493976264698,19.192995343386563,291,278,8.485521E-3 ,0.650349E-3 ,40.230,12,33.555,2.195,186.244E-6 ,0.986,1.061,2.958,13.103,1.304 ,5.305,8.299,14.620,15.914,0.812479,0.269316,7.521 ,4.3841269841269845
122.646 ,22.144 ,93.988 ,188.720 ,52.0055569628057,70.24890243873624,3.9807686649972434,269,259,8.156390E-3 ,1.343828E-3 ,38.978,9,25.709,1.970,160.671E-6 ,0.851,1.016,2.554,12.821,1.235 ,5.531,8.135,14.187,16.593,0.816593,0.264418,7.519 ,3.75718820861678
136.560 ,71.172 ,76.757 ,592.003 ,52.66233936348101,74.58034847366585,18.865943976391264,653,615,7.504960E-3 ,2.067107E-3 ,41.403,28,42.629,2.560,192.156E-6 ,1.243,1.436,3.728,14.958,1.333 ,6.668,9.713,16.241,20.003,0.765353,0.365089,5.954 ,8.87718820861678
123.402 ,36.857 ,91.243 ,522.482 ,55.05198029376356,70.88504815785349,18.226844723246177,561,533,8.151969E-3 ,1.407806E-3 ,34.525,25,36.389,2.247,183.159E-6 ,1.061,1.138,3.183,13.815,1.245 ,6.229,9.157,14.252,18.688,0.797078,0.297281,6.864 ,7.30984126984127
124.273 ,13.341 ,84.173 ,171.391 ,46.07747696044923,65.27800048256904,0.24979391678809135,322,302,8.099366E-3 ,0.850546E-3 ,51.706,18,28.776,2.840,229.983E-6 ,1.356,1.614,4.067,15.332,1.404 ,6.801,9.200,13.686,20.404,0.770773,0.345765,6.161 ,5.899229024943311
136.734 ,21.946 ,84.113 ,173.667 ,63.71497719914439,74.55930840022943,3.174324005461436,268,262,7.317393E-3 ,1.281740E-3 ,16.599,5,17.233,1.791,131.089E-6 ,0.795,0.993,2.386,14.856,1.298 ,6.014,9.393,17.240,18.041,0.857086,0.205572,9.459 ,2.503310657596372
123.114 ,14.829 ,89.562 ,190.701 ,56.64062646330732,73.2192190302034,21.882362816058958,243,235,8.158708E-3 ,0.991528E-3 ,35.484,7,35.319,2.242,182.910E-6 ,0.972,1.253,2.917,12.502,1.130 ,4.903,7.499,11.691,14.708,0.837499,0.234028,8.707 ,3.130249433106576
107.117 ,11.701 ,84.236 ,132.166 ,52.597640713726044,69.27689220498426,11.330087724198318,145,134,9.382281E-3 ,1.042484E-3 ,39.256,10,38.307,2.530,237.331E-6 ,1.100,1.416,3.299,15.453,1.339 ,7.419,9.905,8.703,22.256,0.787567,0.318885,6.810 ,2.451065759637188
154.273 ,13.484 ,123.764 ,169.459 ,40.061103650584094,65.43769023577786,5.5396520730848025,24,23,6.479110E-3 ,0.633809E-3 ,64.583,0,0,2.657,172.160E-6 ,0.542,0.859,1.625,15.663,1.403 ,8.880,8.859,14.812,26.639,0.760399,0.335851,5.273 ,0.5180045351473923
131.194 ,16.266 ,100.815 ,171.695 ,58.16986891155032,74.33362117585729,-22.19393130570726,162,152,7.616526E-3 ,0.948505E-3 ,41.176,9,41.088,2.332,177.591E-6 ,0.857,0.913,2.570,11.786,1.114 ,5.246,7.241,10.201,15.739,0.778620,0.336743,6.796 ,2.2420861678004536
116.205 ,9.975 ,95.511 ,135.377 ,53.88760612688272,69.05683372102102,2.725273259466847,66,62,8.601746E-3 ,0.787188E-3 ,45.545,3,22.581,2.547,219.104E-6 ,1.206,1.214,3.618,18.556,1.618 ,8.469,10.847,18.368,25.406,0.722237,0.450864,4.698 ,1.040453514739229
