Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
172.130 ,15.021 ,154.748 ,204.559 ,48.51296388101305,57.83712109318714,27.21729691068901,41,39,5.856758E-3 ,0.536962E-3 ,39.535,1,21.104,2.496,146.212E-6 ,0.964,1.123,2.891,12.877,1.103 ,6.421,7.241,12.157,19.263,0.680885,0.586278,4.083 ,0.46697916666666667
122.238 ,57.686 ,99.938 ,576.833 ,42.35694131826565,64.05549926723758,10.549667490823634,371,354,8.194180E-3 ,1.972524E-3 ,40.767,15,45.568,1.482,121.425E-6 ,0.728,0.975,2.185,13.501,1.275 ,6.342,7.684,10.100,19.026,0.740530,0.426998,5.501 ,5.770979166666667
143.073 ,108.738 ,95.288 ,574.108 ,41.99125376048332,60.050560157104314,11.953418424441367,289,274,7.022606E-3 ,3.225844E-3 ,42.246,12,41.739,2.105,147.818E-6 ,0.959,1.312,2.876,13.694,1.228 ,5.840,7.966,8.999,17.521,0.742615,0.408268,5.401 ,3.778979166666667
158.533 ,132.984 ,93.162 ,587.241 ,38.94395041635532,56.922301850208214,9.133465473442367,279,256,6.555892E-3 ,3.520355E-3 ,45.989,12,50.503,2.170,142.252E-6 ,0.990,1.056,2.969,13.290,1.158 ,6.476,8.884,9.141,19.428,0.742129,0.408814,5.208 ,3.778979166666667
165.127 ,119.052 ,100.932 ,604.510 ,46.53832299195171,67.93875929270916,14.778398431398825,382,359,6.142646E-3 ,3.026186E-3 ,41.845,19,47.233,1.883,115.685E-6 ,0.874,1.029,2.622,14.442,1.305 ,6.318,7.960,11.142,18.954,0.730466,0.437109,5.267 ,4.690979166666667
154.419 ,95.298 ,103.588 ,422.807 ,41.46089361625867,65.009445257116,12.405765012975856,156,146,6.621767E-3 ,2.888401E-3 ,51.600,7,43.682,2.741,181.495E-6 ,1.220,1.626,3.660,16.789,1.411 ,8.041,10.309,12.913,24.123,0.648324,0.620142,2.912 ,2.5309791666666666
108.709 ,5.176 ,96.809 ,124.051 ,39.29661979015021,60.659578837135875,10.980078937147093,131,121,9.183054E-3 ,0.465602E-3 ,52.117,9,60.352,1.571,144.222E-6 ,0.772,1.041,2.317,14.352,1.309 ,7.587,10.546,11.947,22.762,0.684435,0.519424,3.750 ,3.1069791666666666
228.645 ,171.786 ,85.082 ,601.705 ,31.14066079075327,56.45571516502912,8.422200177955482,577,544,4.500524E-3 ,3.266400E-3 ,51.356,14,55.298,3.376,151.925E-6 ,1.718,2.075,5.153,18.645,1.658 ,9.109,10.304,15.248,27.328,0.734547,0.419583,5.178 ,5.938979166666667
222.155 ,174.588 ,76.860 ,599.060 ,33.166411162137265,52.45477048899212,7.8322488119369895,1614,1539,4.598597E-3 ,3.545970E-3 ,33.306,41,40.482,3.579,164.575E-6 ,1.815,2.264,5.445,18.069,1.639 ,7.898,11.327,21.569,23.693,0.759927,0.371795,5.955 ,12.250979166666667
296.940 ,191.345 ,88.624 ,614.805 ,31.755734636933386,52.276033852741996,10.835119716976468,377,354,3.429031E-3 ,2.695140E-3 ,38.496,5,37.266,4.179,143.299E-6 ,2.058,2.180,6.173,19.443,1.627 ,8.964,12.968,18.053,26.893,0.736527,0.433741,5.252 ,2.290979166666667
216.848 ,180.272 ,76.320 ,597.295 ,29.97932242703634,50.84068018132503,7.276895313114813,1894,1791,4.768840E-3 ,3.767861E-3 ,38.150,59,46.714,3.503,167.039E-6 ,1.761,2.022,5.284,18.605,1.614 ,8.871,13.308,21.461,26.614,0.745749,0.392978,5.394 ,16.570979166666667
243.883 ,189.243 ,76.198 ,616.428 ,29.51896662920918,51.095655726498634,6.407780069772512,2331,2207,4.246271E-3 ,3.498164E-3 ,42.186,71,50.076,3.456,146.765E-6 ,1.705,2.021,5.114,18.917,1.659 ,8.369,12.185,21.213,25.108,0.738969,0.414599,5.462 ,19.618979166666666
