Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
121.587 ,84.072 ,78.631 ,565.909 ,52.23231976847984,69.1930356210735,26.914652805327464,1518,1417,8.431721E-3 ,3.400762E-3 ,30.499,70,35.719,3.136,264.445E-6 ,1.391,1.736,4.172,15.159,1.357 ,6.671,9.408,13.619,20.013,0.805831,0.297771,8.081 ,20.266979166666665
122.212 ,81.266 ,81.563 ,567.947 ,50.86584518574715,67.03483181527967,25.021993609763655,589,547,8.382644E-3 ,3.265952E-3 ,28.982,26,38.456,2.979,249.755E-6 ,1.385,1.591,4.155,14.567,1.317 ,6.482,8.898,12.448,19.445,0.810831,0.299456,8.485 ,7.690979166666667
127.184 ,80.799 ,77.189 ,430.498 ,54.31691539329979,65.84657169320363,26.57669712084308,835,788,8.050183E-3 ,3.279570E-3 ,19.366,32,26.518,3.286,264.490E-6 ,1.449,1.749,4.346,15.685,1.363 ,7.051,9.550,12.609,21.152,0.805898,0.304816,7.933 ,8.866979166666667
131.878 ,84.163 ,79.134 ,510.547 ,45.873856684484934,67.29389252656395,19.692103754765466,404,382,7.810901E-3 ,2.740555E-3 ,52.292,13,54.586,2.576,201.198E-6 ,1.255,1.363,3.765,15.054,1.309 ,7.759,10.140,15.699,23.276,0.783297,0.328496,6.616 ,7.018979166666667
111.700 ,40.718 ,78.717 ,509.104 ,48.29799075889549,62.75339851646032,24.57236300309322,328,316,8.956119E-3 ,1.758444E-3 ,35.685,10,26.727,2.064,184.858E-6 ,0.894,1.094,2.681,14.383,1.228 ,6.699,8.361,11.243,20.096,0.817027,0.266956,7.864 ,4.858979166666667
118.080 ,55.323 ,78.858 ,482.548 ,49.30132780740941,64.58569447830094,13.570593604201786,591,556,8.567670E-3 ,2.412617E-3 ,37.176,30,42.582,1.969,168.718E-6 ,0.785,0.957,2.356,14.535,1.270 ,6.982,8.472,10.894,20.946,0.793151,0.309093,7.077 ,8.530979166666667
129.288 ,94.184 ,75.387 ,575.398 ,47.87438202715418,70.29743364201146,16.643980235340546,1332,1235,7.965655E-3 ,3.623772E-3 ,46.633,65,44.973,3.191,254.200E-6 ,1.390,1.769,4.171,15.687,1.377 ,7.380,9.915,12.344,22.139,0.796716,0.312543,7.517 ,22.018979166666668
200.942 ,68.623 ,88.153 ,553.683 ,45.78849029555804,70.03446197265893,10.956361917094341,648,634,5.020143E-3 ,1.683243E-3 ,54.432,9,54.856,1.843,92.524E-6 ,0.885,0.950,2.656,12.876,1.200 ,5.584,8.195,12.968,16.751,0.865949,0.182886,9.600 ,7.258979166666666
152.815 ,92.645 ,75.450 ,415.527 ,50.62034547885092,71.08509585158413,29.2525213919385,84,76,6.690202E-3 ,2.727741E-3 ,49.180,2,41.654,2.162,144.656E-6 ,0.831,1.042,2.493,11.937,1.099 ,6.094,6.924,9.015,18.282,0.859929,0.207565,9.897 ,1.2589791666666668
137.655 ,64.312 ,78.167 ,597.983 ,51.24925522225667,70.0115265850841,14.45131969358152,1728,1654,7.330854E-3 ,2.107504E-3 ,38.469,59,43.718,2.101,154.044E-6 ,0.906,1.070,2.717,13.060,1.221 ,6.061,8.322,11.350,18.184,0.838222,0.236625,8.969 ,21.970979166666666
