Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
156.279 ,122.462 ,82.763 ,439.078 ,26.83425541374103,66.05478319247754,8.775018542703883,33,31,6.592021E-3 ,3.728573E-3 ,85.909,1,3.482,5.444,358.886E-6 ,2.361,1.568,7.082,16.958,1.274 ,7.647,13.167,24.902,22.942,0.743434,0.382787,5.194 ,2.232358276643991
128.192 ,16.635 ,99.184 ,171.191 ,52.32034730555568,71.47775678873035,30.978963374238496,134,130,7.795520E-3 ,0.997206E-3 ,44.444,3,23.870,1.118,87.191E-6 ,0.392,0.517,1.177,13.653,1.263 ,5.716,8.116,12.125,17.149,0.851653,0.203157,8.897 ,2.101746031746032
172.713 ,56.072 ,91.983 ,390.614 ,55.75946934768891,67.04855014640961,27.95207012728818,435,420,5.845791E-3 ,1.807090E-3 ,16.667,6,18.481,3.522,205.907E-6 ,1.570,1.589,4.710,15.487,1.334 ,7.978,10.214,12.870,23.935,0.806588,0.298072,7.891 ,3.2772562358276645
110.261 ,25.133 ,76.003 ,352.853 ,51.68041037571725,68.5200202218942,26.00795096428626,489,460,9.030198E-3 ,1.594233E-3 ,35.661,25,39.713,2.931,264.705E-6 ,1.298,1.498,3.895,15.185,1.350 ,6.432,8.843,10.978,19.297,0.774097,0.347016,6.393 ,8.057664399092971
138.214 ,85.188 ,87.341 ,587.974 ,52.36411517649451,68.18486530154205,28.081199079139665,1014,964,7.409054E-3 ,2.660348E-3 ,33.119,36,38.691,2.424,179.607E-6 ,1.084,1.258,3.253,14.706,1.286 ,6.557,8.913,12.398,19.672,0.781948,0.327964,6.677 ,12.472358276643991
138.831 ,74.974 ,78.385 ,573.270 ,49.0567803356674,67.5681665411811,21.578580751477574,1087,1025,7.296163E-3 ,2.478346E-3 ,42.010,44,50.677,2.466,179.948E-6 ,1.043,1.217,3.129,16.118,1.408 ,6.820,8.809,13.332,20.460,0.791248,0.316211,7.030 ,15.554807256235827
142.144 ,96.950 ,85.312 ,599.447 ,50.61547627888563,68.35626107801609,22.719256187717477,573,537,7.301622E-3 ,2.752553E-3 ,32.123,21,43.184,2.426,177.132E-6 ,1.087,1.260,3.260,13.973,1.166 ,6.004,7.873,11.576,18.013,0.811645,0.282151,7.760 ,7.19562358276644
142.658 ,67.954 ,89.194 ,528.840 ,50.97823295320016,65.40991955276854,23.66434221977503,488,466,7.185126E-3 ,2.011684E-3 ,28.860,16,36.200,2.786,200.153E-6 ,1.243,1.555,3.730,15.384,1.279 ,6.959,10.199,13.258,20.876,0.795533,0.310364,7.059 ,5.471541950113378
139.684 ,77.161 ,75.066 ,598.908 ,49.224891996337334,67.1480962633922,20.642698934975982,1091,1041,7.253980E-3 ,2.408850E-3 ,33.087,39,43.220,2.805,203.472E-6 ,1.317,1.483,3.950,14.857,1.313 ,6.826,9.175,13.564,20.478,0.802120,0.298869,7.372 ,13.543378684807257
105.661 ,11.990 ,83.941 ,231.623 ,50.74351748616424,65.4730523517659,24.31908721748639,706,682,9.459920E-3 ,0.959457E-3 ,31.894,23,34.564,2.345,221.825E-6 ,1.162,1.303,3.485,14.043,1.204 ,6.545,8.581,13.488,19.634,0.776881,0.354311,6.596 ,10.225827664399093
