Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
--undefined-- ,--undefined-- ,--undefined-- ,--undefined-- ,21.224145402203977,54.99809732946147,3.019540441319058,1,0,--undefined-- ,--undefined-- ,97.906,0,0,--undefined--,--undefined-- ,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,1.9450113378684808
127.954 ,17.316 ,103.591 ,161.089 ,32.5226877722434,84.15413681121305,2.9885302282859256,220,214,7.826000E-3 ,1.078206E-3 ,80.471,5,3.037,1.769,138.424E-6 ,0.878,1.025,2.635,11.779,1.017 ,5.792,8.389,10.867,17.375,0.820410,0.257489,7.739 ,8.945827664399093
126.298 ,35.662 ,77.045 ,517.630 ,64.64967245979892,83.91369082332842,3.335232916879365,664,639,7.908250E-3 ,1.565025E-3 ,34.828,24,34.198,2.189,173.134E-6 ,1.022,1.242,3.065,14.548,1.363 ,6.900,9.530,13.020,20.701,0.766838,0.371921,6.279 ,8.736848072562358
149.699 ,84.612 ,99.461 ,538.944 ,59.6845735550652,84.42897638870888,1.4003797091188754,159,151,6.753618E-3 ,2.208198E-3 ,64.506,6,39.092,2.318,156.553E-6 ,1.207,1.532,3.620,16.543,1.419 ,8.404,10.432,12.842,25.211,0.717398,0.459094,4.549 ,3.2772562358276645
--undefined-- ,--undefined-- ,--undefined-- ,--undefined-- ,43.38893254400797,47.4923905420049,38.86861286755377,1,0,--undefined-- ,--undefined-- ,90.909,0,0,--undefined--,--undefined-- ,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,0.14256235827664399
178.459 ,105.265 ,86.346 ,556.779 ,68.32768746598732,83.51908041151077,34.27104794344737,224,211,5.617843E-3 ,2.427267E-3 ,35.349,8,28.975,2.647,148.717E-6 ,1.187,1.217,3.562,16.878,1.460 ,8.346,10.221,15.658,25.037,0.775691,0.333028,6.104 ,2.180113378684807
238.653 ,131.826 ,117.693 ,535.028 ,63.14732215436608,81.13791968606532,33.962719172632816,55,50,4.145265E-3 ,2.252125E-3 ,55.556,0,0,4.243,175.865E-6 ,2.170,2.644,6.511,18.296,1.839 ,10.176,12.738,--undefined--,30.528,0.745748,0.382788,5.317 ,0.6650113378684808
125.629 ,74.945 ,83.148 ,573.947 ,64.12698626599841,87.64834074591317,1.7648647514881257,458,431,8.170080E-3 ,2.705417E-3 ,45.515,18,30.918,2.494,203.725E-6 ,1.202,1.453,3.607,14.865,1.292 ,7.426,9.433,14.278,22.278,0.749984,0.389998,5.676 ,7.509092970521542
120.405 ,85.396 ,82.859 ,582.312 ,74.59693166877497,85.51611111484587,50.12328722136353,263,251,8.414185E-3 ,2.916447E-3 ,16.854,8,16.734,2.832,238.265E-6 ,1.361,1.716,4.083,15.476,1.382 ,7.922,11.855,17.966,23.765,0.750354,0.398867,5.487 ,2.702562358276644
107.039 ,64.585 ,81.283 ,493.550 ,70.76538969866237,83.78967743123808,48.792400999831536,350,330,9.426618E-3 ,2.858929E-3 ,34.743,17,30.769,2.704,254.874E-6 ,1.130,1.557,3.389,14.518,1.211 ,6.899,10.563,13.185,20.697,0.759711,0.367011,5.709 ,5.471541950113378
120.804 ,83.012 ,76.077 ,537.575 ,66.30350806133032,84.26073534339112,3.1568467495236403,459,434,8.389369E-3 ,3.124151E-3 ,42.228,19,38.674,2.951,247.534E-6 ,1.412,1.701,4.236,15.512,1.446 ,7.705,10.216,17.402,23.114,0.737735,0.415538,5.166 ,7.300113378684808
