Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
146.970 ,9.840 ,133.987 ,160.094 ,49.51649706839112,66.6176988194414,29.556931359516255,12,11,6.889688E-3 ,0.540693E-3 ,65.217,0,0,2.859,197.002E-6 ,0.791,0.988,2.372,14.029,1.293 ,6.302,4.613,--undefined--,18.906,0.628712,0.638318,2.395 ,0.4909791666666667
131.558 ,59.719 ,97.998 ,575.919 ,48.070312279924906,72.54300854927433,15.711510389156135,663,624,7.667374E-3 ,2.009914E-3 ,51.372,29,52.625,1.819,139.453E-6 ,0.855,1.022,2.565,14.550,1.269 ,7.373,9.585,16.159,22.119,0.743354,0.413161,5.514 ,11.698979166666666
133.652 ,65.378 ,97.794 ,536.289 ,50.02092139553161,70.43547497322515,18.732072559358222,933,885,7.616952E-3 ,1.986268E-3 ,43.359,35,49.913,2.179,165.953E-6 ,1.069,1.313,3.208,15.095,1.332 ,6.589,9.378,13.818,19.768,0.747949,0.403857,5.708 ,14.266979166666667
135.158 ,80.605 ,74.566 ,597.415 ,46.761782754759004,70.44689559260021,16.905928283012518,881,819,7.477259E-3 ,2.562589E-3 ,48.489,54,57.321,2.313,172.917E-6 ,1.120,1.386,3.359,16.410,1.429 ,7.741,11.304,17.105,23.223,0.742746,0.405372,5.312 ,15.586979166666667
131.467 ,52.807 ,82.222 ,590.469 ,49.192962902913216,69.98116307675579,22.298580692779954,715,681,7.673811E-3 ,1.963727E-3 ,42.410,29,50.295,2.453,188.244E-6 ,1.225,1.500,3.676,16.199,1.452 ,7.456,9.328,17.467,22.367,0.735860,0.421330,5.235 ,10.906979166666666
133.396 ,49.665 ,95.695 ,476.924 ,49.54882459557608,66.1165974856257,24.328952706234244,264,245,7.627021E-3 ,1.614217E-3 ,31.953,13,40.803,1.850,141.089E-6 ,0.881,1.112,2.644,17.490,1.496 ,7.290,12.412,26.744,21.871,0.748548,0.390492,5.404 ,3.4189791666666665
134.360 ,96.033 ,79.153 ,588.727 ,45.5899105946212,62.70599343806242,23.788622108173318,546,501,7.626980E-3 ,3.079212E-3 ,42.406,32,45.285,2.738,208.864E-6 ,1.232,1.447,3.696,16.091,1.483 ,7.181,10.865,20.971,21.544,0.724305,0.447359,4.983 ,8.266979166666667
134.366 ,43.795 ,75.644 ,542.891 ,49.82370101151786,69.40834033185172,19.443610942104556,1561,1482,7.460166E-3 ,1.740458E-3 ,42.251,69,46.472,2.135,159.308E-6 ,0.961,1.199,2.882,13.838,1.285 ,6.291,8.881,13.219,18.873,0.762039,0.378805,6.303 ,22.426979166666666
147.319 ,87.128 ,88.514 ,577.775 ,48.487018707616514,70.54659048247186,21.829900814823272,643,606,6.772283E-3 ,2.421840E-3 ,42.736,27,47.976,2.597,175.905E-6 ,1.376,1.632,4.127,17.057,1.490 ,7.927,11.692,23.808,23.782,0.738991,0.422460,5.417 ,8.290979166666666
146.600 ,36.541 ,100.610 ,370.016 ,44.24325580418991,71.17244533760201,18.291075759564624,379,358,6.848132E-3 ,1.309222E-3 ,56.849,20,57.009,2.902,198.702E-6 ,1.452,1.856,4.355,17.076,1.497 ,7.656,10.562,23.532,22.969,0.709833,0.477012,4.497 ,7.330979166666666
148.841 ,63.196 ,76.447 ,572.823 ,42.23743563374449,68.93363803046273,15.746700731304507,421,399,6.768006E-3 ,2.036911E-3 ,51.477,15,56.813,2.209,149.473E-6 ,1.006,1.206,3.017,16.678,1.378 ,8.089,12.072,18.791,24.268,0.758841,0.391195,6.113 ,6.4669791666666665
132.630 ,53.137 ,75.440 ,575.078 ,46.7275847019134,65.78375063915759,16.38191450146143,635,607,7.592138E-3 ,1.707611E-3 ,40.225,23,40.152,2.125,161.313E-6 ,1.015,1.254,3.044,15.453,1.380 ,6.489,10.524,17.262,19.468,0.738108,0.437022,5.635 ,8.938979166666666
120.377 ,27.824 ,88.675 ,306.172 ,45.48277774340454,65.53799848793929,17.26641768891576,747,709,8.297458E-3 ,1.506956E-3 ,37.168,36,46.347,2.415,200.423E-6 ,1.194,1.422,3.583,16.084,1.405 ,7.757,10.903,18.550,23.271,0.722475,0.451504,4.854 ,11.338979166666666
132.681 ,51.007 ,80.333 ,465.454 ,44.970345404519826,70.07373988824273,17.023320240382425,489,458,7.617423E-3 ,1.812792E-3 ,49.889,25,52.121,2.093,159.444E-6 ,0.881,1.128,2.644,16.089,1.423 ,7.679,10.093,15.040,23.038,0.752165,0.385678,5.579 ,9.058979166666667
129.550 ,61.810 ,81.702 ,456.434 ,43.025543626266234,64.85726185255841,15.514853464454204,385,359,7.876504E-3 ,2.200145E-3 ,44.752,20,56.565,2.617,206.165E-6 ,1.149,1.331,3.447,16.879,1.479 ,7.406,10.001,16.061,22.217,0.755943,0.376683,5.691 ,6.898979166666667
155.582 ,22.024 ,100.684 ,191.420 ,38.225319552512225,65.0330328599556,12.521845028196047,228,217,6.449725E-3 ,0.962664E-3 ,62.906,10,70.753,2.008,129.531E-6 ,0.884,1.103,2.652,15.928,1.420 ,7.067,9.901,16.896,21.200,0.734639,0.422552,5.230 ,5.266979166666666
145.091 ,62.175 ,77.906 ,598.714 ,42.49071576923241,71.41430498185989,12.72448354675487,1483,1404,6.967937E-3 ,1.874605E-3 ,51.334,63,55.881,2.414,168.230E-6 ,1.136,1.502,3.409,16.630,1.458 ,7.472,10.826,18.472,22.415,0.741193,0.409351,5.429 ,24.010979166666665
159.913 ,73.399 ,75.200 ,596.231 ,43.677878406195376,65.75019709137794,12.688473536951703,883,846,6.317929E-3 ,1.713877E-3 ,40.307,28,45.817,2.317,146.374E-6 ,1.116,1.401,3.349,15.017,1.426 ,6.507,9.727,16.826,19.520,0.787594,0.322677,6.835 ,10.450979166666666
