Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
117.166 ,50.477 ,77.646 ,593.844 ,50.558289632636686,70.74834011557974,20.635343684921832,649,615,8.579046E-3 ,2.147176E-3 ,42.786,30,41.656,2.303,197.598E-6 ,0.988,1.196,2.965,13.508,1.193 ,6.336,8.425,11.472,19.008,0.793877,0.307343,7.064 ,10.018979166666666
111.973 ,43.799 ,76.870 ,588.749 ,50.687553127031585,65.82042272785105,17.68713593063754,1650,1571,8.932274E-3 ,1.926890E-3 ,33.975,71,40.362,2.695,240.686E-6 ,1.120,1.384,3.359,13.658,1.210 ,6.663,8.752,12.141,19.989,0.781967,0.329829,6.652 ,23.938979166666666
110.384 ,25.921 ,75.299 ,391.769 ,47.2916959208887,72.34606367886497,16.00899139740855,961,908,9.057904E-3 ,1.750878E-3 ,50.830,51,55.478,2.543,230.300E-6 ,1.006,1.256,3.018,13.224,1.177 ,6.181,8.486,12.243,18.544,0.786516,0.327453,6.818 ,18.706979166666667
151.836 ,86.749 ,86.528 ,588.319 ,55.68818780251093,67.92203462973876,35.248982104694136,262,249,6.711090E-3 ,2.536375E-3 ,20.870,5,16.148,2.782,186.686E-6 ,1.232,1.485,3.696,13.474,1.250 ,6.198,8.487,14.084,18.593,0.779741,0.330564,6.350 ,2.338979166666667
120.636 ,34.146 ,71.209 ,519.475 ,51.41925725083102,64.3121817561825,22.05572124790033,850,815,8.302429E-3 ,1.477814E-3 ,33.394,26,37.561,2.648,219.865E-6 ,1.202,1.540,3.606,13.535,1.221 ,6.504,8.592,12.402,19.512,0.799712,0.293957,7.082 ,11.026979166666667
117.388 ,59.030 ,75.050 ,581.810 ,50.119843285065386,66.09851137865336,16.516165479032257,929,882,8.560955E-3 ,2.154784E-3 ,40.769,39,46.618,2.666,228.230E-6 ,1.155,1.370,3.466,13.489,1.220 ,6.487,8.642,12.414,19.461,0.779803,0.340091,6.725 ,14.338979166666666
108.675 ,77.026 ,75.005 ,575.864 ,52.56349530084279,62.34929128620071,29.729572504005645,369,345,9.146911E-3 ,3.439211E-3 ,34.918,19,44.425,2.599,237.740E-6 ,1.115,1.452,3.344,14.922,1.379 ,7.425,9.283,13.469,22.275,0.783151,0.334971,6.675 ,6.130979166666667
117.897 ,64.697 ,76.481 ,516.002 ,50.56564081103153,68.80301457951471,24.57451526142712,741,703,8.614796E-3 ,2.724581E-3 ,44.436,33,51.000,3.122,268.936E-6 ,1.419,1.644,4.257,16.021,1.398 ,7.920,10.815,17.055,23.760,0.773494,0.349788,6.223 ,12.970979166666666
152.889 ,25.774 ,101.436 ,193.929 ,47.337477346375834,74.66592047104677,25.609468113997256,162,154,6.568698E-3 ,1.239823E-3 ,67.838,5,17.121,2.967,194.923E-6 ,1.199,1.302,3.597,13.440,1.309 ,5.849,8.677,14.506,17.547,0.792119,0.310507,6.892 ,3.7309791666666667
132.390 ,19.297 ,75.923 ,202.093 ,57.69217086215004,69.5142543716133,27.28959854943009,689,671,7.564801E-3 ,1.079108E-3 ,21.194,11,12.615,3.250,245.867E-6 ,1.655,1.968,4.965,16.108,1.434 ,7.721,10.734,16.138,23.164,0.807192,0.289307,7.474 ,6.730979166666667
