Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
153.432 ,85.988 ,99.149 ,511.419 ,35.43033332199104,61.379886145085734,4.574353840971228,530,503,6.659433E-3 ,2.508530E-3 ,54.007,18,49.854,1.973,131.399E-6 ,0.891,1.024,2.672,12.405,1.163 ,5.618,7.940,9.766,16.854,0.849132,0.215314,9.598 ,8.146979166666666
125.971 ,53.539 ,96.722 ,570.435 ,37.59225698888914,57.753122097707035,9.046038686559974,683,649,8.021677E-3 ,1.832087E-3 ,42.648,27,48.455,1.436,115.172E-6 ,0.597,0.642,1.792,13.429,1.224 ,5.904,8.175,12.691,17.711,0.847727,0.212293,8.897 ,10.306979166666666
146.311 ,102.180 ,78.162 ,597.364 ,36.216508048077515,58.80491792696169,6.6209391889669,432,408,7.120812E-3 ,2.847902E-3 ,45.183,17,49.780,2.277,162.120E-6 ,1.051,1.176,3.152,16.185,1.420 ,7.152,10.127,16.516,21.456,0.829991,0.241168,8.354 ,6.058979166666667
118.601 ,9.280 ,94.550 ,147.576 ,38.89959129003071,56.1303526489337,10.741238660848676,296,285,8.444819E-3 ,0.682303E-3 ,26.879,10,29.797,1.709,144.304E-6 ,0.832,1.034,2.496,15.040,1.411 ,6.647,9.461,14.855,19.942,0.817143,0.278910,7.709 ,3.4909791666666665
130.114 ,46.957 ,86.548 ,435.638 ,36.28816506246737,65.53887903198047,4.265409802823551,598,562,7.736842E-3 ,1.804159E-3 ,53.416,29,56.734,2.036,157.542E-6 ,0.952,1.020,2.857,14.659,1.294 ,5.952,7.775,9.960,17.857,0.808574,0.289969,7.604 ,10.570979166666667
137.705 ,53.285 ,80.878 ,557.159 ,39.86532797279695,59.21268524983142,9.408713794079135,573,549,7.291643E-3 ,1.682724E-3 ,41.153,21,45.405,1.660,121.053E-6 ,0.733,0.830,2.199,14.637,1.355 ,6.003,8.305,14.396,18.009,0.832851,0.236452,8.217 ,7.4989791666666665
131.456 ,48.543 ,101.188 ,428.836 ,38.865997203593224,60.782946913842366,7.618803417785703,295,280,7.727085E-3 ,1.551897E-3 ,43.318,11,36.206,2.071,160.017E-6 ,0.803,1.065,2.408,15.180,1.361 ,6.916,10.644,15.097,20.748,0.791274,0.316776,6.976 ,4.378979166666666
131.302 ,62.590 ,98.647 ,478.655 ,40.60456698460431,57.20012721896451,13.245935494352846,703,680,7.732173E-3 ,2.066754E-3 ,23.521,14,26.110,2.018,156.029E-6 ,1.015,1.235,3.046,14.498,1.328 ,6.864,9.214,13.046,20.593,0.833061,0.255165,8.552 ,7.306979166666666
136.639 ,70.365 ,75.108 ,564.856 ,41.60141076923849,66.90771749513418,4.632750997257205,1243,1171,7.415545E-3 ,2.361170E-3 ,47.380,58,52.617,1.996,148.013E-6 ,0.836,0.894,2.509,13.275,1.225 ,6.287,8.216,13.465,18.861,0.835740,0.242629,8.725 ,18.730979166666668
120.700 ,67.613 ,87.903 ,579.385 ,41.68629491464306,65.99724197330731,4.270490728577475,582,543,8.335635E-3 ,2.436397E-3 ,44.188,36,51.260,1.899,158.289E-6 ,0.949,1.115,2.847,15.844,1.460 ,6.571,9.405,20.287,19.713,0.765306,0.350716,5.832 ,9.586979166666667
109.885 ,49.601 ,74.963 ,488.245 ,37.36577891552809,60.38445693622053,5.1317709194101635,751,702,9.158996E-3 ,2.289409E-3 ,46.331,43,52.493,1.977,181.090E-6 ,0.827,0.959,2.480,17.235,1.512 ,8.161,10.668,17.809,24.482,0.750491,0.387500,5.509 ,13.930979166666667
121.423 ,68.878 ,90.805 ,481.259 ,42.70431029898712,54.92658451951668,24.143568541887422,250,240,8.276863E-3 ,2.752943E-3 ,15.058,6,12.104,2.467,204.214E-6 ,1.369,1.582,4.108,17.849,1.577 ,8.383,11.764,17.869,25.148,0.761532,0.365778,5.794 ,2.6269791666666666
143.456 ,28.465 ,95.111 ,208.368 ,42.376248189359195,58.724115564523416,16.82844102771234,191,181,6.990077E-3 ,1.372853E-3 ,46.400,9,47.978,2.496,174.446E-6 ,0.892,1.024,2.676,14.571,1.243 ,5.704,8.481,15.715,17.113,0.801763,0.301925,7.483 ,2.5309791666666666
152.728 ,59.839 ,75.650 ,275.571 ,27.97683577650924,57.94188509238941,3.2214167193351355,137,128,6.522961E-3 ,2.563094E-3 ,64.576,8,67.915,2.454,160.057E-6 ,0.906,1.042,2.718,15.999,1.348 ,7.102,8.061,11.446,21.307,0.780436,0.339964,7.324 ,2.7469791666666667
