Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
172.334 ,37.483 ,126.492 ,561.479 ,48.91654678925035,69.47273283534581,14.801032558923028,568,548,5.831237E-3 ,0.871347E-3 ,42.308,18,33.315,1.901,110.848E-6 ,0.881,1.051,2.643,12.552,1.163 ,4.890,7.103,12.284,14.670,0.857190,0.204334,9.893 ,6.010979166666667
177.920 ,52.685 ,68.026 ,586.025 ,48.40307488763256,71.00740944164026,13.249832872194766,502,480,5.660180E-3 ,1.455329E-3 ,48.123,19,30.447,2.387,135.107E-6 ,1.097,1.078,3.290,13.822,1.242 ,5.846,8.281,12.321,17.537,0.822301,0.260425,8.225 ,5.890979166666667
172.789 ,30.291 ,125.416 ,273.610 ,47.08104912919631,74.84088097419085,9.538939394950944,824,803,5.799078E-3 ,0.979538E-3 ,44.573,20,32.297,1.696,98.336E-6 ,0.753,0.854,2.260,11.452,1.041 ,4.774,6.585,10.756,14.321,0.872752,0.175641,10.114 ,8.698979166666666
172.920 ,31.768 ,130.681 ,550.201 ,45.11627420963578,67.2212490594263,12.585960600862977,583,567,5.793523E-3 ,0.892559E-3 ,38.408,12,25.998,2.326,134.762E-6 ,1.080,1.278,3.240,12.384,1.111 ,5.086,8.027,13.039,15.257,0.870345,0.182791,10.428 ,5.818979166666667
183.190 ,34.236 ,71.606 ,276.914 ,46.695303420698544,66.90581011065416,12.354812650910556,558,536,5.491443E-3 ,1.099617E-3 ,31.743,14,25.654,2.421,132.948E-6 ,1.112,1.301,3.336,12.153,1.166 ,4.953,6.828,12.500,14.860,0.852801,0.214887,9.740 ,4.858979166666667
171.553 ,52.744 ,119.110 ,574.613 ,47.53972479576947,67.7791052807794,11.656201754241787,499,486,5.881086E-3 ,1.184311E-3 ,35.774,11,21.134,1.798,105.771E-6 ,0.793,0.910,2.380,11.687,1.056 ,5.180,6.484,8.565,15.541,0.877098,0.169803,10.555 ,4.810979166666667
165.688 ,35.786 ,75.476 ,509.037 ,43.1614745565513,67.88667072368237,10.264724513831396,836,811,6.046637E-3 ,0.981112E-3 ,43.601,22,34.186,1.911,115.559E-6 ,0.887,1.000,2.662,12.466,1.169 ,5.173,7.465,11.608,15.518,0.865190,0.191512,10.224 ,9.250979166666667
170.183 ,42.595 ,76.045 ,528.353 ,44.45097240207062,68.13534032255107,8.386388678217546,935,901,5.865032E-3 ,1.219055E-3 ,38.934,28,35.818,2.173,127.423E-6 ,0.931,1.075,2.794,12.731,1.163 ,5.440,7.883,13.096,16.321,0.868992,0.182025,10.609 ,9.970979166666666
184.323 ,70.910 ,67.699 ,576.250 ,43.00456245753178,63.84457755447257,8.11637837410469,582,559,5.429860E-3 ,1.620397E-3 ,39.680,15,25.680,1.739,94.431E-6 ,0.751,0.902,2.252,10.861,1.093 ,4.370,6.828,11.891,13.109,0.892170,0.146301,11.788 ,5.650979166666667
181.652 ,31.950 ,134.650 ,254.573 ,46.04138658111919,66.73278270241414,16.453410162985545,170,162,5.502529E-3 ,0.945773E-3 ,41.758,6,36.107,2.242,123.342E-6 ,0.842,0.913,2.525,13.449,1.184 ,4.316,6.716,9.886,12.949,0.856669,0.215032,9.819 ,1.8589791666666666
