Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
117.621 ,66.603 ,79.563 ,340.167 ,35.17506604870011,72.21199956092518,12.647060254202598,63,58,8.650892E-3 ,3.092386E-3 ,82.298,4,76.891,2.276,196.906E-6 ,1.243,1.478,3.729,16.861,1.338 ,7.423,8.471,10.726,22.270,0.704292,0.514726,4.602 ,3.2509791666666668
107.461 ,8.194 ,86.840 ,141.989 ,43.16026093177244,71.20044531922505,15.603128239992985,182,171,9.295743E-3 ,0.687857E-3 ,63.039,10,48.535,1.101,102.314E-6 ,0.365,0.550,1.094,14.157,1.263 ,5.769,7.369,10.396,17.306,0.717413,0.476738,4.747 ,4.906979166666667
138.261 ,88.907 ,81.616 ,563.641 ,41.06409136433255,60.42302454522611,15.07952798089556,354,327,7.332884E-3 ,2.791727E-3 ,51.981,22,60.772,2.825,207.135E-6 ,1.528,1.708,4.584,14.353,1.347 ,6.785,10.926,16.373,20.356,0.714850,0.466363,4.676 ,6.346979166666666
156.703 ,138.487 ,75.682 ,597.748 ,36.12355579348439,55.88773082633648,14.800749912173941,174,152,6.949460E-3 ,3.708054E-3 ,63.450,12,72.053,3.201,222.471E-6 ,1.696,2.035,5.087,18.135,1.626 ,7.201,9.967,51.013,21.604,0.656824,0.589296,3.083 ,4.906979166666667
98.600 ,51.317 ,76.112 ,451.711 ,30.496574214315956,54.95663571160897,8.818587850005995,107,93,10.315845E-3 ,2.431616E-3 ,69.058,12,52.559,2.208,227.808E-6 ,1.045,0.947,3.135,13.014,1.093 ,6.780,10.351,27.350,20.341,0.693267,0.501804,3.966 ,4.4989791666666665
117.571 ,51.053 ,77.998 ,471.883 ,40.92465240071522,67.88899906289016,12.235941504668425,471,443,8.618591E-3 ,2.414702E-3 ,62.904,24,66.685,1.657,142.770E-6 ,0.681,0.894,2.043,13.519,1.231 ,6.259,8.359,11.545,18.778,0.775414,0.340128,6.417 ,12.706979166666667
132.198 ,90.644 ,94.420 ,525.137 ,42.55384028955478,65.07730102293766,17.070651664148247,190,178,7.550708E-3 ,3.150564E-3 ,49.677,9,39.786,3.151,237.934E-6 ,1.660,1.910,4.979,20.999,1.732 ,9.989,10.800,20.656,29.967,0.710211,0.459141,4.337 ,3.1309791666666666
121.731 ,74.955 ,78.007 ,595.336 ,38.807220527725434,63.71557283813967,13.49386221255402,556,506,8.270300E-3 ,3.076112E-3 ,58.845,44,68.901,2.235,184.813E-6 ,1.103,1.384,3.308,15.478,1.366 ,7.007,9.448,15.205,21.021,0.721907,0.448485,4.835 ,14.050979166666666
122.184 ,64.745 ,80.602 ,353.199 ,41.8651324034046,64.99058429156972,14.747625186512712,142,131,8.163773E-3 ,2.926458E-3 ,60.116,9,63.956,2.105,171.881E-6 ,1.129,1.175,3.386,14.402,1.292 ,7.399,8.779,13.293,22.196,0.714556,0.444983,4.542 ,3.4909791666666665
107.705 ,11.011 ,78.943 ,138.187 ,38.416625182921635,60.71120373122792,13.530247464950122,277,258,9.289961E-3 ,0.949529E-3 ,58.753,18,58.462,2.074,192.677E-6 ,1.037,1.283,3.112,14.213,1.283 ,7.210,9.320,13.684,21.630,0.755223,0.387346,5.843 ,7.570979166666667
132.444 ,106.740 ,75.259 ,588.742 ,34.25515542061351,56.3976634009299,11.614426624656666,544,494,7.694583E-3 ,3.727987E-3 ,62.684,38,66.099,3.047,234.487E-6 ,1.638,2.100,4.915,17.076,1.491 ,7.643,12.324,24.975,22.930,0.679983,0.540496,3.717 ,14.266979166666667
116.456 ,91.702 ,76.279 ,486.955 ,33.90378260888562,50.52553235865261,16.34582748077851,135,121,8.468567E-3 ,3.943451E-3 ,55.780,11,51.596,2.474,209.479E-6 ,1.298,1.427,3.894,16.080,1.484 ,7.427,9.502,36.408,22.281,0.694911,0.494679,4.110 ,3.4909791666666665
99.471 ,10.713 ,82.070 ,136.925 ,39.02896361790466,68.02976373303832,13.783042176839839,142,126,10.056683E-3 ,1.067093E-3 ,72.864,15,71.393,2.367,238.007E-6 ,1.434,1.808,4.303,16.722,1.432 ,8.087,9.942,14.532,24.262,0.712926,0.463973,4.431 ,6.706979166666667
136.833 ,120.291 ,77.370 ,546.786 ,34.86831129627032,60.412442821155075,13.439403973203394,243,218,7.325774E-3 ,4.379493E-3 ,63.043,21,69.477,2.862,209.695E-6 ,1.291,1.424,3.874,21.348,1.647 ,13.730,19.704,24.115,41.190,0.666190,0.565526,3.280 ,6.010979166666667
113.067 ,77.698 ,84.779 ,432.295 ,33.978408132839704,53.75735178482364,-5.889116836623261,126,118,8.811768E-3 ,3.594963E-3 ,52.362,6,34.689,3.666,323.020E-6 ,2.007,2.786,6.022,19.778,1.596 ,8.413,9.845,17.058,25.240,0.657780,0.594908,3.164 ,2.5789791666666666
165.770 ,129.727 ,94.492 ,468.530 ,45.783482880116274,62.47256406197593,26.77262568810701,94,87,6.337306E-3 ,3.581260E-3 ,42.609,4,47.351,4.018,254.615E-6 ,2.321,2.403,6.963,19.119,1.459 ,9.477,11.430,26.516,28.430,0.681894,0.513649,3.656 ,1.1869791666666667
106.725 ,14.688 ,93.264 ,145.332 ,51.70665029412001,65.5240000807311,22.721259648505388,70,64,9.442616E-3 ,1.182222E-3 ,39.831,4,42.423,3.047,287.707E-6 ,1.671,1.708,5.014,14.218,1.203 ,6.701,7.528,8.906,20.102,0.726085,0.474281,5.523 ,1.2109791666666667
