Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
--undefined-- ,--undefined-- ,--undefined-- ,--undefined-- ,26.81267171251228,33.42395589614139,21.877058988300945,1,0,--undefined-- ,--undefined-- ,100.000,0,0,--undefined--,--undefined-- ,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,0.6109791666666666
111.908 ,83.091 ,75.028 ,594.273 ,45.88832080091373,68.30143491992092,12.064382533677572,784,733,9.081339E-3 ,3.688689E-3 ,39.181,36,47.451,2.263,205.494E-6 ,0.896,1.121,2.688,15.008,1.318 ,6.543,9.715,11.767,19.629,0.799295,0.300460,7.341 ,12.970979166666666
117.483 ,96.186 ,75.702 ,528.193 ,44.196323014785236,63.50655311390767,11.372704152941576,298,278,8.775286E-3 ,4.206487E-3 ,36.323,16,44.001,2.904,254.861E-6 ,1.193,1.521,3.580,15.349,1.372 ,7.022,8.518,10.724,21.066,0.768684,0.349882,6.219 ,4.4989791666666665
111.263 ,93.197 ,74.981 ,589.642 ,45.79917538013882,63.949179270124574,10.137798437376482,493,452,9.257543E-3 ,4.187500E-3 ,36.308,32,37.769,2.322,214.928E-6 ,0.999,1.166,2.998,14.038,1.230 ,6.099,8.773,16.628,18.298,0.780813,0.330753,6.626 ,8.218979166666667
111.782 ,92.633 ,74.444 ,587.210 ,45.61719052190185,65.56132118809285,7.101193121944899,1619,1530,9.210549E-3 ,3.943065E-3 ,36.792,65,42.920,2.322,213.873E-6 ,1.051,1.321,3.154,14.359,1.311 ,6.253,8.534,14.236,18.758,0.798130,0.302422,7.292 ,25.090979166666667
146.126 ,139.115 ,75.905 ,597.429 ,52.40180454625767,65.50825140979296,18.89197261341731,332,318,7.060351E-3 ,4.041174E-3 ,17.931,6,19.008,2.393,168.960E-6 ,0.912,1.125,2.735,15.581,1.298 ,7.035,10.673,19.943,21.104,0.794280,0.309639,7.107 ,2.9389791666666665
102.728 ,86.806 ,75.094 ,561.623 ,47.25492706765167,62.46199664618273,21.83546843797275,123,113,10.177565E-3 ,3.831537E-3 ,26.857,6,32.047,2.522,256.700E-6 ,1.044,1.185,3.133,19.858,1.602 ,8.801,10.718,20.544,26.403,0.729243,0.437882,4.952 ,1.7869791666666666
100.652 ,55.735 ,75.002 ,451.838 ,33.90933828477231,57.38053693629804,10.363534914928227,75,69,10.182849E-3 ,3.376405E-3 ,59.174,5,65.788,3.056,311.217E-6 ,1.250,1.642,3.751,16.403,1.521 ,7.677,9.685,20.945,23.031,0.760876,0.372641,6.060 ,2.2189791666666667
131.645 ,99.974 ,73.234 ,582.482 ,40.254855528735035,66.45613942920261,-4.27970034841468,801,744,7.855972E-3 ,4.065258E-3 ,50.990,38,56.268,2.355,185.038E-6 ,1.040,1.212,3.121,13.981,1.275 ,5.469,7.264,10.236,16.408,0.811004,0.282501,7.977 ,14.170979166666667
171.858 ,158.787 ,73.990 ,583.884 ,43.454405511894294,69.24823072447991,11.435067687128575,631,597,6.048800E-3 ,4.546724E-3 ,48.603,17,43.028,2.838,171.639E-6 ,1.431,1.670,4.292,14.425,1.340 ,6.612,8.491,10.741,19.837,0.785859,0.343267,7.327 ,8.266979166666667
116.656 ,104.940 ,74.014 ,599.246 ,46.07934611830703,63.1725456724749,12.653757011067146,415,389,8.775161E-3 ,4.605557E-3 ,36.639,16,37.421,2.705,237.331E-6 ,1.361,1.532,4.084,14.905,1.379 ,6.501,9.446,17.089,19.502,0.787281,0.331066,7.071 ,5.986979166666667
311.317 ,211.629 ,73.936 ,601.308 ,40.80317043887838,63.311264185099276,12.086057874861535,328,293,3.367389E-3 ,3.263795E-3 ,46.332,10,29.066,4.573,153.979E-6 ,2.442,2.637,7.325,21.075,1.760 ,10.434,13.762,26.860,31.302,0.691213,0.483229,3.920 ,2.6269791666666666
130.830 ,23.918 ,99.556 ,233.808 ,48.95842058766074,68.17636557526421,25.658437372398943,352,344,7.691553E-3 ,1.239292E-3 ,30.732,4,7.535,1.281,98.526E-6 ,0.629,0.802,1.887,13.239,1.241 ,5.967,8.532,12.843,17.902,0.854710,0.205003,9.009 ,4.138979166666667
110.539 ,34.903 ,76.309 ,503.730 ,46.431930189478926,63.30597040912694,26.55255179863158,343,323,8.992353E-3 ,1.661431E-3 ,22.687,16,34.146,2.675,240.507E-6 ,1.451,1.422,4.353,15.164,1.380 ,7.282,9.518,11.784,21.846,0.787533,0.324826,6.759 ,4.570979166666667
148.174 ,95.741 ,76.648 ,586.615 ,51.052798716185016,70.63509986086599,15.108115566281208,287,269,6.820966E-3 ,2.597302E-3 ,33.229,9,22.823,2.999,204.574E-6 ,1.420,1.476,4.260,16.570,1.407 ,8.055,11.500,15.170,24.166,0.783609,0.337722,6.601 ,3.2269791666666667
