Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
154.843 ,67.888 ,78.017 ,590.447 ,52.990663617025696,68.89096368929403,21.9888108042206,1066,1025,6.467866E-3 ,1.945222E-3 ,29.298,34,37.916,2.311,149.451E-6 ,1.117,1.324,3.350,15.254,1.367 ,6.757,9.795,16.186,20.270,0.784991,0.334381,7.056 ,10.852766439909297
141.103 ,70.325 ,77.112 ,584.834 ,52.59517804268817,67.63806740628057,22.249810126145025,591,555,7.236150E-3 ,2.094910E-3 ,33.243,28,43.109,3.072,222.309E-6 ,1.639,1.917,4.916,17.545,1.509 ,7.834,11.221,16.237,23.502,0.745755,0.412371,5.741 ,7.430725623582767
112.595 ,42.150 ,75.549 ,520.587 ,51.77190190206587,69.65668031495575,16.352032957643637,400,381,8.977875E-3 ,2.410052E-3 ,31.843,15,37.722,1.689,151.663E-6 ,0.743,0.843,2.228,13.808,1.275 ,6.270,8.402,13.220,18.810,0.806401,0.287549,7.447 ,5.6282766439909295
151.377 ,72.799 ,94.113 ,565.727 ,57.48702789253271,71.31054956837603,35.18304226497938,377,364,6.770261E-3 ,2.048407E-3 ,15.361,7,20.620,2.079,140.773E-6 ,0.983,1.103,2.950,11.554,1.146 ,5.397,7.584,9.969,16.192,0.825934,0.267146,8.566 ,3.2250113378684806
150.234 ,99.859 ,75.638 ,585.659 ,56.92072635374445,71.69564697363785,31.703683040838804,577,551,6.809595E-3 ,3.043535E-3 ,19.397,15,25.497,2.310,157.324E-6 ,1.107,1.323,3.320,17.291,1.485 ,7.846,9.930,15.863,23.539,0.784970,0.329955,6.710 ,5.340929705215419
130.491 ,75.691 ,75.786 ,581.330 ,56.603189739306316,74.63247481019556,21.422685513185286,1003,946,7.814595E-3 ,2.768579E-3 ,31.064,42,39.818,1.881,146.958E-6 ,0.770,0.936,2.309,16.053,1.404 ,6.757,10.006,15.943,20.271,0.779129,0.330963,6.341 ,12.811950113378686
104.766 ,13.522 ,81.241 ,150.378 ,55.26765548537857,74.93915271687771,24.952880372763087,366,349,9.551755E-3 ,1.227482E-3 ,33.391,15,30.784,1.880,179.581E-6 ,0.796,1.008,2.387,14.676,1.314 ,6.005,8.781,13.821,18.015,0.803221,0.291296,7.251 ,5.785011337868481
107.858 ,43.753 ,75.786 ,598.700 ,55.52578363634885,72.38357956715376,21.636363537368695,671,639,9.318747E-3 ,1.841503E-3 ,32.932,29,33.662,1.735,161.665E-6 ,0.707,0.746,2.120,12.011,1.125 ,5.294,6.865,11.446,15.882,0.828479,0.255907,8.329 ,9.990725623582767
114.376 ,68.279 ,74.431 ,591.196 ,51.99605030168083,71.84589358629574,-0.187011285029665,421,394,8.921906E-3 ,2.523224E-3 ,35.737,18,25.051,1.791,159.818E-6 ,0.814,1.049,2.441,14.333,1.231 ,6.761,9.177,12.643,20.282,0.797245,0.314479,7.577 ,6.411950113378685
124.283 ,5.000 ,116.145 ,130.028 ,33.858409236501636,73.84791659646574,18.54199525472793,20,19,7.999145E-3 ,0.354869E-3 ,81.295,0,0,2.159,172.675E-6 ,1.107,1.308,3.321,19.982,1.493 ,7.390,12.184,25.246,22.171,0.768083,0.324263,5.533 ,1.422562358276644
