Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
159.838 ,130.585 ,89.167 ,613.107 ,49.48210945635517,74.44731454899065,4.654523580847076,729,677,6.406627E-3 ,3.469276E-3 ,45.094,39,50.732,2.683,171.911E-6 ,1.342,1.517,4.027,15.729,1.394 ,6.571,9.298,16.524,19.712,0.761173,0.366230,6.080 ,9.610979166666667
147.233 ,115.647 ,94.060 ,557.228 ,53.77980385294545,68.15346851448824,33.61926850074483,244,227,6.996250E-3 ,3.435720E-3 ,27.675,11,36.125,2.007,140.397E-6 ,1.081,1.296,3.242,16.458,1.512 ,8.062,11.512,16.571,24.185,0.739367,0.401254,5.169 ,2.7469791666666667
158.640 ,145.007 ,89.443 ,593.828 ,46.377876753554084,60.709458169628974,27.804056325602573,218,195,6.563983E-3 ,4.045197E-3 ,43.911,9,33.082,2.976,195.341E-6 ,1.579,1.957,4.737,18.298,1.631 ,7.758,9.199,16.942,23.275,0.688339,0.541138,3.946 ,2.7469791666666667
146.379 ,133.564 ,87.843 ,599.692 ,49.19326830169462,64.81233698426864,28.526001776188394,450,404,7.200241E-3 ,4.064308E-3 ,30.975,29,41.547,2.305,165.949E-6 ,1.271,1.543,3.812,15.001,1.396 ,5.910,9.878,16.768,17.730,0.727143,0.434491,4.897 ,5.266979166666666
153.714 ,134.203 ,93.393 ,537.368 ,49.368528405326714,63.38258787215637,32.020939854430594,174,156,7.086410E-3 ,3.984590E-3 ,32.243,7,29.335,2.540,179.971E-6 ,1.427,2.045,4.281,15.776,1.441 ,6.438,10.445,13.275,19.315,0.726905,0.449225,5.114 ,2.1709791666666667
148.690 ,126.850 ,92.904 ,593.589 ,51.83529629176362,66.26536332249151,27.40318326113077,304,277,7.052138E-3 ,3.747555E-3 ,22.483,15,28.008,3.319,234.072E-6 ,1.807,2.386,5.421,16.730,1.531 ,6.477,10.628,24.287,19.432,0.718139,0.471743,5.015 ,3.0109791666666665
142.072 ,130.613 ,91.663 ,584.174 ,44.417352301724634,60.48457177983465,24.44157605409076,243,221,7.502935E-3 ,3.966495E-3 ,35.254,11,40.606,3.357,251.910E-6 ,1.905,2.104,5.716,17.005,1.563 ,7.558,9.900,22.315,22.673,0.724508,0.473628,5.255 ,2.9869791666666665
182.895 ,150.433 ,89.883 ,501.650 ,49.66223056138227,64.60413966457493,30.167965456137008,159,145,5.693725E-3 ,3.994045E-3 ,28.481,8,39.592,2.779,158.241E-6 ,1.628,2.042,4.884,17.068,1.541 ,5.452,8.697,16.037,16.356,0.757982,0.376148,6.440 ,1.6189791666666666
158.628 ,151.971 ,84.968 ,595.715 ,43.49337626118576,58.84189144411127,25.968413154808083,503,467,6.546189E-3 ,4.337074E-3 ,34.000,18,31.053,2.765,181.034E-6 ,1.653,2.094,4.960,16.988,1.509 ,6.850,10.463,23.433,20.551,0.718776,0.470758,4.813 ,5.530979166666667
165.580 ,147.194 ,89.038 ,582.147 ,46.315973852943195,64.93582033569714,22.894375300343654,625,573,6.319648E-3 ,4.020855E-3 ,31.908,33,35.579,2.375,150.110E-6 ,1.171,1.222,3.513,14.951,1.370 ,6.237,9.201,15.394,18.712,0.753237,0.384881,5.763 ,6.586979166666667
155.489 ,145.102 ,81.212 ,541.002 ,45.152184038195465,58.229706719935564,26.063909757305833,426,390,6.795826E-3 ,4.246316E-3 ,29.694,20,39.960,3.808,258.756E-6 ,2.188,2.545,6.564,21.065,1.659 ,8.451,11.546,14.921,25.353,0.712608,0.472911,4.551 ,4.618979166666667
174.786 ,163.480 ,83.070 ,597.189 ,42.90202073103937,60.359807466157804,25.109378976598734,594,551,5.989033E-3 ,4.364533E-3 ,33.118,22,35.537,3.034,181.727E-6 ,1.586,1.946,4.758,17.449,1.545 ,6.884,9.927,17.128,20.652,0.735047,0.415884,5.204 ,6.226979166666666
139.006 ,114.285 ,80.005 ,598.612 ,46.670523330184885,61.630855853532545,22.79787538622834,451,416,7.468027E-3 ,3.722449E-3 ,26.223,19,37.390,3.005,224.395E-6 ,1.561,1.611,4.682,17.114,1.507 ,7.224,9.951,14.269,21.672,0.733416,0.430641,5.059 ,5.146979166666667
155.777 ,149.001 ,83.692 ,625.473 ,31.973351062620214,57.738097283986974,-0.17374110879280494,299,278,6.448775E-3 ,4.350736E-3 ,60.954,16,34.893,3.466,223.486E-6 ,1.976,2.230,5.927,18.190,1.447 ,8.837,12.748,16.940,26.510,0.720001,0.444481,4.710 ,5.698979166666667
141.403 ,98.748 ,88.143 ,583.937 ,56.06022751387368,71.56926979006892,20.431845932774785,609,569,7.235872E-3 ,2.906422E-3 ,26.600,26,38.642,2.690,194.678E-6 ,1.376,1.601,4.129,15.900,1.434 ,6.076,9.087,17.861,18.227,0.781019,0.335489,6.665 ,7.066979166666667
145.032 ,117.806 ,81.351 ,573.459 ,52.767141277385946,69.36486186811389,29.174830444435035,551,510,7.120039E-3 ,3.572781E-3 ,35.070,27,40.318,2.897,206.254E-6 ,1.294,1.483,3.881,16.833,1.554 ,6.970,9.769,14.607,20.911,0.767701,0.359543,6.304 ,7.138979166666667
221.071 ,187.581 ,76.509 ,598.065 ,52.524008731568365,68.14467095837674,34.143734917014555,344,310,4.800521E-3 ,3.944347E-3 ,27.481,10,34.573,4.611,221.361E-6 ,2.196,2.612,6.589,20.566,1.813 ,8.803,11.393,22.578,26.409,0.733146,0.425739,5.051 ,2.6509791666666667
107.093 ,14.709 ,93.667 ,140.775 ,58.8075017707912,72.41521347863804,35.69693351045937,33,31,9.251717E-3 ,1.253920E-3 ,51.429,1,33.543,3.253,300.999E-6 ,0.666,0.865,1.999,10.625,0.850 ,6.433,5.090,--undefined--,19.300,0.633533,0.637906,2.668 ,0.7309791666666666
169.586 ,122.818 ,75.900 ,585.600 ,55.417819927706084,75.46734929675357,10.062079227183814,1385,1298,6.077009E-3 ,3.110498E-3 ,37.717,47,37.575,3.423,207.994E-6 ,1.726,1.997,5.177,17.258,1.536 ,7.899,10.986,17.122,23.697,0.747920,0.404106,5.677 ,15.010979166666667
225.376 ,173.157 ,96.649 ,590.771 ,57.183946614894325,73.26351147724755,34.044912338903245,250,229,4.657987E-3 ,3.200973E-3 ,29.121,6,22.094,3.743,174.357E-6 ,2.032,2.802,6.096,17.430,1.687 ,7.688,9.142,20.662,23.064,0.738382,0.456493,5.984 ,1.8589791666666666
193.120 ,147.455 ,89.485 ,599.594 ,57.77492351145634,75.42894684794442,33.862318876150354,1118,1039,5.412084E-3 ,3.182786E-3 ,32.696,35,38.088,3.455,187.013E-6 ,1.736,2.003,5.207,17.345,1.523 ,8.168,10.934,18.806,24.504,0.767747,0.360236,6.166 ,10.498979166666667
159.723 ,112.027 ,95.820 ,593.402 ,58.043913157619656,74.23832477087355,31.158888296812517,1266,1208,6.393858E-3 ,2.790868E-3 ,31.201,34,38.208,2.448,156.512E-6 ,1.206,1.388,3.617,13.759,1.294 ,6.141,8.759,13.274,18.424,0.787401,0.334858,7.035 ,12.850979166666667
186.333 ,144.333 ,84.202 ,592.753 ,56.00915792666491,71.80257627336994,30.01111801426775,807,748,5.528789E-3 ,3.172564E-3 ,35.542,36,48.039,3.381,186.917E-6 ,1.724,1.905,5.171,16.433,1.478 ,7.188,9.704,16.732,21.564,0.760302,0.379575,6.003 ,8.338979166666666
170.573 ,120.775 ,91.797 ,597.028 ,56.664510061071404,73.09869682807268,30.012315659903663,749,706,5.949570E-3 ,2.886014E-3 ,31.671,23,40.040,2.549,151.683E-6 ,1.276,1.399,3.828,15.594,1.335 ,6.844,9.384,17.070,20.532,0.791256,0.308947,6.876 ,7.4509791666666665
196.057 ,142.387 ,85.362 ,527.115 ,51.54894449439157,69.6468932707443,28.040030914697873,321,297,5.416439E-3 ,3.105081E-3 ,47.716,9,36.966,3.454,187.072E-6 ,1.867,2.118,5.602,19.374,1.607 ,10.087,14.780,19.296,30.261,0.723639,0.442367,4.737 ,3.9709791666666665
177.279 ,115.746 ,77.603 ,544.008 ,55.525401030750956,70.969203384534,26.798794897508145,676,635,5.803085E-3 ,2.713110E-3 ,35.022,25,44.742,2.920,169.432E-6 ,1.471,1.650,4.412,16.361,1.465 ,7.703,10.229,15.342,23.108,0.747117,0.401923,5.596 ,6.946979166666667
228.304 ,151.419 ,113.642 ,562.552 ,44.750080472004065,68.48906099839132,28.026616411820928,133,120,4.718595E-3 ,2.542010E-3 ,59.278,3,25.380,3.225,152.161E-6 ,1.613,1.745,4.839,18.010,1.753 ,6.239,10.354,--undefined--,18.717,0.691468,0.508709,4.123 ,1.9789791666666667
258.029 ,186.561 ,109.639 ,571.628 ,33.45898396158382,67.67441917254827,-3.6526227432460234,168,149,4.140813E-3 ,2.968895E-3 ,70.497,6,17.741,3.677,152.241E-6 ,2.051,2.336,6.152,19.178,1.612 ,9.103,6.023,11.535,27.309,0.756154,0.363443,5.554 ,3.2509791666666668
165.098 ,111.830 ,78.062 ,595.639 ,60.827154681194855,75.17932349266654,35.05318407320005,608,573,6.173727E-3 ,2.771394E-3 ,27.402,22,34.763,2.798,172.738E-6 ,1.371,1.576,4.113,14.892,1.321 ,7.054,9.230,12.030,21.161,0.755095,0.389500,5.705 ,5.650979166666667
172.119 ,129.568 ,90.357 ,499.962 ,55.269464795111745,73.59088926392519,32.690871243932385,273,255,5.917310E-3 ,3.561062E-3 ,38.111,10,48.013,4.265,252.375E-6 ,2.146,2.528,6.438,16.421,1.369 ,7.996,10.281,15.101,23.987,0.713944,0.466324,4.686 ,3.1069791666666666
182.500 ,123.578 ,89.468 ,567.040 ,58.70935204123359,74.55754800994652,32.25514279323827,806,759,5.631439E-3 ,2.874237E-3 ,29.041,28,38.758,3.185,179.385E-6 ,1.674,1.833,5.022,15.970,1.476 ,6.797,8.404,16.508,20.391,0.767349,0.365434,6.161 ,7.330979166666666
203.339 ,117.980 ,104.144 ,499.389 ,53.38169120307311,73.50860021331833,29.92555738820933,297,276,5.051105E-3 ,2.463065E-3 ,40.397,9,21.500,2.929,147.945E-6 ,1.460,1.635,4.379,15.904,1.483 ,7.115,9.815,21.013,21.345,0.738331,0.414089,5.252 ,3.0589791666666666
167.930 ,133.446 ,102.010 ,601.463 ,56.76580217914687,79.22682635566952,29.103929447859834,484,448,6.304530E-3 ,3.194398E-3 ,38.815,15,41.535,2.415,152.251E-6 ,1.137,1.358,3.410,15.515,1.339 ,6.439,8.173,14.243,19.318,0.763496,0.363161,5.973 ,5.266979166666666
450.637 ,112.751 ,117.989 ,526.369 ,51.06561556009494,72.46398136781085,29.063356549847853,255,236,2.303376E-3 ,1.187224E-3 ,51.534,3,22.958,5.991,137.984E-6 ,3.268,3.868,9.803,23.909,1.844 ,12.092,18.026,--undefined--,36.277,0.638116,0.631629,2.685 ,1.6669791666666667
222.632 ,167.983 ,76.325 ,568.150 ,50.13454104517327,71.75632940661103,3.0977883388665224,338,311,4.588381E-3 ,3.185764E-3 ,47.238,13,53.154,4.376,200.792E-6 ,2.242,2.304,6.725,19.550,1.592 ,8.618,11.605,13.494,25.854,0.739701,0.406787,5.226 ,3.6589791666666667
129.159 ,71.787 ,87.965 ,518.474 ,56.091142115461366,71.60923702840219,35.650336927999795,343,314,7.951227E-3 ,2.475404E-3 ,33.265,17,43.874,2.755,219.054E-6 ,1.292,1.581,3.877,14.820,1.307 ,6.842,10.150,14.758,20.525,0.766192,0.360360,6.074 ,4.930979166666667
219.340 ,172.567 ,84.743 ,537.217 ,51.27492440804464,70.34351267852111,32.21209190526927,155,133,4.641267E-3 ,3.556329E-3 ,44.785,7,25.810,4.647,215.692E-6 ,2.367,2.915,7.102,25.096,1.942 ,10.575,18.657,--undefined--,31.725,0.686423,0.504909,3.682 ,1.6669791666666667
159.189 ,143.510 ,78.726 ,507.781 ,55.80590790546546,69.16106642045422,33.83210186737045,109,101,6.586791E-3 ,4.172200E-3 ,35.821,3,30.216,3.723,245.227E-6 ,2.035,2.080,6.106,17.127,1.403 ,8.502,10.287,13.155,25.506,0.810347,0.303050,8.011 ,1.3789791666666666
112.440 ,55.624 ,88.070 ,485.725 ,55.33826899652601,69.875540790054,30.534250420377887,174,163,9.062440E-3 ,2.146629E-3 ,24.771,6,28.582,3.114,282.230E-6 ,1.537,2.018,4.610,14.963,1.320 ,6.081,8.903,20.072,18.242,0.750739,0.411118,5.714 ,2.2189791666666667
110.238 ,49.732 ,89.382 ,550.536 ,56.22044877555755,71.98878705290205,35.558618658537085,182,168,9.378172E-3 ,1.398881E-3 ,21.702,6,28.661,2.857,267.921E-6 ,1.324,1.577,3.972,18.179,1.641 ,8.147,10.568,17.357,24.442,0.760889,0.376042,5.828 ,2.386979166666667
195.926 ,164.356 ,88.763 ,532.916 ,51.930780507198676,69.8459474948659,30.55933162040226,144,128,5.385295E-3 ,3.801354E-3 ,32.468,8,43.909,4.531,244.030E-6 ,2.538,2.406,7.614,15.215,1.512 ,7.235,9.372,--undefined--,21.705,0.717925,0.457674,4.716 ,1.5709791666666666
