Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
197.019 ,18.486 ,176.590 ,223.659 ,51.7209638662782,59.6383168905882,34.514792932069646,29,28,5.074690E-3 ,0.479320E-3 ,31.818,0,0,1.667,84.612E-6 ,0.519,0.736,1.557,8.562,0.846 ,4.275,4.975,6.545,12.824,0.872013,0.172336,9.631 ,0.25097916666666664
132.926 ,29.610 ,79.568 ,251.916 ,51.85843313773891,74.47635296562413,21.804065599462085,423,410,7.527326E-3 ,1.472728E-3 ,49.392,12,35.715,1.937,145.825E-6 ,0.743,0.899,2.229,13.237,1.174 ,5.803,8.116,12.655,17.408,0.852041,0.208159,9.167 ,6.610979166666667
149.350 ,48.830 ,78.062 ,514.968 ,52.785212869810486,69.13377495075686,20.98511128545679,327,314,6.723487E-3 ,1.697091E-3 ,31.429,11,36.370,2.562,172.228E-6 ,0.901,1.026,2.704,10.680,1.060 ,4.557,6.440,10.731,13.671,0.872097,0.184753,10.871 ,3.5389791666666666
118.110 ,12.108 ,80.513 ,156.362 ,49.948481986895686,66.16445910594905,19.40377793147362,589,577,8.469995E-3 ,0.880810E-3 ,33.028,10,20.318,1.986,168.239E-6 ,0.868,1.037,2.604,10.673,1.044 ,4.548,6.448,10.950,13.644,0.866470,0.195367,10.280 ,7.666979166666667
128.702 ,24.023 ,77.474 ,253.890 ,51.49269305022776,74.76943782252818,21.725097136456867,626,600,7.785076E-3 ,1.375688E-3 ,42.007,24,47.504,2.424,188.711E-6 ,0.930,1.130,2.790,12.438,1.131 ,5.188,7.528,12.481,15.565,0.851375,0.212311,9.323 ,9.106979166666667
130.686 ,45.617 ,86.299 ,464.054 ,51.29629264971984,71.3450023044152,18.44627471100405,406,388,7.800299E-3 ,1.405972E-3 ,43.311,15,29.792,2.070,161.476E-6 ,0.785,1.009,2.355,11.650,1.131 ,4.742,7.783,13.091,14.226,0.857360,0.203253,9.594 ,6.010979166666667
133.641 ,48.922 ,76.628 ,525.897 ,49.88297592377184,69.95814653455884,22.837283050584425,950,906,7.522667E-3 ,1.705266E-3 ,39.639,37,39.437,2.310,173.746E-6 ,0.914,1.117,2.742,11.857,1.082 ,4.930,7.452,13.324,14.789,0.858260,0.202546,9.774 ,12.778979166666666
125.527 ,40.346 ,75.358 ,571.188 ,48.97262832162789,67.96717826118959,17.426052558397735,998,966,8.042453E-3 ,1.471200E-3 ,35.192,27,31.057,2.252,181.107E-6 ,0.939,1.116,2.818,11.473,1.130 ,4.681,6.803,12.378,14.043,0.868655,0.187873,10.293 ,13.306979166666666
129.361 ,42.975 ,75.768 ,566.346 ,53.98267222527312,70.30190278232615,22.863416643868067,657,640,7.747627E-3 ,1.474884E-3 ,24.366,12,20.463,1.823,141.245E-6 ,0.798,0.892,2.394,11.174,1.083 ,4.778,6.654,10.877,14.333,0.877057,0.169100,10.278 ,7.138979166666667
126.872 ,20.066 ,87.164 ,170.440 ,45.5919479020295,72.52316201053648,21.19679500901835,295,278,7.908553E-3 ,1.279546E-3 ,51.661,16,40.668,2.786,220.296E-6 ,1.108,1.106,3.323,14.330,1.331 ,5.895,9.367,14.225,17.686,0.817353,0.264071,7.762 ,5.4589791666666665
125.492 ,27.487 ,84.205 ,486.209 ,50.61955124709672,70.93664445620513,17.83968853572277,912,879,8.012158E-3 ,1.154932E-3 ,32.821,29,35.229,2.124,170.176E-6 ,0.925,1.039,2.775,12.319,1.143 ,5.214,7.848,13.298,15.642,0.854338,0.208502,9.282 ,11.098979166666666
109.116 ,10.958 ,84.015 ,133.718 ,42.423808275318414,64.61138970328155,-3.7395621967727344,165,157,9.147808E-3 ,0.952548E-3 ,48.726,6,10.809,2.082,190.431E-6 ,0.892,1.066,2.676,10.825,1.011 ,5.287,7.602,11.113,15.862,0.834583,0.243072,8.505 ,3.1789791666666667
107.980 ,18.446 ,74.920 ,152.588 ,51.58312912583543,70.93712968757292,31.303220871400246,193,185,9.238837E-3 ,1.657260E-3 ,44.099,6,13.978,2.502,231.166E-6 ,1.132,1.443,3.396,13.613,1.367 ,5.796,8.412,11.478,17.389,0.777650,0.351345,6.683 ,3.2509791666666668
