Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
145.261 ,19.672 ,101.864 ,211.071 ,37.71737592080115,74.59562824544898,17.048420459074585,272,256,6.898314E-3 ,0.884147E-3 ,73.210,15,75.180,1.452,100.194E-6 ,0.526,0.638,1.577,11.699,1.133 ,4.479,5.870,10.541,13.438,0.796835,0.295049,6.851 ,7.570979166666667
128.623 ,2.992 ,118.672 ,135.925 ,49.856908860345996,60.211085938520284,29.473048817391735,72,71,7.762052E-3 ,0.191437E-3 ,9.677,0,0,0.647,50.182E-6 ,0.243,0.350,0.729,9.591,0.867 ,4.280,6.405,10.676,12.840,0.892847,0.135206,10.941 ,0.6589791666666667
141.123 ,42.710 ,87.031 ,510.047 ,40.87083298860292,61.47668364323473,16.64022422941757,390,376,7.117662E-3 ,1.608312E-3 ,43.123,12,28.717,1.816,129.231E-6 ,0.755,0.859,2.266,12.021,1.092 ,4.799,7.104,12.415,14.397,0.824808,0.256997,8.389 ,5.4109791666666665
151.416 ,96.788 ,90.524 ,536.515 ,39.466018012242145,63.06867813218581,15.105466431389809,320,303,6.726330E-3 ,2.690323E-3 ,51.976,12,57.001,1.856,124.814E-6 ,0.803,0.975,2.410,13.235,1.162 ,5.856,7.903,10.558,17.567,0.792374,0.318373,7.647 ,5.098979166666667
159.341 ,137.098 ,88.465 ,588.671 ,37.669130545774834,59.59757468104154,17.01595444765119,238,223,6.477650E-3 ,3.831315E-3 ,53.197,9,56.549,3.139,203.361E-6 ,1.756,2.130,5.268,17.991,1.630 ,7.952,9.604,14.068,23.855,0.712921,0.462055,4.542 ,3.9469791666666665
143.198 ,73.716 ,75.095 ,532.238 ,41.09407018301272,68.76017507122556,16.940158011307496,802,768,6.973084E-3 ,2.232599E-3 ,49.339,29,54.731,1.580,110.162E-6 ,0.707,0.877,2.121,14.351,1.213 ,5.995,8.406,11.396,17.986,0.815958,0.280564,8.145 ,12.130979166666666
148.170 ,73.580 ,83.484 ,501.184 ,41.445314547734704,73.04193951235409,16.074742376646846,584,550,6.897155E-3 ,2.100182E-3 ,63.208,25,62.962,1.584,109.236E-6 ,0.683,0.787,2.049,12.586,1.166 ,5.156,7.077,11.769,15.467,0.837085,0.235150,9.225 ,11.506979166666667
172.140 ,131.454 ,85.444 ,566.903 ,40.30462809409917,59.30022271995105,18.38027919743938,584,540,5.925755E-3 ,3.640846E-3 ,40.440,26,54.136,3.012,178.458E-6 ,1.534,1.705,4.602,16.975,1.518 ,8.769,10.970,13.825,26.308,0.735214,0.416576,5.182 ,7.306979166666666
139.550 ,117.612 ,83.337 ,579.518 ,37.291654537299976,59.490184228014755,17.14415402869516,350,323,7.370875E-3 ,3.804074E-3 ,44.484,18,54.152,2.139,157.691E-6 ,1.003,1.168,3.009,17.483,1.554 ,6.706,9.192,20.521,20.117,0.722402,0.443860,4.680 ,5.650979166666667
191.466 ,174.709 ,87.849 ,595.695 ,38.514841696500795,60.309532856460024,5.314377712473136,389,361,5.293595E-3 ,4.061602E-3 ,46.996,21,44.138,3.343,176.984E-6 ,1.532,1.582,4.596,21.566,1.754 ,8.674,13.177,18.200,26.022,0.701985,0.480387,4.097 ,4.690979166666667
129.383 ,73.232 ,89.806 ,572.680 ,45.34650818853997,67.74633252686137,19.470015114511977,297,279,7.774005E-3 ,2.604251E-3 ,45.188,15,50.780,2.347,182.454E-6 ,0.987,1.076,2.960,16.288,1.309 ,7.861,11.302,12.351,23.582,0.743042,0.396719,5.270 ,4.810979166666667
173.593 ,142.308 ,86.798 ,602.285 ,41.93093764165977,63.496778099158504,17.90088904287324,1556,1451,5.923317E-3 ,3.702541E-3 ,45.228,67,50.618,3.485,206.415E-6 ,1.823,2.195,5.469,18.759,1.559 ,8.846,12.197,15.566,26.538,0.716215,0.467875,4.836 ,18.898979166666667
181.935 ,167.054 ,92.821 ,599.100 ,46.81149214064073,58.954445337159484,27.27596441512145,93,81,5.906164E-3 ,3.825535E-3 ,43.220,3,28.325,2.884,170.328E-6 ,1.171,1.592,3.514,18.351,1.477 ,7.753,10.951,26.377,23.260,0.690564,0.511651,3.893 ,1.2109791666666667
136.553 ,111.303 ,81.649 ,548.540 ,40.34433387110567,61.40385807323446,13.331322371237347,486,453,7.440125E-3 ,3.662949E-3 ,47.815,25,40.908,3.271,243.338E-6 ,1.852,2.239,5.556,18.695,1.632 ,8.897,11.608,22.617,26.690,0.701802,0.501038,4.177 ,7.810979166666667
141.180 ,68.629 ,93.051 ,536.427 ,53.02350626253585,70.37222444660964,21.59348271377576,707,681,7.087635E-3 ,2.126188E-3 ,25.900,20,30.577,1.942,137.660E-6 ,0.851,1.014,2.552,14.778,1.296 ,6.195,10.012,19.074,18.586,0.781247,0.330725,6.597 ,7.258979166666666
138.052 ,80.515 ,74.970 ,593.735 ,45.34905785608144,67.86293663050189,18.164898646262756,763,719,7.369308E-3 ,2.543304E-3 ,46.975,35,52.785,2.398,176.702E-6 ,1.137,1.445,3.412,13.508,1.244 ,6.371,9.154,15.704,19.113,0.772380,0.349489,6.276 ,11.938979166666666
128.149 ,42.686 ,74.432 ,372.503 ,46.5336172504183,66.04739628108132,18.90204112667675,295,280,7.748455E-3 ,1.795008E-3 ,38.958,11,24.454,2.255,174.749E-6 ,0.916,1.036,2.748,14.919,1.304 ,6.748,9.957,15.294,20.244,0.803717,0.293272,7.407 ,4.066979166666667
142.798 ,103.885 ,79.511 ,597.846 ,45.23359422764116,68.16520904404784,17.342369108374825,608,560,7.249826E-3 ,2.964136E-3 ,47.335,33,52.108,2.272,164.700E-6 ,1.058,1.179,3.173,16.043,1.361 ,7.069,10.017,14.199,21.208,0.751813,0.396520,5.713 ,9.418979166666666
135.923 ,104.550 ,78.904 ,606.215 ,45.72349516917664,65.03984787863853,17.076195678356815,588,551,7.522783E-3 ,3.145586E-3 ,43.596,30,44.018,2.493,187.523E-6 ,1.181,1.380,3.543,15.680,1.423 ,7.641,11.750,18.609,22.922,0.749477,0.395480,5.596 ,8.938979166666666
153.560 ,115.142 ,79.743 ,586.726 ,43.23904213077144,64.88213136809988,17.158759127614,557,526,6.647862E-3 ,3.286069E-3 ,41.679,19,48.944,2.387,158.664E-6 ,1.077,1.309,3.232,15.718,1.358 ,7.767,10.296,14.946,23.302,0.787981,0.327309,7.016 ,7.066979166666667
176.729 ,137.055 ,92.938 ,594.627 ,42.277897098716096,64.60432925803988,16.606610826419764,467,439,5.839362E-3 ,3.578758E-3 ,42.661,19,31.947,2.874,167.825E-6 ,1.414,1.785,4.243,19.837,1.719 ,10.863,13.105,17.374,32.590,0.727520,0.433791,4.803 ,5.146979166666667
