Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
130.068 ,39.443 ,90.806 ,474.564 ,31.137982908213015,56.11375600183418,4.892009761147463,278,267,7.796125E-3 ,1.340740E-3 ,54.108,9,22.038,3.072,239.528E-6 ,1.507,1.571,4.522,14.354,1.276 ,6.422,8.866,15.654,19.266,0.778351,0.348872,6.709 ,5.026979166666667
189.829 ,169.448 ,81.606 ,591.901 ,42.65055223289697,60.38724855231603,14.585398522671582,532,499,5.469406E-3 ,3.909485E-3 ,38.735,19,43.097,3.528,192.967E-6 ,1.882,2.152,5.646,19.513,1.623 ,8.788,14.480,20.532,26.364,0.756745,0.370031,5.782 ,5.098979166666667
209.272 ,176.852 ,76.289 ,596.975 ,35.74825971671323,56.23029261873548,9.972626307436418,910,840,4.999762E-3 ,4.169080E-3 ,39.474,32,49.529,4.110,205.482E-6 ,2.073,2.273,6.219,20.515,1.744 ,9.397,12.324,21.398,28.190,0.722395,0.450517,4.860 ,8.770979166666667
168.021 ,30.372 ,110.850 ,558.988 ,36.30667463505638,59.76726925681548,11.059733321590404,1071,1048,5.954673E-3 ,0.829808E-3 ,40.485,21,43.644,1.831,109.036E-6 ,0.866,1.058,2.599,12.081,1.170 ,4.895,7.295,13.460,14.684,0.874056,0.184971,10.728 ,11.170979166666667
172.332 ,23.212 ,129.379 ,446.267 ,31.244695341061497,57.905762282034246,6.232883057784876,783,761,5.814066E-3 ,0.654002E-3 ,47.783,20,33.087,1.718,99.895E-6 ,0.731,0.911,2.193,12.655,1.193 ,4.686,7.258,13.439,14.057,0.872987,0.183851,10.685 ,9.058979166666667
151.991 ,20.463 ,118.734 ,197.959 ,41.35341808217428,61.85415345990725,6.505109833896054,154,147,6.582554E-3 ,0.855314E-3 ,50.495,6,38.186,1.977,130.170E-6 ,0.910,1.026,2.731,14.045,1.231 ,6.245,9.779,16.119,18.734,0.806081,0.299939,7.753 ,2.0509791666666666
162.520 ,8.823 ,145.998 ,179.459 ,26.33721609826447,55.779254353758546,6.090214506535227,27,26,6.210988E-3 ,0.368775E-3 ,78.022,0,0,1.144,71.024E-6 ,0.292,0.281,0.876,9.240,0.875 ,4.793,5.939,5.848,14.379,0.865486,0.186951,10.076 ,0.9469791666666667
152.006 ,24.625 ,119.235 ,215.133 ,36.80195787319097,57.628316258416405,1.8490808474193854,394,384,6.579218E-3 ,1.029562E-3 ,40.498,9,31.498,1.427,93.887E-6 ,0.646,0.707,1.939,11.065,1.014 ,4.720,6.815,9.773,14.159,0.889321,0.148038,10.996 ,4.4509791666666665
190.181 ,67.436 ,133.492 ,590.543 ,38.276681307292094,62.433044969049725,8.260567219071667,1444,1397,5.279260E-3 ,1.308780E-3 ,39.854,37,43.613,1.903,100.462E-6 ,0.893,1.106,2.680,13.844,1.282 ,6.196,8.807,14.374,18.589,0.858190,0.200258,9.671 ,13.738979166666667
177.248 ,35.755 ,134.240 ,544.705 ,36.43059622210322,63.2894076530644,12.981306712957878,705,683,5.659794E-3 ,0.895607E-3 ,49.127,20,52.626,1.759,99.558E-6 ,0.795,0.839,2.384,13.015,1.215 ,5.933,8.059,11.951,17.799,0.865907,0.187731,9.948 ,8.626979166666667
