Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
216.950 ,35.363 ,188.382 ,393.273 ,30.940078421748442,58.20915531690229,-15.520849810728915,152,144,4.674169E-3 ,0.554644E-3 ,65.611,4,32.366,1.355,63.317E-6 ,0.760,0.989,2.279,12.447,1.060 ,3.789,6.228,9.807,11.367,0.903082,0.126165,11.430 ,2.2420861678004536
205.384 ,65.833 ,83.813 ,336.797 ,36.377646470032346,58.64039332328906,2.4869752092006703,448,435,4.911708E-3 ,1.598418E-3 ,34.748,12,40.527,1.936,95.097E-6 ,1.025,1.246,3.074,12.807,1.197 ,5.220,8.091,11.428,15.659,0.852009,0.219242,10.366 ,3.809433106575964
173.349 ,83.451 ,80.016 ,607.112 ,27.14820061849537,70.75438787541647,1.2250971884919553,639,585,5.867255E-3 ,1.846930E-3 ,88.621,46,91.032,1.886,110.672E-6 ,0.942,1.109,2.827,16.462,1.197 ,6.643,8.624,7.273,19.930,0.843409,0.223587,8.894 ,42.83637188208617
162.391 ,119.730 ,81.852 ,563.121 ,30.102641323257266,48.928709969261554,-6.130419214519684,411,392,6.290942E-3 ,3.316182E-3 ,25.729,13,28.705,3.907,245.806E-6 ,2.200,2.705,6.601,22.244,1.746 ,10.671,15.436,23.953,32.014,0.727599,0.424189,4.905 ,3.809433106575964
142.401 ,125.314 ,79.480 ,607.435 ,31.51272365499296,65.0324421363953,6.4182109684381325,193,178,7.302804E-3 ,4.149115E-3 ,59.070,12,66.922,2.318,169.302E-6 ,1.076,1.347,3.228,23.140,1.647 ,14.010,20.633,8.807,42.030,0.723676,0.416867,4.419 ,4.3318820861678
194.479 ,174.984 ,82.869 ,575.733 ,33.64974597700619,67.57937756144399,0.01000763087640858,68,58,5.145806E-3 ,4.281179E-3 ,80.921,6,75.928,3.303,169.985E-6 ,1.589,2.336,4.767,27.028,1.938 ,12.823,29.579,--undefined--,38.469,0.708079,0.442158,4.076 ,3.078004535147392
242.274 ,60.810 ,176.065 ,459.254 ,28.65383630410906,67.92336815344152,-2.59987723447556,95,88,4.153010E-3 ,0.836337E-3 ,90.909,5,88.167,1.949,80.958E-6 ,1.094,1.239,3.281,9.093,0.953 ,3.553,3.024,2.738,10.660,0.802225,0.319617,8.993 ,6.630657596371882
115.584 ,30.403 ,87.660 ,256.042 ,29.86790123326974,48.86387321514326,-6.434354733371611,113,110,8.773146E-3 ,1.802069E-3 ,29.577,2,14.260,2.715,238.154E-6 ,1.491,1.846,4.474,16.846,1.416 ,6.116,7.175,7.582,18.347,0.765919,0.378507,6.044 ,1.4584126984126984
169.836 ,149.785 ,77.494 ,558.481 ,26.767586610312584,63.27701002675309,3.6599148042927587,540,484,6.007010E-3 ,4.126246E-3 ,82.426,44,87.254,3.193,191.815E-6 ,1.722,1.897,5.167,20.129,1.691 ,8.942,13.431,22.605,26.825,0.727738,0.413170,4.723 ,25.752290249433106
243.683 ,185.087 ,72.178 ,565.413 ,30.924399242645013,49.78944386086119,-1.3291268870999098,211,196,4.089030E-3 ,3.361396E-3 ,19.708,6,29.678,3.360,137.387E-6 ,1.930,2.453,5.789,16.381,1.518 ,6.160,8.582,8.907,18.481,0.755622,0.349465,5.279 ,1.4061678004535147
186.952 ,165.717 ,82.112 ,594.456 ,30.256073940342755,58.74313149467349,2.2692504978615173,577,531,5.475309E-3 ,4.074063E-3 ,48.892,29,56.798,3.796,207.832E-6 ,2.129,2.588,6.388,21.256,1.648 ,8.059,12.586,12.704,24.178,0.752681,0.371235,5.484 ,7.257596371882086
233.453 ,187.984 ,74.601 ,599.109 ,30.8077827605667,58.88980506065151,6.8460019785855355,1315,1206,4.479120E-3 ,3.713458E-3 ,48.814,51,58.571,3.428,153.532E-6 ,1.846,2.123,5.538,21.580,1.754 ,10.629,13.678,14.716,31.888,0.724999,0.424101,4.727 ,13.944943310657596
179.779 ,149.967 ,79.617 ,608.335 ,30.14584607449563,58.107398502535055,-1.9110523050093642,815,751,5.674622E-3 ,3.793485E-3 ,48.270,45,58.974,4.181,237.264E-6 ,2.480,2.810,7.441,17.351,1.592 ,7.363,8.814,13.761,22.088,0.706526,0.468060,4.279 ,11.01922902494331
132.487 ,116.832 ,75.278 ,592.237 ,20.21490600207874,48.55834949843472,4.892795634001019,119,109,7.774377E-3 ,3.926280E-3 ,71.981,8,16.191,5.387,418.839E-6 ,3.180,3.617,9.541,23.436,1.889 ,11.364,12.091,--undefined--,34.093,0.680323,0.527788,3.615 ,4.175147392290249
138.526 ,88.689 ,82.065 ,562.587 ,26.808559613432916,47.178026994718934,-2.3003694991577737,591,558,7.301652E-3 ,3.288712E-3 ,37.978,25,46.617,2.653,193.678E-6 ,1.295,1.495,3.886,17.485,1.547 ,7.109,10.111,16.334,21.326,0.746991,0.388959,5.378 ,8.145759637188208
116.820 ,62.587 ,79.545 ,413.741 ,24.925253725871496,51.9132757365011,4.880381937733829,419,395,8.612277E-3 ,3.115551E-3 ,50.583,22,58.722,2.518,216.889E-6 ,1.361,1.671,4.083,19.537,1.661 ,8.393,13.520,17.993,25.178,0.734323,0.407802,4.979 ,8.615963718820861
147.185 ,104.233 ,81.529 ,514.814 ,26.434650493130988,61.868409462645815,-4.100377665965502,172,152,7.003269E-3 ,3.495752E-3 ,87.987,17,91.763,2.070,144.968E-6 ,1.063,1.762,3.189,20.173,1.661 ,9.647,15.470,--undefined--,28.942,0.754348,0.363227,5.427 ,14.937596371882087
145.707 ,97.298 ,82.589 ,550.185 ,24.952315027916658,56.86228013890506,-4.600902363237478,234,213,6.920314E-3 ,3.250602E-3 ,65.840,13,57.577,2.515,174.024E-6 ,1.184,1.293,3.552,20.625,1.766 ,9.863,11.019,10.550,29.589,0.703275,0.481152,4.143 ,5.272290249433107
194.204 ,126.680 ,93.985 ,577.888 ,31.941595841454088,57.275723486546866,-0.9963167283299473,627,583,5.270801E-3 ,2.849140E-3 ,45.393,28,55.048,2.789,147.007E-6 ,1.478,1.797,4.435,19.508,1.704 ,8.333,12.312,27.207,24.999,0.729293,0.422871,4.908 ,7.4143310657596375
137.253 ,43.691 ,105.767 ,305.878 ,31.756105925605418,47.87276883924919,1.7457340641994823,141,128,7.457949E-3 ,1.566495E-3 ,36.508,6,32.230,2.152,160.502E-6 ,1.194,1.570,3.581,16.895,1.496 ,7.743,10.918,16.055,23.229,0.750042,0.385858,5.722 ,1.9286167800453515
243.649 ,140.170 ,100.374 ,523.281 ,34.393034158704445,52.16235056849363,7.712785884094404,171,163,3.940994E-3 ,2.389580E-3 ,31.897,5,34.449,2.959,116.603E-6 ,1.654,2.402,4.962,17.026,1.444 ,7.538,13.164,38.029,22.613,0.736705,0.421733,5.157 ,1.19718820861678
212.019 ,113.769 ,105.241 ,546.647 ,37.72347958208771,69.81806224524038,-0.013275635273735514,405,379,4.808811E-3 ,2.187203E-3 ,58.638,17,59.368,3.632,174.643E-6 ,1.983,2.234,5.949,17.280,1.432 ,7.017,6.287,9.705,21.050,0.741915,0.416924,5.803 ,6.055963718820862
159.760 ,75.894 ,77.793 ,598.023 ,34.65297723087789,51.387812087625306,4.682586997718873,638,614,6.332490E-3 ,2.029237E-3 ,20.594,14,23.298,3.349,212.103E-6 ,1.793,2.216,5.378,18.397,1.544 ,8.406,12.290,21.104,25.217,0.748007,0.404762,5.692 ,5.429024943310657
148.110 ,9.102 ,133.676 ,160.020 ,39.15214958632658,53.241955855875744,4.0836035537184046,44,43,6.733984E-3 ,0.462008E-3 ,26.316,0,0,1.922,129.397E-6 ,1.000,1.184,3.000,14.166,1.390 ,6.428,9.373,3.170,19.284,0.757532,0.365591,5.764 ,0.41351473922902493
218.224 ,131.361 ,90.931 ,567.897 ,30.92534589024278,51.966537791567326,2.799465033312875,398,374,4.613266E-3 ,2.351647E-3 ,41.160,17,48.394,3.888,179.341E-6 ,2.100,2.358,6.301,19.875,1.781 ,8.552,13.172,21.681,25.655,0.729241,0.430580,4.894 ,3.6526984126984128
165.024 ,21.514 ,122.857 ,209.929 ,28.005563320489525,53.2269783119899,0.23247091595902633,95,92,6.081624E-3 ,0.802304E-3 ,47.414,1,36.711,3.716,225.999E-6 ,2.045,2.328,6.135,19.331,1.666 ,8.877,11.409,19.051,26.631,0.683381,0.581018,4.407 ,1.19718820861678
138.628 ,26.773 ,86.020 ,224.964 ,37.0214093807591,49.24796583964443,3.7576240818975903,135,131,7.224395E-3 ,1.324488E-3 ,12.397,3,11.453,1.538,111.094E-6 ,0.869,1.034,2.607,19.606,1.654 ,8.466,11.040,13.778,25.398,0.771827,0.329990,6.023 ,1.2494331065759636
166.623 ,74.614 ,78.579 ,510.643 ,31.07050478576637,51.172115851810986,5.65995289307536,852,814,6.101728E-3 ,1.988433E-3 ,31.352,22,31.505,3.386,206.625E-6 ,1.860,2.135,5.580,20.826,1.797 ,9.882,13.061,13.701,29.645,0.724596,0.438272,4.946 ,8.615963718820861
189.564 ,115.395 ,121.433 ,587.366 ,17.52160281798974,46.49886186527062,-9.874792395023105,207,193,5.555337E-3 ,2.253704E-3 ,73.859,5,73.083,3.976,220.885E-6 ,2.365,2.570,7.095,16.734,1.404 ,8.064,10.109,7.095,24.193,0.719132,0.474275,5.374 ,4.854331065759637
150.862 ,126.691 ,81.750 ,569.995 ,27.202858098060098,62.35112685048065,6.251329554935708,197,176,6.818447E-3 ,4.086833E-3 ,79.928,17,80.976,2.773,189.048E-6 ,1.233,1.647,3.698,20.558,1.681 ,9.839,9.553,15.024,29.517,0.707481,0.474909,4.293 ,8.354739229024943
148.818 ,124.535 ,80.537 ,593.759 ,34.38134312254347,66.8793471136747,-5.283604155996123,374,339,6.990405E-3 ,3.670188E-3 ,62.145,22,64.519,3.074,214.886E-6 ,1.504,1.807,4.511,17.108,1.596 ,8.289,9.717,14.106,24.866,0.747642,0.381796,5.325 ,8.145759637188208
128.251 ,108.620 ,79.586 ,548.929 ,37.37410343658615,71.49571904502514,-1.6525429352100125,67,60,8.370277E-3 ,4.219332E-3 ,63.687,5,44.111,3.233,270.633E-6 ,1.929,2.331,5.787,19.376,1.754 ,3.102,2.607,5.600,9.306,0.733346,0.416950,4.990 ,1.824126984126984
129.531 ,113.976 ,81.343 ,537.459 ,30.19506075294307,78.74346765523742,4.145664254038386,57,51,7.719910E-3 ,3.874130E-3 ,90.287,4,14.733,2.009,155.074E-6 ,1.022,1.559,3.065,17.185,1.669 ,6.899,3.603,--undefined--,20.696,0.763204,0.367593,5.808 ,6.31718820861678
182.022 ,28.160 ,90.868 ,218.475 ,36.00931249437052,68.54426622977067,-2.2456377483657914,135,132,5.539972E-3 ,1.045101E-3 ,55.172,2,4.224,3.495,193.620E-6 ,1.608,2.096,4.824,18.398,1.653 ,8.275,11.498,9.294,24.826,0.727788,0.445751,5.025 ,1.7718820861678004
139.632 ,54.533 ,80.668 ,561.960 ,37.131379223483044,54.59257828578201,-3.7189729631465096,313,301,7.223887E-3 ,1.882185E-3 ,19.079,10,24.019,3.774,272.607E-6 ,2.088,2.717,6.263,21.874,1.809 ,9.816,14.009,20.732,29.449,0.716656,0.448662,4.545 ,3.078004535147392
288.626 ,184.949 ,80.794 ,612.184 ,35.4777791163862,64.58461836078857,3.8943847562875544,517,491,3.587170E-3 ,2.769233E-3 ,45.477,11,51.578,4.200,150.649E-6 ,2.192,2.696,6.575,20.135,1.763 ,8.915,10.240,14.786,26.744,0.725563,0.433847,4.782 ,4.018412698412698
224.596 ,129.711 ,82.771 ,609.262 ,27.250104586738736,52.00865267542538,5.556826141550872,608,581,4.525544E-3 ,2.303280E-3 ,43.486,12,48.289,3.633,164.413E-6 ,1.980,2.544,5.940,19.842,1.685 ,9.220,12.687,23.232,27.659,0.735738,0.417888,5.281 ,5.4812698412698415
149.485 ,43.850 ,109.862 ,287.119 ,33.57878113894315,58.46366674603048,1.3470476182055866,136,128,6.741322E-3 ,1.795188E-3 ,51.327,7,43.641,3.190,215.055E-6 ,1.897,1.881,5.690,22.736,1.751 ,9.855,8.892,12.466,29.566,0.696601,0.494155,4.133 ,2.294331065759637
214.537 ,181.065 ,83.692 ,597.179 ,33.01790984722022,70.37321524238298,7.763095881468406,98,90,4.775480E-3 ,3.212058E-3 ,84.783,6,53.408,2.791,133.291E-6 ,1.566,1.203,4.697,15.632,1.463 ,5.926,4.172,2.474,17.778,0.699927,0.504196,4.311 ,4.175147392290249
191.333 ,148.989 ,109.084 ,518.985 ,32.939417333313294,75.40680040840856,3.3355679277027788,38,34,5.049253E-3 ,3.073008E-3 ,95.440,3,66.613,3.006,151.756E-6 ,1.721,2.587,5.162,18.455,1.753 ,6.610,7.536,35.647,19.831,0.658127,0.565156,3.017 ,12.534331065759638
170.961 ,91.989 ,105.827 ,577.621 ,30.375591960632786,50.58480365607139,-5.661264776476164,428,411,5.880973E-3 ,2.209696E-3 ,28.851,12,34.158,3.115,183.195E-6 ,1.603,1.914,4.810,20.160,1.585 ,9.642,12.278,17.772,28.926,0.733026,0.419872,5.001 ,4.122902494331066
176.706 ,116.915 ,108.590 ,542.483 ,31.922198790691088,67.62776592786093,1.1506653089121883,346,317,5.828362E-3 ,2.574285E-3 ,74.642,21,75.249,2.329,135.749E-6 ,1.395,1.940,4.184,19.355,1.792 ,8.988,11.529,33.824,26.964,0.703744,0.469920,4.135 ,9.817596371882086
154.068 ,96.239 ,79.856 ,584.714 ,33.99052296858727,55.289691176115845,-16.42851442952309,917,877,6.592676E-3 ,2.572615E-3 ,31.776,29,35.410,2.784,183.530E-6 ,1.434,1.648,4.302,17.401,1.569 ,7.811,11.010,20.053,23.434,0.775108,0.342635,6.357 ,9.660861678004535
183.701 ,110.120 ,93.350 ,617.427 ,35.18264498910451,71.03338735537972,3.8175362488448608,609,562,5.518941E-3 ,2.499632E-3 ,72.825,39,77.903,1.911,105.447E-6 ,0.991,1.207,2.972,16.427,1.449 ,6.918,10.264,14.820,20.753,0.823159,0.247023,7.734 ,16.818412698412697
166.445 ,99.578 ,83.379 ,559.491 ,35.140672480651666,68.56347236810626,6.01193851812019,461,423,6.190147E-3 ,2.306520E-3 ,66.426,27,64.151,2.170,134.307E-6 ,1.125,1.347,3.374,20.028,1.647 ,8.917,11.319,14.467,26.750,0.786774,0.319956,6.766 ,9.71310657596372
