Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
168.298 ,30.789 ,80.919 ,302.437 ,35.640855161083515,58.0192073021388,9.497172260901294,706,683,5.937434E-3 ,1.084857E-3 ,48.028,17,50.803,2.570,152.612E-6 ,1.178,1.385,3.534,11.423,1.124 ,4.526,6.728,12.321,13.577,0.860470,0.204463,10.280 ,8.650979166666668
120.137 ,13.234 ,77.378 ,150.913 ,35.21418869363413,57.70593880463487,12.283383001419303,211,199,8.320697E-3 ,0.969654E-3 ,54.839,9,26.579,1.753,145.827E-6 ,0.686,0.810,2.058,11.611,0.985 ,5.170,7.028,10.203,15.510,0.824936,0.259769,8.247 ,4.066979166666667
132.403 ,29.917 ,79.487 ,304.141 ,42.138168478779015,57.01620660144037,13.81877917185102,668,649,7.579015E-3 ,1.495898E-3 ,30.311,14,19.515,2.560,194.044E-6 ,1.189,1.507,3.566,14.334,1.279 ,6.439,9.743,15.465,19.317,0.793852,0.313891,7.009 ,7.4269791666666665
128.724 ,26.719 ,89.701 ,223.993 ,41.12676856007515,56.48388205330009,12.537126475390664,371,356,7.771442E-3 ,1.553008E-3 ,32.159,13,20.151,2.899,225.313E-6 ,1.331,1.440,3.992,13.322,1.202 ,5.814,8.203,14.583,17.441,0.781654,0.329234,6.689 ,4.570979166666667
120.446 ,19.622 ,78.846 ,170.920 ,38.9033857147045,56.22135843111475,10.475039116046087,627,603,8.303662E-3 ,1.325920E-3 ,33.771,23,24.528,2.373,197.048E-6 ,0.895,1.259,2.685,14.329,1.328 ,6.872,8.768,16.490,20.615,0.764859,0.374390,6.288 ,8.410979166666667
119.585 ,30.677 ,86.901 ,370.067 ,40.64772114728171,57.31438972754208,12.373423509925288,611,581,8.396412E-3 ,1.752732E-3 ,32.368,27,24.451,2.897,243.246E-6 ,1.301,1.579,3.904,14.764,1.327 ,6.826,9.437,17.445,20.478,0.786992,0.322452,6.830 ,7.978979166666667
136.283 ,64.281 ,79.908 ,458.565 ,37.09714211783208,55.503062916566186,9.048917286192195,452,430,7.540882E-3 ,2.176421E-3 ,33.457,10,18.619,2.998,226.106E-6 ,1.368,1.791,4.105,14.296,1.308 ,6.999,10.310,13.921,20.996,0.778585,0.341918,6.627 ,5.4109791666666665
127.367 ,44.259 ,80.627 ,497.230 ,37.974871808974115,55.08760872687774,11.08916780539137,744,702,7.970594E-3 ,1.771064E-3 ,35.992,33,32.687,3.111,247.951E-6 ,1.348,1.836,4.045,14.193,1.376 ,6.412,9.668,17.249,19.236,0.781194,0.339723,6.773 ,10.066979166666666
124.376 ,25.852 ,76.333 ,228.497 ,37.638099032722174,54.1138640546114,10.452522470471582,458,444,8.047105E-3 ,1.557398E-3 ,31.664,13,14.857,2.252,181.241E-6 ,0.968,1.267,2.904,12.119,1.208 ,5.234,7.816,15.017,15.701,0.799985,0.306085,7.332 ,5.626979166666667
127.616 ,26.275 ,93.767 ,267.182 ,43.165226507057135,53.61636093263965,21.734264189058493,403,389,7.849670E-3 ,1.345370E-3 ,13.212,12,19.254,2.757,216.409E-6 ,1.243,1.587,3.729,13.613,1.187 ,6.330,8.867,14.793,18.989,0.795411,0.309820,7.452 ,3.898979166666667
123.098 ,36.987 ,75.001 ,489.799 ,36.099104161190766,53.39920414669881,10.032461594058216,960,922,8.166038E-3 ,1.990871E-3 ,34.183,30,38.915,2.932,239.442E-6 ,1.293,1.600,3.879,14.519,1.372 ,6.393,9.326,15.556,19.179,0.780275,0.341757,6.693 ,12.586979166666667
121.993 ,19.384 ,82.231 ,191.790 ,39.44812251735745,52.526063924515256,16.874527322802486,805,782,8.248055E-3 ,1.342569E-3 ,21.558,21,26.304,2.700,222.681E-6 ,1.298,1.622,3.894,14.046,1.319 ,6.054,9.844,15.930,18.163,0.779850,0.345866,6.828 ,8.890979166666666
166.651 ,72.777 ,75.320 ,316.025 ,23.51883147344553,52.12284828804229,9.768213251660681,61,55,6.123722E-3 ,2.525074E-3 ,73.494,2,73.637,4.600,281.689E-6 ,2.035,1.690,6.106,17.633,1.627 ,7.382,9.557,14.550,22.145,0.714361,0.474572,4.496 ,1.6909791666666667
119.647 ,22.528 ,75.409 ,259.167 ,34.977580390822325,52.28273995881065,9.211814918907566,407,395,8.394086E-3 ,1.507919E-3 ,31.275,11,33.388,2.406,201.927E-6 ,1.008,1.164,3.024,15.153,1.373 ,6.780,10.335,17.317,20.340,0.789043,0.317728,6.763 ,5.050979166666667
109.533 ,13.854 ,80.488 ,156.872 ,29.577836498710735,50.66884540283318,-3.5107225227688588,158,153,9.111968E-3 ,1.207652E-3 ,50.000,4,8.872,1.831,166.812E-6 ,0.761,1.031,2.283,11.173,1.072 ,5.632,7.192,9.339,16.896,0.812424,0.283604,7.828 ,3.0589791666666666
110.934 ,43.781 ,76.717 ,498.972 ,39.234266980867474,57.36857933199846,14.730441762595156,283,272,9.043358E-3 ,1.973594E-3 ,43.789,10,22.050,1.826,165.164E-6 ,0.811,0.954,2.433,14.889,1.237 ,7.380,10.713,16.027,22.139,0.767912,0.362729,6.092 ,4.786979166666667
108.891 ,49.452 ,79.550 ,588.444 ,39.73156798103447,55.790919990371165,15.940969168561525,467,439,9.353939E-3 ,1.969594E-3 ,43.521,22,33.090,2.540,237.621E-6 ,1.142,1.416,3.427,14.860,1.337 ,6.687,9.529,17.638,20.060,0.751948,0.393764,5.686 ,8.218979166666667
