Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
199.842 ,87.661 ,100.981 ,530.010 ,57.347427148043934,78.42677497665777,4.642625897900273,311,293,5.012636E-3 ,1.865949E-3 ,35.075,7,33.884,3.247,162.760E-6 ,1.806,1.991,5.418,16.011,1.443 ,6.866,9.728,16.023,20.597,0.786873,0.338926,7.269 ,2.7122902494331065
200.712 ,111.443 ,68.779 ,617.506 ,59.04460291653184,75.50292596396305,26.575842966448842,1112,1063,5.084235E-3 ,2.123939E-3 ,25.182,24,27.880,2.888,146.816E-6 ,1.496,1.742,4.488,17.127,1.486 ,8.249,11.984,20.294,24.747,0.774951,0.362318,6.801 ,8.250249433106577
195.470 ,101.206 ,80.568 ,576.168 ,55.95295914641994,72.78077696665535,11.46064081120669,1611,1544,5.230856E-3 ,1.974764E-3 ,23.906,35,27.321,3.011,157.500E-6 ,1.615,1.910,4.846,17.889,1.612 ,8.351,12.160,21.234,25.053,0.768084,0.364507,6.252 ,12.377596371882087
178.815 ,61.374 ,98.966 ,445.055 ,52.17221957942224,78.48448089345693,3.487151428530092,418,399,5.625863E-3 ,1.652931E-3 ,43.146,14,23.464,2.399,134.977E-6 ,1.247,1.483,3.742,18.064,1.491 ,7.872,12.694,18.653,23.616,0.758962,0.373469,5.759 ,4.488616780045351
164.503 ,37.216 ,82.181 ,384.984 ,54.55020756069664,76.17794389158063,26.35698597858497,466,452,6.115697E-3 ,1.146226E-3 ,31.264,10,17.315,2.599,158.955E-6 ,1.441,1.673,4.324,17.570,1.579 ,8.018,11.971,18.734,24.053,0.792635,0.321006,7.006 ,4.540861678004535
158.390 ,65.895 ,97.240 ,599.584 ,51.477125083599496,70.50486911363572,19.195331324777563,577,556,6.402716E-3 ,1.828661E-3 ,24.771,14,31.710,3.151,201.773E-6 ,1.719,2.076,5.157,17.227,1.530 ,7.939,12.570,21.768,23.818,0.739981,0.420127,5.427 ,5.4812698412698415
195.799 ,69.585 ,97.267 ,540.903 ,53.83988829512004,71.54322498769865,3.979734557697646,498,476,5.172055E-3 ,1.528751E-3 ,33.546,13,25.778,4.035,208.697E-6 ,2.083,2.268,6.249,17.062,1.491 ,8.029,10.680,15.848,24.088,0.743633,0.422144,5.771 ,4.74984126984127
190.970 ,93.118 ,102.556 ,594.405 ,52.642046022068065,69.46681677385945,15.841382203986871,810,769,5.326862E-3 ,1.892960E-3 ,28.365,22,25.841,2.929,156.018E-6 ,1.584,1.814,4.752,19.157,1.618 ,9.307,13.238,23.365,27.921,0.759286,0.380459,5.993 ,6.944126984126984
200.682 ,95.505 ,125.424 ,598.984 ,52.055712002095476,73.93831210680929,5.705931134913631,1083,1022,5.066834E-3 ,1.775907E-3 ,40.581,38,43.262,2.678,135.698E-6 ,1.494,1.684,4.482,19.728,1.657 ,9.651,13.975,24.998,28.953,0.740209,0.404099,5.244 ,10.705759637188208
193.107 ,77.239 ,113.151 ,536.730 ,53.628787212620836,73.31986945644103,22.683076117338565,822,781,5.233027E-3 ,1.611098E-3 ,36.962,23,29.487,2.771,144.995E-6 ,1.509,1.625,4.527,20.072,1.700 ,9.431,12.786,21.940,28.294,0.739555,0.420298,5.305 ,7.936780045351474
190.406 ,82.035 ,76.911 ,485.676 ,54.902170927130086,75.10054324091057,8.004902294418375,594,566,5.341212E-3 ,1.727943E-3 ,39.159,19,28.688,2.767,147.803E-6 ,1.520,1.836,4.559,19.180,1.629 ,10.068,13.107,17.793,30.205,0.729963,0.433779,5.008 ,6.212698412698413
185.899 ,77.610 ,125.630 ,562.791 ,56.10307973649145,71.50806134484866,30.50493959957651,483,460,5.442096E-3 ,1.726588E-3 ,27.577,13,29.075,2.355,128.156E-6 ,1.281,1.351,3.843,17.329,1.507 ,8.591,11.192,17.885,25.772,0.749684,0.408457,5.661 ,3.913922902494331
171.668 ,68.194 ,94.347 ,455.057 ,51.37384781832831,74.92330842319188,3.5413814805206956,936,891,5.889465E-3 ,1.710015E-3 ,46.728,38,53.596,2.652,156.165E-6 ,1.423,1.593,4.268,19.199,1.625 ,9.315,12.235,19.011,27.946,0.739155,0.414456,5.163 ,11.959637188208617
162.204 ,63.433 ,93.659 ,565.241 ,50.78853029809722,67.06273217610114,18.68944933010402,990,946,6.245970E-3 ,1.697158E-3 ,28.311,33,37.928,3.041,189.937E-6 ,1.696,1.978,5.087,18.606,1.640 ,8.777,12.929,23.561,26.331,0.720774,0.454081,4.753 ,9.922086167800453
115.489 ,5.412 ,105.406 ,124.993 ,20.89554662187048,45.34736222572084,-3.100925098145933,43,42,8.497100E-3 ,0.438334E-3 ,60.000,0,0,4.925,418.440E-6 ,2.914,3.382,8.743,15.752,1.530 ,7.389,8.421,8.868,22.168,0.833259,0.268880,9.724 ,0.9359637188208617
128.178 ,40.817 ,108.354 ,504.260 ,45.94841842870222,66.53779573047427,3.9417735965115934,248,236,7.819260E-3 ,1.559312E-3 ,28.231,10,24.753,3.075,240.459E-6 ,1.655,2.017,4.965,19.276,1.386 ,9.589,11.068,16.278,28.768,0.818065,0.273726,9.239 ,2.973514739229025
221.631 ,168.826 ,77.306 ,606.499 ,51.97430201180424,73.5641511272408,18.123470080148582,626,598,4.588807E-3 ,3.245894E-3 ,30.913,15,24.975,4.462,204.757E-6 ,2.424,2.806,7.273,22.385,1.764 ,11.424,18.087,27.451,34.273,0.713535,0.462944,4.487 ,4.854331065759637
