Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
172.066 ,139.702 ,98.594 ,608.120 ,42.41123790761445,63.81120379707389,15.003574855680192,298,282,5.907477E-3 ,3.260145E-3 ,38.950,9,27.973,2.192,129.463E-6 ,0.990,1.204,2.971,17.649,1.483 ,6.944,10.891,19.747,20.833,0.767105,0.355453,6.133 ,3.6589791666666667
129.736 ,63.361 ,97.018 ,584.839 ,42.7290693295639,61.36494150115431,11.948443166300857,951,912,7.736971E-3 ,2.062366E-3 ,32.978,34,34.416,1.661,128.487E-6 ,0.819,0.991,2.458,14.887,1.340 ,5.617,8.889,16.740,16.851,0.813365,0.272643,7.905 ,12.226979166666666
132.628 ,76.228 ,95.960 ,593.930 ,40.670711637540364,68.62778419991103,14.373475866231423,641,589,7.699420E-3 ,2.406258E-3 ,51.848,41,57.048,1.847,142.213E-6 ,0.736,0.863,2.208,16.457,1.396 ,6.675,9.168,14.544,20.026,0.809563,0.275591,7.538 ,10.858979166666666
131.746 ,79.929 ,76.954 ,594.432 ,41.392445062932325,60.590279447284246,13.702289182190558,1587,1497,7.667227E-3 ,2.754338E-3 ,32.805,70,38.642,2.361,181.019E-6 ,1.088,1.277,3.263,15.937,1.426 ,6.388,10.060,21.784,19.163,0.785307,0.330658,6.830 ,20.218979166666667
141.068 ,78.224 ,74.714 ,526.131 ,39.92893926714322,60.53124918051299,13.666047315830895,601,570,7.147330E-3 ,2.751851E-3 ,33.700,23,40.242,2.649,189.336E-6 ,1.291,1.558,3.872,15.664,1.446 ,5.995,9.085,16.528,17.985,0.789666,0.320824,7.229 ,7.306979166666666
138.227 ,91.089 ,71.948 ,593.425 ,40.40487681464898,61.39047364392839,12.862642678133804,1035,978,7.315141E-3 ,2.889040E-3 ,31.796,38,33.646,2.164,158.271E-6 ,1.004,1.279,3.012,16.220,1.434 ,5.977,9.489,19.498,17.930,0.806277,0.292809,7.627 ,12.178979166666666
134.773 ,87.425 ,92.974 ,579.607 ,35.789496205418374,63.15690128754281,12.388283146354519,161,149,7.554462E-3 ,2.655176E-3 ,51.678,8,35.287,2.201,166.305E-6 ,0.902,1.037,2.707,16.682,1.480 ,7.031,12.877,21.528,21.093,0.783644,0.325000,6.615 ,3.0109791666666665
198.556 ,111.882 ,128.659 ,582.080 ,36.264473650457106,56.90474682031244,-2.1607841207916403,66,61,5.315294E-3 ,1.932644E-3 ,32.759,2,17.256,2.217,117.831E-6 ,0.981,1.257,2.943,16.369,1.495 ,6.626,11.322,43.627,19.877,0.746070,0.382115,5.344 ,0.6109791666666666
190.067 ,154.154 ,73.255 ,599.836 ,35.75409892103193,60.729200174420484,15.888967869758638,726,690,5.370198E-3 ,3.215239E-3 ,41.145,23,49.425,2.985,160.293E-6 ,1.551,1.860,4.653,19.177,1.669 ,8.369,10.766,18.592,25.107,0.783789,0.323751,6.632 ,7.546979166666667
167.167 ,120.666 ,77.713 ,612.593 ,38.491098521044606,63.7954361020755,12.644502688146007,1963,1854,6.131912E-3 ,2.846584E-3 ,37.535,66,38.147,2.560,156.998E-6 ,1.339,1.645,4.018,16.612,1.501 ,6.166,10.119,21.585,18.497,0.822983,0.259290,8.244 ,21.298979166666665
148.415 ,77.274 ,97.781 ,559.924 ,36.34538103379221,64.6231642650431,12.181852733881517,1168,1101,6.881136E-3 ,2.208818E-3 ,46.112,45,53.269,1.761,121.185E-6 ,0.891,1.045,2.674,15.717,1.407 ,5.765,9.643,18.975,17.295,0.832632,0.239887,8.373 ,16.49897916666667
185.101 ,134.488 ,70.814 ,614.232 ,38.121972871793176,63.7141368971173,14.745503856497175,1155,1079,5.546932E-3 ,2.882388E-3 ,38.800,40,50.090,3.263,181.021E-6 ,1.729,2.006,5.187,18.856,1.632 ,7.989,11.879,15.374,23.968,0.795485,0.305393,7.093 ,12.538979166666667
193.295 ,146.958 ,75.149 ,635.909 ,36.70328194032963,62.61683668163818,10.1886859241621,1630,1545,5.273925E-3 ,3.000841E-3 ,38.066,50,48.421,3.063,161.540E-6 ,1.629,1.902,4.887,18.921,1.672 ,8.037,12.315,21.316,24.111,0.777096,0.339393,6.457 ,16.378979166666667
