Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
224.500 ,30.985 ,191.002 ,325.193 ,46.12652253851864,71.88746535397136,22.085470100431127,185,182,4.453659E-3 ,0.595137E-3 ,46.203,1,3.219,2.172,96.726E-6 ,1.150,1.266,3.450,11.086,1.101 ,5.367,7.056,11.631,16.100,0.845391,0.217529,8.971 ,1.6189791666666666
207.373 ,89.973 ,122.746 ,506.477 ,50.696451142779374,72.0954604147832,23.39622810585789,442,427,4.866295E-3 ,1.551565E-3 ,42.195,11,29.510,2.253,109.642E-6 ,1.094,1.293,3.282,14.717,1.368 ,6.228,8.161,11.354,18.683,0.789410,0.314094,6.787 ,4.138979166666667
193.477 ,80.699 ,139.867 ,552.347 ,51.22401497789604,72.238968509385,31.907594295941173,395,381,5.195214E-3 ,1.482909E-3 ,36.056,10,28.033,1.908,99.142E-6 ,0.853,0.998,2.559,14.466,1.299 ,6.284,8.382,11.051,18.851,0.815578,0.267155,7.545 ,3.5869791666666666
195.050 ,114.083 ,116.983 ,593.563 ,48.242147280582465,70.64261085929472,6.416244876906222,1440,1366,5.231989E-3 ,2.034214E-3 ,38.079,46,37.403,2.448,128.091E-6 ,1.207,1.375,3.620,13.843,1.288 ,6.008,8.576,15.221,18.025,0.789711,0.328242,7.153 ,14.290979166666666
213.736 ,134.519 ,115.386 ,457.351 ,35.23845015347463,63.9066263943692,23.727922021764094,48,42,5.016218E-3 ,2.566169E-3 ,80.597,2,78.943,5.035,252.565E-6 ,2.358,2.570,7.075,17.682,1.665 ,7.629,14.432,--undefined--,22.887,0.670354,0.551001,3.370 ,1.3789791666666666
145.742 ,99.390 ,72.756 ,596.011 ,45.52015888900859,69.65214973883944,3.931283500216543,616,572,6.939289E-3 ,3.003165E-3 ,52.533,37,40.735,2.907,201.696E-6 ,1.491,1.663,4.474,18.786,1.595 ,9.075,11.925,16.261,27.226,0.671864,0.568745,3.584 ,10.690979166666667
194.952 ,151.086 ,89.779 ,596.815 ,48.69453705992758,66.85282371463313,30.006619196516034,869,805,5.272535E-3 ,3.335163E-3 ,45.243,32,56.207,3.183,167.848E-6 ,1.695,1.854,5.085,18.156,1.647 ,8.357,10.360,13.778,25.070,0.711899,0.476771,4.829 ,10.330979166666667
182.060 ,151.631 ,86.501 ,592.958 ,48.02014556854584,66.38844967182348,30.023498524849707,618,575,5.666182E-3 ,3.574064E-3 ,40.950,24,50.208,3.389,192.049E-6 ,1.821,1.865,5.464,16.237,1.456 ,7.721,10.209,18.954,23.164,0.694453,0.503848,4.125 ,6.778979166666667
144.541 ,90.426 ,99.838 ,570.919 ,47.830781184473686,69.68909409478782,29.044490986417692,472,442,6.970579E-3 ,2.789036E-3 ,55.292,27,61.794,3.022,210.653E-6 ,1.561,1.963,4.683,16.051,1.503 ,7.161,9.001,15.055,21.483,0.719662,0.474516,5.024 ,9.298979166666667
159.283 ,116.125 ,101.686 ,552.909 ,44.10721358472942,70.13068471018624,-1.0186905097261039,453,423,6.371493E-3 ,3.189023E-3 ,60.832,21,46.377,2.794,178.049E-6 ,1.400,1.780,4.199,17.006,1.585 ,6.639,10.180,19.651,19.916,0.721932,0.450526,4.852 ,9.178979166666666
171.530 ,109.805 ,75.648 ,626.486 ,49.228489938468954,74.96929169557961,7.808776109285551,507,465,5.810289E-3 ,2.860734E-3 ,62.092,34,74.953,2.697,156.716E-6 ,1.197,1.344,3.591,12.862,1.315 ,4.934,7.697,16.209,14.803,0.755130,0.387763,6.400 ,11.986979166666666
232.436 ,146.512 ,100.474 ,578.069 ,45.494734533120344,67.11729589532263,27.90265000230933,537,505,4.416969E-3 ,2.702168E-3 ,47.659,21,55.195,3.687,162.833E-6 ,1.870,2.102,5.611,19.961,1.700 ,9.557,12.336,16.799,28.670,0.674616,0.534649,3.577 ,6.010979166666667
194.565 ,147.950 ,95.401 ,592.074 ,49.17476644408994,71.03610347716987,29.668386762095793,1228,1146,5.260792E-3 ,3.280367E-3 ,48.203,54,59.599,3.385,178.057E-6 ,1.756,1.977,5.269,16.969,1.578 ,7.814,10.425,16.533,23.443,0.686615,0.526121,4.028 ,15.610979166666667
177.158 ,133.705 ,74.779 ,629.762 ,51.04258242945122,72.32067689366724,32.17910727610527,970,902,5.636668E-3 ,3.334323E-3 ,38.544,55,51.083,3.316,186.900E-6 ,1.671,1.813,5.014,18.908,1.656 ,8.670,12.954,21.372,26.011,0.685502,0.515286,3.759 ,11.290979166666666
141.999 ,99.905 ,74.545 ,598.102 ,49.67038429628063,70.89804938616712,29.56939451964478,1140,1055,7.201589E-3 ,3.022046E-3 ,47.385,62,56.212,2.793,201.151E-6 ,1.353,1.577,4.058,15.535,1.379 ,7.052,9.264,15.674,21.155,0.741158,0.412986,5.347 ,18.778979166666666
140.616 ,68.353 ,75.020 ,587.705 ,48.37944949202571,75.17320758752714,29.464841105537833,360,338,7.275683E-3 ,2.412089E-3 ,56.528,17,41.179,2.690,195.706E-6 ,1.143,1.334,3.428,16.119,1.385 ,7.211,12.148,15.832,21.634,0.760126,0.365598,5.903 ,6.778979166666667
139.724 ,80.521 ,84.306 ,490.202 ,53.83299635016432,77.31595224995888,27.872274886350837,212,194,7.195497E-3 ,2.529276E-3 ,48.045,15,56.117,3.602,259.203E-6 ,1.925,2.244,5.776,13.172,1.260 ,6.219,8.166,6.897,18.657,0.738048,0.416205,5.186 ,3.6109791666666666
192.590 ,155.911 ,96.927 ,593.463 ,43.437902083179196,66.10775199364315,-3.5071962371620584,408,378,5.369385E-3 ,3.325857E-3 ,61.233,17,65.357,2.853,153.210E-6 ,1.439,1.572,4.316,16.360,1.436 ,7.659,9.071,10.457,22.977,0.752861,0.399611,5.903 ,7.330979166666666
171.343 ,104.085 ,111.853 ,586.404 ,44.879328779667965,79.08408763300403,1.9911309286502608,380,360,5.870723E-3 ,2.443557E-3 ,62.387,13,20.358,2.303,135.202E-6 ,1.139,1.462,3.417,17.912,1.500 ,7.813,11.334,17.418,23.439,0.736040,0.418912,5.211 ,6.658979166666667
151.526 ,94.115 ,76.525 ,592.154 ,54.93792888848389,76.42516221396123,28.270566267969723,1114,1055,6.633310E-3 ,2.654906E-3 ,36.015,42,44.875,2.446,162.256E-6 ,1.311,1.533,3.934,14.692,1.389 ,6.706,9.714,15.531,20.118,0.765001,0.372486,6.282 ,13.330979166666667
171.851 ,102.183 ,75.167 ,488.430 ,53.25865152496931,73.97442172239309,33.795043604278966,582,552,5.872662E-3 ,2.745713E-3 ,38.754,20,37.340,3.047,178.967E-6 ,1.508,1.653,4.525,16.454,1.484 ,7.438,11.138,20.942,22.313,0.744824,0.405118,5.615 ,6.610979166666667
142.555 ,54.925 ,104.187 ,393.088 ,51.43733176773988,69.49847049559204,31.64733158752796,184,178,7.106218E-3 ,1.801503E-3 ,41.339,5,21.687,2.302,163.582E-6 ,1.045,1.222,3.136,14.424,1.413 ,5.672,8.890,12.158,17.015,0.807998,0.289347,7.704 ,2.5789791666666666
329.425 ,167.153 ,119.827 ,598.524 ,37.41432364208503,66.07838736894918,18.35681400465546,60,53,3.210845E-3 ,2.121343E-3 ,90.909,2,8.136,7.288,234.000E-6 ,4.359,5.496,13.078,19.514,1.870 ,9.567,16.018,--undefined--,28.701,0.645698,0.620389,2.972 ,2.890979166666667
