Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
139.067 ,14.752 ,113.739 ,192.359 ,56.98720955865519,78.94312247754814,28.531296233573112,89,87,7.181409E-3 ,0.723638E-3 ,50.000,1,39.486,1.941,139.395E-6 ,0.793,0.977,2.378,9.517,1.000 ,3.865,6.054,8.299,11.595,0.881531,0.160577,11.733 ,1.3789791666666666
132.090 ,22.912 ,84.092 ,246.467 ,53.860942766174745,74.38363077335659,17.794696929468568,284,273,7.583636E-3 ,1.220239E-3 ,35.635,9,34.094,1.727,130.948E-6 ,0.717,0.897,2.151,10.780,0.983 ,4.173,6.373,12.186,12.518,0.856689,0.206131,9.504 ,3.6589791666666667
135.883 ,52.544 ,82.694 ,525.536 ,55.88134237512318,71.00348679204419,20.25852988136205,328,316,7.485564E-3 ,1.600534E-3 ,28.610,9,31.154,2.274,170.228E-6 ,0.989,1.239,2.968,11.734,1.055 ,4.441,7.275,9.746,13.324,0.843730,0.237461,9.532 ,3.7069791666666667
136.876 ,61.860 ,96.506 ,595.060 ,51.29068783301824,74.65484662936868,6.219132289722808,634,610,7.347246E-3 ,1.857301E-3 ,42.710,19,46.361,1.730,127.120E-6 ,0.677,0.742,2.031,10.541,0.991 ,4.228,5.821,9.678,12.684,0.869339,0.184465,10.885 ,8.746979166666666
131.321 ,11.982 ,111.702 ,157.518 ,50.51587319892568,74.25816639991139,12.360192710881897,215,208,7.622792E-3 ,0.695724E-3 ,36.162,6,36.934,1.530,116.659E-6 ,0.728,0.803,2.184,9.684,0.929 ,3.581,5.867,9.923,10.743,0.876144,0.176686,11.648 ,2.7469791666666667
122.435 ,12.292 ,75.728 ,148.719 ,49.962098645853835,67.75564657695617,9.261698019464106,272,264,8.161354E-3 ,0.857201E-3 ,34.358,7,29.700,1.868,152.420E-6 ,0.727,0.972,2.181,11.676,1.103 ,4.290,5.859,11.703,12.871,0.855875,0.212740,9.964 ,3.6109791666666666
130.802 ,22.592 ,101.803 ,335.968 ,48.050011650874374,69.58964338224241,10.177532564754921,443,427,7.662450E-3 ,1.044770E-3 ,45.127,14,36.418,1.630,124.913E-6 ,0.648,0.816,1.945,11.406,1.088 ,4.609,6.265,10.270,13.828,0.871467,0.185740,10.751 ,6.706979166666667
142.248 ,57.662 ,76.571 ,562.060 ,50.44978109360956,73.32746565619219,6.770191184803411,1262,1211,7.085231E-3 ,1.709684E-3 ,36.713,37,38.456,1.871,132.557E-6 ,0.725,0.890,2.176,12.216,1.149 ,4.555,7.151,12.271,13.665,0.862878,0.200307,10.179 ,14.338979166666666
127.364 ,20.600 ,86.781 ,250.082 ,46.28325186548793,68.55668218470605,7.374546479142284,468,456,7.879996E-3 ,1.097376E-3 ,42.401,11,33.437,1.972,155.401E-6 ,0.814,0.998,2.443,11.342,1.018 ,4.541,6.565,10.146,13.623,0.853818,0.213605,9.919 ,6.610979166666667
128.633 ,14.083 ,90.115 ,166.049 ,45.50559039959602,67.61893656598961,8.792016755369662,490,471,7.790929E-3 ,0.873664E-3 ,45.913,18,49.637,1.459,113.647E-6 ,0.512,0.565,1.537,9.661,0.940 ,3.705,5.668,7.816,11.115,0.873767,0.177948,11.016 ,7.378979166666666
