Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
130.715 ,64.054 ,100.641 ,536.812 ,25.1907502578466,41.148956333363564,6.824949233649374,295,279,7.696616E-3 ,2.050921E-3 ,46.218,11,41.470,1.806,138.969E-6 ,0.838,0.911,2.513,16.692,1.495 ,8.236,11.810,15.740,24.709,0.693710,0.509651,4.023 ,4.7923582766439905
143.937 ,76.109 ,76.884 ,596.623 ,23.210121681262866,41.638961261892604,5.3524327959145825,752,707,7.062749E-3 ,2.290472E-3 ,48.249,33,51.211,2.232,157.647E-6 ,1.091,1.384,3.272,16.378,1.424 ,7.879,10.395,13.819,23.636,0.706760,0.477124,4.277 ,11.45358276643991
146.755 ,97.348 ,93.102 ,465.068 ,21.571857128176415,37.9189673955423,5.457457070166026,171,154,7.097320E-3 ,2.852275E-3 ,59.831,9,65.987,2.025,143.746E-6 ,0.869,1.238,2.606,14.690,1.283 ,6.983,9.509,12.103,20.948,0.674738,0.539566,3.570 ,3.5907256235827663
141.114 ,79.380 ,83.515 ,547.948 ,24.294821979426914,43.65941369985022,6.5501003716756525,419,388,7.300225E-3 ,2.501880E-3 ,50.925,22,58.315,2.165,158.047E-6 ,1.022,1.185,3.065,16.200,1.396 ,7.335,9.868,18.715,22.006,0.711022,0.471117,4.409 ,7.065011337868481
144.215 ,92.449 ,78.622 ,591.398 ,24.514893039044882,42.401187482789375,5.494715226587634,601,580,6.986973E-3 ,2.586989E-3 ,43.584,18,49.382,2.198,153.586E-6 ,1.022,1.197,3.065,15.743,1.393 ,7.421,11.252,14.400,22.263,0.712460,0.472569,4.693 ,8.292766439909297
124.783 ,8.476 ,113.198 ,144.736 ,24.76907681371402,40.22620560530356,6.138058718081231,83,79,7.990639E-3 ,0.578807E-3 ,42.748,3,48.834,1.562,124.811E-6 ,0.712,0.879,2.135,16.988,1.466 ,8.042,9.862,13.182,24.126,0.746238,0.387233,5.169 ,1.3441950113378685
142.198 ,81.577 ,99.461 ,562.713 ,26.290121340069874,41.29454535863543,5.465405103388577,659,622,7.042065E-3 ,2.403104E-3 ,41.723,32,50.257,2.263,159.382E-6 ,1.098,1.310,3.293,17.114,1.474 ,8.307,11.383,16.457,24.920,0.729183,0.439072,4.958 ,8.971950113378686
150.713 ,100.290 ,89.916 ,528.598 ,24.7821173684404,43.727398192853386,6.3316768826531415,356,334,6.750974E-3 ,2.913660E-3 ,50.000,14,44.741,2.875,194.069E-6 ,1.299,1.495,3.897,17.868,1.532 ,8.429,11.742,14.706,25.287,0.702661,0.488239,4.149 ,5.314807256235827
163.434 ,106.400 ,89.585 ,597.779 ,24.589260365272054,40.67368422292517,-0.7272814682774659,1455,1370,6.245895E-3 ,2.628822E-3 ,44.374,60,53.767,2.535,158.344E-6 ,1.269,1.402,3.808,17.789,1.533 ,8.652,11.621,17.443,25.955,0.713858,0.468377,4.565 ,19.055215419501135
129.609 ,45.594 ,91.790 ,558.378 ,25.718848827400958,41.11956314786323,5.996708289160742,294,278,7.748474E-3 ,1.506593E-3 ,45.133,14,41.684,1.901,147.275E-6 ,0.897,1.140,2.692,16.174,1.469 ,8.151,11.100,15.493,24.453,0.715181,0.468786,4.494 ,4.557256235827665
152.057 ,102.858 ,90.058 ,540.935 ,24.484841576666437,44.6480429887358,5.5176219411086596,368,341,6.563839E-3 ,2.885965E-3 ,52.152,20,60.694,2.329,152.875E-6 ,1.163,1.348,3.490,15.766,1.440 ,7.621,9.670,14.805,22.862,0.679357,0.547108,3.796 ,6.072358276643991
