Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
130.595 ,82.911 ,96.561 ,485.885 ,33.52645193085137,76.09290839213236,19.029158223631136,52,47,7.970825E-3 ,2.747057E-3 ,83.221,3,5.828,4.351,346.821E-6 ,2.268,2.316,6.804,20.015,1.706 ,11.613,16.247,--undefined--,34.838,0.650714,0.575837,2.856 ,3.0109791666666665
192.022 ,38.460 ,110.285 ,303.368 ,52.401556194481074,75.33485966331224,19.258257673356532,625,603,5.212924E-3 ,1.166645E-3 ,53.351,20,40.557,1.809,94.307E-6 ,0.810,0.892,2.430,11.698,1.081 ,4.859,6.495,10.978,14.577,0.843094,0.223557,8.788 ,7.4989791666666665
187.920 ,37.579 ,75.452 ,587.337 ,62.01638772644152,75.30359403625856,27.020097888008657,950,912,5.348091E-3 ,0.794260E-3 ,36.813,36,45.028,1.775,94.916E-6 ,0.666,0.763,1.999,10.395,0.991 ,4.586,5.857,9.891,13.758,0.856855,0.208808,9.579 ,9.130979166666666
182.525 ,54.893 ,152.354 ,541.494 ,62.60700781787099,73.82167283080919,32.041799524782945,565,540,5.519331E-3 ,0.981253E-3 ,34.870,17,38.054,1.524,84.115E-6 ,0.659,0.652,1.977,10.859,1.011 ,4.362,6.117,10.278,13.087,0.862402,0.192108,9.644 ,5.026979166666667
181.233 ,21.711 ,66.925 ,245.631 ,61.33945922151008,73.50762161970684,31.777766784958743,448,428,5.532420E-3 ,0.817880E-3 ,40.213,19,46.272,1.348,74.571E-6 ,0.514,0.567,1.541,10.983,0.973 ,4.594,6.238,10.113,13.782,0.879194,0.157849,10.161 ,4.738979166666667
179.831 ,63.617 ,78.124 ,572.129 ,60.62727845479435,73.52523686601263,29.97179243311098,238,226,5.592496E-3 ,1.542392E-3 ,34.894,10,40.429,1.776,99.318E-6 ,0.772,0.775,2.315,10.790,0.999 ,4.652,6.355,8.659,13.955,0.840632,0.226191,8.750 ,2.386979166666667
156.344 ,91.825 ,68.352 ,581.114 ,59.12527486308026,80.28201761724449,14.672517568552532,1334,1267,6.544374E-3 ,2.606108E-3 ,32.425,46,39.101,2.296,150.280E-6 ,1.120,1.347,3.360,13.881,1.249 ,6.510,8.170,14.695,19.530,0.803906,0.297663,7.377 ,13.978979166666667
113.403 ,59.665 ,79.305 ,575.216 ,53.231904936514745,74.56785099424089,14.852827080823339,907,864,8.909636E-3 ,2.380736E-3 ,29.654,33,35.587,2.903,258.685E-6 ,1.480,1.729,4.441,14.542,1.336 ,6.491,9.267,16.005,19.473,0.790733,0.324708,7.290 ,12.178979166666666
108.063 ,45.289 ,76.690 ,397.194 ,54.49468561505798,75.50091730950072,16.21499804992422,761,725,9.262744E-3 ,2.260692E-3 ,27.364,29,29.594,2.505,232.074E-6 ,1.239,1.565,3.718,14.998,1.331 ,6.551,9.981,13.355,19.652,0.784791,0.335126,7.050 ,9.970979166666666
122.897 ,89.653 ,76.978 ,596.894 ,54.524976220061724,78.19432315314067,15.476393565969246,916,859,8.256176E-3 ,3.186505E-3 ,34.006,44,41.593,3.081,254.410E-6 ,1.544,1.739,4.633,17.207,1.504 ,7.330,11.897,16.730,21.989,0.780986,0.328275,6.772 ,12.418979166666666
139.001 ,115.597 ,75.425 ,598.938 ,47.57698644117842,74.19529216746365,15.968345172842572,930,861,7.545634E-3 ,3.623108E-3 ,44.267,43,42.870,2.860,215.828E-6 ,1.404,1.803,4.211,18.036,1.539 ,7.924,11.834,17.647,23.773,0.771278,0.348969,6.404 ,13.810979166666666
234.667 ,73.367 ,94.264 ,515.303 ,42.34613817702827,78.53730676154842,-2.7770203673559695,776,747,4.309461E-3 ,1.528357E-3 ,65.974,25,55.425,2.223,95.778E-6 ,1.088,1.035,3.265,11.307,1.046 ,4.409,6.259,10.163,13.226,0.869069,0.184405,10.643 ,10.618979166666668
266.423 ,9.543 ,243.668 ,280.116 ,58.751645758300384,71.53922056285256,26.060290369801823,76,74,3.755426E-3 ,0.180029E-3 ,34.783,1,19.480,1.962,73.698E-6 ,0.977,1.118,2.932,9.967,1.033 ,3.517,5.427,10.930,10.550,0.927201,0.087711,13.124 ,0.4909791666666667
169.426 ,87.988 ,95.146 ,594.851 ,63.36057217418922,84.74346372003126,25.114349682504198,734,704,5.976506E-3 ,2.117535E-3 ,27.683,18,32.384,2.976,177.875E-6 ,1.570,1.833,4.711,15.133,1.286 ,6.351,10.463,20.531,19.054,0.809630,0.286441,7.658 ,6.4669791666666665
146.298 ,42.082 ,100.573 ,535.388 ,56.33500345743266,81.0256482189159,23.924803920389945,675,647,6.837745E-3 ,1.496745E-3 ,34.450,25,39.331,2.141,146.411E-6 ,1.032,1.161,3.096,15.690,1.452 ,6.897,10.200,17.387,20.692,0.823059,0.260113,8.054 ,7.4989791666666665
136.451 ,13.282 ,110.926 ,185.134 ,50.116883685337726,79.07247450040414,19.818547614238234,304,294,7.312176E-3 ,0.710191E-3 ,45.291,8,20.405,1.876,137.156E-6 ,0.915,1.047,2.746,15.028,1.385 ,6.246,10.953,18.245,18.737,0.833886,0.232468,8.289 ,4.4989791666666665
164.755 ,139.347 ,76.585 ,596.412 ,59.67456091223689,81.85498953958904,22.861496710368986,275,260,6.182885E-3 ,3.382433E-3 ,35.036,7,13.225,3.860,238.662E-6 ,2.086,2.582,6.258,15.421,1.508 ,6.605,8.773,14.413,19.816,0.779195,0.335723,6.545 ,2.7709791666666668
111.330 ,8.161 ,102.002 ,135.839 ,35.21306721907099,75.66505904646642,22.625299093079594,28,26,8.848474E-3 ,0.997915E-3 ,84.862,1,2.918,8.697,769.558E-6 ,5.370,6.421,16.111,15.736,1.473 ,7.440,8.953,--undefined--,22.320,0.718270,0.422178,4.362 ,2.2189791666666667
167.362 ,96.242 ,114.085 ,589.130 ,66.16950584497759,81.03710166688408,25.541714191907538,255,245,6.047826E-3 ,2.073317E-3 ,25.112,6,30.502,2.358,142.593E-6 ,1.260,1.460,3.781,14.326,1.347 ,6.571,9.480,19.244,19.714,0.820300,0.246961,7.755 ,2.2669791666666668
114.331 ,50.723 ,76.070 ,567.988 ,61.8868732797003,82.47529770627118,20.92861539445449,1216,1163,8.814389E-3 ,1.945416E-3 ,28.553,44,27.543,2.180,192.192E-6 ,1.083,1.334,3.248,13.499,1.249 ,5.670,8.809,16.189,17.010,0.817808,0.274310,8.152 ,15.658979166666667
--undefined-- ,--undefined-- ,--undefined-- ,--undefined-- ,32.783104940633976,61.63584470865874,21.57260321624877,1,0,--undefined-- ,--undefined-- ,97.826,0,0,--undefined--,--undefined-- ,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,0.4909791666666667
247.856 ,193.301 ,76.684 ,584.825 ,44.27508530372011,82.43861197943231,25.801141628843972,176,157,4.420685E-3 ,3.275751E-3 ,76.738,5,10.279,5.482,242.352E-6 ,2.449,2.996,7.348,19.068,1.687 ,9.685,9.601,10.648,29.054,0.676708,0.569348,3.929 ,3.778979166666667
