Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
214.163 ,24.872 ,192.724 ,265.101 ,42.44699183613477,64.16510296431284,22.474803467726776,104,100,4.670889E-3 ,0.542574E-3 ,59.836,3,18.423,1.663,77.662E-6 ,0.657,0.810,1.971,11.566,1.020 ,3.976,5.356,11.344,11.927,0.862511,0.188181,9.677 ,1.2589791666666668
246.025 ,41.262 ,193.371 ,488.079 ,51.60794573809623,72.74123806855403,21.95952105900803,311,305,4.067037E-3 ,0.598955E-3 ,32.474,4,11.739,1.400,56.941E-6 ,0.694,0.828,2.083,11.334,1.014 ,4.089,6.188,11.864,12.267,0.884943,0.153481,10.945 ,1.9789791666666667
247.233 ,53.410 ,196.484 ,535.301 ,50.856733387368116,71.26978131234515,22.33634578030212,480,464,4.043889E-3 ,0.766924E-3 ,42.507,15,46.072,1.681,67.968E-6 ,0.767,0.777,2.300,10.175,0.975 ,3.810,5.551,11.425,11.430,0.865866,0.186242,10.124 ,3.7069791666666667
205.322 ,46.071 ,66.014 ,578.279 ,40.76071738085837,72.7269304772302,7.051211524252103,2204,2126,4.873292E-3 ,1.019591E-3 ,50.774,69,51.692,1.834,89.367E-6 ,0.953,1.099,2.859,15.930,1.489 ,6.557,9.781,18.517,19.670,0.798991,0.294440,7.048 ,23.290979166666666
210.349 ,80.456 ,79.007 ,579.464 ,44.53373760501418,66.99308512391221,5.756162516313799,964,924,4.809128E-3 ,1.248290E-3 ,38.518,24,35.355,2.194,105.517E-6 ,1.075,1.208,3.225,17.042,1.527 ,8.165,11.931,20.243,24.495,0.790733,0.314029,6.880 ,8.266979166666667
220.235 ,88.032 ,75.698 ,572.624 ,42.40339228471182,70.04880038890461,5.416582893291638,1957,1851,4.605233E-3 ,1.544153E-3 ,49.411,67,49.301,2.409,110.920E-6 ,1.267,1.321,3.800,16.874,1.518 ,7.383,10.511,22.674,22.150,0.772622,0.350470,6.273 ,19.546979166666667
220.893 ,76.250 ,80.781 ,598.503 ,41.04217910203383,70.12583796783558,6.789747712230501,753,719,4.622593E-3 ,1.220046E-3 ,42.476,21,36.629,2.268,104.845E-6 ,1.172,1.327,3.515,16.574,1.503 ,6.684,10.160,17.789,20.052,0.818979,0.251642,7.488 ,6.4189791666666665
208.963 ,56.033 ,164.036 ,591.213 ,42.57768991485272,72.4518471645314,9.662194060792741,908,874,4.832283E-3 ,0.896887E-3 ,47.113,27,43.528,2.094,101.191E-6 ,1.089,1.285,3.267,17.248,1.507 ,7.371,10.591,18.773,22.112,0.800348,0.292169,7.039 ,8.698979166666666
228.623 ,79.935 ,79.321 ,598.346 ,39.24451366992946,66.06426101113283,0.1049148531929402,752,722,4.413242E-3 ,1.227599E-3 ,47.911,19,42.220,2.300,101.496E-6 ,1.190,1.231,3.569,16.657,1.431 ,7.826,10.847,17.246,23.477,0.784001,0.314561,6.566 ,7.690979166666667
157.991 ,16.472 ,139.282 ,180.257 ,48.4911751241028,67.30926102276412,17.35788889613931,81,79,6.336093E-3 ,0.693392E-3 ,34.146,1,8.277,1.869,118.441E-6 ,0.976,1.292,2.929,18.560,1.561 ,10.610,14.908,19.893,31.830,0.751678,0.390339,5.735 ,0.8509791666666666
135.307 ,8.964 ,120.479 ,150.928 ,34.51932316632726,70.38980699292642,6.220732150513497,94,92,7.510494E-3 ,0.937887E-3 ,57.647,1,2.555,1.971,148.046E-6 ,1.006,1.328,3.017,13.217,1.368 ,6.021,9.989,12.867,18.062,0.759911,0.365602,5.607 ,1.7389791666666667
144.339 ,47.562 ,96.195 ,512.251 ,41.72571157284977,64.45478751536609,11.360243585806744,327,315,6.968398E-3 ,1.474488E-3 ,26.923,8,17.392,1.941,135.291E-6 ,1.000,1.126,2.999,17.602,1.701 ,7.808,13.322,28.585,23.425,0.769514,0.348834,6.026 ,3.4189791666666665
138.583 ,24.486 ,106.120 ,315.957 ,44.77281188238964,72.35859637727575,9.170074143065328,1258,1213,7.234512E-3 ,1.075937E-3 ,37.779,37,33.295,1.893,136.926E-6 ,1.013,1.144,3.040,16.018,1.451 ,7.125,11.044,16.121,21.376,0.785463,0.323394,6.650 ,15.250979166666667
150.478 ,32.410 ,93.341 ,303.037 ,46.13153917551528,73.09832390736011,10.299556567150116,602,579,6.719249E-3 ,1.198085E-3 ,40.699,19,44.756,2.672,179.558E-6 ,1.474,1.724,4.421,17.805,1.569 ,7.941,11.777,18.713,23.822,0.789137,0.319270,6.831 ,7.186979166666666
136.699 ,29.446 ,96.228 ,315.975 ,41.96639161699623,65.71512138263621,7.206757708443153,578,561,7.334659E-3 ,1.270606E-3 ,36.070,15,26.431,2.057,150.874E-6 ,1.052,1.218,3.155,17.467,1.479 ,7.720,11.687,21.804,23.161,0.805086,0.279967,7.106 ,6.850979166666667
137.157 ,17.373 ,104.323 ,174.467 ,36.92932027948137,72.01905318187336,4.3098760785107935,379,359,7.319654E-3 ,0.994553E-3 ,56.866,19,60.139,1.830,133.953E-6 ,0.949,1.071,2.848,16.104,1.463 ,5.871,8.123,13.530,17.613,0.813246,0.264655,7.601 ,6.730979166666667
143.889 ,20.043 ,101.153 ,249.520 ,41.36860168367244,72.52239358763235,4.127989505516104,1252,1206,6.967655E-3 ,0.923594E-3 ,46.331,42,49.645,1.551,108.081E-6 ,0.797,0.964,2.390,15.969,1.472 ,6.418,10.410,15.504,19.253,0.813633,0.266121,7.368 ,16.930979166666667
134.752 ,18.161 ,99.875 ,204.024 ,41.327119031459894,70.65135049303134,5.171434022142267,855,818,7.437082E-3 ,0.960061E-3 ,45.470,33,33.253,1.432,106.511E-6 ,0.710,0.863,2.130,17.178,1.505 ,7.576,10.471,16.618,22.728,0.798231,0.296968,6.992 ,12.178979166666666
151.576 ,46.568 ,115.722 ,480.461 ,37.855339260225065,69.41252922614822,6.875107175031237,634,615,6.642719E-3 ,1.370673E-3 ,46.902,15,29.668,1.719,114.173E-6 ,0.897,1.081,2.691,16.510,1.501 ,6.577,10.308,18.739,19.731,0.800546,0.302907,7.203 ,8.266979166666667
146.490 ,26.579 ,104.068 ,275.663 ,38.53768308705248,64.43761500365275,6.346005684281819,613,589,6.857902E-3 ,1.125274E-3 ,39.378,20,29.918,1.566,107.421E-6 ,0.832,0.932,2.495,16.358,1.528 ,7.103,9.871,19.658,21.309,0.834831,0.231378,8.390 ,7.4269791666666665
146.045 ,17.873 ,75.949 ,189.360 ,41.94200928638326,68.2934258410672,6.610205357222394,520,500,6.851595E-3 ,0.794433E-3 ,33.729,17,26.101,1.849,126.695E-6 ,0.945,1.137,2.835,17.800,1.550 ,7.305,11.894,22.089,21.916,0.793274,0.303090,6.845 ,5.938979166666667
141.125 ,24.674 ,103.229 ,258.106 ,41.37623947967402,69.75739037960858,7.428428842624867,714,692,7.114916E-3 ,1.102590E-3 ,39.724,17,41.895,2.218,157.830E-6 ,1.140,1.317,3.421,19.045,1.559 ,8.167,12.586,23.443,24.501,0.776920,0.343099,6.304 ,8.746979166666666
143.200 ,28.564 ,107.740 ,253.999 ,30.84914930559494,67.52902963111698,4.899986831415299,392,382,7.021613E-3 ,1.277403E-3 ,54.530,9,22.953,1.710,120.060E-6 ,0.890,1.018,2.670,16.129,1.441 ,6.379,10.197,21.277,19.138,0.814148,0.268152,7.431 ,6.106979166666667
155.029 ,34.175 ,95.707 ,337.571 ,51.84757114228752,67.73786524502484,15.912589873041508,332,321,6.468220E-3 ,1.205825E-3 ,21.695,8,27.470,2.186,141.391E-6 ,1.125,1.155,3.375,17.975,1.648 ,8.245,10.960,20.549,24.735,0.795487,0.306350,6.955 ,2.9869791666666665
140.524 ,42.962 ,89.767 ,609.968 ,35.69826628555929,63.28462444304232,6.446890470679079,1110,1074,7.184648E-3 ,1.283226E-3 ,37.964,26,27.179,1.775,127.545E-6 ,0.912,1.133,2.737,16.685,1.457 ,6.900,10.117,19.318,20.699,0.821806,0.259468,8.033 ,13.498979166666667
138.184 ,19.440 ,82.778 ,280.303 ,40.98011018158461,64.49300799713605,5.859374986354218,772,755,7.260249E-3 ,1.015071E-3 ,28.101,13,29.726,2.410,174.996E-6 ,1.350,1.496,4.049,18.686,1.671 ,7.841,12.284,28.755,23.522,0.791111,0.305073,6.695 ,7.930979166666667
143.554 ,22.435 ,95.966 ,287.826 ,37.46619396013117,67.37592629688676,6.017876492051855,1150,1114,6.979419E-3 ,0.995239E-3 ,45.364,31,48.032,1.736,121.133E-6 ,0.897,1.053,2.691,15.183,1.466 ,6.026,9.715,17.944,18.078,0.826257,0.254318,8.411 ,15.130979166666666
134.994 ,21.239 ,105.866 ,308.844 ,33.44346542009744,62.63044007701478,5.548416323772658,821,790,7.429388E-3 ,0.974850E-3 ,46.481,25,38.346,1.961,145.674E-6 ,1.056,1.238,3.168,16.997,1.497 ,7.297,11.347,16.599,21.890,0.789383,0.312011,6.681 ,12.250979166666667
150.005 ,28.451 ,113.381 ,330.789 ,38.07290330090663,65.04571489538739,5.541416911153169,665,645,6.692440E-3 ,1.094437E-3 ,37.533,15,41.665,1.594,106.703E-6 ,0.809,0.923,2.427,15.966,1.441 ,6.657,10.417,21.638,19.970,0.821478,0.258200,8.135 ,7.570979166666667
139.765 ,25.194 ,89.666 ,308.219 ,37.09329182737252,66.31474989073111,5.386009217456429,1197,1149,7.173244E-3 ,1.107175E-3 ,37.795,39,40.968,1.851,132.754E-6 ,0.969,1.134,2.906,16.020,1.497 ,6.923,10.493,18.612,20.770,0.805646,0.287925,7.368 ,14.458979166666667
141.350 ,23.276 ,99.693 ,206.897 ,30.062853304058216,60.738721602292216,5.852340055915633,492,482,7.077874E-3 ,1.104269E-3 ,51.691,9,44.811,1.391,98.451E-6 ,0.704,0.896,2.113,15.367,1.445 ,6.304,10.720,20.953,18.913,0.829917,0.246074,8.312 ,7.4269791666666665
144.388 ,43.241 ,93.166 ,524.637 ,34.68353156233528,59.94785531702199,5.026444366292205,1345,1296,6.972412E-3 ,1.295763E-3 ,33.970,36,37.290,1.673,116.625E-6 ,0.813,1.018,2.439,15.573,1.457 ,6.661,10.200,18.584,19.984,0.815884,0.274379,7.993 ,14.698979166666666
141.332 ,30.174 ,103.550 ,351.504 ,34.330667299568546,64.50401112271864,5.145819584846414,753,727,7.129151E-3 ,1.227146E-3 ,44.356,22,47.801,1.752,124.933E-6 ,0.919,1.137,2.757,15.859,1.399 ,6.962,9.747,15.013,20.885,0.795733,0.304752,7.151 ,10.138979166666667
162.269 ,56.066 ,126.314 ,354.231 ,42.76492493352247,60.92071339288823,19.96118627219156,101,98,6.189200E-3 ,1.642372E-3 ,18.987,1,13.526,3.110,192.496E-6 ,1.915,1.918,5.744,13.041,1.427 ,5.669,9.262,20.049,17.008,0.797109,0.323399,7.686 ,0.8269791666666667
146.732 ,24.832 ,105.799 ,199.610 ,26.90248976260784,65.76531631750426,5.598725927333045,374,361,6.845612E-3 ,1.183603E-3 ,65.699,11,66.701,1.426,97.605E-6 ,0.744,0.876,2.233,15.143,1.414 ,5.490,8.231,13.587,16.470,0.822461,0.253400,8.185 ,7.618979166666667
