Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
148.196 ,23.622 ,116.941 ,192.600 ,45.346616105318105,71.86573617334541,20.723075088018845,87,84,6.755466E-3 ,1.093391E-3 ,58.333,2,9.249,1.977,133.564E-6 ,0.716,0.871,2.147,13.280,1.172 ,5.959,8.456,11.726,17.877,0.786152,0.306273,6.203 ,1.4748072562358276
145.231 ,17.993 ,121.989 ,180.891 ,56.71663392112248,70.831979204735,21.237614209861057,134,132,6.899643E-3 ,0.855348E-3 ,24.390,1,3.836,2.079,143.413E-6 ,0.931,1.031,2.794,11.807,1.173 ,4.925,7.416,13.014,14.776,0.844242,0.222019,8.507 ,1.2658276643990929
136.356 ,62.882 ,96.766 ,484.074 ,47.7359292486665,66.9545041848192,24.626896933915276,163,151,7.391775E-3 ,1.990257E-3 ,41.975,9,32.132,2.331,172.326E-6 ,0.815,0.911,2.446,13.854,1.430 ,5.860,9.184,13.248,17.580,0.798349,0.289556,6.869 ,2.4674603174603176
147.855 ,81.085 ,111.302 ,577.600 ,50.859426876025104,70.17243360431856,22.232977590798132,185,178,6.771660E-3 ,2.154339E-3 ,38.605,4,19.628,2.121,143.652E-6 ,0.825,0.907,2.474,10.307,1.118 ,4.154,5.831,10.362,12.463,0.810901,0.272434,7.744 ,2.180113378684807
143.100 ,86.082 ,90.655 ,567.009 ,46.86151366340237,67.53414234085103,20.591580468839688,351,325,7.080442E-3 ,2.425215E-3 ,40.950,16,27.750,1.947,137.826E-6 ,0.864,0.999,2.593,13.506,1.278 ,5.789,7.794,14.833,17.366,0.813368,0.283486,7.744 ,4.452766439909297
132.604 ,45.931 ,86.393 ,569.079 ,46.91094245399162,70.78556085348482,16.61010174255867,919,880,7.552626E-3 ,1.630478E-3 ,44.250,36,45.415,2.184,164.915E-6 ,0.881,0.991,2.642,13.203,1.237 ,5.629,7.993,13.789,16.887,0.819876,0.262870,7.905 ,13.778480725623583
125.612 ,15.613 ,95.855 ,158.686 ,43.398999184161646,72.2431351204841,15.741368321373276,261,244,7.963582E-3 ,1.013369E-3 ,57.603,16,46.513,2.181,173.703E-6 ,0.835,0.948,2.506,13.505,1.223 ,5.486,7.662,12.227,16.458,0.812882,0.264085,7.509 ,5.6282766439909295
123.684 ,46.070 ,76.376 ,574.775 ,46.80625131753291,68.88174386689236,13.988641115084883,1016,960,8.124336E-3 ,1.661325E-3 ,43.564,49,47.646,2.050,166.527E-6 ,0.765,0.928,2.295,14.127,1.241 ,5.888,8.233,14.389,17.663,0.829123,0.244854,8.234 ,15.189092970521543
123.653 ,30.333 ,75.940 ,573.113 ,43.53533508796022,71.07370168723796,5.709065970315361,737,701,8.106389E-3 ,1.293408E-3 ,50.558,35,39.369,1.865,151.149E-6 ,0.645,0.818,1.934,13.364,1.161 ,5.755,8.432,12.588,17.264,0.844177,0.213932,8.525 ,12.576848072562358
128.619 ,52.092 ,83.202 ,590.600 ,48.37225019979737,70.27476628430861,21.891930699993015,565,541,7.833502E-3 ,1.924079E-3 ,34.945,21,32.074,2.134,167.180E-6 ,0.808,1.001,2.424,12.549,1.170 ,5.158,7.726,13.927,15.474,0.813812,0.270496,7.504 ,7.273990929705215
127.990 ,46.345 ,76.193 ,554.695 ,45.96298717685721,70.2428080133708,21.00500297230882,1305,1238,7.890576E-3 ,1.643657E-3 ,44.250,61,45.386,2.050,161.757E-6 ,0.799,0.928,2.397,14.333,1.296 ,6.037,8.545,14.245,18.111,0.829308,0.240527,7.988 ,19.420929705215418
125.550 ,17.127 ,95.996 ,197.836 ,44.01309684258448,64.52809537672789,14.950895818978086,429,405,7.955155E-3 ,1.045557E-3 ,47.398,21,36.607,2.225,177.034E-6 ,0.851,1.019,2.553,16.002,1.438 ,7.297,9.809,11.973,21.890,0.797600,0.298116,6.990 ,7.1433786848072565
129.098 ,37.286 ,89.524 ,427.920 ,44.31572693404498,69.3000833643801,16.11620214108051,555,533,7.712959E-3 ,1.657892E-3 ,44.510,21,38.969,2.095,161.605E-6 ,0.845,0.938,2.535,13.911,1.267 ,5.986,8.795,13.363,17.958,0.833891,0.240410,8.288 ,8.501746031746032
130.848 ,38.775 ,89.747 ,460.874 ,46.635250818365904,67.39092484978195,19.631938218178217,663,629,7.695736E-3 ,1.561678E-3 ,37.714,30,43.879,2.313,178.037E-6 ,0.941,1.167,2.823,13.460,1.238 ,5.533,7.803,15.329,16.598,0.830960,0.240514,8.296 ,8.789092970521542
126.556 ,41.309 ,89.764 ,540.366 ,42.276623306875216,64.6370147682256,16.916154519347607,483,462,7.954476E-3 ,1.568761E-3 ,41.441,15,31.818,2.483,197.530E-6 ,1.077,1.298,3.231,14.429,1.307 ,5.986,8.502,13.002,17.959,0.828049,0.245085,8.293 ,6.699297052154195
119.254 ,22.509 ,80.907 ,390.414 ,43.1078346969339,64.52918658412923,14.226953397793876,601,576,8.441532E-3 ,1.215972E-3 ,38.850,23,29.705,2.251,190.030E-6 ,0.950,1.084,2.850,12.873,1.224 ,5.429,7.538,13.114,16.286,0.830511,0.245372,8.252 ,8.553990929705215
132.507 ,63.330 ,93.347 ,588.930 ,41.36458747715823,63.21593030925691,17.922275871839382,380,360,7.552866E-3 ,1.969645E-3 ,44.501,19,42.829,2.240,169.185E-6 ,0.785,1.010,2.356,14.769,1.279 ,6.053,8.456,14.526,18.160,0.838308,0.230191,8.384 ,5.941746031746032
126.483 ,45.904 ,76.941 ,450.986 ,40.02431469955756,65.03807062324748,16.90553752022058,495,468,8.055076E-3 ,1.513243E-3 ,50.118,19,41.055,2.296,184.913E-6 ,1.001,1.152,3.004,14.226,1.264 ,6.218,7.971,11.471,18.654,0.815361,0.282210,7.732 ,8.47562358276644
