Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
277.959 ,34.174 ,228.392 ,371.685 ,62.04037016617985,75.18876215273752,38.94312542803049,184,179,3.635196E-3 ,0.428725E-3 ,14.634,4,18.084,2.410,87.604E-6 ,1.233,1.347,3.700,12.550,1.372 ,4.796,7.293,16.702,14.387,0.863120,0.188159,9.838 ,0.8509791666666666
222.617 ,28.356 ,98.383 ,245.137 ,43.73536385977441,69.34028767261536,23.20481243366281,153,149,4.489094E-3 ,0.739277E-3 ,60.112,3,13.921,1.671,75.014E-6 ,0.821,0.891,2.462,8.795,1.018 ,3.515,4.898,8.484,10.544,0.892001,0.145971,11.867 ,1.8109791666666666
138.533 ,87.226 ,79.899 ,594.155 ,51.530658589374006,72.43340206161831,17.208257199731847,1101,1042,7.415031E-3 ,2.723054E-3 ,34.418,35,32.786,2.552,189.253E-6 ,1.165,1.401,3.495,15.765,1.378 ,6.456,9.651,17.443,19.368,0.805373,0.297196,7.592 ,13.258979166666666
101.302 ,9.858 ,82.875 ,127.277 ,55.31535557739737,69.50390773196075,31.6708328028542,70,64,9.784946E-3 ,1.015554E-3 ,31.818,5,32.774,2.956,289.276E-6 ,1.321,1.371,3.962,16.746,1.498 ,7.783,9.690,--undefined--,23.348,0.753312,0.387900,5.657 ,1.1389791666666667
124.150 ,101.333 ,78.095 ,467.168 ,44.843601945816204,73.08911321744203,17.129706854000514,138,126,8.255215E-3 ,3.995909E-3 ,55.172,6,43.042,2.907,239.949E-6 ,1.306,1.630,3.918,12.961,1.200 ,6.123,8.559,14.594,18.370,0.748519,0.401510,5.780 ,2.9389791666666665
131.683 ,4.363 ,122.700 ,142.475 ,68.35080090841386,71.94052054751569,63.30359262797634,24,23,7.592365E-3 ,0.262453E-3 ,13.636,0,0,1.633,124.014E-6 ,0.697,0.947,2.090,14.049,1.274 ,4.986,8.376,4.541,14.958,0.813582,0.253923,7.134 ,0.25097916666666664
127.837 ,60.008 ,79.884 ,496.061 ,49.785962428733235,72.8253915345967,17.735321888034314,811,781,7.901024E-3 ,2.367690E-3 ,41.217,22,44.959,2.315,182.879E-6 ,1.083,1.301,3.250,14.010,1.300 ,5.827,9.036,14.665,17.482,0.816976,0.274451,8.092 ,11.530979166666667
123.527 ,35.060 ,88.665 ,334.447 ,53.96280991700735,73.47878127305069,21.04154622549563,300,287,8.169012E-3 ,1.806393E-3 ,36.700,11,41.452,2.558,208.945E-6 ,1.208,1.412,3.625,13.612,1.299 ,5.776,8.230,12.179,17.327,0.771606,0.348227,6.145 ,4.090979166666667
114.179 ,56.426 ,76.787 ,474.827 ,50.58311595971916,76.82906081204887,19.51986555810434,227,214,8.874703E-3 ,2.642182E-3 ,46.193,11,34.570,2.473,219.495E-6 ,1.219,1.452,3.657,16.905,1.446 ,7.660,8.672,12.005,22.979,0.756192,0.377139,5.528 ,3.9709791666666665
148.497 ,117.366 ,78.968 ,599.678 ,55.94765897372665,73.01670329104545,11.274659429256218,602,570,6.943622E-3 ,3.289757E-3 ,26.109,17,28.038,2.837,196.965E-6 ,1.351,1.583,4.052,17.783,1.546 ,8.468,12.712,23.679,25.405,0.761549,0.367794,5.894 ,5.890979166666667
