Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
175.821 ,85.530 ,126.146 ,408.935 ,37.77417450912876,50.31648891360078,13.436631215853774,100,96,5.801709E-3 ,2.099302E-3 ,22.368,2,17.993,2.778,161.152E-6 ,1.347,1.450,4.040,12.187,1.221 ,5.809,9.133,13.983,17.426,0.798942,0.313999,7.076 ,0.79562358276644
144.935 ,65.636 ,98.158 ,584.983 ,28.72615602398508,57.16032513766757,2.211172740722946,1646,1574,6.924452E-3 ,1.854095E-3 ,51.169,64,53.950,1.598,110.640E-6 ,0.709,0.868,2.127,13.260,1.212 ,5.653,8.542,14.205,16.959,0.840960,0.222781,8.555 ,23.99235827664399
138.262 ,25.501 ,92.987 ,552.679 ,32.85380020440825,55.02075693238011,6.137532471565002,2283,2205,7.255626E-3 ,0.938061E-3 ,33.166,75,37.888,1.819,131.990E-6 ,0.757,0.915,2.271,12.329,1.114 ,5.336,7.366,11.130,16.008,0.858571,0.196709,9.380 ,25.873174603174604
127.994 ,12.654 ,103.523 ,160.065 ,24.527559625607356,52.31970846946624,5.4569315495084805,287,270,7.840850E-3 ,0.799435E-3 ,62.170,16,68.294,1.972,154.588E-6 ,0.758,1.036,2.273,13.577,1.209 ,5.551,8.260,13.402,16.653,0.836954,0.230337,8.364 ,6.856031746031746
166.273 ,83.861 ,82.963 ,575.920 ,21.54786841745739,53.46744445312745,3.706092269670422,500,469,6.063528E-3 ,2.142870E-3 ,69.177,24,74.032,2.092,126.877E-6 ,0.969,1.079,2.906,14.079,1.230 ,6.592,9.470,15.288,19.777,0.778150,0.344355,6.549 ,11.45358276643991
161.018 ,118.685 ,77.493 ,579.080 ,39.52366458142767,61.60567875348434,8.077286779538586,430,403,6.405008E-3 ,3.465332E-3 ,38.659,15,46.715,3.324,212.876E-6 ,1.491,1.781,4.473,17.242,1.474 ,7.641,10.628,13.553,22.922,0.761170,0.371352,6.067 ,5.105827664399093
114.702 ,77.464 ,75.544 ,582.208 ,40.35660580224416,58.47509899597134,15.62637226890397,214,202,8.736716E-3 ,3.294270E-3 ,24.727,8,12.943,2.080,181.682E-6 ,0.897,1.201,2.691,13.535,1.201 ,4.946,7.025,7.722,14.837,0.846297,0.219460,9.320 ,2.7809297052154194
114.550 ,55.365 ,80.297 ,576.418 ,39.066082921908965,59.752161419206296,8.15753088747649,690,650,8.752011E-3 ,2.391234E-3 ,35.525,33,43.240,2.432,212.892E-6 ,1.037,1.290,3.110,15.340,1.362 ,7.320,9.558,12.929,21.961,0.800526,0.306726,7.525 ,10.225827664399093
118.985 ,66.308 ,75.701 ,571.348 ,40.82617415265056,61.246275319204756,9.399948559800979,647,615,8.526135E-3 ,2.760599E-3 ,27.057,19,33.008,2.784,237.379E-6 ,1.289,1.597,3.867,14.954,1.314 ,7.367,10.073,15.162,22.101,0.780239,0.347365,6.717 ,8.057664399092971
122.402 ,79.884 ,78.109 ,599.491 ,38.328780388981265,60.72732992816398,7.387865772305604,663,628,8.287199E-3 ,3.016486E-3 ,32.686,28,39.677,2.454,203.362E-6 ,1.169,1.415,3.506,13.393,1.260 ,6.292,8.633,13.199,18.876,0.816023,0.280912,8.116 ,8.789092970521542
