Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
99.124 ,5.821 ,89.753 ,111.281 ,44.67216176335642,66.10038728083127,27.147683565536465,46,43,10.184256E-3 ,0.733402E-3 ,53.398,2,44.056,3.712,378.027E-6 ,1.922,1.876,5.766,18.739,1.518 ,6.406,11.594,10.431,19.217,0.749202,0.391409,5.447 ,1.0669791666666666
139.717 ,68.353 ,100.705 ,526.128 ,44.450330793182545,64.48311639647066,21.614556593371738,183,172,7.301984E-3 ,2.169147E-3 ,47.876,5,46.991,1.862,135.981E-6 ,0.868,1.003,2.605,14.204,1.189 ,7.060,9.851,14.571,21.181,0.810097,0.281443,7.651 ,2.6269791666666666
111.682 ,13.502 ,75.891 ,155.114 ,43.884824979621314,65.67307982797722,22.737021667334695,419,393,8.943948E-3 ,1.049948E-3 ,50.744,23,51.471,2.710,242.399E-6 ,1.238,1.537,3.715,15.360,1.359 ,6.495,9.254,17.647,19.484,0.786450,0.327417,6.797 ,8.098979166666666
117.432 ,53.800 ,89.485 ,569.629 ,42.30630927069155,68.32030452582443,9.371712077318577,474,447,8.611936E-3 ,1.922736E-3 ,48.724,21,43.717,2.050,176.531E-6 ,0.812,0.989,2.436,14.114,1.210 ,5.865,8.809,12.084,17.596,0.835161,0.241681,8.802 ,8.650979166666668
128.460 ,22.221 ,91.122 ,257.771 ,46.540134863707976,69.03856609540622,21.742368549976124,264,252,7.771403E-3 ,1.212038E-3 ,41.713,11,38.254,3.002,233.278E-6 ,1.247,1.679,3.741,15.528,1.346 ,7.241,9.799,16.478,21.722,0.809037,0.292766,7.656 ,3.6589791666666667
123.403 ,60.881 ,87.537 ,594.971 ,41.56116854384841,65.55305420411437,18.676778252290816,375,351,8.295379E-3 ,1.895054E-3 ,49.325,19,43.871,3.102,257.312E-6 ,1.427,1.570,4.281,16.098,1.401 ,7.856,11.792,18.768,23.568,0.788738,0.327580,6.986 ,6.706979166666667
113.573 ,18.214 ,86.770 ,290.438 ,45.55859703405666,67.15087736654736,17.663663530810258,354,333,8.824786E-3 ,1.134641E-3 ,39.405,20,36.367,2.846,251.132E-6 ,1.245,1.544,3.735,15.461,1.371 ,7.090,8.626,12.676,21.271,0.787356,0.337517,7.160 ,5.746979166666667
113.320 ,43.894 ,81.455 ,547.392 ,47.268071702041134,68.71715243018826,20.405342983620088,393,367,8.963952E-3 ,1.672661E-3 ,43.538,20,41.599,2.201,197.341E-6 ,1.015,1.165,3.044,14.348,1.392 ,6.833,9.376,14.532,20.498,0.782528,0.335764,6.785 ,6.538979166666667
111.751 ,14.009 ,87.567 ,145.716 ,43.18702950275694,66.20585894815937,9.76069856606149,416,400,8.973511E-3 ,1.102834E-3 ,43.266,15,47.824,2.238,200.814E-6 ,1.058,1.301,3.174,14.197,1.248 ,5.955,9.360,14.271,17.866,0.818649,0.269085,8.074 ,7.018979166666667
114.706 ,70.523 ,76.231 ,593.047 ,41.158131204897536,70.01695319340365,19.213176160417845,586,538,8.900860E-3 ,2.547755E-3 ,52.166,38,57.155,2.466,219.527E-6 ,1.057,1.036,3.172,15.163,1.356 ,6.639,8.893,16.229,19.916,0.804311,0.290462,7.463 ,11.578979166666667
121.831 ,23.737 ,79.347 ,210.427 ,37.97621722552595,61.879727847716026,11.522955957235927,440,423,8.236723E-3 ,1.553730E-3 ,44.524,15,42.290,2.671,219.983E-6 ,1.185,1.342,3.556,15.512,1.331 ,6.983,10.941,19.756,20.950,0.819453,0.270885,8.134 ,6.970979166666667
120.786 ,25.533 ,88.576 ,363.006 ,39.4927705243178,62.765970051305466,7.938273049923619,324,300,8.289770E-3 ,1.346081E-3 ,45.709,21,54.634,2.763,229.061E-6 ,1.159,1.407,3.477,14.140,1.290 ,6.187,9.007,12.814,18.560,0.794681,0.313626,7.379 ,5.746979166666667
167.552 ,134.751 ,88.503 ,599.090 ,38.97020815445763,60.1262830538915,18.247673676191976,214,205,5.989280E-3 ,3.452110E-3 ,48.988,4,48.381,3.159,189.184E-6 ,1.546,1.854,4.638,18.627,1.553 ,9.580,15.266,19.498,28.741,0.793428,0.307025,7.114 ,2.5069791666666665
123.418 ,41.549 ,88.873 ,594.405 ,40.487634331323136,62.41093415341152,8.906903895604753,956,914,8.140942E-3 ,1.568019E-3 ,43.159,37,45.384,2.701,219.924E-6 ,1.268,1.592,3.804,15.596,1.365 ,6.872,10.184,15.081,20.617,0.809235,0.295542,7.900 ,14.218979166666667
113.681 ,15.369 ,84.401 ,163.236 ,39.99289044928014,64.8043716588814,15.899443777366962,700,667,8.820743E-3 ,1.179214E-3 ,44.886,30,49.107,2.582,227.720E-6 ,1.251,1.453,3.754,15.197,1.334 ,6.917,9.661,16.670,20.752,0.819595,0.268507,8.080 ,11.866979166666667
140.887 ,74.369 ,86.914 ,477.219 ,32.54441834098098,58.54652624931553,-0.33529299512935773,222,210,7.335050E-3 ,2.299945E-3 ,56.853,6,10.522,2.817,206.653E-6 ,1.383,1.687,4.149,17.254,1.378 ,8.765,12.323,24.477,26.296,0.798497,0.306233,7.057 ,3.9709791666666665
123.393 ,54.755 ,88.684 ,547.169 ,44.92085902995718,65.99632706537577,13.452812391773152,329,314,8.239903E-3 ,1.858136E-3 ,41.304,13,47.294,2.185,180.066E-6 ,0.926,1.235,2.778,17.304,1.453 ,8.030,11.023,13.804,24.089,0.770790,0.340625,6.005 ,5.098979166666667
126.836 ,73.057 ,86.002 ,591.743 ,46.74417047009549,70.56426311822528,10.077771756931009,1033,976,8.091844E-3 ,2.379580E-3 ,44.994,36,46.200,2.206,178.540E-6 ,1.058,1.211,3.174,16.038,1.392 ,7.720,10.219,13.211,23.161,0.777591,0.342966,6.488 ,16.018979166666668
114.399 ,75.505 ,75.874 ,578.837 ,48.58598867754059,67.68749479800917,22.618385513178445,394,364,8.826571E-3 ,3.008060E-3 ,37.397,26,45.082,2.402,211.977E-6 ,1.078,1.234,3.234,16.035,1.415 ,7.081,11.299,19.605,21.242,0.766238,0.353997,5.925 ,6.106979166666667
180.926 ,87.588 ,106.333 ,579.611 ,50.6194959033743,70.10522343144686,8.081545205872988,362,346,5.631616E-3 ,2.136829E-3 ,39.106,7,32.127,2.712,152.705E-6 ,1.345,1.652,4.035,15.324,1.487 ,6.893,11.259,19.980,20.680,0.772884,0.337691,6.079 ,3.6109791666666666
154.661 ,42.929 ,92.323 ,596.015 ,47.40444152497269,68.7293358349614,4.47951909665991,861,831,6.495658E-3 ,1.299246E-3 ,32.503,23,37.071,2.652,172.248E-6 ,1.132,1.350,3.396,14.275,1.288 ,6.355,9.116,16.036,19.065,0.816439,0.282772,8.042 ,8.866979166666667
141.898 ,70.822 ,73.263 ,568.905 ,40.3397922250383,60.95825600434719,3.5623946557343906,591,568,7.088737E-3 ,2.044755E-3 ,35.924,17,36.553,2.893,205.057E-6 ,1.325,1.511,3.976,14.841,1.355 ,7.116,9.420,14.513,21.349,0.792822,0.324427,7.206 ,6.850979166666667
160.442 ,80.194 ,107.749 ,602.021 ,44.58224290255167,65.35376090257778,5.218015390973759,648,622,6.367703E-3 ,1.817088E-3 ,34.462,19,39.293,2.935,186.887E-6 ,1.420,1.622,4.259,14.502,1.250 ,6.541,9.586,14.001,19.624,0.811292,0.288373,7.775 ,6.826979166666667
143.773 ,49.834 ,103.929 ,572.100 ,43.44275174947138,72.06992903330351,4.11962797469298,906,872,7.050851E-3 ,1.410403E-3 ,40.855,27,38.385,1.847,130.209E-6 ,0.766,0.912,2.298,11.675,1.087 ,4.765,6.958,10.943,14.296,0.867289,0.185128,10.208 ,11.026979166666667
146.528 ,63.133 ,99.075 ,594.058 ,41.1207510206533,65.05144390330155,1.3142718508400835,279,268,6.922115E-3 ,1.563840E-3 ,43.869,8,45.236,2.486,172.068E-6 ,1.031,1.327,3.093,12.743,1.160 ,6.003,7.009,8.086,18.009,0.812284,0.290022,8.087 ,3.7069791666666667
110.908 ,61.156 ,74.002 ,560.222 ,50.8001524102213,71.52858193244586,10.030410905786889,900,860,9.152808E-3 ,2.807094E-3 ,29.339,28,30.494,2.203,201.619E-6 ,0.948,1.211,2.843,13.515,1.194 ,6.327,8.808,12.671,18.982,0.845187,0.228388,9.463 ,12.130979166666666
107.745 ,65.032 ,75.207 ,583.940 ,49.261844060622565,70.9730886792378,12.64115374996807,714,676,9.503328E-3 ,2.587842E-3 ,29.960,25,28.991,2.547,242.063E-6 ,1.068,1.446,3.204,13.752,1.248 ,6.075,8.366,12.658,18.225,0.812729,0.284008,7.909 ,10.018979166666666
129.947 ,80.356 ,76.533 ,595.898 ,50.66490872436929,70.95939038641417,13.327125713811455,533,496,7.959784E-3 ,2.624194E-3 ,30.031,22,37.186,3.268,260.140E-6 ,1.413,1.605,4.240,14.426,1.343 ,6.852,9.182,13.686,20.556,0.800677,0.303282,7.718 ,6.4909791666666665
105.921 ,34.580 ,74.763 ,549.504 ,47.683337748388,72.60128374860781,8.108467014437863,740,704,9.497867E-3 ,1.909903E-3 ,38.159,33,43.725,2.725,258.829E-6 ,1.117,1.505,3.352,15.235,1.346 ,6.831,9.859,16.309,20.492,0.816460,0.270279,8.060 ,11.986979166666666
107.792 ,78.783 ,69.340 ,581.481 ,49.9591743332738,64.607728337611,14.715299858888901,328,311,9.366000E-3 ,3.303330E-3 ,30.472,15,36.815,3.247,304.119E-6 ,1.455,1.880,4.364,17.379,1.439 ,8.080,9.960,14.116,24.239,0.783513,0.339670,6.821 ,4.690979166666667
109.146 ,54.661 ,75.972 ,592.133 ,48.66103263273695,65.93112788500261,16.236380673221166,1136,1070,9.283048E-3 ,2.371412E-3 ,29.599,53,33.759,3.294,305.761E-6 ,1.466,1.671,4.397,15.149,1.310 ,6.780,9.067,14.240,20.340,0.794771,0.308891,7.197 ,16.018979166666668
119.667 ,85.787 ,74.904 ,583.007 ,44.80235510762074,71.93885808027335,-4.174071471865178,607,558,8.586942E-3 ,3.500639E-3 ,54.741,39,60.283,3.081,264.597E-6 ,1.428,1.625,4.284,15.108,1.364 ,6.452,9.498,15.391,19.356,0.765438,0.359830,6.146 ,12.586979166666667
179.863 ,145.605 ,108.937 ,593.438 ,56.94215698475161,71.61836598432954,40.580405564560266,78,72,5.816114E-3 ,2.988483E-3 ,18.571,2,18.727,3.664,213.098E-6 ,1.683,2.484,5.049,19.210,1.600 ,10.238,11.251,14.145,30.713,0.761703,0.372010,5.717 ,0.7309791666666666
117.778 ,50.301 ,84.680 ,557.886 ,46.824814835810486,71.33329487068039,19.904424709004033,487,459,8.499921E-3 ,2.111205E-3 ,49.886,24,40.802,2.332,198.215E-6 ,1.029,1.265,3.086,16.196,1.352 ,7.707,10.800,15.229,23.120,0.797651,0.305283,7.133 ,8.818979166666667
110.074 ,36.350 ,75.320 ,579.928 ,47.52539826493629,70.77840172109329,9.925738581013867,791,756,9.108556E-3 ,1.525942E-3 ,42.658,32,42.834,2.061,187.753E-6 ,0.934,1.041,2.803,16.670,1.403 ,7.693,11.511,16.696,23.080,0.804851,0.294798,7.588 ,12.970979166666666
122.798 ,58.697 ,84.262 ,580.617 ,43.56548808881039,75.00532305475032,4.706252815888531,1005,947,8.214165E-3 ,2.048231E-3 ,55.293,50,57.301,2.289,188.014E-6 ,1.053,1.312,3.160,16.043,1.372 ,6.600,8.819,13.392,19.800,0.811341,0.271277,7.593 ,19.49897916666667
106.372 ,7.553 ,86.626 ,129.489 ,41.13778088395839,65.82000382188353,-5.706846034961657,66,59,9.552095E-3 ,0.760682E-3 ,65.421,6,57.573,4.487,428.630E-6 ,2.394,2.437,7.181,19.773,1.322 ,9.185,14.554,23.684,27.556,0.718872,0.462750,4.746 ,2.1709791666666667
--undefined-- ,--undefined-- ,--undefined-- ,--undefined-- ,45.942241273206605,50.82417468189092,38.114490527681816,1,0,--undefined-- ,--undefined-- ,78.571,0,0,--undefined--,--undefined-- ,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,0.17897916666666666
133.060 ,105.050 ,75.967 ,585.794 ,47.52583986602451,76.852390409228,14.231139571712124,377,353,7.727043E-3 ,3.829581E-3 ,50.565,15,53.594,2.945,227.559E-6 ,1.283,1.510,3.850,15.866,1.411 ,6.689,9.110,12.164,20.068,0.826563,0.252162,8.534 ,6.226979166666666
93.741 ,28.808 ,68.878 ,539.146 ,51.384398534713064,74.81768375481101,7.706717562778948,1031,981,10.722763E-3 ,2.179471E-3 ,35.547,48,37.131,2.517,269.888E-6 ,1.065,1.258,3.196,13.626,1.229 ,6.311,8.321,11.511,18.934,0.814892,0.276502,8.032 ,17.506979166666667
110.564 ,84.420 ,68.949 ,592.958 ,54.79126878461473,70.57344494529303,23.924791768567108,455,420,9.330742E-3 ,3.627504E-3 ,33.130,21,30.464,2.857,266.591E-6 ,1.304,1.323,3.912,14.310,1.290 ,6.798,8.322,12.892,20.395,0.811912,0.284455,8.380 ,6.586979166666667
153.489 ,35.639 ,91.792 ,212.097 ,52.01762669673757,77.77236646268915,11.302910738776827,108,103,6.523808E-3 ,1.516820E-3 ,44.094,4,12.177,2.859,186.498E-6 ,1.046,1.648,3.137,14.435,1.401 ,6.852,11.495,17.857,20.556,0.772323,0.348199,6.210 ,1.3069791666666666
162.182 ,75.607 ,113.214 ,580.108 ,48.80865918336194,71.70123231708483,3.7428406711070394,362,340,6.253586E-3 ,1.764543E-3 ,36.294,15,40.868,2.659,166.303E-6 ,1.166,1.472,3.498,15.573,1.434 ,6.219,9.267,15.123,18.658,0.782796,0.324957,6.716 ,3.9709791666666665
149.268 ,51.639 ,82.948 ,554.333 ,45.23873272936863,69.39297300770858,3.390252311833862,583,567,6.714907E-3 ,1.646792E-3 ,34.098,13,34.670,2.339,157.046E-6 ,1.049,1.147,3.148,13.046,1.193 ,5.251,7.550,12.057,15.752,0.840821,0.231337,8.807 ,6.130979166666667
134.680 ,15.687 ,100.808 ,185.587 ,43.49912548356241,63.18552610917827,3.0365120038465774,288,279,7.452452E-3 ,0.936826E-3 ,35.838,8,39.203,2.735,203.811E-6 ,1.198,1.617,3.593,14.738,1.382 ,6.114,9.256,16.412,18.341,0.814781,0.280226,7.665 ,3.4909791666666665
145.908 ,31.051 ,107.003 ,457.420 ,49.062646267897584,72.32760416515688,5.489990896743384,597,578,6.878041E-3 ,1.130736E-3 ,42.091,17,40.135,2.020,138.971E-6 ,0.808,1.001,2.423,13.608,1.185 ,5.978,8.438,14.054,17.934,0.828159,0.245703,8.124 ,7.4989791666666665
141.478 ,18.173 ,95.897 ,195.768 ,47.64030083588835,65.0089011937772,4.451437199839639,439,426,7.071835E-3 ,0.934029E-3 ,23.568,9,17.962,2.228,157.591E-6 ,1.013,1.188,3.040,15.681,1.362 ,6.247,10.381,18.574,18.741,0.806043,0.288646,7.541 ,4.570979166666667
137.129 ,25.413 ,97.822 ,303.560 ,46.79173599710471,71.05591869552224,3.5075151126691635,1381,1329,7.302374E-3 ,1.243808E-3 ,32.609,44,38.302,2.354,171.930E-6 ,0.975,1.157,2.925,13.860,1.237 ,6.166,8.996,15.064,18.499,0.832030,0.242446,8.443 ,16.138979166666665
130.292 ,14.171 ,99.694 ,164.167 ,46.748845545433625,64.53055232145581,5.69902739211976,338,324,7.693031E-3 ,0.881712E-3 ,26.649,11,32.834,2.163,166.402E-6 ,0.894,1.052,2.682,13.638,1.192 ,6.069,8.571,15.001,18.208,0.817660,0.277536,8.358 ,3.826979166666667
144.309 ,61.278 ,103.590 ,542.725 ,46.694326752951824,64.8031976805168,5.368173170306926,486,470,6.942763E-3 ,1.821617E-3 ,27.926,10,23.377,2.202,152.903E-6 ,0.978,1.166,2.933,13.507,1.213 ,6.332,8.527,13.655,18.997,0.821414,0.268620,8.061 ,4.906979166666667
