Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
127.561 ,28.246 ,102.992 ,334.095 ,58.68753654578779,78.00843253553627,-1.0677068905465434,278,266,7.912462E-3 ,1.212886E-3 ,32.637,8,32.302,1.981,156.752E-6 ,0.944,1.143,2.833,16.802,1.512 ,7.429,11.701,21.200,22.286,0.811836,0.291909,7.751 ,3.8616780045351473
130.498 ,63.896 ,71.597 ,598.000 ,55.96243535562831,72.98057725286122,-2.087048481431159,794,751,7.770445E-3 ,2.070931E-3 ,28.221,30,35.876,2.765,214.884E-6 ,1.385,1.618,4.155,18.400,1.545 ,9.728,13.316,18.329,29.184,0.782634,0.326058,6.487 ,9.817596371882086
133.953 ,64.889 ,75.798 ,525.782 ,57.93442223451529,74.71283013988477,-1.8385137873906032,818,779,7.552384E-3 ,2.351799E-3 ,23.735,25,29.648,2.758,208.298E-6 ,1.369,1.691,4.107,18.129,1.574 ,8.498,12.046,17.070,25.493,0.794058,0.315471,7.029 ,8.929433106575964
125.216 ,56.239 ,79.494 ,586.245 ,59.83283771491053,72.28331452228781,29.162708234244494,623,602,8.014834E-3 ,1.953711E-3 ,21.113,18,29.148,2.309,185.037E-6 ,1.200,1.529,3.600,16.709,1.519 ,8.139,12.767,20.655,24.416,0.796200,0.306394,7.056 ,7.048616780045352
111.171 ,32.652 ,77.451 ,425.758 ,53.01739836115828,79.43728807391486,0.22053037484530486,608,574,9.049260E-3 ,1.808092E-3 ,44.794,31,44.328,2.709,245.180E-6 ,1.388,1.592,4.164,17.500,1.527 ,8.666,12.537,16.888,25.997,0.772399,0.346841,6.137 ,11.175963718820862
126.098 ,33.482 ,82.100 ,543.253 ,58.61455176808125,79.60419645285708,-3.279333125747481,1857,1784,7.967607E-3 ,1.345596E-3 ,36.854,63,42.502,2.060,164.153E-6 ,0.983,1.157,2.950,15.617,1.419 ,7.086,10.338,16.046,21.259,0.822509,0.262399,8.170 ,25.595555555555556
137.835 ,68.186 ,73.468 ,551.859 ,60.348288709781876,79.81837818804739,17.38895689957728,659,625,7.296459E-3 ,2.207541E-3 ,23.823,24,33.872,3.456,252.159E-6 ,1.785,2.022,5.356,17.786,1.519 ,8.239,11.330,17.298,24.717,0.785072,0.328726,6.920 ,7.257596371882086
269.951 ,191.196 ,71.939 ,609.313 ,56.66052895409051,83.82258599242307,20.458463996490458,1216,1102,3.946974E-3 ,3.469359E-3 ,43.356,38,51.203,5.383,212.481E-6 ,2.955,3.262,8.864,22.080,1.758 ,11.095,13.521,19.452,33.284,0.728309,0.429820,4.778 ,10.340045351473924
135.530 ,84.930 ,92.487 ,483.813 ,58.44867371349844,78.36690629973815,19.536762731092626,530,495,7.602143E-3 ,2.898338E-3 ,29.618,23,35.958,3.292,250.297E-6 ,1.687,1.929,5.061,20.283,1.629 ,9.658,14.264,18.253,28.973,0.770628,0.352644,6.267 ,6.31718820861678
133.804 ,54.637 ,92.932 ,394.532 ,61.253219848300276,80.8290552368908,9.096968620380752,150,140,7.486506E-3 ,2.150913E-3 ,32.275,7,38.219,2.643,197.900E-6 ,1.317,1.673,3.950,16.507,1.496 ,8.044,14.930,20.742,24.133,0.776161,0.335921,6.286 ,1.9286167800453515
123.816 ,70.831 ,90.715 ,508.303 ,58.125093658846055,80.09294489055166,13.02243507001373,149,140,8.246489E-3 ,2.521426E-3 ,38.938,5,38.252,3.315,273.367E-6 ,1.869,1.955,5.606,18.964,1.475 ,7.988,12.748,17.580,23.965,0.777873,0.323308,6.070 ,2.294331065759637
100.941 ,5.566 ,87.193 ,118.273 ,58.929666186890394,72.00230141226568,25.32294494258143,166,157,9.951379E-3 ,0.614244E-3 ,21.186,8,29.667,2.029,201.960E-6 ,0.927,1.085,2.780,16.365,1.481 ,7.812,12.047,17.973,23.437,0.764079,0.358662,5.797 ,2.3988208616780047
129.437 ,95.213 ,74.323 ,583.293 ,56.14825774345409,73.9155468143228,8.125368384569876,404,377,7.877307E-3 ,3.728389E-3 ,37.915,17,46.459,3.545,279.277E-6 ,1.916,2.266,5.747,18.489,1.571 ,9.622,14.603,25.896,28.865,0.724053,0.440890,4.910 ,6.369433106575964
219.281 ,173.112 ,74.867 ,627.087 ,59.03065156745369,77.93413326431948,4.576101465830296,836,759,4.849623E-3 ,4.083373E-3 ,31.978,34,44.416,5.435,263.572E-6 ,2.939,3.758,8.816,21.130,1.809 ,10.399,15.825,16.123,31.196,0.705390,0.473688,4.291 ,7.4143310657596375
188.542 ,152.413 ,70.549 ,599.712 ,53.07827894867049,80.4483538342197,9.866507686317195,1495,1385,5.482197E-3 ,4.127029E-3 ,50.519,64,59.233,3.933,215.612E-6 ,2.114,2.459,6.342,20.587,1.731 ,10.079,13.431,14.334,30.237,0.734174,0.416294,4.976 ,20.26657596371882
