Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
141.922 ,82.869 ,75.371 ,611.986 ,72.49435603863827,86.07315733823656,6.50808040047243,968,903,7.235355E-3 ,2.300774E-3 ,26.864,31,30.889,2.416,174.833E-6 ,1.152,1.437,3.457,14.765,1.368 ,7.228,9.231,12.553,21.684,0.803707,0.301414,7.548 ,10.496780045351475
127.786 ,49.032 ,67.222 ,575.774 ,73.5279766120562,85.98663153223562,10.660731426399801,1632,1566,7.896560E-3 ,1.813413E-3 ,21.597,51,28.605,2.507,197.941E-6 ,1.190,1.383,3.569,14.168,1.283 ,6.684,9.594,13.561,20.052,0.804895,0.303452,7.748 ,17.811065759637188
125.750 ,85.862 ,81.599 ,493.481 ,61.82748846353087,83.2033337393658,10.507046472515205,188,174,8.258432E-3 ,3.189372E-3 ,48.042,9,47.299,2.547,210.330E-6 ,1.095,1.362,3.284,16.278,1.458 ,7.893,12.153,17.326,23.678,0.796381,0.293534,6.911 ,3.8616780045351473
174.309 ,54.592 ,75.456 ,446.791 ,57.42254392038536,84.45813241939236,28.87459779530417,599,564,5.765982E-3 ,1.860760E-3 ,59.106,29,69.152,3.361,193.792E-6 ,1.667,1.564,5.000,14.725,1.465 ,7.072,10.658,14.207,21.215,0.751149,0.402328,5.816 ,12.116371882086169
178.424 ,50.901 ,78.646 ,242.681 ,49.2544932746835,80.33735639887063,8.869576335701133,117,114,5.535701E-3 ,1.902256E-3 ,66.190,2,10.689,1.747,96.681E-6 ,0.930,0.978,2.789,14.754,1.316 ,6.625,8.286,22.221,19.874,0.807040,0.280777,7.156 ,2.1375963718820863
107.531 ,23.326 ,77.526 ,167.812 ,60.012263608950775,79.70699878086015,-0.3484786192520023,126,120,9.262387E-3 ,1.950327E-3 ,54.770,5,24.526,1.820,168.542E-6 ,0.702,0.820,2.106,17.467,1.461 ,9.057,11.223,12.958,27.171,0.760445,0.353464,5.551 ,2.8690249433106576
120.246 ,20.262 ,76.442 ,153.854 ,52.06904524445591,86.70729814713442,3.8707544037044714,52,48,8.248738E-3 ,1.420921E-3 ,70.370,3,47.673,2.762,227.833E-6 ,1.452,1.855,4.355,11.574,1.038 ,5.279,7.054,11.476,15.837,0.810704,0.266210,7.209 ,1.9286167800453515
140.670 ,48.247 ,94.148 ,596.145 ,76.5949764589766,88.47462744568008,5.714871690158465,2943,2848,7.165337E-3 ,1.324233E-3 ,20.488,70,27.170,2.149,154.015E-6 ,1.009,1.219,3.028,13.271,1.228 ,6.162,8.772,12.447,18.485,0.829919,0.258748,8.550 ,28.730249433106575
136.362 ,69.777 ,77.382 ,590.191 ,75.8352859954798,87.84140447311594,31.34383974842617,714,679,7.483400E-3 ,1.919719E-3 ,26.497,19,30.765,2.564,191.899E-6 ,1.224,1.463,3.671,14.596,1.305 ,6.800,9.151,11.978,20.400,0.788170,0.338147,7.148 ,7.88453514739229
122.572 ,16.303 ,76.360 ,248.543 ,65.74091967040562,87.42804504701448,17.430013551060103,515,496,8.181416E-3 ,0.985685E-3 ,48.950,17,51.914,2.338,191.242E-6 ,1.069,1.352,3.207,14.346,1.308 ,6.751,9.598,12.597,20.252,0.809892,0.292507,8.111 ,9.556371882086168
145.284 ,43.956 ,78.590 ,535.756 ,72.70639317973522,89.45837238592175,15.418142681263538,934,905,6.913975E-3 ,1.407015E-3 ,33.456,23,29.681,2.303,159.199E-6 ,1.199,1.354,3.596,13.126,1.233 ,6.289,8.881,11.319,18.867,0.798212,0.319536,7.894 ,10.914739229024944
--undefined-- ,--undefined-- ,--undefined-- ,--undefined-- ,61.50999947422359,84.92896354896388,25.60231317079307,1,0,--undefined-- ,--undefined-- ,87.387,0,0,--undefined--,--undefined-- ,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,1.1449433106575964
