Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
137.365 ,95.087 ,79.167 ,477.402 ,45.85336730959069,67.04341959287369,-7.921331765211028,532,493,7.422558E-3 ,3.570446E-3 ,37.268,26,44.978,3.269,242.659E-6 ,1.730,2.063,5.189,19.451,1.628 ,8.998,11.649,12.727,26.993,0.742679,0.399137,5.319 ,7.571065759637189
140.473 ,61.560 ,84.199 ,487.249 ,38.138689242056074,67.41648229688582,-5.076610657521404,434,413,7.277899E-3 ,2.275399E-3 ,46.815,13,47.931,3.369,245.191E-6 ,1.783,2.047,5.349,20.553,1.692 ,9.839,14.037,16.216,29.516,0.762501,0.359321,5.855 ,6.31718820861678
161.412 ,59.846 ,83.992 ,481.802 ,48.47971066056062,71.77781820369346,-20.63652674904537,637,607,6.248224E-3 ,1.762254E-3 ,28.981,19,32.386,2.646,165.331E-6 ,1.398,1.711,4.195,18.589,1.572 ,8.812,11.312,18.086,26.437,0.783715,0.321940,6.514 ,6.31718820861678
158.072 ,76.898 ,102.586 ,551.239 ,43.38927879343615,76.18190073162954,-1.1053438006885299,757,716,6.388477E-3 ,1.936531E-3 ,47.410,36,52.721,2.250,143.712E-6 ,1.167,1.333,3.502,19.514,1.707 ,8.477,11.193,12.462,25.431,0.786292,0.307417,6.325 ,10.078820861678004
177.089 ,87.494 ,82.630 ,634.654 ,44.71885731820496,65.98635850555354,8.550973122696258,973,926,5.743642E-3 ,2.168099E-3 ,32.969,30,39.386,3.270,187.811E-6 ,1.779,2.002,5.338,19.594,1.701 ,9.233,13.592,19.077,27.700,0.743533,0.402112,5.324 ,9.190657596371882
176.126 ,78.289 ,114.062 ,602.025 ,43.30895000751731,62.57577430714895,3.922388134058952,858,814,5.762324E-3 ,1.849961E-3 ,31.740,23,39.487,3.289,189.516E-6 ,1.703,2.033,5.110,19.657,1.712 ,8.607,12.590,22.037,25.820,0.747887,0.394848,5.419 ,8.198004535147392
155.567 ,65.760 ,109.607 ,557.827 ,46.56973427046771,75.62822192163686,8.053239860464386,681,637,6.529030E-3 ,1.742073E-3 ,48.598,34,51.584,2.323,151.644E-6 ,1.209,1.426,3.626,18.331,1.570 ,8.406,10.962,14.509,25.219,0.782979,0.322391,6.431 ,9.660861678004535
162.370 ,49.309 ,114.468 ,327.208 ,45.71837140825083,62.107167864971274,-4.432722531146122,418,401,6.220193E-3 ,1.553225E-3 ,28.643,10,28.959,3.340,207.765E-6 ,1.985,2.328,5.956,21.463,1.819 ,10.657,15.111,27.101,31.970,0.698118,0.505563,4.100 ,4.018412698412698
164.909 ,64.130 ,77.835 ,563.205 ,44.25549153322282,64.09845768325015,6.294592112345163,821,785,6.110469E-3 ,1.717660E-3 ,33.333,23,40.924,3.045,186.045E-6 ,1.676,1.839,5.027,19.627,1.663 ,9.918,12.546,19.597,29.755,0.725473,0.439586,4.847 ,8.615963718820861
151.213 ,57.716 ,75.115 ,514.799 ,40.52885562120475,64.85117963407177,2.8941820324350944,374,351,6.703584E-3 ,1.667608E-3 ,43.701,16,50.107,3.386,226.992E-6 ,1.849,2.099,5.548,18.472,1.654 ,8.727,12.612,21.906,26.180,0.724920,0.450510,4.894 ,5.115555555555556
131.319 ,16.293 ,85.234 ,166.934 ,42.686276801736064,73.23211139712285,0.6154496688976261,196,183,7.703503E-3 ,1.035637E-3 ,53.039,12,50.430,2.689,207.162E-6 ,1.620,1.885,4.860,18.601,1.618 ,8.465,13.089,16.356,25.395,0.746416,0.392752,5.263 ,3.6526984126984128
156.701 ,55.402 ,88.605 ,445.619 ,44.197341792910606,64.63964343246883,12.675521315758402,227,220,6.433056E-3 ,1.624189E-3 ,30.085,5,17.433,3.183,204.756E-6 ,1.722,2.264,5.166,19.871,1.763 ,8.390,10.493,8.593,25.170,0.719214,0.432212,4.408 ,2.3988208616780047
141.827 ,48.496 ,95.688 ,460.887 ,35.00026555563395,67.70076763855366,0.19550116492575817,247,228,7.063011E-3 ,1.703825E-3 ,62.367,15,35.489,2.954,208.619E-6 ,1.593,1.491,4.779,22.324,1.723 ,11.543,12.429,21.108,34.629,0.726832,0.443352,4.948 ,5.690249433106576
169.868 ,84.464 ,75.237 ,435.372 ,40.17365216235003,66.46072894331233,3.2555545143593063,702,662,5.942390E-3 ,2.609729E-3 ,48.177,31,58.711,4.056,241.018E-6 ,2.244,2.711,6.731,20.672,1.785 ,9.986,14.468,25.084,29.959,0.738368,0.413585,5.251 ,10.183310657596373
141.556 ,54.883 ,96.291 ,415.867 ,46.06152087147658,76.7137188322929,5.499799070685073,392,370,7.148158E-3 ,1.923887E-3 ,47.049,19,51.019,2.663,190.335E-6 ,1.338,1.601,4.013,20.748,1.633 ,8.060,12.735,14.729,24.181,0.800458,0.287738,6.866 ,5.794739229024943
117.432 ,4.249 ,109.157 ,133.131 ,41.217766471978756,63.67125591912352,7.239278579545774,99,95,8.553848E-3 ,0.454909E-3 ,40.476,3,17.419,2.696,230.598E-6 ,1.419,1.419,4.256,17.904,1.421 ,9.140,13.581,12.644,27.421,0.765983,0.373684,6.174 ,1.7196371882086168
142.503 ,89.220 ,80.678 ,588.500 ,45.70586248899811,76.3020999023438,6.1869806067912165,285,263,7.215814E-3 ,2.443835E-3 ,50.984,15,53.556,2.416,174.310E-6 ,1.276,1.820,3.829,21.483,1.793 ,9.130,11.844,6.446,27.389,0.751426,0.379003,5.436 ,5.115555555555556
112.869 ,23.950 ,94.026 ,213.494 ,32.71019454083634,69.24715371263522,-1.8441253517470977,68,63,8.793341E-3 ,1.544710E-3 ,63.333,4,30.826,2.082,183.115E-6 ,1.081,1.089,3.243,23.234,1.816 ,9.803,6.697,7.788,29.409,0.739454,0.396222,4.998 ,2.1375963718820863
173.245 ,80.682 ,74.399 ,465.323 ,42.80234982364422,69.54763106828511,8.173065933593074,432,398,5.949972E-3 ,2.156989E-3 ,51.942,23,54.958,4.714,280.471E-6 ,2.540,2.779,7.621,20.284,1.685 ,9.196,13.460,20.182,27.588,0.750110,0.391589,5.737 ,6.212698412698413
235.456 ,136.183 ,79.536 ,475.954 ,42.618702340906914,70.43744008740299,7.817559606496767,220,198,4.392654E-3 ,2.878236E-3 ,51.587,8,56.254,5.899,259.101E-6 ,2.968,3.144,8.905,23.221,1.917 ,10.981,18.684,23.648,32.942,0.723178,0.428416,4.688 ,2.5555555555555554
148.813 ,62.488 ,87.706 ,557.705 ,41.425110020180114,73.29866673538646,6.5241104223913835,1106,1062,6.785955E-3 ,1.832881E-3 ,48.882,34,50.811,2.564,173.979E-6 ,1.351,1.521,4.053,18.119,1.529 ,8.366,12.195,15.648,25.099,0.787301,0.316991,6.719 ,16.13922902494331
145.889 ,61.388 ,75.701 ,540.753 ,38.92002415032528,67.4659406229795,-7.315607071926491,523,495,6.946563E-3 ,2.043129E-3 ,50.365,20,51.593,3.148,218.686E-6 ,1.696,1.907,5.088,20.276,1.670 ,10.039,15.142,23.110,30.116,0.753037,0.397099,5.811 ,8.250249433106577
156.259 ,110.646 ,67.303 ,567.443 ,43.132289145475546,72.1284146265257,-11.567209815442068,260,247,6.451868E-3 ,3.006160E-3 ,46.409,6,24.863,3.593,231.803E-6 ,1.937,1.923,5.812,22.873,1.743 ,11.996,13.059,12.714,35.989,0.728198,0.423965,4.780 ,3.6526984126984128
174.574 ,76.202 ,86.500 ,439.776 ,53.59560190128054,66.52715064065438,17.59312514613827,138,130,5.742139E-3 ,1.913142E-3 ,19.811,5,18.657,5.103,293.028E-6 ,2.813,3.724,8.438,22.712,1.994 ,11.918,21.183,--undefined--,35.755,0.664123,0.577617,3.299 ,1.0926984126984127
165.316 ,75.012 ,74.906 ,436.139 ,35.38903431840705,67.66161909948667,6.6992292504647875,620,588,6.051050E-3 ,2.395415E-3 ,58.824,22,62.447,3.254,196.914E-6 ,1.648,1.773,4.943,20.445,1.656 ,10.014,14.708,22.360,30.042,0.722385,0.439343,4.746 ,10.235555555555555
144.878 ,103.660 ,81.280 ,559.573 ,53.67465971321839,71.66103387121167,-0.5864506006853837,360,343,7.136768E-3 ,3.609586E-3 ,25.065,11,30.732,4.148,296.059E-6 ,2.329,2.676,6.986,21.114,1.686 ,8.916,13.679,26.987,26.748,0.765730,0.361547,6.040 ,3.8616780045351473
190.946 ,162.969 ,77.690 ,585.051 ,52.430498414295485,70.88252280849585,14.030489760886237,752,698,5.420022E-3 ,4.262440E-3 ,26.382,24,25.615,4.537,245.887E-6 ,2.305,2.737,6.915,21.364,1.909 ,9.078,10.970,23.947,27.235,0.711101,0.463514,4.338 ,6.369433106575964
