Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
137.617 ,63.544 ,103.122 ,406.273 ,42.661433516165246,75.01884173826397,-0.6784800890698667,146,133,7.249979E-3 ,2.237318E-3 ,58.882,12,44.723,1.554,112.679E-6 ,0.910,1.048,2.729,15.364,1.344 ,6.711,7.156,9.585,20.134,0.796926,0.294132,6.983 ,3.078004535147392
139.604 ,99.697 ,81.789 ,567.146 ,42.77611013987791,78.89363740490111,9.857321715475468,325,289,7.438378E-3 ,2.907400E-3 ,71.016,29,66.917,2.286,170.009E-6 ,1.333,1.850,3.999,16.886,1.416 ,7.673,10.736,10.658,23.018,0.804439,0.274608,6.972 ,10.078820861678004
157.168 ,112.023 ,81.147 ,600.719 ,38.697457912968,68.70722975421856,-2.208229710979456,851,795,6.447199E-3 ,3.092781E-3 ,47.952,42,56.347,2.674,172.393E-6 ,1.390,1.668,4.169,19.479,1.570 ,8.693,11.226,13.543,26.078,0.786846,0.309900,6.665 ,12.482086167800453
124.946 ,29.736 ,81.145 ,333.390 ,44.79030054250504,55.2603117794904,12.919480363137954,160,155,8.009923E-3 ,1.484246E-3 ,11.765,4,13.332,1.996,159.865E-6 ,1.192,1.579,3.575,17.483,1.615 ,8.307,12.249,18.348,24.920,0.785599,0.304946,6.256 ,1.5629024943310657
169.136 ,131.258 ,76.336 ,569.125 ,38.04728312040747,59.612460103116184,7.32627293426554,712,668,6.049090E-3 ,3.486031E-3 ,34.304,30,31.052,3.097,187.320E-6 ,1.567,2.013,4.700,18.494,1.616 ,9.275,13.631,18.963,27.825,0.743169,0.401410,5.499 ,7.936780045351474
164.127 ,121.825 ,75.437 ,583.487 ,39.02158363237995,59.560016053802556,-3.241492626857858,946,896,6.167815E-3 ,3.272942E-3 ,33.033,37,34.231,2.761,170.316E-6 ,1.468,1.739,4.404,19.823,1.690 ,9.037,13.428,20.977,27.112,0.758068,0.364483,5.676 ,10.026575963718821
150.329 ,116.135 ,77.903 ,599.994 ,42.47002773369722,59.91936215481339,1.162418112846011,330,312,6.936872E-3 ,3.352718E-3 ,20.625,10,28.335,3.196,221.723E-6 ,1.727,1.996,5.182,17.368,1.568 ,8.045,10.293,13.094,24.136,0.754688,0.398771,6.047 ,3.2347392290249433
206.880 ,163.040 ,82.061 ,593.660 ,41.834907930358945,61.49208605204361,8.859760036483857,882,820,5.081227E-3 ,3.335960E-3 ,28.507,21,24.937,4.016,204.048E-6 ,2.061,2.379,6.184,19.862,1.693 ,8.856,11.879,16.138,26.567,0.729199,0.432491,4.917 ,6.73514739229025
179.874 ,154.386 ,73.885 ,595.195 ,36.944714948621474,66.97925764192611,-1.243942159454291,554,503,5.805966E-3 ,3.518248E-3 ,49.931,25,41.647,2.860,166.078E-6 ,1.578,1.735,4.735,19.261,1.661 ,9.114,11.087,15.021,27.343,0.743376,0.392089,5.279 ,7.30984126984127
166.158 ,113.540 ,89.887 ,528.158 ,41.497175860098636,62.244982983029864,-0.6957108685245194,382,361,6.070952E-3 ,3.087873E-3 ,24.107,14,30.327,3.357,203.826E-6 ,1.883,2.123,5.649,19.891,1.682 ,8.332,11.790,16.191,24.997,0.755317,0.372201,5.487 ,3.3914739229024944
154.093 ,104.039 ,80.783 ,587.075 ,36.335429653403,62.871311133967026,4.740005572584937,704,667,6.603897E-3 ,2.901977E-3 ,43.559,23,32.077,2.697,178.105E-6 ,1.477,1.789,4.432,19.007,1.650 ,9.013,11.774,17.536,27.039,0.770369,0.353084,6.248 ,9.190657596371882
187.401 ,142.292 ,76.476 ,591.856 ,35.50432068258255,59.05763875447341,8.998078805027813,530,493,5.485816E-3 ,3.342743E-3 ,38.163,21,46.183,4.200,230.400E-6 ,2.226,2.413,6.679,19.707,1.630 ,8.988,10.816,16.355,26.965,0.730860,0.424343,4.989 ,5.690249433106576
126.188 ,66.877 ,95.909 ,524.375 ,35.848981018979295,54.95510669838691,5.35487159151212,255,244,8.091973E-3 ,2.329402E-3 ,35.152,7,14.202,2.687,217.405E-6 ,1.509,1.812,4.526,16.721,1.568 ,7.504,9.518,16.949,22.512,0.732720,0.429952,5.230 ,3.3392290249433105
148.824 ,122.874 ,87.322 ,593.498 ,37.91856086985019,49.87256425322574,4.020069740452427,106,98,6.751899E-3 ,3.210775E-3 ,27.358,4,19.938,3.036,204.980E-6 ,1.757,2.589,5.272,17.287,1.635 ,8.945,8.700,--undefined--,26.835,0.652924,0.615777,3.098 ,1.0926984126984127
138.115 ,73.669 ,79.749 ,551.855 ,34.340868398679156,56.07247774766204,-1.5389848964621615,574,537,7.353698E-3 ,2.550240E-3 ,39.183,28,48.050,2.649,194.819E-6 ,1.387,1.710,4.160,19.813,1.692 ,9.355,12.120,14.859,28.064,0.751844,0.385718,5.605 ,8.354739229024943
143.031 ,100.938 ,90.734 ,580.360 ,35.56771327299755,54.557557170643555,3.7943829838623255,296,274,7.078521E-3 ,3.026062E-3 ,33.943,16,36.175,2.470,174.806E-6 ,1.342,1.715,4.026,18.491,1.638 ,8.051,9.565,13.778,24.153,0.742338,0.409954,5.362 ,3.8616780045351473
176.812 ,144.156 ,84.943 ,598.287 ,35.8937339352656,65.29607157169079,2.275554289514819,477,440,5.849474E-3 ,3.431927E-3 ,48.983,25,42.898,2.989,174.863E-6 ,1.569,1.868,4.706,19.756,1.614 ,9.045,9.558,11.105,27.134,0.760133,0.364931,5.914 ,6.421678004535147
204.801 ,166.494 ,73.553 ,593.733 ,34.282745767437994,55.336766594238576,-0.9557150263263086,811,762,5.094715E-3 ,3.455017E-3 ,39.367,25,37.826,3.492,177.914E-6 ,1.911,2.311,5.733,19.516,1.684 ,8.712,11.900,13.437,26.137,0.734282,0.420312,5.094 ,7.936780045351474
156.824 ,118.874 ,75.444 ,590.483 ,33.504204649921824,50.086069891044374,6.524548579507888,651,613,6.473888E-3 ,3.350060E-3 ,34.993,22,31.702,2.971,192.361E-6 ,1.579,1.814,4.737,18.186,1.619 ,8.023,10.647,12.689,24.070,0.746241,0.394604,5.446 ,7.466575963718821
157.419 ,123.251 ,82.570 ,599.108 ,35.13747393299097,61.023851778990036,0.24899031459291385,716,661,6.497033E-3 ,3.241702E-3 ,51.616,35,55.431,2.529,164.294E-6 ,1.361,1.420,4.083,17.071,1.496 ,7.342,9.497,15.256,22.025,0.764828,0.360666,5.960 ,11.489433106575964
170.387 ,129.201 ,75.834 ,583.580 ,34.10087486920347,55.801830303638525,7.47223111584827,615,567,6.015628E-3 ,3.295289E-3 ,42.405,32,53.097,3.274,196.974E-6 ,1.685,1.902,5.056,20.628,1.708 ,9.692,11.662,19.029,29.076,0.711889,0.459751,4.398 ,7.936780045351474
208.560 ,165.045 ,76.993 ,589.795 ,35.46799177860068,63.08782028832251,7.263420097718178,757,694,5.023031E-3 ,3.263611E-3 ,48.939,31,56.730,2.744,137.809E-6 ,1.431,1.398,4.292,17.894,1.617 ,7.973,10.722,15.741,23.919,0.748234,0.394115,5.603 ,8.981678004535148
196.660 ,136.884 ,69.771 ,486.730 ,38.76601831216615,48.20452303876486,7.6316871837946385,154,140,5.184785E-3 ,3.244815E-3 ,36.486,6,40.065,5.652,293.029E-6 ,3.251,3.193,9.754,21.302,1.699 ,10.353,14.435,20.950,31.058,0.672016,0.560548,3.730 ,1.510657596371882
328.103 ,166.680 ,85.952 ,549.015 ,21.488701817274027,49.098064133595834,-3.3306784393937687,109,100,3.138641E-3 ,1.967787E-3 ,68.627,3,17.344,7.473,234.562E-6 ,3.589,4.681,10.767,20.384,1.840 ,10.666,17.251,--undefined--,31.998,0.625353,0.640961,2.399 ,1.5629024943310657
252.289 ,129.003 ,89.685 ,594.956 ,30.380599200162077,53.030526341531406,4.794727183723833,312,284,4.028790E-3 ,2.026927E-3 ,45.869,13,59.256,5.558,223.918E-6 ,2.980,3.823,8.939,20.335,1.687 ,8.401,9.186,4.393,25.203,0.691875,0.501325,3.858 ,3.5482086167800455
168.129 ,114.218 ,81.755 ,556.948 ,43.197715336042336,69.47757714354849,-0.3993945564329903,1074,1017,6.088844E-3 ,3.113817E-3 ,38.784,36,39.454,3.311,201.600E-6 ,1.726,1.881,5.178,18.784,1.654 ,8.502,10.689,14.385,25.507,0.767633,0.355797,6.132 ,12.691065759637189
199.627 ,144.504 ,75.029 ,578.428 ,38.40219169572873,61.63786436967048,-2.623093778654393,787,737,5.226840E-3 ,3.393097E-3 ,33.778,18,26.012,4.256,222.472E-6 ,2.252,2.650,6.756,21.609,1.819 ,10.289,13.723,23.129,30.866,0.732772,0.427198,5.056 ,6.787392290249433
194.744 ,150.757 ,87.221 ,629.572 ,38.911000898415054,68.58410700366362,7.017314549838459,589,544,5.404866E-3 ,3.395384E-3 ,47.149,24,50.647,2.652,143.359E-6 ,1.385,1.597,4.155,20.227,1.714 ,8.965,13.036,16.877,26.894,0.785305,0.320334,6.639 ,6.526167800453515
