Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
116.854 ,2.844 ,108.374 ,120.156 ,43.41430017868449,50.787287472915146,17.671990656656842,28,26,8.500935E-3 ,0.319763E-3 ,27.273,0,0,1.736,147.545E-6 ,0.742,0.407,2.226,25.148,2.058 ,10.352,16.902,--undefined--,31.056,0.793687,0.328448,6.967 ,0.3612698412698413
189.731 ,73.166 ,87.697 ,479.606 ,27.443080577226763,56.683312594047635,3.845914593550674,598,581,5.291893E-3 ,1.694898E-3 ,50.287,10,52.953,2.260,119.620E-6 ,1.119,1.388,3.357,15.397,1.365 ,6.510,9.733,15.182,19.529,0.834243,0.251423,9.335 ,6.996371882086168
147.898 ,49.815 ,84.227 ,583.059 ,33.33557838370997,52.48720645836517,-0.3671312289159915,1305,1269,6.860930E-3 ,1.327308E-3 ,31.618,24,34.506,2.050,140.626E-6 ,1.017,1.315,3.050,14.853,1.308 ,6.113,9.476,14.549,18.340,0.857714,0.204801,10.535 ,13.631473922902494
148.324 ,19.620 ,78.184 ,223.821 ,34.72796580857497,64.6223831606395,6.467601282836803,1455,1398,6.753475E-3 ,0.901690E-3 ,45.515,48,50.110,1.420,95.868E-6 ,0.695,0.821,2.086,15.208,1.251 ,5.870,9.111,11.622,17.611,0.864136,0.190049,10.135 ,19.430657596371883
--undefined-- ,--undefined-- ,--undefined-- ,--undefined-- ,8.668904629960744,20.314610337513596,-4.035824672742231,1,0,--undefined-- ,--undefined-- ,100.000,0,0,--undefined--,--undefined-- ,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,0.15229024943310657
127.136 ,25.578 ,96.944 ,270.379 ,36.8616221747693,64.27926823892783,6.159305941555301,799,766,7.873193E-3 ,1.332130E-3 ,41.081,32,46.352,1.474,116.081E-6 ,0.737,0.949,2.210,15.387,1.420 ,6.450,9.088,15.673,19.351,0.814182,0.265532,7.445 ,11.698412698412698
126.884 ,29.048 ,75.803 ,494.803 ,37.28974982973614,57.77196643304742,0.32495658396507093,1316,1264,7.889076E-3 ,1.359271E-3 ,26.785,49,33.862,2.197,173.323E-6 ,1.097,1.266,3.291,16.448,1.444 ,7.186,10.412,16.002,21.559,0.775324,0.347100,6.509 ,15.303310657596372
135.328 ,28.445 ,106.995 ,446.062 ,35.84076873547319,68.45220064344187,8.157563389530049,775,730,7.412370E-3 ,1.211980E-3 ,58.107,41,63.223,1.654,122.586E-6 ,0.789,0.937,2.366,14.435,1.271 ,5.972,8.509,10.887,17.917,0.814031,0.280785,7.872 ,15.14657596371882
139.589 ,56.053 ,102.135 ,556.180 ,35.83167948351117,63.560165927406906,6.948762005112675,760,720,7.276124E-3 ,1.708785E-3 ,47.364,32,52.010,1.675,121.871E-6 ,0.860,0.962,2.580,16.501,1.368 ,7.193,9.797,12.754,21.580,0.812604,0.277967,7.868 ,11.228208616780046
131.273 ,22.544 ,93.449 ,215.774 ,34.08908256184276,67.33836300018703,4.617689389149604,248,230,7.632070E-3 ,1.228342E-3 ,73.036,15,65.647,1.202,91.749E-6 ,0.555,0.636,1.665,16.667,1.306 ,5.597,7.335,12.431,16.790,0.815433,0.266261,7.463 ,8.563718820861679
130.295 ,47.752 ,92.072 ,568.648 ,34.21313228051219,63.82645439114563,-4.4432455701453915,1125,1079,7.788156E-3 ,1.442875E-3 ,46.608,38,38.394,1.573,122.512E-6 ,0.766,0.910,2.299,14.821,1.288 ,6.384,8.449,11.948,19.152,0.823732,0.253812,7.984 ,17.1318820861678
147.115 ,31.565 ,115.370 ,428.354 ,39.54014391095419,58.008096688830626,-19.801810889879036,407,394,6.789411E-3 ,1.228024E-3 ,19.088,9,19.977,2.370,160.938E-6 ,1.278,1.657,3.833,16.816,1.469 ,6.952,10.887,19.666,20.855,0.786103,0.329599,6.697 ,3.5482086167800455
