Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
137.107 ,66.577 ,76.989 ,597.122 ,48.423704597937885,67.2042693670444,7.262160655674503,670,631,7.408225E-3 ,2.239900E-3 ,27.719,23,35.115,2.980,220.794E-6 ,1.555,1.751,4.665,17.787,1.584 ,8.277,11.214,16.733,24.830,0.762966,0.361787,5.908 ,7.571065759637189
143.854 ,100.092 ,75.865 ,586.399 ,46.11168540976008,65.99935880842308,10.551482209983256,551,519,7.144829E-3 ,2.806818E-3 ,31.768,17,31.547,3.028,216.381E-6 ,1.564,1.699,4.693,20.960,1.715 ,9.454,13.259,26.716,28.363,0.757280,0.370950,5.750 ,6.421678004535147
143.017 ,113.858 ,75.267 ,579.764 ,49.58241841224954,64.5892163098897,-0.6403859806404223,697,647,7.284353E-3 ,3.499646E-3 ,15.743,27,27.483,3.050,222.166E-6 ,1.626,2.100,4.877,19.175,1.697 ,9.370,14.035,19.351,28.111,0.738009,0.411755,5.140 ,6.891882086167801
147.262 ,124.425 ,79.304 ,584.807 ,38.280340765642094,68.87912137933523,-4.025981373291009,348,322,7.194718E-3 ,3.701279E-3 ,58.088,13,30.750,3.467,249.444E-6 ,1.934,2.233,5.802,20.413,1.656 ,10.422,15.361,22.814,31.265,0.729361,0.420716,4.832 ,6.839637188208616
188.058 ,150.162 ,75.523 ,491.949 ,40.78487891004715,56.09194823074545,4.667730195425616,104,96,5.661125E-3 ,3.499605E-3 ,28.889,3,25.541,3.608,204.257E-6 ,1.803,2.046,5.408,20.081,1.607 ,10.901,19.835,27.433,32.702,0.725609,0.415166,4.579 ,0.9359637188208617
174.833 ,134.058 ,92.219 ,600.077 ,47.79330988235958,64.65039289653753,13.361343485012087,1077,1025,5.845025E-3 ,3.139044E-3 ,21.854,29,27.750,3.011,175.978E-6 ,1.577,1.787,4.731,20.717,1.655 ,10.297,14.704,20.933,30.891,0.777840,0.337673,6.281 ,8.772698412698412
183.503 ,159.724 ,88.521 ,588.116 ,46.763193932072696,75.19506212391858,16.438760760144046,351,332,5.655354E-3 ,3.769902E-3 ,63.916,15,57.100,3.896,220.355E-6 ,2.179,2.447,6.536,17.555,1.517 ,8.128,11.170,13.368,24.384,0.836665,0.222931,8.173 ,6.212698412698413
152.727 ,127.493 ,87.304 ,597.504 ,46.07319566480826,66.02179054289651,0.8011936185742247,866,814,6.813621E-3 ,3.551746E-3 ,28.352,24,30.632,2.975,202.684E-6 ,1.615,1.853,4.845,19.054,1.628 ,9.535,12.752,19.705,28.606,0.736275,0.414105,5.058 ,9.138412698412699
157.212 ,134.498 ,77.138 ,600.875 ,45.8299540598738,66.51365634444875,11.426804868402138,1001,948,6.547161E-3 ,3.770689E-3 ,30.828,31,34.309,3.683,241.148E-6 ,2.025,2.388,6.074,19.700,1.662 ,8.918,13.394,20.370,26.754,0.739128,0.399752,5.017 ,10.549024943310657
162.419 ,129.979 ,80.166 ,596.579 ,46.042103815075194,67.66857080333989,0.4420747392829629,821,767,6.381289E-3 ,3.440313E-3 ,30.641,25,30.866,3.127,199.540E-6 ,1.717,2.021,5.151,20.177,1.625 ,9.462,13.229,18.598,28.385,0.757819,0.363957,5.610 ,8.45922902494331
