Mean pitch,Standard deviation,Minimum pitch,Maximum pitch,Mean intensity,Minimum intensity,Maximum intensity,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of unvoiced,Number of voice breaks,Degree of voice breaks,Jitter local,Jitter local absolute,Jitter rap,Jitter ppq5,Jitter ddp,Shimmer local,Shimmer local dB,Shimmer apq3,Shimmer apq5,Shimmer apq11,Shimmer dda,Mean autocorrelation,Mean NHR,Mean HNR,Audio Length
144.870 ,58.587 ,99.948 ,575.015 ,42.91189818518365,65.1221483510707,1.9972252498767018,629,605,6.971636E-3 ,1.882044E-3 ,29.817,19,33.637,2.017,140.590E-6 ,0.968,1.162,2.905,15.391,1.311 ,6.220,8.919,12.660,18.659,0.844208,0.223356,9.060 ,6.5784126984126985
137.912 ,69.465 ,81.678 ,501.757 ,40.233574866408176,59.771627290088816,6.9270446039082305,618,589,7.365562E-3 ,2.224822E-3 ,32.520,23,32.648,2.325,171.256E-6 ,1.108,1.218,3.324,15.138,1.341 ,6.483,9.102,14.542,19.449,0.806888,0.287735,7.696 ,7.4143310657596375
159.395 ,116.322 ,90.810 ,589.989 ,36.9875317767318,57.56977106426475,-6.773365253360232,417,387,6.538498E-3 ,2.874462E-3 ,38.740,16,41.076,2.780,181.768E-6 ,1.429,1.616,4.286,17.898,1.542 ,7.632,9.318,18.433,22.897,0.808062,0.281817,7.956 ,5.272290249433107
149.336 ,51.428 ,68.678 ,384.668 ,39.74421922294719,57.13344084422865,6.628370740488558,427,405,6.724654E-3 ,1.842199E-3 ,36.145,20,36.864,2.403,161.564E-6 ,1.144,1.317,3.431,15.696,1.337 ,6.900,9.390,13.828,20.701,0.781691,0.335750,6.792 ,5.011065759637188
133.516 ,62.257 ,75.969 ,599.599 ,40.79746144142042,59.08591976476273,7.406722042048206,726,689,7.650928E-3 ,1.747744E-3 ,31.415,27,35.941,2.334,178.567E-6 ,1.128,1.243,3.385,15.216,1.331 ,6.941,10.024,14.053,20.822,0.783341,0.326828,6.524 ,8.720453514739228
148.864 ,96.921 ,90.877 ,581.595 ,40.01409880265727,63.93118256214005,7.4858832915880775,1112,1053,6.851747E-3 ,2.662343E-3 ,42.685,45,47.997,2.509,171.916E-6 ,1.259,1.470,3.777,16.161,1.423 ,7.470,11.344,16.618,22.409,0.764801,0.358027,5.906 ,14.937596371882087
157.249 ,95.054 ,85.315 ,592.824 ,40.396407944163386,60.477172763082585,1.8567059439700673,426,397,6.438049E-3 ,2.557469E-3 ,38.728,20,44.775,4.095,263.607E-6 ,2.235,2.565,6.705,19.591,1.748 ,8.914,13.601,22.794,26.742,0.713183,0.466810,4.500 ,5.220045351473923
185.900 ,105.246 ,87.574 ,580.176 ,37.08123302911719,61.656116866142355,8.211163231030207,508,484,5.430383E-3 ,2.284369E-3 ,37.195,17,44.326,3.372,183.092E-6 ,1.707,1.940,5.120,15.921,1.449 ,7.427,10.526,20.460,22.280,0.770799,0.351569,6.255 ,4.958820861678005
141.618 ,86.499 ,95.197 ,570.706 ,35.82480000158361,54.76752538662402,11.787959670699436,233,217,7.239159E-3 ,2.514425E-3 ,50.131,11,39.905,2.738,198.231E-6 ,1.478,1.578,4.435,16.699,1.498 ,8.387,11.089,10.479,25.162,0.716564,0.457363,4.566 ,3.8616780045351473
164.921 ,45.866 ,125.770 ,528.957 ,40.01360253323645,57.60127133800946,9.108277006100474,270,256,6.113593E-3 ,1.143643E-3 ,44.032,11,47.701,2.239,136.883E-6 ,1.202,1.351,3.605,14.598,1.355 ,6.259,9.454,15.463,18.778,0.771267,0.352253,6.344 ,3.809433106575964
